DateTime,Open,High,Low,Close,Volume
2025-01-02,20.23,20.43,20.0,20.22,46438500
2025-01-03,20.39,20.67,20.059999,20.56,48983900
2025-01-06,20.83,20.98,19.78,19.87,83271000
2025-01-07,20.02,20.34,19.9,20.01,61726100
2025-01-08,19.83,20.12,19.71,19.88,47897100
2025-01-10,19.66,19.66,18.91,19.15,71244600
2025-01-13,18.92,19.25,18.73,19.2,50669000
2025-01-14,19.36,19.52,18.82,19.2,47147500
2025-01-15,19.4,19.77,19.17,19.72,56306000
2025-01-16,19.75,19.95,19.4,19.67,44898100
2025-01-17,21.26,21.62,20.79,21.49,166483900
2025-01-21,22.030001,22.41,21.75,21.77,96262200
2025-01-22,21.73,22.29,21.57,21.86,60972600
2025-01-23,21.69,21.75,21.35,21.57,55778200
2025-01-24,21.36,21.41,20.75,20.83,66300600
2025-01-27,20.81,21.059999,20.14,20.29,83582100
2025-01-28,20.34,20.34,19.74,19.8,73411400
2025-01-29,19.87,20.08,19.66,19.75,86506800
2025-01-30,19.72,20.1,19.43,20.01,108167000
2025-01-31,20.1,20.33,19.38,19.43,117474900
2025-02-03,18.97,19.75,18.78,19.38,77523100
2025-02-04,19.1,19.53,19.02,19.29,54098200
2025-02-05,19.19,19.77,18.91,19.65,66059200
2025-02-06,19.51,19.7,19.22,19.38,45553800
2025-02-07,19.35,19.36,19.030001,19.1,58277900
2025-02-10,19.25,20.08,19.24,19.77,73007300
2025-02-11,19.87,21.88,19.86,20.97,150960700
2025-02-12,21.98,22.56,20.93,22.48,162631200
2025-02-13,22.84,24.83,22.79,24.13,248661300
2025-02-14,24.36,25.19,22.86,23.6,230254100
2025-02-18,24.6,27.55,24.49,27.39,284292200
2025-02-19,25.98,26.33,25.46,25.72,151881700
2025-02-20,25.56,26.12,24.48,26.09,144939600
2025-02-21,25.96,26.29,24.84,24.87,111630900
2025-02-24,24.55,24.8,23.62,24.27,91358100
2025-02-25,24.21,24.28,22.77,22.99,88886500
2025-02-26,23.25,23.82,23.21,23.52,67449300
2025-02-27,23.7,24.4,23.07,23.09,97871900
2025-02-28,23.02,24.44,22.64,23.73,104133800
2025-03-03,25.0,25.040001,22.52,22.74,141348700
2025-03-04,22.54,22.63,20.76,21.33,152182200
2025-03-05,21.33,21.36,20.18,20.81,127219300
2025-03-06,20.26,21.13,20.0,20.75,96466400
2025-03-07,20.27,21.2,20.11,20.64,81099600
2025-03-10,20.24,20.51,19.65,19.93,82760600
2025-03-11,19.97,20.059999,19.29,19.78,80789000
2025-03-12,20.79,21.17,20.21,20.68,128671100
2025-03-13,23.5,24.53,23.13,23.7,243261000
2025-03-14,23.68,24.37,23.52,24.049999,116901600
2025-03-17,24.42,26.15,24.37,25.69,160723600
2025-03-18,25.55,26.41,25.39,25.92,132488800
2025-03-19,24.9,25.23,24.030001,24.12,135491400
2025-03-20,23.77,24.31,23.73,23.96,68937600
2025-03-21,23.6,24.7,23.49,24.26,94110700
2025-03-24,24.72,24.99,24.13,24.22,69169000
2025-03-25,24.18,24.75,24.11,24.2,51743300
2025-03-26,24.25,24.42,23.25,23.42,59496700
2025-03-27,23.29,23.76,22.86,23.62,57720600
2025-03-28,23.35,23.58,22.56,22.71,58365300
2025-03-31,22.38,22.75,21.75,22.71,65832000
2025-04-01,22.56,22.62,21.66,22.049999,64060400
2025-04-02,21.89,22.38,21.7,21.98,58878800
2025-04-03,21.4,23.9,20.86,22.43,242972100
2025-04-04,21.7,22.2,19.7,19.85,175014700
2025-04-07,19.14,20.67,18.56,19.57,142491200
2025-04-08,20.059999,20.39,17.67,18.13,163982700
2025-04-09,18.07,21.73,17.98,21.53,224183500
2025-04-10,20.68,20.82,19.16,19.88,129064900
2025-04-11,19.25,19.8,18.18,19.74,128425800
2025-04-14,20.59,21.049999,19.98,20.31,101964400
2025-04-15,20.2,20.47,19.81,19.85,64056900
