DateTime,Open,High,Low,Close,Volume
2002-05-09,11.6,11.7,11.11,11.38,324400
2002-05-10,11.38,11.39,10.09,10.29,1156200
2002-05-13,10.09,10.62,10.09,10.55,692400
2002-05-14,10.66,11.29,10.55,11.05,1651900
2002-05-15,11.12,11.33,10.73,10.9,575100
2002-05-16,11.1,11.15,9.6,10.14,965500
2002-05-17,10.39,10.6,10.1,10.22,503200
2002-05-20,10.81,10.95,9.8,9.84,882500
2002-05-21,10.26,10.42,9.38,9.44,1155100
2002-05-22,9.51,9.92,9.22,9.79,895900
2002-05-23,9.95,10.66,9.45,10.3,627300
2002-05-24,10.33,10.5,9.48,9.5,779100
2002-05-28,9.6,9.97,9.5,9.93,284900
2002-05-29,9.8,9.95,9.51,9.6,353700
2002-05-30,9.57,9.75,9.45,9.57,488700
2002-05-31,9.7,9.75,9.37,9.4,319600
2002-06-03,9.55,9.75,8.17,8.38,534300
2002-06-04,8.26,8.55,7.65,8.04,824800
2002-06-05,8.06,8.5,7.9,8.15,611400
2002-06-06,8.1,8.43,7.85,7.86,448300
2002-06-07,7.63,8.08,7.5,8.0,402000
2002-06-10,8.04,8.65,7.87,8.2,559800
2002-06-11,8.21,8.5,7.75,7.8,575900
2002-06-12,7.81,7.91,7.09,7.5,568200
2002-06-13,7.52,7.7,6.85,7.05,463600
2002-06-14,6.8,7.65,6.76,7.41,561300
2002-06-17,7.51,8.0,7.5,8.0,352100
2002-06-18,8.21,8.52,8.0,8.3,921100
2002-06-19,8.29,8.5,7.76,7.82,214600
2002-06-20,7.88,8.2,7.84,8.0,293200
2002-06-21,8.16,8.25,7.84,7.99,415900
2002-06-24,7.9,8.25,7.63,8.03,412900
2002-06-25,8.18,8.6,8.08,8.32,510800
2002-06-26,8.0,8.84,7.75,8.49,425200
2002-06-27,8.35,8.92,8.35,8.88,299500
2002-06-28,8.7,9.55,8.7,9.51,646800
2002-07-01,9.5,9.5,8.02,8.15,311700
