DateTime,Open,High,Low,Close,Volume
2021-12-16,24.94,25.0,23.11,23.23,2939200
2021-12-17,23.0,23.09,21.8,22.32,2994600
2021-12-20,22.58,24.05,22.5,23.82,1465200
2021-12-21,24.08,26.2,24.045,25.36,3550600
2021-12-22,25.81,27.38,25.7,27.0,655900
2021-12-23,27.0,27.69,26.12,27.61,746200
2021-12-27,27.9,31.41,27.51,29.37,1214900
2021-12-28,30.0,30.39,27.27,27.54,680200
2021-12-29,27.46,28.0,25.71,26.96,593700
2021-12-30,27.0,28.0,26.22,26.57,460900
2021-12-31,28.09,28.89,26.21,28.11,877000
2022-01-03,28.75,29.1,26.7,26.77,780000
2022-01-04,27.17,27.17,24.02,25.03,1256000
2022-01-05,25.48,25.48,22.51,23.01,1631500
2022-01-06,23.01,24.19,21.81,22.99,2057900
2022-01-07,22.99,23.525,22.75,23.22,809600
2022-01-10,22.64,23.11,20.89,22.99,3226300
2022-01-11,22.9,24.68,22.71,24.43,871700
2022-01-12,24.99,26.8,24.5,24.75,1239500
2022-01-13,25.21,26.35,24.18,24.2,1527400
2022-01-14,23.88,24.3,22.655,22.91,2050300
2022-01-18,22.4,22.59,20.73,21.31,1953100
2022-01-19,21.31,21.71,19.5,20.35,3216800
2022-01-20,20.56,21.72,20.46,21.12,1611400
2022-01-21,21.12,21.69,19.15,19.4,1125800
2022-01-24,18.9,18.99,14.55,17.62,5765800
2022-01-25,17.34,18.25,16.65,17.65,1650400
2022-01-26,18.1,18.43,16.59,17.28,779200
2022-01-27,17.73,18.315,16.08,16.11,1249300
2022-01-28,16.0,17.24,14.94,16.66,1061300
2022-01-31,16.75,18.47,16.75,18.1,1628000
2022-02-01,18.1,21.75,17.97,21.22,1816800
2022-02-02,21.3,21.839,18.98,21.6,2492200
2022-02-03,20.52,20.98,18.095,18.51,2491800
2022-02-04,18.52,21.0,17.53,20.56,2844500
2022-02-07,20.2,21.48,19.99,20.25,2757900
2022-02-08,20.04,21.9,19.52,21.89,700700
2022-02-09,22.27,24.69,21.84,24.47,1584200
2022-02-10,23.81,25.42,23.05,23.34,1179600
2022-02-11,23.27,24.045,20.87,20.93,722600
2022-02-14,20.76,22.75,20.57,21.71,541800
