DateTime,Open,High,Low,Close,Volume
2005-11-10,33.75,35.16,31.33,34.5,7776000
2005-11-11,34.5,37.33,32.99,36.51,4599400
2005-11-14,35.98,36.2,32.7,32.7,1877600
2005-11-15,32.24,33.62,29.98,30.6,1468600
2005-11-16,30.25,31.7,29.25,30.86,1066200
2005-11-17,31.63,32.17,30.15,30.16,471100
2005-11-18,30.04,31.0,29.5,29.5,490700
2005-11-21,29.41,29.99,28.13,28.45,703300
2005-11-22,28.82,30.85,28.42,29.89,956900
2005-11-23,29.6,30.37,28.8,29.74,421800
2005-11-25,29.4,30.0,29.2,29.74,101000
2005-11-28,30.0,30.0,28.62,28.67,249100
2005-11-29,28.57,29.19,28.21,28.85,245900
2005-11-30,29.0,29.6,28.96,29.23,138700
2005-12-01,29.5,29.78,28.5,29.01,146600
2005-12-02,28.9,30.99,28.8,30.15,443100
2005-12-05,30.84,32.17,30.21,31.9,312500
2005-12-06,32.35,32.95,29.78,29.85,479000
2005-12-07,30.45,30.7,29.85,30.65,205500
2005-12-08,31.47,31.47,30.3,30.87,142800
2005-12-09,31.25,31.25,30.36,30.73,124000
2005-12-12,30.94,30.99,29.88,29.96,161100
2005-12-13,30.39,30.39,29.25,29.45,152300
2005-12-14,29.5,29.5,28.5,28.76,307700
2005-12-15,30.5,30.7,29.12,30.5,386700
2005-12-16,30.48,30.8,29.73,30.32,361300
2005-12-19,31.5,32.38,30.59,30.87,633100
2005-12-20,31.6,31.6,30.55,31.22,191000
2005-12-21,31.22,31.85,31.21,31.41,107200
2005-12-22,32.03,33.0,31.9,33.0,311800
2005-12-23,33.0,33.0,31.53,31.71,308500
2005-12-27,31.7,31.92,30.03,31.36,300500
2005-12-28,31.5,31.75,30.55,30.95,138000
2005-12-29,31.16,34.07,30.95,33.94,681600
2005-12-30,34.15,34.15,32.38,33.33,524800
2006-01-03,34.08,34.39,31.86,32.4,438500
2006-01-04,32.65,32.96,31.78,31.84,295500
2006-01-05,32.1,34.12,31.84,33.71,545700
2006-01-06,34.13,34.95,32.92,33.05,774200
2006-01-09,33.27,33.65,32.53,33.03,238000
2006-01-10,33.03,35.4,32.78,34.75,524400
2006-01-11,35.02,35.4,33.77,34.1,301600
2006-01-12,34.5,34.5,33.7,34.13,179900
2006-01-13,34.36,34.84,33.8,33.98,174700
2006-01-17,34.93,36.15,34.75,35.6,559400
2006-01-18,34.75,37.9,34.75,37.79,513100
2006-01-19,37.76,37.8,36.12,36.67,384100
2006-01-20,36.37,36.7,34.1,34.6,413900
2006-01-23,34.67,35.44,34.52,34.86,169600
2006-01-24,35.0,35.76,34.95,35.16,128400
2006-01-25,34.72,34.81,32.81,33.27,512600
2006-01-26,33.8,34.4,32.57,33.81,291000
2006-01-27,34.0,35.3,33.52,34.98,163900
2006-01-30,35.25,35.95,34.51,35.85,165900
2006-01-31,36.0,36.0,34.78,35.55,236700
2006-02-01,35.55,35.99,34.8,35.5,159500
2006-02-02,35.5,35.84,34.83,35.18,102200
2006-02-03,34.86,35.0,33.7,34.09,149700
2006-02-06,34.75,34.8,32.8,32.85,216600
2006-02-07,33.0,33.02,31.5,31.73,328400
2006-02-08,31.77,32.14,30.14,31.0,273000
2006-02-09,31.59,31.59,30.07,30.35,152400
2006-02-10,30.3,32.23,29.96,32.23,152300
2006-02-13,32.0,33.3,31.3,32.73,198800
2006-02-14,33.08,33.49,32.1,33.22,185900
2006-02-15,28.74,29.2,25.49,25.74,2577100
2006-02-16,26.0,26.5,25.5,25.7,424100
2006-02-17,26.0,26.18,25.6,25.63,351700
2006-02-21,26.0,26.25,25.78,26.0,219600
2006-02-22,26.23,27.2,25.89,27.06,324500
2006-02-23,27.1,27.95,27.02,27.4,278700
2006-02-24,27.45,27.45,26.98,27.22,125100
2006-02-27,27.47,27.83,26.78,27.6,281000
2006-02-28,27.54,28.19,27.5,27.5,143900
2006-03-01,27.67,28.16,27.61,27.92,135400
2006-03-02,29.12,29.95,28.62,28.63,449500
2006-03-03,29.48,29.5,28.26,28.78,140200
2006-03-06,29.49,29.49,28.11,28.19,100500
2006-03-07,28.05,28.27,27.11,27.5,154300
2006-03-08,27.73,27.8,26.14,26.63,186800
2006-03-09,26.4,26.75,26.02,26.39,133400
2006-03-10,26.6,26.62,26.09,26.43,50200
2006-03-13,26.74,26.74,26.1,26.2,60800
2006-03-14,26.1,26.69,26.1,26.58,59800
2006-03-15,26.7,26.7,26.32,26.48,50400
2006-03-16,26.51,26.66,26.22,26.25,81800
2006-03-17,26.49,27.74,26.09,27.16,223300
2006-03-20,27.5,27.88,27.25,27.51,57800
2006-03-21,27.4,27.4,26.1,26.27,241000
2006-03-22,26.21,26.9,26.21,26.7,132100
2006-03-23,26.7,27.0,26.5,26.7,76400
2006-03-24,26.88,28.0,26.7,27.92,146900
2006-03-27,28.0,29.92,27.24,28.75,397500
2006-03-28,29.1,29.95,28.81,29.41,239300
2006-03-29,29.8,29.99,29.12,29.48,137800
2006-03-30,29.75,29.9,28.27,28.62,161200
2006-03-31,29.03,29.12,27.53,27.8,147600
2006-04-03,27.69,28.48,27.5,28.13,126300
2006-04-04,28.25,28.25,27.56,28.0,64200
2006-04-05,28.0,28.72,27.73,28.46,81400
2006-04-06,28.67,29.09,28.12,28.35,99300
2006-04-07,28.5,28.93,27.9,28.08,60400
2006-04-10,27.93,29.3,27.77,29.06,232100
2006-04-11,29.1,29.1,28.5,28.82,52900
2006-04-12,28.7,28.7,27.58,28.59,62300
2006-04-13,28.6,28.6,27.9,28.24,24600
2006-04-17,28.45,28.45,27.51,27.75,83200
2006-04-18,28.0,28.0,27.1,27.51,80400
2006-04-19,27.1,27.2,26.11,26.6,246800
2006-04-20,26.6,26.9,26.35,26.59,105700
2006-04-21,26.6,26.6,25.73,26.09,192600
2006-04-24,26.09,26.15,25.25,25.4,153900
2006-04-25,25.4,25.4,24.25,24.58,185600
2006-04-26,24.45,24.45,22.68,23.22,332800
2006-04-27,23.05,23.24,22.69,22.69,136600
2006-04-28,22.67,22.69,21.22,21.8,381100
2006-05-01,22.0,23.85,22.0,23.1,301900
2006-05-02,23.56,23.76,23.0,23.55,225600
2006-05-03,25.4,26.95,25.26,25.49,417500
2006-05-04,25.65,26.2,24.22,24.37,214500
2006-05-05,24.9,25.57,24.7,25.31,179000
2006-05-08,25.21,25.39,24.77,25.22,75300
2006-05-09,25.37,25.38,24.16,24.22,152200
2006-05-10,24.3,24.59,23.5,23.71,123400
2006-05-11,23.69,23.75,22.56,22.62,152900
2006-05-12,22.5,22.51,22.09,22.42,88500
2006-05-15,22.4,23.25,22.34,22.61,84300
2006-05-16,22.52,22.8,22.12,22.47,68400
2006-05-17,22.5,22.78,21.5,21.61,104600
2006-05-18,21.6,22.11,21.6,21.98,59200
2006-05-19,21.82,22.45,21.81,22.42,90900
2006-05-22,22.12,22.25,20.5,20.8,400900
2006-05-23,22.24,23.4,21.42,22.16,297500
2006-05-24,22.15,22.31,21.63,22.21,120100
2006-05-25,22.43,23.0,22.2,22.4,302000
2006-05-26,22.4,22.61,21.56,22.2,120800
2006-05-30,22.45,22.45,21.66,21.82,136600
2006-05-31,21.79,22.27,21.27,22.19,184100
2006-06-01,23.13,23.8,23.07,23.5,357500
2006-06-02,23.5,25.15,23.33,24.4,616500
2006-06-05,24.4,24.6,23.27,23.89,306300
2006-06-06,23.86,23.93,23.0,23.28,120500
2006-06-07,23.45,23.63,23.0,23.0,117600
2006-06-08,23.1,23.51,22.84,23.5,176800
2006-06-09,23.06,23.6,23.06,23.41,65600
2006-06-12,23.8,23.8,23.27,23.5,108300
2006-06-13,23.28,23.81,23.04,23.61,159800
2006-06-14,23.85,23.85,22.97,23.28,116100
2006-06-15,23.4,23.4,23.1,23.39,152500
2006-06-16,23.41,23.52,23.13,23.32,343300
2006-06-19,23.49,23.53,22.95,23.31,62800
2006-06-20,23.37,23.7,23.11,23.58,146400
2006-06-21,23.53,23.76,23.34,23.5,97500
2006-06-22,23.7,24.49,23.5,24.35,285800
2006-06-23,24.75,25.4,24.4,24.74,196200
2006-06-26,24.82,25.12,24.75,24.78,293600
2006-06-27,25.0,25.88,24.02,24.58,317300
2006-06-28,24.86,25.58,24.81,25.5,213100
2006-06-29,25.48,25.75,24.73,25.13,138400
2006-06-30,25.5,25.6,24.59,24.88,766500
2006-07-03,25.06,25.17,24.56,25.08,39000
2006-07-05,25.5,25.5,24.16,24.43,96600
