DateTime,Open,High,Low,Close,Volume
2025-01-02,29.23,29.96,29.16,29.57,666900
2025-01-03,29.83,30.3,29.74,30.09,570600
2025-01-06,30.22,30.94,30.14,30.15,678600
2025-01-07,30.13,30.54,29.62,29.76,726300
2025-01-08,29.51,29.64,29.0,29.049999,542800
2025-01-10,28.63,28.75,28.17,28.31,610500
2025-01-13,28.11,28.53,27.33,27.52,1072200
2025-01-14,27.63,27.89,26.92,27.2,739400
2025-01-15,27.51,28.1,27.47,27.52,709200
2025-01-16,27.55,27.72,27.26,27.55,766700
2025-01-17,28.0,28.28,27.68,28.16,1060700
2025-01-21,28.34,29.34,28.24,29.33,796000
2025-01-22,29.02,30.08,28.68,29.13,1548300
2025-01-23,28.85,29.56,28.07,29.41,918900
2025-01-24,29.58,31.24,29.58,31.02,1335300
2025-01-27,30.89,31.059999,29.65,29.82,1186600
2025-01-28,30.02,30.47,29.82,30.1,773800
2025-01-29,29.94,30.09,28.24,28.34,955300
2025-01-30,28.5,28.68,27.94,28.42,751800
2025-01-31,28.52,29.030001,28.28,28.75,1103000
2025-02-03,28.08,28.7,27.67,28.38,1346700
2025-02-04,28.48,29.27,28.42,28.55,1557500
2025-02-05,28.9,29.37,28.4,29.059999,1394200
2025-02-06,29.3,29.79,28.45,28.57,1012100
2025-02-07,28.61,28.79,28.29,28.42,903000
2025-02-10,28.94,29.11,27.86,27.97,1006900
2025-02-11,27.92,28.29,27.57,27.81,1380100
2025-02-12,27.7,27.98,27.44,27.72,1353000
2025-02-13,31.1,33.17,30.2,31.99,4361100
2025-02-14,32.31,33.18,31.52,31.63,1924100
2025-02-18,32.23,34.45,32.12,32.46,2155300
2025-02-19,32.42,33.17,32.29,32.66,1411600
2025-02-20,32.42,32.67,32.080002,32.12,1356100
2025-02-21,32.07,32.23,30.87,31.08,1362800
2025-02-24,31.37,31.65,31.08,31.43,1136100
2025-02-25,31.49,31.69,31.049999,31.4,1208500
2025-02-26,31.63,32.59,31.61,31.93,1465700
2025-02-27,32.2,32.63,31.86,32.13,1188200
2025-02-28,32.0,32.099998,31.22,31.56,1453500
2025-03-03,31.55,32.0,30.91,30.94,1093200
2025-03-04,30.44,30.61,29.88,30.040001,1301900
2025-03-05,30.02,30.65,29.96,30.59,949800
2025-03-06,30.12,30.63,29.86,30.3,1186200
2025-03-07,30.2,30.91,30.11,30.65,1404400
2025-03-10,29.95,31.030001,29.69,29.75,1946900
2025-03-11,29.67,29.89,28.79,29.33,1780100
2025-03-12,29.44,29.61,27.33,27.35,1561600
2025-03-13,27.37,27.37,26.54,26.87,1441600
2025-03-14,27.0,27.7,26.92,27.59,1277500
2025-03-17,27.29,27.9,27.17,27.65,1110500
2025-03-18,27.61,27.61,26.93,27.36,1119500
2025-03-19,27.48,27.74,27.3,27.6,1246900
2025-03-20,27.31,27.7,27.18,27.55,1180400
2025-03-21,27.19,27.84,27.08,27.65,2726000
2025-03-24,27.95,28.33,27.86,28.19,1148500
2025-03-25,28.22,29.12,28.15,29.0,1613300
2025-03-26,29.040001,30.040001,29.040001,29.54,1056800
2025-03-27,29.33,29.99,28.9,29.48,1782200
2025-03-28,29.41,29.74,27.52,27.54,1246700
2025-03-31,27.1,27.61,26.69,27.32,1374500
2025-04-01,27.21,27.59,26.6,27.32,1386500
2025-04-02,27.040001,27.49,26.81,27.030001,1132200
2025-04-03,26.22,26.67,25.54,25.58,1075800
2025-04-04,24.78,25.3,24.12,24.59,1550300
2025-04-07,23.27,25.049999,22.9,23.28,1884300
2025-04-08,24.01,24.19,22.23,22.65,1263100
2025-04-09,22.28,24.88,22.18,24.65,1622000
2025-04-10,24.27,24.66,23.84,24.15,1256800
2025-04-11,24.22,24.57,23.33,24.27,852000
2025-04-14,24.68,25.01,24.18,24.32,931200
2025-04-15,24.5,24.72,24.059999,24.2,818400
2025-04-16,23.95,24.3,23.59,23.83,731500
2025-04-17,23.89,24.56,23.53,23.77,738800
2025-04-21,23.5,23.63,22.87,23.2,2063400
2025-04-22,22.5,23.040001,19.91,21.61,6427200
2025-04-23,22.64,23.13,21.38,21.57,2360700
2025-04-24,21.8,23.15,21.57,23.040001,2161600
2025-04-25,22.99,23.32,22.47,23.16,1433100
2025-04-28,23.42,24.44,23.42,24.16,1951300
2025-04-29,24.2,24.55,23.77,24.12,1305500
2025-04-30,23.85,24.19,23.43,24.13,1079500
2025-05-01,24.14,24.5,23.86,24.07,1093700
2025-05-02,24.37,25.38,24.27,25.17,1117100
2025-05-05,25.14,25.92,24.88,25.77,1577200
2025-05-06,25.43,26.39,25.26,26.25,1359900
2025-05-07,26.25,26.61,26.09,26.31,1209000
2025-05-08,26.46,26.47,25.88,26.01,1013700
2025-05-09,26.0,26.81,26.0,26.45,796500
2025-05-12,27.12,27.49,26.71,26.98,891100
2025-05-13,26.9,26.97,25.63,25.66,1821700
2025-05-14,25.5,25.76,24.81,25.33,1267900
2025-05-15,25.35,25.85,25.18,25.65,1161200
2025-05-16,25.69,25.89,25.39,25.45,875500
2025-05-19,25.12,25.5,24.94,25.23,880700
2025-05-20,25.27,26.07,25.11,25.82,921100
2025-05-21,25.82,25.85,25.059999,25.31,794800
2025-05-22,25.31,25.68,25.01,25.53,916900
2025-05-23,25.23,25.38,24.57,25.22,742700
2025-05-27,25.54,26.7,25.38,26.23,1167100
2025-05-28,26.23,26.25,25.61,25.68,847000
2025-05-29,25.97,25.97,25.07,25.57,795100
2025-05-30,25.42,25.69,25.22,25.4,1432400
2025-06-02,25.25,26.16,25.1,25.87,1369900
2025-06-03,25.95,26.26,25.6,26.14,921300
2025-06-04,26.049999,26.59,25.88,26.34,673100
2025-06-05,26.5,26.72,26.25,26.51,890400
2025-06-06,26.8,27.86,26.55,27.76,1829300
2025-06-09,27.8,29.21,27.8,28.56,1909500
2025-06-10,29.2,29.2,28.2,28.94,912300
2025-06-11,29.18,29.26,28.57,28.77,808100
2025-06-12,28.74,29.33,28.73,29.23,766300
2025-06-13,28.69,29.14,28.47,28.64,854100
2025-06-16,28.61,29.44,28.47,29.36,954400
2025-06-17,29.09,29.34,28.1,28.6,987200
2025-06-18,28.66,29.26,28.59,28.74,867300
2025-06-20,28.89,29.15,28.4,28.43,2230200
2025-06-23,28.42,29.3,28.36,29.2,953200
2025-06-24,29.45,29.52,28.77,28.93,1265100
2025-06-25,28.94,29.08,28.73,28.81,931300
2025-06-26,29.040001,29.68,28.82,29.51,1485100
2025-06-27,29.72,30.29,29.56,30.040001,2400900
2025-06-30,30.18,30.49,29.67,30.17,1542100
2025-07-01,30.18,30.85,30.14,30.59,1414900
2025-07-02,30.66,31.57,30.4,31.52,1103900
2025-07-03,31.69,32.029999,31.3,31.8,870500
2025-07-07,31.55,32.26,31.4,32.02,1265400
2025-07-08,32.099998,32.68,31.64,31.87,1010000
2025-07-09,32.0,32.12,31.17,31.34,893200
2025-07-10,31.35,32.71,31.27,32.060001,1384100
2025-07-11,31.85,31.95,31.26,31.45,1113600
2025-07-14,31.44,31.87,31.36,31.71,1258400
2025-07-15,31.81,32.15,31.43,31.44,1111600
2025-07-16,31.52,31.92,30.49,31.19,1769100
2025-07-17,31.32,32.35,31.26,32.11,1883700
2025-07-18,32.39,32.75,31.73,32.080002,1403200
2025-07-21,32.56,33.34,31.83,32.07,1825300
2025-07-22,31.76,32.2,31.17,31.88,1337200
2025-07-23,31.97,32.64,31.75,32.43,1688700
2025-07-24,28.9,29.75,24.81,25.27,10299000
2025-07-25,25.83,26.02,24.84,25.7,4026500
2025-07-28,25.5,25.99,25.3,25.54,2436700
2025-07-29,25.51,25.69,24.61,24.61,1970700
2025-07-30,24.67,25.12,24.64,24.91,1489100
2025-07-31,24.67,25.07,24.22,24.46,1512500
2025-08-01,24.08,24.62,23.85,24.18,1576300
2025-08-04,24.41,24.96,24.34,24.66,2426300
2025-08-05,24.98,25.3,24.83,24.89,1518200
2025-08-06,24.82,25.059999,24.049999,24.09,1339900
2025-08-07,24.1,24.32,23.21,23.74,1632400
2025-08-08,23.85,24.0,23.64,23.81,1054900
2025-08-11,23.8,23.91,23.51,23.76,1095700
2025-08-12,24.09,24.95,24.09,24.89,2131500
2025-08-13,24.89,24.99,24.48,24.98,1519300
2025-08-14,24.62,24.98,24.55,24.95,1327400
2025-08-15,25.0,25.37,24.8,25.01,1528900
2025-08-18,25.09,25.35,24.52,24.65,1391400
2025-08-19,24.7,24.75,23.9,23.9,1366300
2025-08-20,23.84,24.17,23.78,24.13,1504000
2025-08-21,23.96,24.16,23.7,24.14,886600
2025-08-22,24.3,25.11,24.3,24.98,1683100
2025-08-25,24.89,25.12,24.62,24.83,1286800
2025-08-26,25.0,25.23,24.6,24.69,1567400
2025-08-27,24.59,25.31,24.46,25.02,1659900
2025-08-28,25.059999,25.059999,24.37,24.61,1472600
2025-08-29,24.53,24.95,24.44,24.89,2075100
2025-09-02,24.65,25.01,24.45,24.78,1383000
2025-09-03,24.67,24.98,24.41,24.67,1515900
2025-09-04,24.67,24.8,24.23,24.62,1585500
2025-09-05,24.74,25.41,24.73,25.12,1799700
2025-09-08,24.9,24.9,21.33,21.39,7520300
2025-09-09,21.58,21.91,18.85,19.19,9608800
2025-09-10,19.21,19.33,17.94,17.96,9745200
2025-09-11,17.71,18.56,17.08,18.39,6825900
2025-09-12,18.39,18.43,17.65,17.79,4414800
2025-09-15,18.08,18.27,17.88,18.18,3701400
2025-09-16,18.19,18.29,17.83,18.16,2779800
2025-09-17,18.16,18.8,18.12,18.39,2524800
2025-09-18,18.5,18.87,18.26,18.75,2828300
2025-09-19,18.7,18.83,18.030001,18.08,7035700
2025-09-22,18.059999,18.3,17.78,18.13,2774900
2025-09-23,18.2,18.26,17.68,17.73,2910600
2025-09-24,17.76,17.81,17.3,17.42,2693900
2025-09-25,17.29,17.45,17.15,17.43,2471300
2025-09-26,17.4,18.34,17.38,17.65,3303300
2025-09-29,17.76,17.77,17.24,17.28,2331600
2025-09-30,17.31,17.57,17.1,17.46,2293900
2025-10-01,17.49,17.76,17.27,17.64,2954900
2025-10-02,17.78,18.65,17.72,18.64,2715900
2025-10-03,18.67,18.86,18.38,18.76,1642600
2025-10-06,18.92,20.11,18.81,20.02,3111800
2025-10-07,20.21,20.23,19.35,19.42,2730500
2025-10-08,19.57,19.86,19.35,19.75,1830900
2025-10-09,19.76,19.98,19.48,19.72,1953500
2025-10-10,19.72,19.73,18.12,18.38,3705700
2025-10-13,18.93,19.18,18.7,18.8,2533400
2025-10-14,18.45,19.26,18.35,19.030001,2046800
2025-10-15,19.24,19.54,18.84,19.23,1504200
2025-10-16,19.29,19.42,18.68,18.72,1622600
2025-10-17,18.49,18.8,18.39,18.58,1796900
2025-10-20,18.8,19.17,18.66,18.67,1609000
2025-10-21,19.11,19.72,18.88,18.98,3734200
2025-10-22,18.9,19.89,18.53,19.66,6517900
2025-10-23,17.83,19.0,17.5,18.19,6859700
2025-10-24,18.43,18.46,17.66,18.14,3082300
2025-10-27,18.15,18.4,17.44,17.95,3447800
2025-10-28,18.0,18.01,17.28,17.32,2336300
2025-10-29,17.4,17.43,16.83,16.93,2616400
2025-10-30,16.94,17.74,16.75,17.64,3928800
2025-10-31,17.47,19.25,17.42,19.15,5298000
2025-11-03,18.91,18.99,18.17,18.3,3448200
2025-11-04,18.3,18.47,17.76,17.82,1965100
2025-11-05,17.88,18.26,17.78,17.97,1468300
2025-11-06,17.82,17.82,16.88,16.9,1824200
2025-11-07,16.75,16.99,16.56,16.78,1697900
2025-11-10,17.030001,17.2,16.47,16.49,1785200
2025-11-11,16.49,16.97,16.48,16.74,2717000
2025-11-12,16.87,17.2,16.8,16.85,2865100
2025-11-13,16.67,17.02,16.48,16.69,1983000
2025-11-14,16.37,16.9,16.28,16.54,1854700
2025-11-17,16.42,16.58,16.18,16.27,1304100
2025-11-18,16.25,16.38,16.01,16.15,1378300
2025-11-19,16.2,16.38,15.96,16.2,1690700
2025-11-20,16.3,16.44,15.72,15.84,1491000
2025-11-21,15.89,16.21,15.65,16.049999,2083700
2025-11-24,16.08,16.38,15.96,16.32,2035300
2025-11-25,16.44,16.56,16.34,16.45,1178600
2025-11-26,16.43,16.55,16.35,16.44,1042400
2025-11-28,16.54,16.65,16.39,16.4,851800
2025-12-01,16.33,16.47,16.14,16.44,1384100
2025-12-02,16.52,16.84,16.31,16.7,2213800
2025-12-03,16.76,17.17,16.6,17.13,1626900
2025-12-04,17.18,17.83,17.11,17.54,2094900
2025-12-05,17.46,18.13,17.39,17.74,3823600
2025-12-08,18.02,18.14,17.46,17.8,2983100
2025-12-09,17.7,17.86,17.37,17.75,1575400
2025-12-10,17.74,19.29,17.54,18.86,4360100
2025-12-11,18.86,18.86,18.48,18.81,2866500
2025-12-12,18.93,19.32,18.64,18.73,2842000
2025-12-15,18.67,18.78,17.44,17.6,1843100
2025-12-16,17.56,17.72,16.7,16.87,2278200
2025-12-17,16.93,17.09,16.53,16.59,1747200
2025-12-18,16.72,16.85,16.3,16.56,1981500
2025-12-19,16.46,17.22,16.42,17.040001,18857800
2025-12-22,17.35,18.36,17.27,18.09,2445700
2025-12-23,17.76,17.98,17.42,17.59,1466900
2025-12-24,17.78,17.8,17.17,17.4,803300
2025-12-26,17.37,17.37,17.02,17.21,1000900
2025-12-29,17.059999,17.37,16.96,17.15,1638100
2025-12-30,17.2,17.67,17.08,17.51,1535500
2025-12-31,17.4,17.47,17.25,17.38,1380500
2026-01-02,17.52,17.97,17.31,17.76,1383600
2026-01-05,17.77,18.5,17.66,18.1,1533000
2026-01-06,18.16,18.76,18.1,18.48,1698000
2026-01-07,18.34,18.48,17.94,18.0,1608200
2026-01-08,18.01,19.18,18.01,18.55,1794600
2026-01-09,18.66,19.36,18.61,19.34,1770900
2026-01-12,19.5,19.73,19.1,19.56,2308100
2026-01-13,19.6,19.98,19.35,19.58,1864600
2026-01-14,19.45,19.88,19.15,19.69,1553800
2026-01-15,19.7,19.7,19.059999,19.27,2492200
2026-01-16,18.71,19.16,18.07,19.040001,2090100
2026-01-20,18.65,19.86,18.62,19.1,2910400
2026-01-21,19.45,20.059999,18.9,19.62,2148700
2026-01-22,21.0,22.1,20.51,21.79,5383200
2026-01-23,21.8,22.18,21.08,21.77,3229000
2026-01-26,21.74,21.77,20.41,20.74,2504400
2026-01-27,21.049999,21.34,20.65,21.2,1998700
2026-01-28,21.57,21.72,20.94,21.19,2388300
2026-01-29,21.15,21.53,20.51,20.9,2313800
2026-01-30,20.76,21.35,19.81,19.92,2132600
2026-02-02,19.68,20.19,19.36,19.77,2591500
