DateTime,Open,High,Low,Close,Volume
2015-11-27,1.88,1.91,1.87,1.88,3468500
2015-11-30,1.9,1.99,1.89,1.92,7251200
2015-12-01,1.93,2.06,1.92,2.05,8234100
2015-12-02,2.0,2.05,1.93,1.99,8273500
2015-12-03,2.02,2.05,1.94,2.01,9840600
2015-12-04,2.03,2.14,2.03,2.13,9926400
2015-12-07,2.08,2.11,1.96,2.0,8109800
2015-12-08,2.0,2.02,1.89,1.93,7526700
2015-12-09,1.97,2.0,1.91,1.96,6454700
2015-12-10,1.95,2.02,1.92,1.95,7539000
2015-12-11,1.93,2.07,1.91,2.02,11727800
2015-12-14,1.99,2.0,1.85,1.87,10605200
2015-12-15,1.92,1.92,1.81,1.89,8800100
2015-12-16,1.93,1.95,1.83,1.94,11101300
2015-12-17,1.86,1.86,1.75,1.78,8303800
2015-12-18,1.84,1.94,1.79,1.88,16262500
2015-12-21,1.9,1.95,1.87,1.9,8518100
2015-12-22,1.87,1.92,1.86,1.9,6370000
2015-12-23,1.89,1.94,1.88,1.89,5708600
2015-12-24,1.9,1.97,1.9,1.95,4001800
2015-12-28,1.92,1.94,1.82,1.83,4893000
2015-12-29,1.88,1.92,1.83,1.87,5738000
2015-12-30,1.83,1.87,1.81,1.83,5548000
2015-12-31,1.82,1.84,1.78,1.82,5319500
2016-01-04,1.85,1.91,1.83,1.89,7064200
2016-01-05,1.9,1.91,1.84,1.85,6007000
2016-01-06,1.88,1.94,1.85,1.87,11064200
2016-01-07,1.91,2.02,1.87,2.0,16252100
2016-01-08,1.92,1.94,1.83,1.87,14649200
2016-01-11,1.88,1.9,1.68,1.72,12892900
2016-01-12,1.7,1.71,1.62,1.66,10220400
2016-01-13,1.66,1.73,1.62,1.68,10842900
2016-01-14,1.62,1.65,1.55,1.6,8526900
2016-01-15,1.65,1.65,1.48,1.48,11368800
2016-01-19,1.53,1.54,1.31,1.38,17770700
2016-01-20,1.42,1.51,1.41,1.49,11951900
2016-01-21,1.43,1.53,1.39,1.52,9999500
2016-01-22,1.49,1.58,1.46,1.56,15924400
2016-01-25,1.58,1.63,1.51,1.54,12268800
2016-01-26,1.57,1.65,1.56,1.64,13427500
2016-01-27,1.64,1.69,1.59,1.67,8847800
2016-01-28,1.64,1.67,1.59,1.59,6398700
2016-01-29,1.59,1.68,1.58,1.64,6462300
2016-02-01,1.67,1.73,1.66,1.73,8546900
2016-02-02,1.69,1.74,1.62,1.65,5787700
2016-02-03,1.68,1.82,1.67,1.82,14268100
2016-02-04,1.87,2.14,1.87,2.03,20882400
2016-02-05,1.96,2.35,1.92,2.3,19849000
2016-02-08,2.54,2.59,2.43,2.44,28140400
2016-02-09,2.49,2.59,2.37,2.43,31122500
2016-02-10,2.38,2.58,2.3,2.57,17205700
2016-02-11,2.93,3.08,2.78,2.9,37840400
2016-02-12,2.8,3.02,2.77,3.0,22119700
2016-02-16,2.76,3.02,2.71,2.72,26856600
2016-02-17,2.77,2.84,2.66,2.81,16404600
2016-02-18,2.74,3.15,2.72,3.02,23057500
2016-02-19,2.97,3.11,2.92,2.97,14240900
2016-02-22,2.87,3.02,2.85,3.0,15206100
2016-02-23,3.06,3.12,3.01,3.07,10958300
2016-02-24,3.2,3.36,3.08,3.18,18908300
2016-02-25,2.91,3.0,2.89,2.98,29674900
2016-02-26,2.87,2.99,2.84,2.9,22678600
2016-02-29,2.94,3.0,2.91,2.94,15799000
2016-03-01,2.98,2.99,2.82,2.88,19958500
2016-03-02,2.87,2.94,2.84,2.9,13756800
2016-03-03,2.9,3.17,2.9,3.07,29300300
2016-03-04,3.07,3.2,2.95,2.99,34046900
2016-03-07,3.08,3.13,2.97,3.02,21601600
2016-03-08,3.05,3.11,2.78,2.86,18513500
2016-03-09,2.8,2.94,2.68,2.86,23083000
