DateTime,Open,High,Low,Close,Volume
2010-07-16,10.25,10.33,9.4,9.69,428400
2010-07-19,9.95,9.97,9.68,9.79,272600
2010-07-20,10.18,10.18,8.83,9.25,3116500
2010-07-21,9.26,9.29,8.64,8.8,746800
2010-07-22,8.8,9.35,8.8,9.3,2691700
2010-07-23,9.28,9.5,9.28,9.5,257400
2010-07-26,9.98,9.98,9.62,9.69,1613300
2010-07-27,9.9,10.18,9.65,9.85,1159800
2010-07-28,9.95,10.02,9.56,9.59,789200
2010-07-29,9.71,9.76,9.35,9.48,626300
2010-07-30,9.52,9.52,9.02,9.05,2072200
2010-08-02,9.49,9.84,9.19,9.44,1033000
2010-08-03,9.5,9.59,9.3,9.53,367200
2010-08-04,9.54,9.63,9.44,9.54,2207600
2010-08-05,9.6,9.97,9.6,9.9,3230900
2010-08-06,9.88,9.9,9.66,9.86,533700
2010-08-09,10.0,10.01,9.8,9.89,1148400
2010-08-10,9.93,9.94,9.8,9.83,268000
2010-08-11,9.81,9.85,9.57,9.82,668000
2010-08-12,9.8,10.14,9.71,10.06,797700
2010-08-13,10.11,10.18,9.98,10.16,1260200
2010-08-16,10.04,10.1,9.95,9.99,1045000
2010-08-17,10.0,10.42,9.99,10.39,257800
2010-08-18,10.85,10.85,10.2,10.54,2045000
2010-08-19,10.55,10.7,10.3,10.42,1918700
2010-08-20,10.41,10.47,10.26,10.3,115800
2010-08-23,10.34,10.39,10.11,10.11,2008000
2010-08-24,10.03,10.25,9.93,10.17,615800
2010-08-25,10.18,10.2,10.0,10.12,1014200
2010-08-26,10.04,10.16,10.02,10.06,274700
2010-08-27,10.1,10.26,10.0,10.23,595800
2010-08-30,10.18,10.21,9.96,10.04,518100
2010-08-31,10.0,10.08,9.92,10.02,1000400
2010-09-01,10.12,10.77,10.06,10.24,1323600
2010-09-02,10.17,10.29,10.05,10.21,1362900
2010-09-03,10.25,10.29,10.15,10.25,444600
2010-09-07,10.11,10.35,10.11,10.25,1210400
2010-09-08,10.24,10.74,9.77,10.25,1662200
2010-09-09,10.23,10.3,10.08,10.17,436300
2010-09-10,10.17,10.25,10.04,10.16,956500
2010-09-13,10.24,10.29,10.05,10.28,1713200
2010-09-14,10.2,10.29,10.05,10.11,358400
2010-09-15,10.11,10.25,10.05,10.18,451500
2010-09-16,10.08,10.24,10.08,10.2,423000
2010-09-17,10.25,10.25,10.08,10.2,275900
2010-09-20,10.2,10.21,10.05,10.11,760700
2010-09-21,10.1,10.23,10.01,10.1,1372400
2010-09-22,10.07,10.35,10.02,10.25,1076700
2010-09-23,10.23,10.4,10.1,10.28,782000
2010-09-24,10.27,10.69,10.27,10.64,338800
2010-09-27,10.68,11.0,10.5,10.68,1024800
2010-09-28,10.76,10.79,10.41,10.49,16616300
2010-09-29,10.35,10.65,10.26,10.6,761500
2010-09-30,10.65,11.0,10.4,10.6,984400
2010-10-01,10.65,10.9,10.62,10.84,1459600
2010-10-04,10.85,10.92,10.73,10.73,866000
2010-10-05,10.7,10.93,10.66,10.83,1475600
2010-10-06,10.78,10.87,10.4,10.5,999800
2010-10-07,10.49,10.63,10.4,10.58,292200
2010-10-08,10.63,11.18,10.63,11.1,3009900
2010-10-11,11.12,11.12,10.81,11.0,1111000
2010-10-12,11.0,11.43,11.0,11.29,1068400
2010-10-13,11.33,11.55,11.2,11.36,1899600
2010-10-14,11.28,11.35,11.09,11.2,697700
2010-10-15,11.18,11.25,10.95,10.98,354400
2010-10-18,11.0,11.23,10.98,11.22,290900
2010-10-19,11.15,11.24,10.85,10.95,311600
2010-10-20,10.94,11.44,10.94,11.38,330100
2010-10-21,11.54,12.18,11.41,11.8,3246300
2010-10-22,11.77,12.0,11.74,11.76,1105600
2010-10-25,11.94,12.12,11.88,11.96,839600
2010-10-26,11.99,12.01,11.77,11.93,729200
2010-10-27,11.97,12.25,11.81,12.11,1082300
2010-10-28,12.26,12.62,11.19,12.36,2549200
2010-10-29,12.02,12.97,11.75,12.68,2954200
2010-11-01,12.84,12.94,12.41,12.51,1660700
2010-11-02,12.64,12.79,12.43,12.65,1176400
2010-11-03,12.7,12.78,12.4,12.7,1136800
2010-11-04,13.0,13.45,12.8,13.39,2631400
2010-11-05,13.2,13.75,13.11,13.25,4006000
2010-11-08,13.2,13.34,13.16,13.22,625200
2010-11-09,13.12,13.46,12.62,12.76,1443400
2010-11-10,12.85,13.05,12.84,12.93,1195000
2010-11-11,12.97,13.41,12.89,13.27,1579500
2010-11-12,13.25,13.32,12.94,13.2,822000
2010-11-15,13.21,13.35,12.98,13.04,848300
2010-11-16,12.91,12.95,12.65,12.74,941500
2010-11-17,12.79,12.79,12.65,12.65,252500
2010-11-18,12.85,12.99,12.65,12.75,4297700
2010-11-19,12.75,12.93,12.65,12.8,752100
2010-11-22,12.85,13.03,12.75,12.78,1638000
2010-11-23,12.67,12.81,12.6,12.76,1066900
2010-11-24,12.83,12.89,12.73,12.84,686500
2010-11-26,12.79,12.94,12.68,12.83,541600
2010-11-29,13.35,13.35,12.5,12.74,1261000
2010-11-30,12.73,12.75,12.57,12.58,1024500
2010-12-01,12.94,12.94,12.52,12.65,1510300
2010-12-02,12.62,12.85,12.62,12.77,751300
2010-12-03,12.75,12.9,12.74,12.77,892600
2010-12-06,12.88,12.95,12.8,12.89,1192500
2010-12-07,12.96,13.12,12.94,13.07,2362900
2010-12-08,13.07,13.28,12.99,13.28,1915700
2010-12-09,13.4,13.54,13.24,13.38,2391300
2010-12-10,13.48,13.48,13.29,13.41,3214700
2010-12-13,13.41,13.46,13.3,13.44,1621400
2010-12-14,13.46,13.5,13.31,13.47,2293100
2010-12-15,13.5,13.7,13.48,13.55,1770400
2010-12-16,13.44,13.56,13.25,13.33,928300
2010-12-17,13.46,13.49,13.26,13.38,1267500
2010-12-20,13.45,13.75,13.38,13.57,1483300
2010-12-21,13.68,14.56,13.68,14.49,3073400
2010-12-22,14.68,14.81,14.32,14.53,2026000
2010-12-23,14.6,14.6,14.39,14.5,668400
2010-12-27,14.42,14.51,14.15,14.42,514400
2010-12-28,14.43,14.46,14.1,14.15,1247000
2010-12-29,14.15,14.49,14.0,14.4,759400
2010-12-30,14.49,14.66,14.33,14.33,1190800
2010-12-31,14.43,14.55,14.09,14.2,1102300
2011-01-03,14.43,14.52,14.35,14.5,2419800
2011-01-04,14.5,14.68,14.23,14.45,1251100
2011-01-05,14.41,15.2,14.15,15.14,1623200
2011-01-06,15.06,15.29,14.83,15.23,2225800
2011-01-07,15.3,15.4,14.93,14.97,1006800
2011-01-10,15.04,15.2,14.91,15.09,1454400
2011-01-11,15.48,15.5,14.82,15.0,1286100
2011-01-12,15.1,15.3,15.06,15.22,1177800
2011-01-13,15.32,15.65,15.15,15.65,3658800
2011-01-14,15.6,15.82,15.52,15.68,2173900
2011-01-18,15.76,15.76,15.33,15.7,1752200
2011-01-19,15.69,15.89,15.0,15.25,1715800
2011-01-20,15.07,15.2,14.75,15.04,1655500
2011-01-21,15.02,15.27,14.95,15.11,1569200
2011-01-24,15.09,15.37,14.98,15.07,1480600
2011-01-25,15.0,15.09,14.72,14.83,3208600
2011-01-26,14.9,15.09,14.63,14.96,1687800
2011-01-27,15.07,15.1,14.86,14.98,1905000
2011-01-28,15.0,15.04,14.66,14.99,3132400
2011-01-31,14.95,15.09,14.9,14.99,4372500
2011-02-01,15.05,15.95,15.0,15.54,4053600
2011-02-02,15.6,16.25,15.57,15.98,2972900
2011-02-03,16.32,16.76,16.0,16.61,3770400
2011-02-04,16.71,17.07,16.41,16.99,2063300
2011-02-07,17.09,17.11,16.53,16.78,2559600
2011-02-08,16.61,16.69,16.2,16.29,2210100
2011-02-09,16.22,16.36,15.93,16.24,1715200
2011-02-10,16.03,16.47,15.9,16.17,1219600
