DateTime,Open,High,Low,Close,Volume
2021-07-12,3.01,3.05,2.94,2.96,3940200
2021-07-13,2.95,2.96,2.79,2.8,8668000
2021-07-14,2.85,2.92,2.62,2.63,9225400
2021-07-15,2.56,2.68,2.46,2.49,7989000
2021-07-16,2.56,2.6,2.3,2.31,9579900
2021-07-19,2.25,2.31,2.16,2.26,9296600
2021-07-20,2.29,2.38,2.24,2.28,8988500
2021-07-21,2.36,2.5,2.31,2.43,11475700
2021-07-22,2.48,2.49,2.27,2.27,7478500
2021-07-23,2.34,2.35,2.21,2.24,5134700
2021-07-26,2.24,2.38,2.24,2.28,5410000
2021-07-27,2.3,2.32,2.13,2.19,5967200
2021-07-28,2.22,2.35,2.18,2.33,4623600
2021-07-29,2.38,2.41,2.33,2.37,6340200
2021-07-30,2.33,2.36,2.25,2.31,4335300
2021-08-02,2.31,2.43,2.23,2.24,5159600
2021-08-03,2.24,2.28,2.16,2.21,5649600
2021-08-04,2.17,2.2,2.04,2.05,8148800
2021-08-05,2.09,2.33,2.07,2.25,8620300
2021-08-06,2.29,2.34,2.22,2.29,4797500
2021-08-09,2.2,2.22,2.12,2.14,7743400
2021-08-10,2.16,2.25,2.15,2.23,5251800
2021-08-11,2.2,2.28,2.17,2.25,5360100
2021-08-12,2.22,2.26,2.17,2.21,3716700
2021-08-13,2.21,2.25,2.17,2.18,6237600
2021-08-16,2.1,2.13,2.06,2.07,5233600
2021-08-17,2.05,2.1,2.0,2.02,4387000
2021-08-18,2.04,2.08,1.96,1.96,5097500
2021-08-19,1.9,1.93,1.8,1.84,7815800
2021-08-20,1.81,2.0,1.81,1.98,6768100
2021-08-23,2.08,2.2,2.08,2.16,6644200
2021-08-24,2.2,2.26,2.14,2.2,6074500
2021-08-25,2.21,2.3,2.16,2.28,4249900
2021-08-26,2.26,2.27,2.16,2.16,3241700
2021-08-27,2.22,2.37,2.21,2.33,5424200
2021-08-30,2.37,2.38,2.24,2.3,4371400
2021-08-31,2.29,2.37,2.27,2.36,3903100
2021-09-01,2.36,2.39,2.26,2.37,5193300
2021-09-02,2.4,2.52,2.38,2.42,3811400
2021-09-03,2.43,2.44,2.33,2.39,2431200
