DateTime,Open,High,Low,Close,Volume
2014-12-12,120.5,127.75,116.7,123.45,2581680
2014-12-15,130.95,138.95,123.85,124.85,1983940
2014-12-16,128.45,132.25,122.0,130.0,1064320
2014-12-17,132.0,139.9,130.8,139.5,1845840
2014-12-18,145.0,146.45,132.85,134.7,1559900
2014-12-19,135.9,137.25,120.45,126.05,1686260
2014-12-22,129.5,130.0,120.0,120.3,675960
2014-12-23,118.85,122.05,111.6,115.4,777120
2014-12-24,117.5,127.5,113.35,126.6,532560
2014-12-26,127.25,130.75,127.0,128.7,519880
2014-12-29,129.15,129.4,122.65,124.9,402000
2014-12-30,126.15,132.5,121.5,129.15,487540
2014-12-31,130.0,131.0,125.55,126.5,285560
2015-01-02,127.1,128.9,122.0,124.65,176360
2015-01-05,123.15,123.85,116.4,120.0,567700
2015-01-06,120.75,120.85,112.0,114.45,643980
2015-01-07,116.35,120.0,112.75,114.4,833960
2015-01-08,115.55,118.9,114.75,115.8,716020
2015-01-09,116.75,118.8,113.5,115.05,421640
2015-01-12,112.8,113.35,103.4,105.05,842680
2015-01-13,105.15,109.0,95.75,105.65,946060
2015-01-14,104.95,107.8,97.5,105.3,767860
2015-01-15,112.05,114.95,107.9,110.45,685980
2015-01-16,110.45,111.35,108.15,110.45,240260
2015-01-20,110.5,111.15,107.55,110.35,356620
2015-01-21,110.15,110.25,100.75,100.85,671040
2015-01-22,101.1,103.8,96.65,97.45,685540
2015-01-23,96.3,97.2,93.15,95.4,693460
2015-01-26,95.4,100.415,95.0,99.95,400140
2015-01-27,98.65,103.4,98.15,102.95,332220
2015-01-28,104.0,104.2,99.65,100.4,398620
2015-01-29,99.7,99.89,94.45,97.2,478280
2015-01-30,96.2,96.92,93.5,93.85,517900
2015-02-02,93.85,98.75,91.5,96.3,298500
2015-02-03,104.05,104.05,98.2,101.45,595680
2015-02-04,100.65,102.75,99.3,100.3,296740
2015-02-05,101.7,103.6,99.5,101.4,214020
2015-02-06,103.05,104.4,100.9,102.15,214340
2015-02-09,101.95,109.25,101.95,108.0,401860
2015-02-10,108.0,108.9,104.25,106.3,234120
2015-02-11,106.15,114.0,106.0,110.75,398600
2015-02-12,111.5,111.5,105.25,107.35,309800
2015-02-13,107.5,110.275,105.6,109.75,255860
2015-02-17,110.4,113.4,110.0,112.5,190800
2015-02-18,113.1,117.2,112.7,113.4,374100
2015-02-19,113.45,114.35,109.15,110.2,449060
2015-02-20,110.0,115.2,110.0,114.45,311320
2015-02-23,114.5,122.5,114.15,118.8,731180
2015-02-24,119.1,122.25,112.1,118.25,969500
2015-02-25,105.5,106.7,97.5,102.55,3027580
2015-02-26,102.25,106.9,100.95,106.45,879700
2015-02-27,106.95,108.745,100.45,101.85,602140
2015-03-02,102.7,105.85,99.0,100.0,507080
2015-03-03,100.3,101.5,98.3,100.15,383620
2015-03-04,98.65,100.55,96.4,100.4,351760
2015-03-05,100.3,100.95,98.25,99.3,273980
2015-03-06,98.9,101.7,98.85,100.1,326380
2015-03-09,100.6,100.65,96.5,99.2,549060
2015-03-10,97.55,98.04,95.25,97.6,244160
2015-03-11,96.75,98.1,95.5,97.75,285020
2015-03-12,97.05,97.95,96.1,97.65,316060
2015-03-13,96.65,97.55,95.05,95.35,381080
2015-03-16,95.1,96.4,93.0,96.25,453440
2015-03-17,94.55,96.3,94.0,96.0,314420
2015-03-18,95.3,96.75,93.45,95.85,462100
2015-03-19,95.85,100.5,95.75,99.6,360100
2015-03-20,99.2,101.0,99.05,100.45,800360
2015-03-23,100.5,104.55,99.35,104.1,360560
2015-03-24,104.6,105.75,101.25,101.55,318820
2015-03-25,101.8,102.5,97.55,98.65,461240
2015-03-26,98.6,98.9,97.25,97.45,327720
2015-03-27,97.2,98.65,96.25,97.75,360000
2015-03-30,98.05,99.15,96.5,96.8,375520
2015-03-31,96.0,99.9,95.25,98.25,891980
2015-04-01,98.1,98.5,95.075,95.45,322720
2015-04-02,95.55,97.4,95.15,96.3,183060
2015-04-06,95.8,97.7,95.5,97.0,182580
2015-04-07,96.85,97.1,95.55,95.8,240700
2015-04-08,95.8,97.3,95.125,95.3,224560
2015-04-09,95.4,95.655,91.9,92.0,631220
2015-04-10,92.65,93.45,89.9,90.95,546360
2015-04-13,91.55,91.55,88.05,90.2,454200
2015-04-14,92.55,94.95,92.0,94.0,703040
2015-04-15,94.15,97.25,93.1,96.95,714820
2015-04-16,97.5,98.7,96.35,97.55,367260
2015-04-17,97.1,97.5,95.15,96.1,394220
2015-04-20,96.4,97.5,94.85,96.95,266460
2015-04-21,98.0,99.25,96.3,96.75,215460
2015-04-22,96.65,97.1,94.65,95.05,144520
2015-04-23,95.05,95.075,92.6,94.15,292860
2015-04-24,95.0,95.1,90.8,91.35,317620
2015-04-27,91.75,92.45,89.95,90.25,307700
2015-04-28,90.45,91.25,89.05,90.1,229040
2015-04-29,90.0,90.3,86.0,88.35,363740
2015-04-30,88.35,89.6,86.3,87.25,371580
2015-05-01,87.25,89.65,85.8,89.35,304620
2015-05-04,89.5,93.2,88.7,92.45,678520
2015-05-05,92.35,92.35,85.8,87.9,997320
2015-05-06,91.45,95.45,89.05,91.55,1925400
2015-05-07,92.15,93.1,85.35,86.5,968260
2015-05-08,87.25,88.3,80.85,81.15,1097820
2015-05-11,81.35,86.25,81.03,84.2,750640
2015-05-12,84.0,85.95,84.0,85.8,309240
2015-05-13,86.1,86.8,84.15,85.25,415320
2015-05-14,84.85,86.15,84.3,85.55,301340
2015-05-15,85.25,86.2,83.65,86.05,317540
2015-05-18,86.2,87.25,84.7,86.8,342000
2015-05-19,87.25,88.9,86.95,88.1,555980
2015-05-20,91.5,91.6,86.83,88.3,923060
2015-05-21,88.45,89.6,86.8,89.5,385000
2015-05-22,89.3,92.45,89.1,92.15,901880
2015-05-26,93.15,94.15,90.75,92.3,644680
2015-05-27,93.0,95.25,92.0,95.0,734000
2015-05-28,95.0,95.4,93.4,95.0,367880
2015-05-29,94.85,96.8,94.0,96.05,559500
2015-06-01,96.45,97.4,93.5,95.4,718920
2015-06-02,95.05,95.6,94.04,94.9,810820
2015-06-03,95.0,97.15,94.65,96.65,1072480
2015-06-04,96.35,96.35,90.0,91.6,1344040
2015-06-05,91.5,93.6,91.1,93.6,510400
2015-06-08,94.5,94.5,86.35,87.3,1843320
2015-06-09,85.0,87.1,82.15,84.85,4040640
