DateTime,Open,High,Low,Close,Volume
2000-01-04,7.7126,7.8663,7.7126,7.7741,548163
2000-01-05,7.7741,7.897,7.7741,7.8048,222723
2000-01-06,7.7741,7.8355,7.7126,7.8048,511144
2000-01-07,7.8048,8.0199,7.7741,7.9585,914283
2000-01-10,7.9585,8.1121,7.8663,8.0199,2106004
2000-01-11,8.0506,8.0506,7.8663,7.8663,580504
2000-01-12,7.9892,8.1428,7.7434,7.9277,908588
2000-01-13,8.0506,8.235,8.0506,8.1121,312016
2000-01-14,8.1735,8.3579,8.1428,8.1428,401308
2000-01-18,8.1735,8.2043,8.0814,8.0814,681593
2000-01-19,7.897,8.1735,7.897,8.0199,449514
2000-01-20,8.0199,8.1121,7.9892,8.0814,677322
2000-01-21,8.0506,8.1121,7.9277,8.0199,1111378
2000-01-24,8.0199,8.1121,7.9892,8.0199,1095512
2000-01-25,8.0506,8.0814,7.9277,7.9585,1067647
2000-01-26,8.0199,8.0199,7.897,7.9277,1342033
2000-01-27,7.9277,8.0506,7.897,7.9585,817668
2000-01-28,8.0199,8.0199,7.7434,7.7434,649253
2000-01-31,7.8663,7.9277,7.8048,7.8355,455209
2000-02-01,7.8663,7.9277,7.8355,7.8663,639693
2000-02-02,7.8663,7.897,7.8355,7.8663,311812
2000-02-03,7.897,8.3579,7.8663,8.0506,642744
2000-02-04,8.0814,8.235,8.0199,8.1735,2411510
2000-02-07,8.1121,8.235,7.9892,8.0199,1357085
2000-02-08,7.9585,8.4808,7.9277,7.9277,475142
2000-02-09,8.0506,8.1735,8.0506,8.1428,359815
2000-02-10,8.1121,8.1121,7.897,7.9585,538400
2000-02-11,7.897,7.9277,7.7741,7.7741,303676
2000-02-14,7.8663,7.8663,7.7434,7.8048,243470
2000-02-15,7.8048,8.1735,7.8048,8.1735,582538
2000-02-16,8.0506,8.0814,7.8663,7.8663,217638
2000-02-17,7.897,9.1568,7.897,8.3272,2888280
2000-02-18,8.4194,8.6037,8.0506,8.1735,939505
2000-02-22,8.235,8.2965,8.0199,8.0199,529450
2000-02-23,8.0199,8.0506,7.7434,7.8355,1203111
2000-02-24,7.9585,7.9585,7.4975,7.7434,829872
2000-02-25,7.7434,7.7434,7.6512,7.6819,265844
2000-02-28,7.6512,7.8355,7.5897,7.8355,236351
2000-02-29,7.7126,8.1121,7.7126,8.1121,278861
2000-03-01,8.0814,8.2965,8.0199,8.2965,319541
2000-03-02,8.2965,8.4194,8.2657,8.2965,262996
2000-03-03,8.4194,8.6037,8.3579,8.3886,333373
2000-03-06,8.3886,8.5423,8.1735,8.3272,320965
2000-03-07,8.2043,8.3886,7.9892,7.9892,192010
2000-03-08,8.0506,8.2043,8.0506,8.1428,340492
2000-03-09,7.9892,8.2965,7.9892,8.2965,233300
2000-03-10,8.2965,8.4194,8.1735,8.2965,361442
2000-03-13,8.1121,8.3886,8.1121,8.2657,242453
2000-03-14,8.2043,8.4501,8.2043,8.2965,206248
2000-03-15,8.2965,9.0647,8.2043,8.8496,772310
2000-03-16,8.8803,9.7714,8.8803,9.4027,1270233
2000-03-17,9.7099,10.2016,9.6485,10.2016,1285691
2000-03-20,10.1401,10.4474,9.9865,10.4474,706408
2000-03-21,10.4781,10.4781,10.0787,10.263,953539
2000-03-22,10.2323,10.2938,10.0479,10.0787,778005
2000-03-23,10.0787,10.4167,10.0787,10.3859,970421
2000-03-24,10.3859,10.4167,10.0172,10.3552,787361
2000-03-27,10.3245,10.3245,10.1401,10.263,358798
2000-03-28,10.263,10.2938,10.0787,10.1401,521111
2000-03-29,10.1401,10.1708,10.0787,10.1094,317304
2000-03-30,10.1094,10.5396,10.0787,10.2938,1125616
2000-03-31,10.3245,10.6932,10.2938,10.6625,569113
2000-04-03,10.5703,10.601,9.8636,10.1401,997474
2000-04-04,10.3859,10.3859,9.6485,9.6485,626065
2000-04-05,9.5256,10.263,9.5256,10.0787,936250
2000-04-06,10.1708,10.263,10.0479,10.0479,398054
2000-04-07,10.0787,10.2323,10.0479,10.0787,581927
2000-04-10,10.0172,10.1708,9.9558,9.9558,569520
2000-04-11,9.9865,9.9865,9.7714,9.8021,518873
2000-04-12,9.8328,10.3552,9.8328,10.0787,531891
2000-04-13,10.1708,10.2938,10.1094,10.1094,250385
2000-04-14,10.1708,10.1708,9.3105,9.3719,593928
2000-04-17,9.249,9.3412,9.0339,9.1568,651897
2000-04-18,9.1568,9.6485,9.0032,9.6485,540637
2000-04-19,9.5256,9.6485,9.4641,9.5563,292082
2000-04-20,9.5256,9.7714,9.4027,9.6485,321779
2000-04-24,9.6485,9.6792,9.3412,9.3412,259335
2000-04-25,9.4641,9.587,9.3412,9.4948,615692
2000-04-26,9.4641,9.4641,9.2183,9.249,275404
2000-04-27,9.3412,9.3412,9.2183,9.3105,303880
2000-04-28,9.3412,9.3719,8.9417,9.1568,622201
2000-05-01,9.2183,9.4334,9.2183,9.2797,187738
2000-05-02,9.1568,9.249,8.9725,9.0032,361035
2000-05-03,8.911,9.2797,8.7881,9.0339,725121
2000-05-04,8.9725,9.2797,8.9725,9.0954,319745
2000-05-05,8.9725,9.249,8.9725,9.249,540841
2000-05-08,9.1876,9.1876,8.8188,8.8496,363476
2000-05-09,8.911,9.1876,8.8496,8.911,884993
2000-05-10,9.0032,9.0032,8.6037,8.6037,443412
2000-05-11,8.7266,9.2797,8.7266,9.0954,519484
2000-05-12,9.1568,9.4027,8.9417,9.2183,316084
2000-05-15,9.0954,9.3105,8.9417,9.3105,233503
2000-05-16,9.3105,9.4948,9.1568,9.4641,394189
2000-05-17,9.3412,9.4948,9.2183,9.3412,482872
2000-05-18,9.2797,9.4334,9.1568,9.1568,316287
2000-05-19,8.8496,8.9417,8.6037,8.8496,501788
2000-05-22,8.9725,8.9725,8.5423,8.8496,226181
2000-05-23,8.7266,8.7881,8.573,8.7266,194654
2000-05-24,8.8188,9.3105,8.7266,9.1876,670203
2000-05-25,9.3105,9.4948,9.1568,9.1568,897401
2000-05-26,9.2797,9.2797,8.8803,9.0032,181229
2000-05-30,9.1261,9.3719,9.0954,9.3412,200756
2000-05-31,9.249,9.587,9.249,9.2797,287201
2000-06-01,9.4641,9.4948,8.7881,8.8496,375070
2000-06-02,9.0954,9.8021,9.0954,9.6792,1280403
2000-06-05,9.6792,9.6792,9.3412,9.4948,476159
2000-06-06,9.4027,9.6177,9.4027,9.587,500974
2000-06-07,9.5256,9.5256,9.249,9.3412,315067
2000-06-08,9.3412,9.4334,9.2797,9.3719,214384
2000-06-09,9.4334,9.6177,9.3412,9.587,351882
2000-06-12,9.4027,9.4948,9.0339,9.1261,247945
2000-06-13,9.0339,9.587,9.0339,9.587,384223
2000-06-14,9.4641,9.7407,9.4027,9.6177,284963
2000-06-15,9.6177,9.7714,9.5256,9.6792,419411
2000-06-16,9.8021,9.8021,9.249,9.3412,257098
2000-06-19,9.249,9.6485,9.249,9.6485,176551
2000-06-20,9.587,9.6177,9.2183,9.2183,127125
2000-06-21,9.4641,9.4641,9.0954,9.1261,184891
2000-06-22,9.1568,9.2183,9.0032,9.0647,254860
2000-06-23,9.0954,9.0954,9.0032,9.0032,285167
2000-06-26,9.0032,9.1261,9.0032,9.0647,199535
2000-06-27,9.0032,9.7099,9.0032,9.4641,477176
2000-06-28,9.4334,9.5563,9.1568,9.3719,213773
2000-06-29,9.9558,10.1094,9.8943,10.0172,1286708
2000-06-30,9.8943,10.0172,9.4027,9.9634,1111988
2000-07-03,9.8021,10.0172,9.6792,9.9865,281099
2000-07-05,10.1401,10.6932,10.0787,10.6625,1254164
2000-07-06,10.601,11.4307,10.601,10.6932,3562958
2000-07-07,10.939,12.0145,10.7854,11.0005,6655045
2000-07-10,11.0005,11.277,10.7239,10.7239,1278979
2000-07-11,10.7239,10.939,10.6932,10.7854,839635
2000-07-12,10.9083,11.3692,10.8469,11.3692,888044
2000-07-13,11.2463,11.3692,11.1234,11.2463,620167
2000-07-14,11.2463,11.4307,11.2463,11.3078,527416
2000-07-17,11.5229,11.5229,11.3078,11.3385,285167
2000-07-18,11.2463,11.277,10.9083,11.0619,244690
2000-07-19,11.1849,11.2156,10.9698,11.0619,243470
2000-07-20,11.1541,11.277,11.0927,11.2156,142787
2000-07-21,11.277,11.615,11.231,11.5536,862009
2000-07-24,11.5536,11.6458,11.1849,11.4,590063
2000-07-25,11.3385,11.615,11.3078,11.5843,836584
2000-07-26,11.5229,11.5229,11.4,11.4614,280489
2000-07-27,11.4921,11.7072,11.4,11.615,454192
2000-07-28,11.5536,11.7994,11.4,11.4307,434462
2000-07-31,11.5229,11.8916,11.5229,11.7994,833330
2000-08-01,11.8301,12.1067,11.7994,12.076,796921
2000-08-02,11.9838,12.0452,11.7687,11.7687,875434
2000-08-03,11.615,12.0452,11.615,12.0452,650270
