DateTime,Open,High,Low,Close,Volume
2003-03-25,0.68,0.75,0.68,0.75,10800
2003-03-26,0.75,0.75,0.7,0.7,28400
2003-03-27,0.65,0.725,0.65,0.7,38400
2003-03-28,0.7,0.75,0.68,0.705,29800
2003-03-31,0.7,0.74,0.7,0.74,11800
2003-04-01,0.725,0.725,0.7,0.7,600
2003-04-02,0.75,0.75,0.65,0.725,3800
2003-04-03,0.7,0.7,0.675,0.695,26800
2003-04-04,0.695,0.695,0.695,0.695,2600
2003-04-07,0.695,0.695,0.695,0.695,430000
2003-04-08,0.725,0.73,0.7,0.725,65400
2003-04-09,0.725,0.725,0.72,0.725,28400
2003-04-10,0.715,0.715,0.625,0.7,47200
2003-04-11,0.675,0.755,0.675,0.725,181800
2003-04-14,0.725,0.75,0.725,0.75,23400
2003-04-15,0.73,0.875,0.73,0.875,193200
2003-04-16,0.85,0.925,0.85,0.9,178000
2003-04-17,0.875,0.97,0.875,0.97,379400
2003-04-21,0.975,0.975,0.9,0.925,22600
2003-04-22,0.9,0.925,0.9,0.925,39400
2003-04-23,0.895,0.915,0.895,0.915,55600
2003-04-24,0.885,0.9,0.88,0.88,18800
2003-04-25,0.88,0.91,0.88,0.905,59800
2003-04-28,0.92,0.95,0.92,0.94,82000
2003-04-29,0.95,0.95,0.935,0.94,45800
2003-04-30,0.95,0.95,0.905,0.93,75800
2003-05-01,0.925,0.925,0.885,0.885,27800
2003-05-02,0.89,0.925,0.89,0.9,8200
2003-05-05,0.9,0.96,0.9,0.935,175400
2003-05-06,0.95,0.95,0.9,0.905,33600
2003-05-07,0.905,0.94,0.825,0.94,27400
2003-05-08,0.95,0.95,0.94,0.94,10800
2003-05-09,0.96,1.09,0.95,1.025,171600
2003-05-12,1.11,1.125,1.0,1.095,146000
2003-05-13,1.075,1.11,1.055,1.1,53800
2003-05-14,1.105,1.11,1.075,1.11,7800
2003-05-15,1.11,1.15,1.105,1.135,161200
2003-05-16,1.155,1.225,1.125,1.19,272000
2003-05-19,1.215,1.265,1.2,1.265,108000
2003-05-20,1.3,1.475,1.3,1.375,395200
2003-05-21,1.41,1.465,1.28,1.37,248200
2003-05-22,1.425,1.45,1.375,1.445,67600
2003-05-23,1.43,1.43,1.405,1.41,43200
2003-05-27,1.45,1.47,1.35,1.35,65600
2003-05-28,1.325,1.375,1.28,1.315,112600
2003-05-29,1.3,1.35,1.295,1.325,44600
2003-05-30,1.305,1.35,1.255,1.35,80200
