DateTime,Open,High,Low,Close,Volume
2021-07-12,27.02,27.58,26.87,27.37,618600
2021-07-13,27.31,27.58,26.58,26.58,402400
2021-07-14,26.64,26.65,25.51,25.62,530600
2021-07-15,25.075001,25.83,25.075001,25.68,577200
2021-07-16,26.1,26.2,25.45,25.55,343500
2021-07-19,25.08,26.02,25.059999,25.49,451700
2021-07-20,25.68,26.48,25.47,26.059999,428900
2021-07-21,26.17,26.36,25.97,26.059999,443500
2021-07-22,26.07,26.143,25.55,25.62,435400
2021-07-23,25.75,25.864,25.1,25.67,592200
2021-07-26,25.8,25.865,25.32,25.67,340800
2021-07-27,25.66,25.83,25.049999,25.17,1251900
2021-07-28,25.845,27.2,24.825,27.01,420500
2021-07-29,27.09,27.42,26.75,27.049999,364100
2021-07-30,27.14,27.88,26.059999,26.17,729800
2021-08-02,26.39,27.07,26.14,26.8,881000
2021-08-03,26.85,27.040001,26.4,26.61,411500
2021-08-04,26.42,26.76,26.07,26.11,179500
2021-08-05,26.18,26.41,25.96,26.38,197700
2021-08-06,26.47,26.83,26.32,26.81,214000
2021-08-09,26.5,26.65,26.23,26.29,185600
2021-08-10,26.23,26.39,25.49,25.68,230000
2021-08-11,25.83,25.92,24.92,25.6,228600
2021-08-12,25.51,26.33,25.42,26.25,414200
2021-08-13,26.19,26.24,25.18,25.52,230800
2021-08-16,25.46,25.68,24.81,24.98,503800
2021-08-17,24.77,24.91,23.22,24.25,954000
2021-08-18,24.31,24.89,24.09,24.46,536700
2021-08-19,24.31,24.65,23.97,24.23,855200
2021-08-20,24.12,25.049999,23.91,24.99,363000
2021-08-23,25.25,25.82,25.049999,25.78,373900
2021-08-24,25.73,25.85,25.08,25.18,212800
2021-08-25,25.17,25.4,24.9,25.14,206500
2021-08-26,25.23,25.25,24.73,24.77,127500
2021-08-27,24.75,25.81,24.7,25.69,424100
2021-08-30,25.85,26.045,25.41,25.97,208400
2021-08-31,26.040001,26.57,26.0,26.37,265100
