DateTime,Open,High,Low,Close,Volume
2018-07-27,11.75,11.78,10.8,10.99,187500
2018-07-30,11.0,11.32,10.9,11.0,66800
2018-07-31,10.91,11.0,10.91,10.96,19000
2018-08-01,11.0,11.02,10.85,11.0,25300
2018-08-02,11.09,11.17,10.85,11.1,36800
2018-08-03,11.1,11.5,10.52,10.98,59600
2018-08-06,11.31,11.59,11.11,11.59,20400
2018-08-07,11.58,11.89,11.06,11.37,15300
2018-08-08,11.46,12.29,11.12,11.8,28500
2018-08-09,12.0,12.94,12.0,12.94,25000
2018-08-10,12.97,13.9,12.56,13.12,18200
2018-08-13,13.91,14.0,13.16,13.4,30500
2018-08-14,13.5,14.98,13.31,14.83,48700
2018-08-15,14.83,15.0,14.07,14.4,13200
2018-08-16,14.4,14.93,13.51,14.0,26200
2018-08-17,14.18,15.0,13.81,14.9,12200
2018-08-20,15.05,16.37,15.05,16.35,88300
2018-08-21,16.64,16.9,15.5,16.24,53600
2018-08-22,16.48,16.79,15.75,16.79,57900
2018-08-23,16.8,18.25,16.27,16.48,129600
2018-08-24,16.54,17.8,16.51,16.77,34800
2018-08-27,16.77,16.85,15.7,15.88,74600
2018-08-28,15.5,15.8,15.23,15.7,48900
2018-08-29,15.86,16.18,15.31,15.92,27200
2018-08-30,15.63,16.06,15.1,15.37,23200
2018-08-31,15.48,15.54,15.34,15.34,9800
2018-09-04,15.5,17.5,15.5,17.39,91200
2018-09-05,17.52,18.33,16.41,17.58,59300
2018-09-06,17.33,17.41,16.5,16.82,75800
2018-09-07,16.96,18.96,16.95,17.15,73000
2018-09-10,17.25,18.99,17.11,18.97,87200
2018-09-11,19.26,21.31,18.51,19.58,96100
2018-09-12,19.67,20.88,18.59,19.25,143300
2018-09-13,19.49,20.5,17.03,19.46,102700
2018-09-14,19.4,20.39,18.1,18.37,52500
2018-09-17,18.26,20.16,18.04,19.36,45300
2018-09-18,19.6,21.0,19.55,19.57,73600
2018-09-19,19.8,20.05,18.37,18.5,59400
2018-09-20,18.5,20.8,18.49,18.88,74300
2018-09-21,19.21,20.91,18.94,19.93,539100
2018-09-24,20.0,21.0,19.98,20.56,47700
2018-09-25,20.56,23.95,20.56,22.69,78000
2018-09-26,22.68,26.0,21.49,25.12,114900
2018-09-27,25.8,29.39,25.8,28.9,169100
2018-09-28,29.16,32.26,24.71,27.43,248500
2018-10-01,27.57,27.57,25.18,26.58,80400
2018-10-02,26.61,30.22,25.12,30.0,96200
2018-10-03,30.06,35.62,30.0,33.91,151700
2018-10-04,34.01,34.63,30.8,32.96,101100
2018-10-05,33.03,33.03,30.52,31.21,39700
2018-10-08,30.96,32.35,30.53,30.96,27800
2018-10-09,30.81,38.46,30.69,37.18,53200
2018-10-10,37.17,37.72,31.84,34.01,93300
2018-10-11,31.31,33.53,30.26,32.19,58200
2018-10-12,33.81,34.39,26.65,28.87,97100
2018-10-15,28.81,28.81,26.76,28.3,72400
2018-10-16,28.5,29.8,27.19,28.84,86200
2018-10-17,28.66,28.66,26.62,28.01,21500
2018-10-18,27.91,27.91,26.3,27.5,23400
2018-10-19,27.53,28.5,26.54,26.98,29900
2018-10-22,27.07,27.07,24.28,24.55,19700
2018-10-23,24.28,24.28,21.21,22.63,49600
2018-10-24,22.64,24.17,21.71,22.12,41300
2018-10-25,22.27,22.38,17.38,19.19,95900
2018-10-26,18.86,21.72,17.1,20.7,74100
2018-10-29,21.68,22.0,18.11,19.46,60100
2018-10-30,19.21,19.21,17.75,18.73,45500
2018-10-31,17.92,19.02,15.13,16.38,84300
2018-11-01,16.36,18.49,15.13,17.01,51300
2018-11-02,17.05,20.25,17.05,19.6,36700
2018-11-05,19.73,21.13,18.48,18.49,36800
2018-11-06,18.45,19.2,16.81,18.7,31100
2018-11-07,19.15,20.67,18.03,18.7,36800
2018-11-08,19.16,20.28,17.0,18.23,31600
2018-11-09,18.48,19.9,18.1,19.08,24800
2018-11-12,19.16,19.16,17.1,18.68,12600
2018-11-13,18.54,20.07,17.75,19.32,25400
2018-11-14,19.92,22.93,18.03,22.15,49900
2018-11-15,22.47,22.8,20.14,22.58,18900
2018-11-16,22.46,22.46,20.48,22.28,24200
2018-11-19,22.33,23.16,21.04,21.61,21400
2018-11-20,21.29,22.62,18.3,21.0,31600
2018-11-21,20.33,20.87,19.19,19.51,14800
2018-11-23,19.39,20.6,19.28,19.94,3700
2018-11-26,21.58,21.58,19.67,21.27,41800
2018-11-27,21.03,22.27,19.85,20.91,23800
2018-11-28,22.42,23.18,20.41,22.79,51300
2018-11-29,23.35,23.98,22.27,22.31,26600
2018-11-30,22.15,22.74,21.35,22.36,26400
2018-12-03,22.57,25.5,22.4,24.45,48200
2018-12-04,24.93,26.33,23.5,24.59,41200
2018-12-06,24.36,24.36,20.43,21.79,55800
2018-12-07,21.69,22.84,20.21,20.96,28000
2018-12-10,21.07,22.45,20.75,22.32,20900
2018-12-11,23.0,23.88,22.0,22.14,13800
2018-12-12,22.29,22.29,20.7,21.47,16200
2018-12-13,21.38,21.46,20.23,21.45,13900
2018-12-14,21.62,21.87,20.51,21.36,9200
2018-12-17,21.32,22.45,19.61,20.51,16400
2018-12-18,21.19,21.96,19.81,21.95,17500
2018-12-19,22.62,22.64,20.78,21.71,18100
2018-12-20,21.3,21.31,19.85,20.26,29800
2018-12-21,20.29,21.2,19.62,21.2,33400
2018-12-24,21.33,23.11,20.41,22.61,15900
2018-12-26,21.28,27.44,20.35,27.44,53400
2018-12-27,27.39,27.39,24.0,24.8,23700
2018-12-28,25.26,25.26,22.12,22.26,19700
2018-12-31,22.44,23.3,21.4,21.66,8300
2019-01-02,21.66,21.66,19.24,20.2,23100
2019-01-03,19.52,22.4,19.52,20.71,9300
2019-01-04,21.59,21.59,19.5,19.96,19400
2019-01-07,19.51,20.76,18.85,19.33,27200
2019-01-08,20.15,21.79,18.81,21.79,40700
2019-01-09,22.0,22.0,19.43,20.64,19900
2019-01-10,20.44,21.2,19.76,20.22,10400
2019-01-11,20.0,20.87,18.94,19.33,13400
2019-01-14,19.17,20.16,17.53,17.71,14300
2019-01-15,17.85,18.66,16.02,16.23,52600
2019-01-16,16.16,18.64,16.16,16.37,30200
2019-01-17,16.36,17.57,14.49,14.5,40700
2019-01-18,14.5,15.56,12.62,13.55,39900
2019-01-22,13.75,15.5,13.75,14.04,76100
2019-01-23,14.1,15.4,13.51,14.73,42200
2019-01-24,15.04,15.04,13.96,14.62,71900
2019-01-25,14.73,15.08,14.33,15.0,10300
2019-01-28,14.9,15.1,13.94,14.25,21700
2019-01-29,13.99,14.42,13.43,13.63,18200
2019-01-30,13.29,14.92,13.29,13.8,13100
2019-01-31,13.74,14.55,12.6,14.39,51700
2019-02-01,13.88,15.0,13.2,14.25,50500
2019-02-04,13.87,14.44,13.23,13.75,68200
2019-02-05,13.37,14.5,13.37,14.2,27400
2019-02-06,14.5,14.95,13.7,14.6,85400
2019-02-07,14.52,15.7,13.01,15.57,28600
2019-02-08,15.45,15.45,14.56,14.56,7200
2019-02-11,14.54,15.4,14.02,14.81,15300
2019-02-12,14.96,14.96,13.81,14.2,10900
2019-02-13,14.13,14.72,13.9,14.31,14400
2019-02-14,14.5,16.89,14.5,16.63,28400
2019-02-15,16.36,16.61,15.97,15.97,25100
2019-02-19,16.2,16.2,14.2,15.01,35500
2019-02-20,15.0,16.86,15.0,16.67,22100
2019-02-21,15.87,16.31,15.29,15.78,13000
2019-02-22,15.83,19.5,15.09,19.3,73600
2019-02-25,18.75,20.0,17.65,19.41,154200
2019-02-26,19.0,19.51,17.77,18.35,81100
2019-02-27,18.16,20.0,16.24,20.0,71600
2019-02-28,18.89,20.05,18.89,20.02,105800
2019-03-01,19.7,20.05,19.02,20.01,52600
2019-03-04,20.0,20.0,16.14,17.41,153100
2019-03-05,17.37,19.23,17.01,18.0,98700
2019-03-06,18.07,18.96,16.29,17.51,52900
2019-03-07,17.82,18.2,16.99,18.0,42800
2019-03-08,17.62,17.7,15.15,16.26,61800
2019-03-11,17.35,17.62,17.0,17.01,64400
2019-03-12,17.02,18.0,17.0,17.07,31600
2019-03-13,17.0,17.45,16.13,16.93,34700
2019-03-14,17.22,17.34,16.56,16.65,21600
2019-03-15,16.66,17.45,16.61,16.72,174300
