DateTime,Open,High,Low,Close,Volume
2025-01-02,2.19,2.42,2.13,2.16,1434300
2025-01-03,2.18,2.48,2.18,2.42,1406400
2025-01-06,2.44,2.58,2.34,2.37,855000
2025-01-07,2.37,2.47,2.33,2.34,570100
2025-01-08,2.31,2.34,2.17,2.21,577500
2025-01-10,1.85,1.99,1.68,1.94,2823600
2025-01-13,1.86,1.92,1.81,1.9,906100
2025-01-14,1.94,2.0,1.85,1.95,536600
2025-01-15,2.04,2.08,1.98,2.07,599400
2025-01-16,2.08,2.08,1.87,1.92,729000
2025-01-17,1.94,1.95,1.81,1.86,564300
2025-01-21,1.88,2.04,1.86,1.95,685200
2025-01-22,1.96,2.07,1.93,1.98,557300
2025-01-23,1.95,2.01,1.92,1.99,445400
2025-01-24,1.99,2.03,1.94,1.97,366400
2025-01-27,1.93,1.93,1.8,1.89,723400
2025-01-28,1.9,1.9,1.75,1.84,500700
2025-01-29,1.84,1.88,1.8,1.86,510800
2025-01-30,1.89,1.95,1.85,1.87,382800
2025-01-31,1.9,1.95,1.78,1.8,633000
2025-02-03,1.78,1.78,1.7,1.72,625300
2025-02-04,1.71,1.76,1.67,1.74,608700
2025-02-05,1.74,1.8,1.71,1.79,380700
2025-02-06,1.8,1.85,1.74,1.79,423000
2025-02-07,1.8,1.8,1.69,1.74,433800
2025-02-10,1.75,1.77,1.7,1.71,308100
2025-02-11,1.69,1.71,1.57,1.59,640500
2025-02-12,1.58,1.58,1.52,1.56,673100
2025-02-13,1.52,1.59,1.41,1.42,1491900
2025-02-14,1.41,1.5,1.4,1.5,781600
2025-02-18,1.47,1.57,1.46,1.55,748200
2025-02-19,1.54,1.77,1.52,1.72,1215400
2025-02-20,1.73,1.78,1.54,1.55,706500
2025-02-21,1.56,1.59,1.43,1.44,629600
2025-02-24,1.45,1.47,1.28,1.32,1044100
2025-02-25,1.3,1.38,1.27,1.35,675000
2025-02-26,1.35,1.4,1.32,1.34,444000
2025-02-27,1.33,1.36,1.26,1.3,787100
2025-02-28,1.25,1.3,1.2,1.21,844900
2025-03-03,1.23,1.29,1.17,1.18,839500
2025-03-04,1.16,1.2,1.11,1.17,744600
2025-03-05,1.17,1.24,1.14,1.15,587700
2025-03-06,1.12,1.15,1.09,1.11,530500
2025-03-07,1.11,1.17,1.08,1.17,697800
2025-03-10,1.17,1.22,1.13,1.21,782300
2025-03-11,1.24,1.44,1.23,1.4,1320900
2025-03-12,1.43,1.43,1.32,1.35,631100
2025-03-13,1.36,1.36,1.26,1.32,633700
2025-03-14,1.25,1.26,1.03,1.09,1631800
2025-03-17,1.03,1.11,1.0,1.06,1060900
2025-03-18,1.07,1.16,1.06,1.12,670800
2025-03-19,1.12,1.16,1.09,1.1,296200
2025-03-20,1.05,1.06,1.0,1.01,612600
2025-03-21,1.0,1.05,1.0,1.04,995400
2025-03-24,1.09,1.14,1.06,1.08,690100
2025-03-25,1.07,1.13,1.06,1.11,466300
2025-03-26,1.13,1.13,1.03,1.05,509100
2025-03-27,1.05,1.05,0.98000002,1.01,543900
2025-03-28,1.07,1.31,1.06,1.2,3578900
2025-03-31,1.17,1.19,1.02,1.02,1223400
2025-04-01,1.03,1.05,0.98000002,0.98000002,1132200
2025-04-02,0.97000003,1.01,0.94999999,1.0,807600
2025-04-03,0.99000001,0.99000001,0.89999998,0.89999998,851700
