DateTime,Open,High,Low,Close,Volume
2025-01-02,19.56,21.18,18.78,20.4,1565
2025-01-03,20.16,22.2,20.16,21.36,2707
2025-01-06,20.34,25.74,19.98,25.14,4093
2025-01-07,26.4,26.4,22.8,23.040001,4203
2025-01-08,22.44,26.28,19.86,20.94,3912
2025-01-10,20.46,21.12,15.66,15.9,7718
2025-01-13,15.9,16.5,15.06,15.6,2817
2025-01-14,15.72,17.16,15.12,15.36,1082
2025-01-15,15.24,15.9,14.04,15.66,1800
2025-01-16,15.66,16.44,14.52,15.78,1028
2025-01-17,15.6,16.5,15.36,16.02,1543
2025-01-21,16.62,17.16,14.46,16.02,3192
2025-01-22,15.54,15.9,13.26,13.44,7603
2025-01-23,13.56,15.36,13.56,14.64,214982
2025-01-24,15.6,17.1,14.22,15.9,8855
2025-01-27,15.42,16.98,15.06,15.6,2352
2025-01-28,15.0,16.68,15.0,15.72,1692
2025-01-29,15.84,16.38,14.34,14.58,3788
2025-01-30,15.66,16.02,14.4,15.12,892
2025-01-31,16.2,16.2,14.52,14.58,742
2025-02-03,16.14,16.5,14.76,15.48,4600
2025-02-04,15.48,15.84,14.46,14.58,4490
2025-02-05,14.82,15.36,14.46,14.76,1202
2025-02-06,15.0,16.2,14.52,14.94,1445
2025-02-07,14.94,15.6,14.64,14.7,1582
2025-02-10,14.7,14.7,13.2,13.38,3992
2025-02-11,13.26,14.1,12.6,12.6,2020
2025-02-12,12.72,13.74,12.6,12.72,3230
2025-02-13,12.9,13.74,12.66,12.72,1122
2025-02-14,12.6,13.68,12.6,13.2,565
2025-02-18,13.38,13.8,12.24,12.3,2392
2025-02-19,12.42,13.26,12.3,12.96,3210
2025-02-20,12.6,13.2,12.12,12.42,2588
2025-02-21,12.6,13.02,12.06,12.18,3097
2025-02-24,12.0,14.4,12.0,13.26,10173
2025-02-25,13.2,14.4,12.12,12.18,5602
2025-02-26,12.24,14.58,11.16,11.82,6018
2025-02-27,11.94,12.9,10.92,11.28,4025
2025-02-28,11.16,11.88,10.26,11.1,2375
2025-03-03,10.8,11.4,9.3,10.44,3940
2025-03-04,10.74,10.74,9.18,9.78,4113
2025-03-05,9.9,9.9,8.64,8.82,5710
2025-03-06,9.24,9.42,9.0,9.18,1473
2025-03-07,9.66,9.66,9.0,9.0,1327
2025-03-10,9.54,9.54,8.22,8.22,1452
2025-03-11,8.28,9.78,8.1,9.06,7642
2025-03-12,9.6,11.94,9.0,11.82,12302
2025-03-13,8.76,9.54,7.98,9.0,189117
2025-03-14,8.46,9.66,8.46,9.48,10400
2025-03-17,10.08,10.08,8.76,9.42,2607
2025-03-18,9.0,9.42,8.7,9.3,17542
2025-03-19,9.06,9.66,8.82,9.48,4363
2025-03-20,9.18,9.6,9.06,9.24,2143
2025-03-21,8.88,9.6,8.64,9.06,1443
2025-03-24,9.54,9.6,8.7,9.0,3153
2025-03-25,9.12,9.54,8.64,8.7,2990
2025-03-26,9.18,9.42,9.0,9.36,3002
2025-03-27,8.4,9.36,8.4,9.24,1842
2025-03-28,9.0,9.24,8.4,8.7,1345
2025-03-31,7.98,9.06,7.98,8.76,558
2025-04-01,8.4,8.58,8.28,8.46,1207
2025-04-02,8.52,8.52,7.92,8.16,840
2025-04-03,8.1,8.1,6.06,6.54,3770
2025-04-04,6.78,7.2,6.24,6.3,1615
2025-04-07,6.6,6.6,6.06,6.6,1130
2025-04-08,6.06,7.14,6.06,6.12,1257
2025-04-09,5.7,5.82,4.02,4.98,5390
2025-04-10,5.94,5.94,4.56,4.56,4050
2025-04-11,4.56,4.68,4.08,4.08,4345
2025-04-14,3.845,4.09,3.763,3.995,15200
2025-04-15,3.94,4.51,3.94,4.32,15800
2025-04-16,4.5,5.36,4.26,5.36,30700
2025-04-17,5.551,7.374,5.5,6.56,116700
2025-04-21,6.89,9.2,6.7,8.32,143900
2025-04-22,7.5,7.94,6.2,7.1,44000
2025-04-23,7.5,7.5,7.04,7.12,16800
2025-04-24,6.799,7.45,6.799,7.24,11000
2025-04-25,7.46,7.82,7.05,7.69,60100
2025-04-28,7.75,8.26,7.28,8.18,79600
2025-04-29,8.25,13.995,8.015,12.31,350900
2025-04-30,11.82,12.75,10.7,11.45,318700
2025-05-01,11.683,11.683,5.58,5.85,274400
2025-05-02,5.96,7.9,5.96,6.65,205900
2025-05-05,5.02,6.76,5.02,5.52,110900
2025-05-06,5.81,6.09,5.19,5.35,38600
2025-05-07,5.17,5.17,4.34,4.34,27200
2025-05-08,4.62,4.64,4.34,4.36,17700
2025-05-09,4.36,4.783,3.9,4.535,13900
2025-05-12,3.96,4.43,3.96,4.06,39400
2025-05-13,4.0,4.175,3.7,3.85,18000
2025-05-14,3.88,3.98,3.195,3.53,33600
2025-05-15,3.2,4.3,3.2,3.7,69900
2025-05-16,3.705,3.89,3.65,3.87,11000
2025-05-19,3.725,4.34,3.723,4.178,14800
2025-05-20,3.76,4.3,3.76,3.97,26900
2025-05-21,3.75,3.75,3.19,3.4,10300
2025-05-22,3.4,3.85,3.25,3.25,22800
2025-05-23,3.22,3.31,2.875,2.988,19200
2025-05-27,3.1,3.18,2.775,2.927,9100
2025-05-28,2.87,3.63,2.8,3.21,47300
2025-05-29,3.2,3.3,2.92,2.92,17200
2025-05-30,3.05,3.18,2.89,3.115,14500
2025-06-02,2.82,3.37,2.82,3.01,9200
2025-06-03,2.67,3.15,2.67,3.04,7100
2025-06-04,3.3,3.404,3.13,3.29,3900
2025-06-05,3.36,3.47,3.1,3.34,11900
2025-06-06,3.04,3.38,3.04,3.14,17000
2025-06-09,3.1,3.45,3.088,3.088,24200
2025-06-10,3.08,3.5,2.85,2.959,167300
2025-06-11,2.87,3.09,2.76,2.78,18500
2025-06-12,2.697,2.785,2.53,2.7,25000
2025-06-13,3.0,3.0,2.48,2.54,10300
2025-06-16,2.66,2.9,2.56,2.8,8700
2025-06-17,2.6,2.748,2.41,2.61,10900
2025-06-18,2.715,2.9,2.53,2.53,15300
2025-06-20,2.5,2.8,2.445,2.7,20900
2025-06-23,4.36,13.33,4.36,9.93,1507800
2025-06-24,5.2,10.85,4.067,6.79,1676100
2025-06-25,6.97,7.56,5.0,5.1,350400
2025-06-26,5.01,5.14,3.79,4.14,212900
2025-06-27,3.83,4.5,3.09,3.55,278700
2025-06-30,3.5,3.76,3.02,3.35,177900
2025-07-01,3.22,3.92,3.22,3.41,207500
2025-07-02,3.3,3.8,3.21,3.635,78600
2025-07-03,3.16,3.51,3.16,3.35,85900
2025-07-07,3.21,3.39,3.02,3.125,28300
2025-07-08,3.24,3.4,3.12,3.4,44600
2025-07-09,3.419,4.38,3.33,4.16,68700
2025-07-10,4.78,4.78,4.13,4.36,77600
2025-07-11,4.3,4.34,3.945,4.2,94700
2025-07-14,4.11,4.356,3.7,3.94,37900
2025-07-15,3.94,4.02,3.579,3.8,27600
2025-07-16,3.73,3.92,3.73,3.827,6300
2025-07-17,3.94,4.308,3.709,4.02,24300
2025-07-18,4.16,4.17,3.3,3.51,56400
2025-07-21,3.6,3.673,3.33,3.67,124000
2025-07-22,3.595,3.805,3.56,3.67,17100
2025-07-23,3.64,4.153,3.64,3.97,16000
2025-07-24,3.91,4.22,3.91,4.09,49300
2025-07-25,4.1,4.19,3.97,4.19,13700
2025-07-28,4.17,4.292,4.09,4.2,9500
2025-07-29,4.45,4.452,4.035,4.07,46400
2025-07-30,4.08,4.17,3.78,3.84,29600
2025-07-31,4.048,4.08,3.6,3.74,18400
2025-08-01,3.75,4.16,3.6,3.65,24600
2025-08-04,3.65,3.869,3.646,3.646,9000
2025-08-05,4.18,4.18,3.42,3.635,14600
2025-08-06,3.75,3.907,3.56,3.571,22400
2025-08-07,3.56,3.75,3.319,3.52,12400
2025-08-08,3.34,3.532,3.339,3.49,4700
2025-08-11,3.39,3.5,3.36,3.4,13800
2025-08-12,3.43,3.6,3.234,3.54,7500
2025-08-13,3.705,3.885,3.605,3.85,9000
2025-08-14,3.78,3.98,3.78,3.91,13700
2025-08-15,3.99,3.99,3.801,3.82,6000
2025-08-18,3.99,4.095,3.83,3.93,11800
2025-08-19,3.93,3.965,3.77,3.86,5100
2025-08-20,3.86,3.949,3.86,3.887,3700
2025-08-21,3.88,3.89,3.735,3.75,14100
2025-08-22,3.75,3.98,3.68,3.98,10300
2025-08-25,4.0,4.07,3.93,4.04,8100
2025-08-26,4.04,4.05,3.83,3.83,9000
2025-08-27,4.05,4.06,3.95,4.05,4400
2025-08-28,4.045,4.241,3.87,3.87,31500
2025-08-29,3.99,4.11,3.45,3.47,35400
2025-09-02,3.47,4.0050001,3.415,3.46,33500
2025-09-03,3.5,3.675,3.5,3.55,12900
2025-09-04,3.55,4.19,3.5,3.67,54000
2025-09-05,3.68,3.855,3.66,3.855,6800
2025-09-08,3.9,4.05,3.596,3.95,16000
2025-09-09,3.95,4.09,3.808,3.9,57600
2025-09-10,4.025,4.025,3.86,4.0,6500
2025-09-11,4.04,4.09,3.79,3.89,11700
2025-09-12,3.88,3.95,3.8,3.8,7100
2025-09-15,3.71,3.775,3.41,3.67,25400
2025-09-16,3.55,3.737,3.4,3.41,31600
2025-09-17,3.41,3.62,3.33,3.46,19700
2025-09-18,3.266,3.55,3.266,3.55,6200
2025-09-19,3.55,3.7,3.48,3.7,6400
2025-09-22,3.61,3.684,3.39,3.42,20800
2025-09-23,3.44,3.44,3.44,3.44,800
2025-09-24,3.535,3.68,3.501,3.59,5300
2025-09-25,3.575,3.575,3.42,3.479,7300
2025-09-26,3.5,3.59,3.4,3.421,17000
2025-09-29,3.47,3.55,3.43,3.43,13900
2025-09-30,3.569,3.569,3.438,3.49,2800
2025-10-01,3.44,3.55,3.41,3.41,3500
2025-10-02,3.41,3.41,3.41,3.41,800
2025-10-03,3.35,3.423,3.31,3.31,3700
2025-10-06,3.572,3.572,3.33,3.33,6100
2025-10-07,3.23,3.42,3.21,3.22,10200
2025-10-08,3.205,3.24,3.03,3.1,13000
2025-10-09,3.21,3.28,3.11,3.18,9100
2025-10-10,3.06,3.104,3.03,3.05,10500
2025-10-13,3.17,3.17,3.05,3.05,4200
2025-10-14,3.09,3.18,2.85,2.86,19200
2025-10-15,2.88,2.995,2.88,2.977,2000
2025-10-16,3.045,3.045,3.045,3.045,400
2025-10-17,3.04,3.065,2.906,2.906,6500
2025-10-20,2.94,3.508,2.94,3.35,24200
2025-10-21,3.49,3.98,3.49,3.6,31900
2025-10-22,3.77,3.77,3.51,3.52,12000
2025-10-23,3.521,3.521,3.521,3.521,3200
2025-10-24,3.55,3.55,3.5,3.525,2500
2025-10-27,3.55,4.29,3.55,3.8,45000
2025-10-28,3.885,4.14,3.86,3.96,49800
2025-10-29,4.07,4.07,3.65,3.726,13900
2025-10-30,3.61,3.806,3.58,3.61,3200
2025-10-31,3.725,3.75,3.65,3.65,2100
2025-11-03,3.98,3.98,3.65,3.661,2900
2025-11-04,3.66,3.725,3.51,3.51,3500
2025-11-05,3.53,3.81,3.52,3.8,7300
2025-11-06,3.8,3.98,3.8,3.91,8500
2025-11-07,3.86,3.88,3.52,3.76,5300
2025-11-10,3.81,3.96,3.79,3.8,4600
2025-11-11,3.8,3.9,3.66,3.66,13100
2025-11-12,3.7,3.714,3.7,3.714,1500
2025-11-13,3.97,4.095,3.86,3.99,28900
2025-11-14,3.77,3.9,3.77,3.8,13300
2025-11-17,3.812,3.95,3.812,3.93,16900
2025-11-18,3.8,4.0,3.71,3.85,34300
2025-11-19,3.78,4.0,3.78,3.98,9000
2025-11-20,3.89,3.9,3.84,3.84,3200
2025-11-21,3.92,3.92,3.81,3.905,1900
2025-11-24,3.9,3.92,3.9,3.92,1300
2025-11-25,3.9,3.9,3.82,3.83,5600
2025-11-26,3.86,3.88,3.8,3.88,9600
2025-11-28,3.99,3.99,3.89,3.95,6100
2025-12-01,3.95,4.13,3.95,4.13,1100
2025-12-02,4.145,4.72,4.145,4.26,19500
2025-12-03,4.26,4.521,4.26,4.34,5300
2025-12-04,4.31,4.395,4.24,4.24,8600
2025-12-05,4.26,4.58,4.26,4.28,10000
2025-12-08,4.29,4.351,3.93,3.94,5700
2025-12-09,4.1,4.32,4.08,4.14,28400
2025-12-10,4.235,4.332,3.74,3.88,22800
2025-12-11,4.421,4.48,3.81,3.9,46900
2025-12-12,4.0,4.0,3.93,3.97,6400
2025-12-15,4.1,6.23,4.08,4.44,495300
2025-12-16,4.36,4.47,3.99,4.04,84400
2025-12-17,4.01,4.52,4.0,4.15,89800
2025-12-18,4.37,4.952,4.26,4.52,36800
2025-12-19,4.409,5.09,4.409,4.97,28700
2025-12-22,4.62,5.28,4.62,5.15,28900
2025-12-23,5.085,5.12,5.04,5.12,6200
2025-12-24,5.15,5.19,4.96,5.17,2200
2025-12-26,5.19,5.2,4.87,4.87,6400
2025-12-29,4.795,5.07,4.7,4.89,16800
2025-12-30,5.0,5.12,4.95,5.05,12700
2025-12-31,4.93,5.5,4.92,5.4,28500
2026-01-02,5.4,5.9,5.4,5.825,22800
2026-01-05,5.9,5.9,5.42,5.47,37200
2026-01-06,5.34,5.433,5.21,5.21,5500
2026-01-07,5.3,5.46,5.3,5.43,4800
2026-01-08,5.45,5.48,5.33,5.33,6400
2026-01-09,5.37,5.435,5.33,5.33,2100
2026-01-12,5.33,5.48,5.21,5.3,9100
2026-01-13,5.19,5.19,5.19,5.19,1400
2026-01-14,5.21,5.26,5.2,5.21,1600
2026-01-15,5.31,5.315,5.26,5.26,4800
2026-01-16,5.28,5.84,5.28,5.5,6600
2026-01-20,5.45,5.769,5.45,5.715,9500
2026-01-21,5.74,5.8,5.65,5.75,5200
2026-01-22,5.76,5.76,5.61,5.61,24700
2026-01-23,5.91,6.95,5.71,5.79,423200
2026-01-26,6.11,6.78,5.66,5.75,71800
2026-01-27,5.885,6.04,5.805,5.96,7700
2026-01-28,5.977,6.16,5.977,6.04,4900
2026-01-29,6.1,6.4,6.05,6.13,20400
2026-01-30,6.27,6.27,6.0,6.1,34300
2026-02-02,6.13,6.291,6.0,6.01,29000
2026-02-03,6.1,6.43,6.1,6.11,11300
2026-02-04,6.12,6.34,5.91,6.09,40100
2026-02-05,5.78,6.03,5.73,5.84,13200
2026-02-06,5.85,5.95,5.76,5.83,7200
2026-02-09,5.662,6.26,5.662,6.19,42000
2026-02-10,6.19,6.32,6.05,6.26,13100
2026-02-11,6.18,6.3,6.1,6.11,5600
2026-02-12,6.11,6.24,6.11,6.11,3700
2026-02-13,6.05,6.14,6.05,6.14,700
2026-02-17,5.995,6.14,5.995,6.14,1700
2026-02-18,6.15,6.15,5.965,6.06,7900
2026-02-19,5.85,6.023,5.85,5.99,2700
2026-02-20,5.86,6.1,5.86,6.09,3300
2026-02-23,5.91,6.04,5.86,6.04,4900
2026-02-24,5.98,6.05,5.86,6.05,2500
2026-02-25,5.87,6.0,5.85,5.91,6100
2026-02-26,6.15,6.18,6.0,6.01,8100
2026-02-27,5.96,5.96,5.95,5.95,1100
2026-03-02,5.9,6.22,5.86,5.86,33900
2026-03-03,5.7,6.18,5.7,6.15,15400
2026-03-04,6.12,6.12,6.0,6.01,8200
2026-03-05,6.09,6.09,5.92,6.0,4500
2026-03-06,6.07,6.07,5.71,5.71,8700
2026-03-09,5.875,5.875,5.66,5.72,4800
2026-03-10,5.9,5.9,5.4,5.547,7300
2026-03-11,5.625,5.7,5.57,5.7,3900
2026-03-12,5.41,5.68,5.41,5.5,3700
2026-03-13,5.52,5.52,5.52,5.52,500
2026-03-16,5.49,5.49,5.49,5.49,500
2026-03-17,5.49,5.49,5.49,5.49,0
2026-03-18,5.61,5.71,5.61,5.71,1600
2026-03-19,5.6,5.76,5.59,5.73,7800
2026-03-20,5.64,5.64,5.62,5.62,1900
2026-03-23,5.49,5.57,5.49,5.57,3100
2026-03-24,5.57,5.57,5.57,5.57,0
2026-03-25,5.755,5.755,5.69,5.69,500
