DateTime,Open,High,Low,Close,Volume
2026-02-04,33.0,40.0099983,32.0,37.75,3321900
2026-02-05,38.23,40.11,35.09,37.16,934600
2026-02-06,37.0,38.48,35.2,38.48,179000
2026-02-09,37.91,38.79,36.26,37.029999,490500
2026-02-10,36.5,42.0,36.5,40.45,443600
2026-02-11,40.45,44.79,38.58,44.040001,236800
2026-02-12,44.16,45.78,42.96,44.44,255200
2026-02-13,44.4,44.64,42.32,43.46,183000
2026-02-17,43.89,47.79,42.66,47.38,284200
2026-02-18,48.0,51.56,46.47,50.080002,249700
2026-02-19,50.060001,50.77,47.049999,48.32,277400
2026-02-20,48.5,49.0,43.89,44.49,252500
2026-02-23,44.28,45.9,42.51,45.0,244300
2026-02-24,44.98,45.53,43.28,43.79,213000
2026-02-25,44.45,44.74,39.73,42.17,433600
2026-02-26,42.17,43.73,41.56,42.91,160800
2026-02-27,42.58,45.88,42.58,45.85,279400
2026-03-02,46.99,50.86,46.0099983,46.62,221400
2026-03-03,44.36,47.4,43.76,45.080002,183100
2026-03-04,45.19,48.87,44.51,47.35,155900
2026-03-05,47.99,49.98,47.73,48.62,153000
2026-03-06,48.52,51.029999,47.14,48.56,305700
2026-03-09,48.93,52.6,48.93,51.32,466400
2026-03-10,51.35,53.63,49.0,50.65,276400
2026-03-11,50.7,52.41,49.89,51.029999,147800
2026-03-12,51.2,57.080002,50.0,51.57,414500
2026-03-13,51.75,54.65,51.75,52.8,282400
2026-03-16,52.62,58.6,52.62,56.95,339900
2026-03-17,56.45,62.56,55.99,61.07,589800
2026-03-18,60.5,63.029999,58.4,59.0099983,539000
2026-03-19,57.88,59.6,55.0,56.91,620400
2026-03-20,55.7,59.61,55.049999,58.89,1324100
2026-03-23,59.0099983,62.86,58.96,61.92,291800
2026-03-24,62.53,66.2,62.24,63.49,538700
2026-03-25,63.65,66.54,62.28,65.56,467300
2026-03-26,65.36,69.41,63.44,67.55,393100
2026-03-27,67.010002,69.010002,65.17,65.53,261700
2026-03-30,64.85,66.6,54.77,60.85,599500
2026-03-31,61.44,66.53,59.3,63.15,818700
2026-04-01,65.14,66.5,57.87,58.78,625600
2026-04-02,57.51,64.19,57.45,64.19,839600
2026-04-06,64.43,65.29,61.55,63.82,226100
2026-04-07,63.81,63.82,56.59,56.71,355100
2026-04-08,57.73,58.76,53.68,58.040001,439600
2026-04-09,58.14,60.44,57.2,59.98,142600
2026-04-10,60.060001,69.57,59.24,68.8,632000
2026-04-13,69.55,72.47,68.3,71.36,671300
2026-04-14,72.0,75.95,69.47,74.99,476600
2026-04-15,75.029999,80.5,73.36,80.5,545500
2026-04-16,80.9,80.9,72.48,74.12,519500
2026-04-17,75.0,77.31,74.55,76.17,257968
