DateTime,Open,High,Low,Close,Volume
2014-07-29,96.4,96.4,91.2,93.2,14463
2014-07-30,94.88,97.44,92.0,92.0,2038
2014-07-31,92.0,94.8,89.28,94.24,2150
2014-08-01,92.8,93.12,89.28,93.12,2863
2014-08-04,93.36,94.0,90.4,92.4,638
2014-08-05,90.0,91.6,85.6,90.0,3313
2014-08-06,88.64,91.2,88.64,90.48,388
2014-08-07,90.0,91.2,89.92,90.8,1788
2014-08-08,92.0,96.0,90.48,95.84,725
2014-08-11,96.64,98.48,92.96,93.28,3375
2014-08-12,92.32,94.8,92.32,94.24,1050
2014-08-13,94.48,94.8,91.2,94.64,2863
2014-08-14,93.68,94.8,92.4,94.64,2763
2014-08-15,93.2,95.84,86.48,88.08,9513
2014-08-18,85.76,89.76,85.76,88.88,1750
2014-08-19,90.0,92.0,88.96,89.68,7213
2014-08-20,91.2,98.32,91.2,92.0,33038
2014-08-21,92.08,97.68,92.0,94.4,8513
2014-08-22,94.08,94.08,92.24,92.4,2550
2014-08-25,93.2,93.6,86.48,88.08,9050
2014-08-26,88.0,90.32,86.4,90.24,4325
2014-08-27,88.24,89.44,88.0,88.24,3200
2014-08-28,88.24,94.32,88.0,90.0,3375
2014-08-29,88.8,90.72,88.8,89.92,1863
2014-09-02,90.0,90.96,88.72,90.32,3313
2014-09-03,89.6,90.8,89.2,90.8,1950
2014-09-04,90.88,90.88,87.92,89.6,2913
2014-09-05,88.4,90.8,88.4,89.6,2575
2014-09-08,90.8,97.52,89.2,95.52,8213
2014-09-09,96.0,98.72,95.2,98.72,9313
2014-09-10,103.92,112.0,100.0,111.6,18538
2014-09-11,112.0,119.6,112.0,118.16,11550
2014-09-12,119.2,127.28,119.2,127.2,13363
2014-09-15,131.04,131.2,116.0,119.12,10250
2014-09-16,116.4,119.44,114.24,117.12,7513
2014-09-17,117.92,118.4,112.4,114.8,5888
2014-09-18,116.8,116.8,108.96,115.36,6225
2014-09-19,116.56,117.6,108.0,109.04,13038
2014-09-22,110.8,113.76,104.56,108.48,5525
2014-09-23,108.88,113.68,107.2,109.12,3650
2014-09-24,107.44,110.96,106.0,110.64,2525
2014-09-25,109.28,117.52,109.28,117.04,2775
2014-09-26,117.6,118.88,115.2,117.28,3475
2014-09-29,117.28,117.28,113.68,114.24,2763
2014-09-30,114.08,117.12,113.6,115.12,2900
2014-10-01,114.08,116.72,109.92,111.2,4113
2014-10-02,112.88,114.0,96.96,107.36,9738
2014-10-03,108.32,114.0,108.32,111.68,2838
2014-10-06,119.76,121.76,112.56,113.2,7213
2014-10-07,113.84,114.72,112.0,114.16,3113
2014-10-08,114.08,118.24,114.0,114.16,1800
2014-10-09,114.32,117.6,103.84,110.8,10025
2014-10-10,108.96,108.96,102.4,105.6,6700
2014-10-13,107.6,112.0,103.2,104.0,6775
2014-10-14,104.48,106.8,98.0,99.36,5813
2014-10-15,98.0,103.2,89.36,98.0,9700
2014-10-16,96.0,102.88,92.0,96.16,1613
2014-10-17,96.08,103.36,94.72,98.24,5150
2014-10-20,99.68,100.4,96.0,98.72,3525
2014-10-21,96.72,102.64,96.72,100.32,6213
2014-10-22,99.36,99.92,89.2,97.12,6463
2014-10-23,93.12,100.0,93.12,96.48,2525
2014-10-24,96.96,98.56,93.6,94.56,2088
2014-10-27,95.28,99.04,94.72,96.24,8013
2014-10-28,96.88,98.56,94.56,95.2,3813
2014-10-29,96.48,98.32,93.6,93.68,2663
2014-10-30,93.6,100.0,90.48,99.6,9200
2014-10-31,102.16,103.2,96.16,102.4,10325
2014-11-03,103.84,108.8,101.6,105.84,9338
2014-11-04,105.04,105.92,102.72,105.92,1263
2014-11-05,106.0,118.56,104.24,111.04,5375
2014-11-06,111.6,113.52,110.0,110.0,8250
2014-11-07,113.6,113.6,108.88,113.52,6425
2014-11-10,113.6,113.6,110.56,111.76,4450
2014-11-11,113.84,115.28,112.72,114.8,5600
2014-11-12,114.4,116.4,113.44,116.0,7913
2014-11-13,124.4,127.2,112.64,118.88,22575
2014-11-14,118.48,118.48,113.04,116.8,3138
2014-11-17,117.84,117.84,108.72,114.4,4313
2014-11-18,113.6,115.52,111.28,115.44,2213
2014-11-19,114.64,114.64,108.8,112.8,1788
2014-11-20,111.2,113.04,106.88,111.6,2788
2014-11-21,111.28,114.56,110.48,113.52,2725
2014-11-24,113.6,120.0,113.28,119.12,8575
2014-11-25,120.0,121.92,116.72,118.24,6000
2014-11-26,118.4,119.76,118.0,119.44,2050
2014-11-28,118.4,121.2,117.6,119.52,2463
2014-12-01,120.8,121.2,116.48,116.8,2538
2014-12-02,119.04,120.8,118.4,119.6,2163
2014-12-03,120.0,121.6,118.4,120.96,4800
2014-12-04,120.8,130.72,120.8,130.56,15850
2014-12-05,131.52,141.36,131.36,141.28,26938
