DateTime,Open,High,Low,Close,Volume
2015-01-02,94.13,95.0,93.050003,93.26,6019700
2015-01-05,93.3,93.68,92.22,92.23,6211900
2015-01-06,92.67,93.81,91.88,92.4,6484100
2015-01-07,93.26,94.050003,92.86,94.010002,6400300
2015-01-08,94.23,94.98,94.050003,94.36,5476700
2015-01-09,93.97,93.97,92.78,93.21,4283300
2015-01-12,93.53,93.81,92.6,93.010002,3989600
2015-01-13,93.95,94.44,92.42,92.83,5971200
2015-01-14,91.45,92.050003,91.12,91.54,7745500
2015-01-15,91.97,92.35,90.97,91.38,5737500
2015-01-16,91.050003,91.69,90.74,91.49,6927000
2015-01-20,91.64,91.88,90.23,90.8,6967300
2015-01-21,90.16,90.46,89.54,90.34,8682200
2015-01-22,90.62,90.97,89.84,90.89,7536400
2015-01-23,90.92,91.64,89.43,89.56,11496000
2015-01-26,89.39,90.7,89.29,90.67,7753300
2015-01-27,89.96,90.31,89.56,89.57,6640800
2015-01-28,89.74,89.82,88.77,88.78,6921300
2015-01-29,91.5,93.5,91.26,93.27,19146900
2015-01-30,92.65,93.3,92.31,92.44,12385400
2015-02-02,92.050003,92.66,91.43,92.51,6751400
2015-02-03,92.64,93.98,92.45,93.92,7373000
2015-02-04,93.5,94.43,93.5,94.050003,6464800
2015-02-05,94.099998,94.83,94.0,94.34,5564100
2015-02-06,94.15,94.48,93.65,93.99,4662700
2015-02-09,93.3,93.45,92.54,92.72,8203000
2015-02-10,93.33,94.23,92.97,94.019997,4697600
2015-02-11,94.16,94.33,93.3,94.21,5153900
2015-02-12,94.050003,95.6,93.77,95.089996,7910100
2015-02-13,95.4,95.85,94.93,95.65,6762200
2015-02-17,95.12,95.39,94.089996,94.35,5972000
2015-02-18,94.23,94.79,94.0,94.58,5617500
2015-02-19,94.5,94.55,93.74,94.19,6312200
2015-02-20,94.16,94.49,93.56,94.19,8155000
2015-02-23,94.12,94.41,93.95,94.31,5682000
2015-02-24,94.080002,95.33,93.69,94.98,5643600
2015-02-25,94.91,99.31,94.86,98.66,16751600
2015-02-26,97.43,99.88,97.0,99.51,16098800
2015-02-27,99.17,99.3,98.49,98.9,7552500
2015-03-02,98.9,101.089996,98.31,100.0,12363300
2015-03-03,99.97,100.44,99.55,99.74,8149700
2015-03-04,99.81,100.48,99.18,100.25,9179400
2015-03-05,99.010002,99.92,98.46,99.11,9438800
2015-03-06,98.27,98.99,96.96,97.13,9677900
2015-03-09,96.81,98.25,96.81,97.71,8460300
2015-03-10,96.91,97.12,96.099998,96.29,7838900
2015-03-11,96.3,96.77,94.94,94.96,9391100
2015-03-12,95.42,96.44,95.28,96.25,8765100
2015-03-13,96.24,97.050003,95.75,96.35,5152800
2015-03-16,96.93,97.47,96.74,97.15,4772200
2015-03-17,96.9,97.15,95.99,96.17,4530700
2015-03-18,96.010002,97.24,95.33,97.0,5831000
2015-03-19,96.86,97.010002,95.98,95.98,3615400
2015-03-20,96.32,97.72,96.12,97.050003,10014000
2015-03-23,96.8,99.12,96.8,98.62,9232000
2015-03-24,98.46,99.84,98.07,99.36,7549900
2015-03-25,99.029999,99.61,98.11,98.14,6030500
2015-03-26,97.6,97.97,96.2,97.64,10445800
2015-03-27,97.36,97.85,96.77,96.96,4642400
2015-03-30,97.43,98.32,97.37,97.88,4074500
2015-03-31,97.82,98.43,97.44,97.44,5617000
2015-04-01,96.81,97.019997,96.0,96.29,7484800
2015-04-02,95.96,96.24,94.71,95.83,6614300
2015-04-06,95.75,96.82,95.45,96.28,4501300
2015-04-07,96.24,96.79,96.099998,96.35,4443700
2015-04-08,96.73,97.5,95.98,96.85,4445200
2015-04-09,96.85,97.43,96.21,96.55,4790000
2015-04-10,96.9,97.95,96.56,97.8,5937800
2015-04-13,97.41,97.75,97.07,97.44,5197900
2015-04-14,97.16,97.74,96.97,97.58,4961100
2015-04-15,97.0,97.55,96.28,96.44,6604400
2015-04-16,96.37,97.44,95.51,95.63,5071700
2015-04-17,95.13,95.35,94.46,94.88,6933600
2015-04-20,95.0,96.26,95.0,96.18,4382400
2015-04-21,96.19,96.55,94.54,94.87,5981700
2015-04-22,97.0,99.35,96.24,97.84,19254300
2015-04-23,97.44,97.52,96.56,97.0,6336500
2015-04-24,96.99,99.080002,96.84,98.74,7741300
2015-04-27,98.74,98.94,96.26,96.44,7282700
2015-04-28,96.27,96.89,95.78,96.83,4357400
2015-04-29,96.58,97.67,96.07,97.019997,5697200
