DateTime,Open,High,Low,Close,Volume
2026-03-12,32.0,32.26,30.44,30.8,2312000
2026-03-13,31.0,31.8,29.9,29.99,863900
2026-03-16,30.62,31.53,30.35,31.34,1067700
2026-03-17,31.65,32.28,31.46,31.88,570400
2026-03-18,31.84,33.66,31.63,33.66,1153400
2026-03-19,33.31,33.49,31.97,32.74,1184700
2026-03-20,32.62,33.75,31.030001,31.4,623200
2026-03-23,31.46,32.71,30.29,32.62,552000
2026-03-24,32.09,32.09,28.31,29.23,907300
2026-03-25,29.02,29.049999,26.3,27.81,1342200
2026-03-26,27.4,27.8,26.57,26.57,429400
2026-03-27,26.55,26.55,24.82,24.82,966100
2026-03-30,24.52,24.66,23.23,23.61,1014800
2026-03-31,23.85,25.56,23.85,25.32,775100
2026-04-01,25.97,26.76,25.83,25.91,1036200
2026-04-02,24.44,27.86,24.44,27.21,675000
2026-04-06,28.37,30.0,27.51,29.09,1776900
2026-04-07,29.0,29.21,28.040001,28.59,598000
2026-04-08,29.68,30.73,28.67,29.4,662600
2026-04-09,29.48,31.030001,29.17,30.47,556400
2026-04-10,30.51,31.17,30.31,30.59,532600
2026-04-13,30.51,31.41,30.1,31.31,698400
2026-04-14,32.75,34.38,32.39,33.54,1389700
2026-04-15,33.5,34.66,32.63,34.66,819200
2026-04-16,34.7,35.89,34.26,35.51,984200
2026-04-17,35.8,37.45,34.57,35.19,625459
