DateTime,Open,High,Low,Close,Volume
2017-02-06,13.55,13.64,13.0,13.0,965300
2017-02-07,13.0,13.09,12.5,12.8,640600
2017-02-08,12.62,12.8,12.12,12.15,300600
2017-02-09,12.1,12.41,11.82,11.89,551000
2017-02-10,11.57,12.0,11.41,11.89,734300
2017-02-13,11.9,13.0,11.78,12.15,259500
2017-02-14,12.07,12.43,11.02,11.15,434000
2017-02-15,11.2,11.6,11.0,11.3,596900
2017-02-16,11.2,11.84,10.97,11.1,157400
2017-02-17,11.0,11.31,10.74,10.94,242900
2017-02-21,10.89,11.3,10.89,11.2,147600
2017-02-22,11.01,11.3,10.9,10.99,172500
2017-02-23,10.81,11.16,10.81,11.02,102800
2017-02-24,11.0,11.07,10.83,10.92,67400
2017-02-27,10.87,11.11,10.75,10.89,124600
2017-02-28,10.9,11.1,10.81,10.9,201700
2017-03-01,10.97,11.95,10.97,11.91,383500
2017-03-02,12.0,13.1,11.95,12.49,359000
2017-03-03,12.59,13.55,12.58,13.0,308700
2017-03-06,13.01,13.26,12.59,12.84,144300
2017-03-07,12.82,13.14,12.17,12.33,148100
2017-03-08,12.04,12.33,10.08,10.62,368900
2017-03-09,10.41,10.91,10.22,10.7,288500
2017-03-10,10.5,10.95,10.35,10.49,313700
2017-03-13,10.44,10.83,10.12,10.6,179400
2017-03-14,10.52,10.82,10.21,10.58,114800
2017-03-15,10.55,10.71,10.21,10.59,151200
2017-03-16,10.59,10.65,9.95,10.25,139200
2017-03-17,10.35,10.49,9.55,9.78,279700
2017-03-20,9.9,9.9,8.82,9.03,304900
2017-03-21,9.09,9.4,8.56,9.26,190100
2017-03-22,9.29,9.29,8.74,8.81,198400
2017-03-23,8.85,9.0,8.6,8.86,158400
2017-03-24,8.81,8.92,8.56,8.75,96500
2017-03-27,8.68,9.19,8.53,8.84,277600
2017-03-28,8.9,10.05,8.9,10.0,456900
2017-03-29,9.61,11.07,9.44,10.27,417300
2017-03-30,10.27,10.87,10.08,10.49,243100
2017-03-31,10.43,10.43,9.44,9.67,815600
2017-04-03,9.75,10.18,9.51,9.52,250400
2017-04-04,9.56,10.04,9.09,9.24,213600
2017-04-05,9.13,9.8,9.13,9.38,264000
2017-04-06,9.45,9.58,9.35,9.42,127500
2017-04-07,9.49,9.64,9.31,9.44,204000
2017-04-10,9.49,9.51,8.89,8.91,136400
2017-04-11,8.86,9.04,8.83,9.0,117700
2017-04-12,9.04,9.04,8.55,8.61,201300
2017-04-13,8.67,8.84,8.2,8.35,145300
2017-04-17,8.5,8.5,7.6,7.73,191300
2017-04-18,7.72,7.89,7.42,7.52,135800
2017-04-19,7.58,7.59,7.02,7.15,127900
2017-04-20,7.21,7.44,7.06,7.24,107100
2017-04-21,7.17,7.28,7.1,7.23,44100
2017-04-24,7.3,7.68,7.26,7.59,475400
2017-04-25,7.68,7.91,7.56,7.68,101300
2017-04-26,7.63,7.92,7.63,7.81,99000
2017-04-27,7.75,8.01,7.74,7.85,122200
2017-04-28,7.85,8.14,7.75,7.76,158800
2017-05-01,7.81,7.81,7.35,7.4,228900
2017-05-02,7.35,7.49,6.92,7.43,217500
2017-05-03,7.42,7.48,7.05,7.15,131600
2017-05-04,7.15,7.29,6.43,6.45,195300
2017-05-05,6.51,6.65,6.05,6.12,180600
2017-05-08,6.15,6.16,5.85,6.08,286700
2017-05-09,6.1,6.11,5.86,5.94,133800
2017-05-10,5.96,5.99,5.66,5.87,231500
2017-05-11,6.06,6.46,5.78,6.11,270100
2017-05-12,6.15,6.49,6.12,6.32,357300
2017-05-15,6.52,6.74,6.22,6.42,281800
2017-05-16,6.43,6.43,5.74,5.91,285800
2017-05-17,5.85,6.67,5.85,6.35,429900
2017-05-18,6.35,6.41,6.14,6.31,143300
2017-05-19,6.35,6.74,6.14,6.52,227900
2017-05-22,6.54,7.22,6.54,7.08,187000
2017-05-23,7.14,7.7,7.04,7.41,214600
2017-05-24,7.48,7.5,6.78,6.88,183100
2017-05-25,6.98,7.06,6.57,6.66,206700
2017-05-26,6.68,6.96,6.31,6.57,199600
2017-05-30,6.53,6.85,6.42,6.45,181200
2017-05-31,6.3,6.57,6.17,6.28,169500
2017-06-01,6.1,6.36,6.1,6.14,69300
2017-06-02,6.16,6.32,5.86,5.89,212700
2017-06-05,5.85,5.99,5.53,5.58,241300
2017-06-06,5.56,5.92,5.51,5.85,105800
2017-06-07,5.83,5.93,5.71,5.76,98500
2017-06-08,5.5,5.75,5.27,5.48,198400
2017-06-09,5.49,5.67,5.34,5.4,51900
2017-06-12,5.41,5.78,5.25,5.31,97300
2017-06-13,5.33,5.7,5.17,5.33,113300
2017-06-14,5.34,5.58,5.2,5.24,124900
2017-06-15,5.29,5.3,5.01,5.14,177500
2017-06-16,5.1,5.29,5.03,5.12,127000
2017-06-19,5.13,5.38,5.13,5.2,71300
2017-06-20,5.16,5.31,5.04,5.19,72800
2017-06-21,5.2,5.36,5.16,5.22,157500
2017-06-22,5.22,5.7,5.22,5.6,132000
2017-06-23,5.49,5.54,5.25,5.47,313300
2017-06-26,5.49,5.64,5.32,5.42,91500
2017-06-27,5.42,6.34,5.08,5.77,295900
2017-06-28,5.81,6.1,5.6,5.82,211400
2017-06-29,5.8,6.36,5.45,6.23,303500
2017-06-30,6.29,6.47,5.85,6.05,220700
2017-07-03,6.09,6.41,5.89,6.03,45000
2017-07-05,5.86,6.0,5.75,5.8,57300
2017-07-06,5.56,6.32,5.3,5.98,203100
2017-07-07,6.01,6.12,5.81,5.88,60800
2017-07-10,5.76,6.19,5.76,6.02,69600
2017-07-11,5.99,6.32,5.75,6.32,58900
2017-07-12,6.32,6.4,6.02,6.34,85800
2017-07-13,6.29,6.35,6.01,6.24,58500
2017-07-14,6.17,6.38,6.17,6.32,36500
2017-07-17,6.42,6.81,6.18,6.55,170400
2017-07-18,6.51,6.62,6.42,6.58,100300
2017-07-19,6.64,7.14,6.64,7.11,72000
2017-07-20,7.07,7.08,6.74,6.76,102900
2017-07-21,6.91,6.91,6.47,6.66,222300
2017-07-24,6.99,6.99,6.5,6.58,57300
2017-07-25,6.58,6.89,6.49,6.78,153700
2017-07-26,6.71,6.94,6.3,6.87,153500
2017-07-27,6.87,6.88,6.62,6.68,102600
2017-07-28,6.73,6.76,6.12,6.25,155300
2017-07-31,6.25,6.7,6.13,6.31,154400
2017-08-01,6.36,6.65,6.33,6.46,105600
2017-08-02,6.47,6.6,6.35,6.53,143100
2017-08-03,6.6,6.95,6.45,6.66,200200
2017-08-04,6.79,7.49,6.71,7.1,317700
2017-08-07,7.19,7.63,7.19,7.47,196500
2017-08-08,7.62,7.87,7.32,7.83,210600
2017-08-09,7.94,7.94,7.42,7.6,117900
2017-08-10,7.55,7.75,7.45,7.5,68300
2017-08-11,7.46,7.7,7.11,7.2,125500
2017-08-14,7.17,7.26,6.62,6.8,191200
2017-08-15,6.5,7.38,6.36,6.59,158400
2017-08-16,6.7,6.78,6.48,6.7,65600
2017-08-17,6.67,7.02,6.67,7.01,105100
2017-08-18,6.95,7.1,6.91,7.02,88400
2017-08-21,7.08,7.35,7.01,7.13,146400
2017-08-22,7.29,7.5,7.26,7.43,92700
2017-08-23,7.35,8.3,7.35,7.88,221600
2017-08-24,7.94,8.04,7.71,7.74,74300
2017-08-25,7.77,8.08,7.62,7.98,233500
2017-08-28,8.03,8.3,7.91,8.13,134500
2017-08-29,8.03,8.22,7.8,7.92,145900
2017-08-30,7.92,8.12,7.76,7.84,50500
2017-08-31,7.84,8.2,7.59,7.77,122900
2017-09-01,7.7,8.07,7.7,7.83,215600
2017-09-05,7.77,7.98,7.51,7.68,145400
2017-09-06,7.68,7.96,7.53,7.59,121800
2017-09-07,7.55,7.86,7.38,7.5,171900
2017-09-08,7.51,7.69,7.27,7.35,210600
2017-09-11,7.5,7.92,7.26,7.29,127600
2017-09-12,7.25,7.35,6.96,6.98,97800
2017-09-13,7.03,7.42,6.91,7.11,107000
2017-09-14,7.24,7.24,6.96,7.1,71200
2017-09-15,7.07,7.07,6.92,6.97,201400
2017-09-18,6.91,7.05,6.8,6.84,100000
2017-09-19,6.86,7.02,6.54,6.74,41700
2017-09-20,6.92,7.06,6.51,6.89,110400
2017-09-21,6.87,6.92,6.68,6.77,61700
2017-09-22,6.69,7.09,6.67,6.81,142500
2017-09-25,6.85,7.06,6.85,6.95,115000
2017-09-26,7.0,7.07,6.78,6.82,81300
2017-09-27,6.76,7.04,6.62,6.87,110500
2017-09-28,6.8,6.9,6.61,6.74,155900
2017-09-29,6.73,6.9,6.43,6.63,181900
2017-10-02,6.66,6.95,6.63,6.91,123300
2017-10-03,6.87,6.95,6.8,6.85,57600
2017-10-04,6.86,6.95,6.78,6.8,84600
2017-10-05,6.9,6.92,6.8,6.84,80300
2017-10-06,6.76,6.88,6.61,6.62,67000
2017-10-09,6.57,6.58,6.45,6.51,53200
2017-10-10,6.49,6.52,6.14,6.27,70400
2017-10-11,6.24,6.53,6.18,6.43,65700
2017-10-12,6.36,6.49,6.29,6.34,50200
2017-10-13,6.38,6.41,6.19,6.21,64100
2017-10-16,6.37,6.39,6.0,6.04,52500
2017-10-17,6.46,6.46,6.03,6.26,44000
2017-10-18,6.26,6.3,5.97,6.08,160700
2017-10-19,6.05,6.21,6.03,6.11,235300
2017-10-20,6.14,6.42,6.14,6.31,57200
2017-10-23,6.35,6.54,6.14,6.2,67200
2017-10-24,6.41,6.41,6.13,6.17,49700
2017-10-25,6.15,6.41,6.05,6.12,54200
2017-10-26,6.12,6.12,6.0,6.01,50000
2017-10-27,6.03,6.14,5.89,5.92,105100
2017-10-30,5.9,5.99,5.63,5.74,80200
2017-10-31,5.78,5.91,5.65,5.86,81900
2017-11-01,5.81,6.18,5.77,6.04,153800
