DateTime,Open,High,Low,Close,Volume
2010-08-13,26.85,27.0,24.6,25.12,1003000
2010-08-16,24.51,26.12,23.5,24.67,449400
2010-08-17,25.35,32.5,24.9,31.95,939500
2010-08-18,33.25,36.19,30.61,32.79,1175500
2010-08-19,31.62,34.49,29.66,30.47,591100
2010-08-20,30.55,30.55,27.5,28.05,464000
2010-08-23,28.37,31.5,28.37,30.1,463700
2010-08-24,29.48,33.03,29.1,32.3,442500
2010-08-25,31.8,32.93,30.5,31.3,341200
2010-08-26,31.7,34.0,30.5,33.63,740100
2010-08-27,34.0,35.36,33.34,34.81,431100
2010-08-30,35.4,35.4,33.29,33.4,164100
2010-08-31,33.24,35.0,31.36,34.0,330800
2010-09-01,34.68,35.38,32.5,33.14,267500
2010-09-02,32.41,33.25,31.75,32.66,193000
2010-09-03,33.5,33.92,32.35,32.9,125500
2010-09-07,32.51,33.1,31.3,32.04,125100
2010-09-08,32.29,33.75,30.89,33.65,246300
2010-09-09,35.35,37.47,35.16,36.68,1269500
2010-09-10,37.09,37.8,36.06,36.68,409000
2010-09-13,36.97,39.88,36.04,39.68,705500
2010-09-14,39.82,41.12,37.3,37.7,722400
2010-09-15,37.05,39.45,36.41,38.39,351400
2010-09-16,40.31,41.47,39.35,40.47,771400
2010-09-17,40.85,40.98,37.72,38.62,417900
2010-09-20,39.27,39.39,37.5,37.77,286600
2010-09-21,35.65,38.18,34.07,34.07,907000
2010-09-22,34.02,35.49,32.8,33.29,350500
2010-09-23,33.3,38.4,33.15,38.0,910300
2010-09-24,38.72,41.0,38.5,39.05,599000
2010-09-27,39.71,42.88,38.17,40.25,566000
2010-09-28,40.38,41.0,38.76,39.62,329300
2010-09-29,39.3,40.53,38.42,39.71,249200
2010-09-30,39.98,40.4,38.0,38.78,181600
2010-10-01,38.76,39.88,37.61,38.6,171100
2010-10-04,38.0,38.3,37.1,38.3,307600
2010-10-05,39.4,40.8,37.0,37.33,299600
2010-10-06,37.65,38.0,34.62,35.46,413100
2010-10-07,35.7,36.1,33.75,34.51,239300
2010-10-08,34.18,35.45,34.1,35.16,197500
2010-10-11,35.75,38.38,35.5,37.44,361400
2010-10-12,37.84,37.9,35.6,37.11,151900
2010-10-13,37.89,38.43,37.31,37.61,115300
2010-10-14,37.75,37.75,36.0,36.86,128600
2010-10-15,38.8,38.8,37.33,37.61,174300
2010-10-18,38.0,38.0,37.0,37.17,84000
2010-10-19,36.88,37.08,35.64,35.9,151200
2010-10-20,35.89,37.5,35.73,37.16,78100
2010-10-21,37.5,40.36,37.15,37.76,581700
2010-10-22,38.61,39.6,37.0,38.87,162600
2010-10-25,39.49,40.15,37.05,37.25,381400
2010-10-26,37.35,38.75,37.03,38.28,217700
2010-10-27,38.62,38.9,36.1,37.88,491200
2010-10-28,38.25,39.37,36.75,36.88,324600
2010-10-29,37.0,37.5,36.06,36.17,190500
2010-11-01,36.89,37.04,35.65,35.89,132300
2010-11-02,35.96,36.0,33.3,33.59,474600
2010-11-03,34.32,34.8,33.7,33.96,201400
2010-11-04,34.43,34.78,33.35,33.37,196700
2010-11-05,33.25,33.76,31.75,32.09,321600
2010-11-08,31.88,32.01,30.6,32.0,507400
2010-11-09,33.32,34.0,32.56,33.3,506700
2010-11-10,33.0,34.93,32.85,34.42,381300
2010-11-11,34.5,38.9,33.7,38.76,1083500
2010-11-12,38.25,39.6,37.09,38.15,590600
2010-11-15,32.31,33.44,28.0,28.02,2877200
2010-11-16,27.55,28.74,26.22,27.94,1103200
2010-11-17,28.03,28.5,27.01,27.51,283000
2010-11-18,27.56,28.25,27.25,27.33,308300
2010-11-19,27.08,27.58,26.88,27.06,373000
2010-11-22,26.84,30.3,26.3,29.92,676600
2010-11-23,29.41,29.57,28.14,28.68,245300
2010-11-24,28.32,29.3,28.0,28.96,153700
2010-11-26,28.62,29.25,28.56,28.99,41100
2010-11-29,28.61,28.84,28.0,28.54,96000
2010-11-30,28.33,29.3,28.0,28.51,233900
2010-12-01,28.54,29.1,27.2,28.43,487000
2010-12-02,28.25,29.03,28.08,28.36,229800
2010-12-03,28.25,28.48,27.49,27.99,175900
2010-12-06,27.75,27.98,27.16,27.37,118400
2010-12-07,27.34,27.67,26.51,26.62,198400
2010-12-08,27.25,27.25,25.52,25.77,214400
2010-12-09,25.71,25.86,23.91,24.22,495600
2010-12-10,24.22,25.14,23.81,24.95,445200
2010-12-13,25.1,26.14,24.68,25.39,268700
2010-12-14,25.5,26.18,25.41,25.98,189000
2010-12-15,26.31,26.88,25.95,26.54,140800
2010-12-16,26.93,27.1,25.89,26.94,147700
2010-12-17,27.09,28.99,26.52,28.95,435600
2010-12-20,28.7,28.93,27.64,28.68,234500
2010-12-21,28.48,28.6,27.66,27.96,191200
2010-12-22,28.0,28.19,27.51,27.95,72800
2010-12-23,27.82,28.05,27.78,27.9,71300
2010-12-27,28.43,28.43,27.52,27.52,152200
