DateTime,Open,High,Low,Close,Volume
2000-01-04,0.0449,0.0456,0.043,0.043,2438400
2000-01-05,0.0443,0.0456,0.043,0.043,1430400
2000-01-06,0.0433,0.0443,0.043,0.0443,2400000
2000-01-07,0.0433,0.0469,0.043,0.0433,5251200
2000-01-10,0.0439,0.0443,0.0433,0.0436,6307200
2000-01-11,0.0449,0.0456,0.0433,0.0456,6038400
2000-01-12,0.0446,0.0456,0.0433,0.0436,2745600
2000-01-13,0.0443,0.0456,0.0436,0.0436,3590400
2000-01-14,0.0443,0.0456,0.0436,0.0449,2140800
2000-01-18,0.0456,0.0456,0.0443,0.0456,3139200
2000-01-19,0.0443,0.0456,0.0443,0.0443,700800
2000-01-20,0.0448,0.0452,0.0443,0.0452,2198400
2000-01-21,0.0449,0.0456,0.0443,0.0443,1132800
2000-01-24,0.0452,0.0456,0.0443,0.0443,3225600
2000-01-25,0.0452,0.0462,0.0449,0.0456,4444800
2000-01-26,0.0462,0.0482,0.0449,0.0475,7276800
2000-01-27,0.0474,0.0479,0.0449,0.0449,4483200
2000-01-28,0.0456,0.0462,0.0449,0.0456,1008000
2000-01-31,0.0456,0.0469,0.0449,0.0469,6585600
2000-02-01,0.0462,0.0469,0.0456,0.0462,1910400
2000-02-02,0.0469,0.0469,0.0456,0.0465,2678400
2000-02-03,0.0465,0.0469,0.0449,0.0456,6691200
2000-02-04,0.0462,0.0469,0.0446,0.0456,2774400
2000-02-07,0.0465,0.0475,0.0449,0.0469,3456000
2000-02-08,0.0464,0.0464,0.0446,0.0452,2265600
2000-02-09,0.0452,0.0456,0.0446,0.0456,3091200
2000-02-10,0.0446,0.0456,0.0443,0.0443,2659200
2000-02-11,0.0443,0.0456,0.0443,0.0449,1516800
2000-02-14,0.0448,0.0449,0.0443,0.0443,2889600
2000-02-15,0.0443,0.0456,0.0443,0.0443,835200
2000-02-16,0.0443,0.0449,0.0443,0.0443,2025600
2000-02-17,0.0443,0.0449,0.043,0.0449,3475200
2000-02-18,0.043,0.0449,0.0426,0.0426,2064000
2000-02-22,0.0433,0.0443,0.0417,0.0417,1449600
2000-02-23,0.0443,0.0443,0.0417,0.043,1872000
2000-02-24,0.0439,0.0443,0.042,0.0443,2688000
2000-02-25,0.0452,0.0456,0.0443,0.0446,2246400
2000-02-28,0.0449,0.0449,0.043,0.0449,4348800
2000-02-29,0.0439,0.0443,0.042,0.0436,5241600
2000-03-01,0.0439,0.0443,0.0423,0.0436,4512000
2000-03-02,0.0433,0.0436,0.043,0.043,1881600
2000-03-03,0.0436,0.0443,0.0417,0.043,6201600
2000-03-06,0.0436,0.0449,0.0423,0.0436,8630400
2000-03-07,0.0436,0.0443,0.043,0.0443,2073600
2000-03-08,0.0436,0.0439,0.0423,0.0436,2188800
2000-03-09,0.0439,0.0443,0.0423,0.0423,4435200
2000-03-10,0.0436,0.0449,0.043,0.0443,5452800
2000-03-13,0.0443,0.0449,0.043,0.043,6585600
2000-03-14,0.0439,0.0449,0.043,0.0436,2726400
2000-03-15,0.0443,0.0449,0.043,0.0443,2361600
2000-03-16,0.0439,0.0449,0.043,0.0436,3552000
2000-03-17,0.0436,0.0456,0.043,0.0439,3897600
2000-03-20,0.0443,0.0443,0.0436,0.0443,3916800
2000-03-21,0.0449,0.0456,0.0439,0.0439,1046400
2000-03-22,0.0449,0.0449,0.0436,0.0443,2361600
2000-03-23,0.0443,0.0449,0.0436,0.0443,1699200
2000-03-24,0.0443,0.0456,0.0436,0.0449,3398400
2000-03-27,0.0446,0.0449,0.0436,0.0443,2428800
2000-03-28,0.0449,0.0456,0.0439,0.0439,2284800
2000-03-29,0.0439,0.0456,0.0436,0.0456,4963200
2000-03-30,0.0449,0.0469,0.0449,0.0462,3667200
2000-03-31,0.0456,0.0469,0.0443,0.0469,4435200
2000-04-03,0.0456,0.0469,0.0456,0.0462,2860800
2000-04-04,0.0469,0.0469,0.0449,0.0449,2390400
2000-04-05,0.0459,0.0469,0.0443,0.0469,1612800
