DateTime,Open,High,Low,Close,Volume
2003-07-03,13.5667,13.7667,13.4333,13.7333,434400
2003-07-07,13.7333,14.3333,13.7333,14.3333,1237950
2003-07-08,14.8,15.0667,14.6,14.6333,955350
2003-07-09,14.6333,15.0,14.4,15.0,454200
2003-07-10,15.0,15.3333,14.8667,15.0,488400
2003-07-11,14.9,15.1667,14.6,14.6667,170100
2003-07-14,14.6667,15.1333,14.6667,15.0467,428400
2003-07-15,15.0,15.4333,14.9333,15.3333,199950
2003-07-16,15.4,15.4,15.2667,15.3133,281250
2003-07-17,15.3,15.4667,15.1333,15.4667,204450
2003-07-18,15.5,15.7,15.42,15.7,179550
2003-07-21,15.7333,15.9333,15.6733,15.9267,88800
2003-07-22,15.9333,16.1667,15.8333,16.1667,168900
2003-07-23,16.3333,16.66,16.0667,16.4667,204150
2003-07-24,16.8667,16.8667,15.8333,16.0667,159150
2003-07-25,16.2333,16.2333,15.9,16.0333,68400
2003-07-28,16.0667,16.0933,15.6,16.0933,140700
2003-07-29,16.0933,16.0933,15.9,16.0,30000
2003-07-30,16.0,16.7333,15.9333,16.6667,72000
2003-07-31,16.8333,16.8333,15.8,15.8,95100
2003-08-01,15.7333,15.8,15.4067,15.5867,170100
2003-08-04,15.5333,15.5333,15.0,15.3333,224400
2003-08-05,15.2,15.3667,15.0667,15.2667,140850
2003-08-06,15.2667,15.3,14.5,14.7,281250
2003-08-07,14.6733,14.9667,14.6333,14.9667,183750
2003-08-08,14.9667,15.3333,14.9667,15.3,34950
2003-08-11,15.2667,15.2667,14.48,14.8667,547800
2003-08-12,15.1333,15.4667,14.0333,14.4,448950
2003-08-13,14.5667,14.6933,14.2,14.3267,345900
2003-08-14,14.3,14.3333,14.2267,14.2333,136050
2003-08-15,14.2667,14.4667,14.26,14.3667,95250
2003-08-18,14.4,15.1333,14.4,14.8667,209550
2003-08-19,15.0333,15.5,14.6667,15.4333,219600
2003-08-20,15.5,15.7333,15.4667,15.7333,44700
2003-08-21,15.8333,16.0667,15.7333,15.8667,161700
2003-08-22,16.1,16.1333,15.8333,15.9667,165300
2003-08-25,15.9667,16.1,15.9667,16.0,141150
2003-08-26,15.9333,15.9333,15.56,15.6667,355350
2003-08-27,15.6333,16.0333,15.6333,15.9333,10200
2003-08-28,16.0,16.0,15.8333,15.8667,6300
2003-08-29,15.8,15.8333,15.4333,15.8333,81000
2003-09-02,15.8333,15.86,15.5333,15.5333,47550
2003-09-03,15.5333,15.78,14.7333,14.8133,265800
2003-09-04,15.6667,15.6667,14.6333,14.9867,279000
2003-09-05,14.98,15.26,14.8,15.26,110250
2003-09-08,15.3333,16.2333,15.3333,16.0333,140100
2003-09-09,16.0667,16.8,16.0067,16.2867,172050
2003-09-10,16.3,16.3667,16.1133,16.3133,152250
2003-09-11,16.32,16.3667,16.1,16.1,15300
2003-09-12,16.1067,16.74,16.0467,16.7333,45750
2003-09-15,16.8533,17.6667,16.8533,17.5,217200
2003-09-16,17.5,17.5,16.5333,16.6667,109800
2003-09-17,16.8333,17.3333,16.5667,16.7333,121500
2003-09-18,16.6867,16.8667,16.6333,16.6667,31800
2003-09-19,16.7333,16.8,16.4,16.66,79350
2003-09-22,16.7,16.7,16.5333,16.66,49200
2003-09-23,16.6667,16.8667,16.6,16.82,30150
2003-09-24,16.9333,17.0,16.5,16.7667,91350
2003-09-25,16.7667,16.92,16.6667,16.8,56400
2003-09-26,16.7667,16.7667,16.0667,16.08,73050
2003-09-29,16.1333,16.48,16.1133,16.4,160650
2003-09-30,16.3667,18.5,16.3,18.5,350700
2003-10-01,18.4333,18.44,17.8333,17.9267,860100
2003-10-02,17.9333,17.9333,17.5667,17.8,450750
2003-10-03,17.9,18.3667,17.9,18.3667,89850
2003-10-06,18.4333,18.9,18.4333,18.6933,167400
2003-10-07,18.6,18.8267,17.9,17.9333,65400
2003-10-08,18.1,18.2333,17.7867,18.0667,37200
2003-10-09,18.0133,18.4933,18.0,18.4933,35850
2003-10-10,18.56,18.56,17.9333,17.9333,30450
2003-10-13,17.8667,18.7333,17.8667,18.5,57600
2003-10-14,18.5,18.6,18.3333,18.3333,25650
2003-10-15,18.4333,18.4333,18.1,18.1667,101700
2003-10-16,18.0,18.1333,17.7733,17.8,217950
2003-10-17,18.0333,18.0333,17.8,17.9933,30000
2003-10-20,17.8667,18.06,17.4333,18.0333,70200
2003-10-21,18.04,19.0333,18.0,18.84,66300
2003-10-22,18.8533,19.04,18.5667,18.5667,69150
2003-10-23,18.6,18.8667,18.6,18.7667,41400
2003-10-24,18.8333,18.8667,18.7133,18.8333,40650
2003-10-27,18.9,18.9,18.6667,18.7467,53850
2003-10-28,18.8333,19.2333,18.6667,19.2,18900
2003-10-29,19.1333,19.3333,19.0667,19.3333,4800
2003-10-30,19.3333,19.3333,18.5533,18.6467,65850
2003-10-31,18.6467,18.6933,18.4333,18.6,26550
2003-11-03,18.6667,18.6933,17.3333,17.3333,51900
2003-11-04,17.4,17.7667,17.22,17.22,31950
2003-11-05,17.1533,17.2,16.9333,17.2,76050
2003-11-06,16.8333,16.8667,15.7333,16.0333,1087800
2003-11-07,16.0,16.2667,15.8667,16.0667,233700
2003-11-10,16.3333,16.3333,15.2,15.3333,328350
2003-11-11,15.2933,15.56,15.2333,15.24,34350
2003-11-12,15.1733,15.18,14.5,15.1333,250050
2003-11-13,15.1667,15.7667,14.8333,15.08,254400
2003-11-14,15.2467,15.4267,15.2467,15.3733,61650
2003-11-17,15.3,15.7733,15.2333,15.7067,87750
2003-11-18,15.7667,16.5,15.7667,16.2333,97350
2003-11-19,16.3,16.6333,16.2333,16.4667,39450
2003-11-20,16.3667,16.42,16.3,16.3333,26400
2003-11-21,16.2667,16.3067,16.1,16.1933,11550
2003-11-24,16.2667,16.2667,16.1467,16.1667,12900
2003-11-25,16.0667,16.0667,15.4,15.4067,515700
2003-11-26,15.3333,15.6667,15.3333,15.4133,204150
2003-11-28,15.4067,15.4133,15.3867,15.4,52350
2003-12-01,15.3667,15.5,15.2333,15.2333,303750
2003-12-02,15.2333,15.64,15.2333,15.44,107550
2003-12-03,15.4333,15.4333,15.3467,15.3667,72150
2003-12-04,15.4,15.4867,15.2533,15.3333,177600
2003-12-05,15.3333,15.4333,15.3267,15.3533,123300
2003-12-08,15.34,15.3867,15.3333,15.34,15300
