DateTime,Open,High,Low,Close,Volume
2002-08-29,0.93,1.083,0.858,1.04,6492000
2002-08-30,1.063,1.135,1.051,1.129,2653000
2002-09-03,1.09,1.193,1.075,1.163,3527000
2002-09-04,1.18,1.245,1.175,1.239,3500000
2002-09-05,1.22,1.34,1.22,1.3,9830000
2002-09-06,1.307,1.373,1.169,1.193,7756000
2002-09-09,1.178,1.261,1.178,1.21,4988000
2002-09-10,1.229,1.23,1.145,1.163,3058000
2002-09-11,1.15,1.155,1.101,1.106,3407000
2002-09-12,1.099,1.1,1.005,1.055,5489000
2002-09-13,1.04,1.106,1.003,1.06,3720000
2002-09-16,1.053,1.069,1.009,1.021,3619000
2002-09-17,1.057,1.082,0.984,1.029,5573000
2002-09-18,0.99,1.025,0.976,1.025,5504000
2002-09-19,0.99,1.009,0.978,0.99,7584000
2002-09-20,0.998,1.02,0.986,1.007,2771000
2002-09-23,1.006,1.019,0.981,1.009,4049000
2002-09-24,1.0,1.008,0.952,0.972,4412000
2002-09-25,0.98,0.99,0.913,0.934,5395000
2002-09-26,0.95,0.971,0.895,0.911,1787000
2002-09-27,0.914,0.928,0.845,0.848,2741000
2002-09-30,0.845,0.853,0.807,0.813,2978000
2002-10-01,0.816,0.839,0.752,0.807,5329000
2002-10-02,0.805,0.807,0.729,0.747,2529000
2002-10-03,0.733,0.825,0.733,0.82,3827000
2002-10-04,0.827,0.831,0.745,0.762,1572000
2002-10-07,0.765,0.765,0.716,0.75,914000
2002-10-08,0.736,0.775,0.716,0.74,1380000
2002-10-09,0.738,0.795,0.725,0.74,1619000
2002-10-10,0.75,0.825,0.732,0.82,1451000
2002-10-11,0.821,0.977,0.821,0.94,3149000
2002-10-14,0.93,0.994,0.929,0.95,5530000
2002-10-15,0.982,1.019,0.942,0.981,1830000
2002-10-16,0.97,0.974,0.906,0.927,1858000
2002-10-17,0.96,1.11,0.956,1.11,3269000
2002-10-18,1.098,1.325,1.075,1.303,4228000
2002-10-21,1.307,1.445,1.27,1.28,6768000
2002-10-22,1.26,1.374,1.219,1.285,4782000
2002-10-23,1.3,1.32,1.25,1.308,2105000
2002-10-24,1.29,1.414,1.25,1.26,9105000
2002-10-25,1.17,1.305,1.05,1.282,7464000
2002-10-28,1.32,1.33,1.275,1.278,2469000
2002-10-29,1.279,1.283,1.163,1.191,3504000
2002-10-30,1.189,1.226,1.172,1.21,3633000
2002-10-31,1.239,1.27,1.201,1.227,3535000
2002-11-01,1.211,1.285,1.201,1.285,2702000
2002-11-04,1.301,1.519,1.296,1.503,7395000
2002-11-05,1.519,1.525,1.409,1.43,5116000
2002-11-06,1.446,1.475,1.408,1.475,1863000
2002-11-07,1.446,1.446,1.366,1.37,1482000
2002-11-08,1.365,1.387,1.29,1.307,1216000
2002-11-11,1.295,1.299,1.221,1.229,1337000
2002-11-12,1.23,1.32,1.225,1.305,2072000
2002-11-13,1.281,1.35,1.225,1.344,2331000
2002-11-14,1.425,1.501,1.381,1.446,4145000
2002-11-15,1.402,1.494,1.361,1.494,1643000
2002-11-18,1.495,1.688,1.49,1.62,6554000
2002-11-19,1.659,1.66,1.531,1.536,1618000
2002-11-20,1.544,1.733,1.54,1.733,5727000
2002-11-21,1.735,1.95,1.721,1.81,9066000
2002-11-22,1.803,1.89,1.791,1.816,2667000
2002-11-25,1.85,1.914,1.768,1.861,3952000
2002-11-26,1.851,1.869,1.75,1.798,2406000
2002-11-27,1.83,1.875,1.804,1.815,3159000
2002-11-29,1.853,1.853,1.817,1.824,1034000
2002-12-02,1.87,2.018,1.855,1.955,4769000
2002-12-03,1.955,1.955,1.785,1.85,2466000
2002-12-04,1.833,1.9,1.8,1.872,3972000
2002-12-05,1.889,1.929,1.78,1.795,1921000
2002-12-06,1.792,1.8,1.725,1.727,3584000
2002-12-09,1.725,1.726,1.54,1.58,3840000
2002-12-10,1.616,1.645,1.597,1.628,1535000
2002-12-11,1.63,1.78,1.626,1.762,2838000
2002-12-12,1.792,1.796,1.648,1.648,1801000
2002-12-13,1.645,1.683,1.569,1.575,2037000
2002-12-16,1.595,1.609,1.527,1.555,2116000
2002-12-17,1.555,1.56,1.499,1.517,2179000
2002-12-18,1.5,1.504,1.447,1.483,1804000
2002-12-19,1.481,1.525,1.431,1.476,1519000
2002-12-20,1.49,1.49,1.446,1.47,1404000
2002-12-23,1.444,1.499,1.444,1.493,615000
2002-12-24,1.503,1.515,1.413,1.44,1023000
2002-12-26,1.413,1.45,1.392,1.402,989000
2002-12-27,1.39,1.404,1.358,1.381,1387000
2002-12-30,1.36,1.403,1.315,1.403,1564000
2002-12-31,1.381,1.557,1.38,1.51,4140000
2003-01-02,1.525,1.607,1.515,1.589,2116000
2003-01-03,1.599,1.607,1.535,1.545,934000
2003-01-06,1.537,1.725,1.537,1.69,2825000
2003-01-07,1.733,1.77,1.7,1.765,3428000
2003-01-08,1.743,1.751,1.675,1.685,2787000
2003-01-09,1.712,1.762,1.692,1.73,1658000
2003-01-10,1.723,1.723,1.68,1.701,1608000
2003-01-13,1.729,1.799,1.725,1.798,1087000
2003-01-14,1.76,1.82,1.76,1.816,1018000
2003-01-15,1.822,1.86,1.773,1.807,1718000
2003-01-16,1.798,1.87,1.798,1.861,1656000
2003-01-17,1.85,1.857,1.767,1.77,2670000
2003-01-21,1.76,1.766,1.609,1.638,2592000
2003-01-22,1.616,1.641,1.558,1.593,1709000
2003-01-23,1.607,1.655,1.575,1.63,2264000
2003-01-24,1.631,1.631,1.518,1.545,1784000
2003-01-27,1.52,1.596,1.485,1.505,2520000
2003-01-28,1.565,1.683,1.519,1.663,3737000
2003-01-29,1.666,1.836,1.63,1.78,3054000
2003-01-30,1.797,1.83,1.61,1.614,7827000
2003-01-31,1.847,2.128,1.791,2.078,31270000
2003-02-03,2.07,2.23,2.031,2.171,11378000
2003-02-04,2.136,2.224,2.063,2.128,5625000
2003-02-05,2.14,2.195,2.11,2.181,4114000
2003-02-06,2.151,2.16,2.055,2.09,3287000
2003-02-07,2.09,2.148,2.052,2.069,2361000
2003-02-10,2.06,2.07,2.002,2.048,1762000
2003-02-11,2.051,2.105,2.049,2.089,5045000
2003-02-12,1.99,2.022,1.869,1.932,9872000
2003-02-13,1.939,1.983,1.87,1.956,3421000
2003-02-14,1.976,2.084,1.97,2.082,3708000
2003-02-18,2.089,2.179,2.08,2.1,4045000
2003-02-19,2.108,2.118,2.068,2.107,2724000
2003-02-20,2.1,2.16,2.071,2.12,1375000
2003-02-21,2.128,2.145,2.08,2.128,2475000
2003-02-24,2.137,2.185,2.121,2.17,1937000
2003-02-25,2.155,2.17,2.075,2.127,2449000
2003-02-26,2.127,2.135,2.087,2.114,1707000
2003-02-27,2.111,2.125,1.967,2.002,4028000
2003-02-28,2.013,2.023,1.905,1.93,4168000
2003-03-03,1.922,2.059,1.922,2.003,4408000
2003-03-04,2.01,2.114,1.962,2.095,3496000
2003-03-05,2.111,2.111,2.031,2.082,1923000
2003-03-06,2.097,2.185,2.027,2.152,2992000
2003-03-07,2.111,2.34,2.105,2.26,10424000
2003-03-10,2.271,2.271,2.085,2.128,6827000
2003-03-11,2.099,2.168,2.085,2.141,1965000
2003-03-12,2.145,2.268,2.111,2.213,3514000
2003-03-13,2.27,2.459,2.25,2.42,6170000
2003-03-14,2.458,2.488,2.3,2.422,5250000
2003-03-17,2.396,2.573,2.358,2.472,5606000
2003-03-18,2.505,2.536,2.433,2.445,2541000
2003-03-19,2.433,2.435,2.348,2.374,5998000
2003-03-20,2.385,2.52,2.36,2.5,2288000
2003-03-21,2.52,2.588,2.477,2.545,2445000
2003-03-24,2.474,2.515,2.425,2.427,1876000
2003-03-25,2.435,2.694,2.431,2.59,5067000
2003-03-26,2.596,2.699,2.501,2.514,5259000
2003-03-27,2.496,2.548,2.418,2.506,4360000
2003-03-28,2.518,2.554,2.24,2.306,8044000
2003-03-31,2.3,2.445,2.246,2.411,4235000
2003-04-01,2.444,2.453,2.363,2.439,4958000
2003-04-02,2.501,2.594,2.48,2.56,4939000
2003-04-03,2.629,2.729,2.58,2.69,5814000
2003-04-04,2.7,2.738,2.6,2.639,3149000
2003-04-07,2.759,2.78,2.661,2.704,4560000
2003-04-08,2.7,2.727,2.668,2.699,3050000
2003-04-09,2.695,2.724,2.495,2.537,3950000
2003-04-10,2.521,2.63,2.468,2.625,2814000
2003-04-11,2.624,2.692,2.602,2.613,2257000
2003-04-14,2.615,2.714,2.615,2.662,1967000
2003-04-15,2.692,2.763,2.675,2.737,1772000
2003-04-16,2.802,2.845,2.74,2.766,3171000
2003-04-17,2.769,2.967,2.755,2.938,4103000
2003-04-21,2.99,3.094,2.98,3.03,6601000
2003-04-22,3.05,3.09,3.0,3.011,4368000
2003-04-23,3.012,3.025,2.933,2.995,3641000
2003-04-24,2.979,3.019,2.969,3.017,2841000
2003-04-25,3.019,3.068,2.99,3.035,2795000
2003-04-28,3.062,3.182,3.05,3.161,7894000
2003-04-29,3.206,3.292,3.162,3.279,10787000
2003-04-30,2.757,2.85,2.711,2.761,47858000
2003-05-01,2.75,2.899,2.66,2.875,14760000
2003-05-02,2.879,2.958,2.85,2.875,7155000
2003-05-05,2.915,2.915,2.8,2.814,5919000
2003-05-06,2.801,2.84,2.77,2.77,5891000
2003-05-07,2.76,2.789,2.67,2.699,5806000
2003-05-08,2.675,2.729,2.66,2.68,2046000
2003-05-09,2.688,2.769,2.688,2.728,3619000
2003-05-12,2.748,2.78,2.708,2.76,3609000
2003-05-13,2.76,2.85,2.742,2.822,5601000
2003-05-14,2.824,2.922,2.817,2.911,5825000
2003-05-15,2.913,3.029,2.911,2.999,4483000
2003-05-16,2.988,3.025,2.953,2.982,5081000
2003-05-19,2.972,3.001,2.898,2.904,3716000
2003-05-20,2.919,2.956,2.852,2.879,3416000
2003-05-21,2.868,2.879,2.815,2.819,2454000
2003-05-22,2.998,3.085,2.951,3.073,10025000
2003-05-23,3.125,3.265,3.07,3.246,9289000
2003-05-27,3.28,3.566,3.273,3.54,13880000
2003-05-28,3.543,3.7,3.518,3.545,7460000
2003-05-29,3.535,3.572,3.438,3.493,8610000
