DateTime,Open,High,Low,Close,Volume
2004-12-20,39.9099,39.9501,39.5499,39.5499,179700
2004-12-21,39.36,39.75,39.2499,39.75,273500
2004-12-22,39.9,40.35,39.5001,40.29,347000
2004-12-23,40.1301,40.2999,39.18,39.2199,153400
2004-12-27,38.9799,39.6,38.7,38.7399,265900
2004-12-28,38.7399,39.1401,38.6799,38.8401,156700
2004-12-29,38.9001,39.3999,38.7501,39.2301,362200
2004-12-30,39.0999,39.0999,36.0999,37.7001,426100
2004-12-31,37.95,38.9001,37.95,38.6499,142500
2005-01-03,38.7,38.8401,36.7299,36.96,737200
2005-01-04,36.4599,36.8001,34.44,34.5501,760700
2005-01-05,33.6999,34.8501,33.6099,34.4499,648900
2005-01-06,34.14,35.22,34.0701,35.2101,844300
2005-01-07,35.22,35.58,33.87,34.02,536200
2005-01-10,33.5001,33.9999,33.3999,33.63,527300
2005-01-11,33.5001,33.51,30.7599,30.7701,1016500
2005-01-12,30.0399,32.1,30.0399,32.1,909900
2005-01-13,32.55,34.8,32.55,33.99,855200
2005-01-14,34.6599,35.8101,34.6599,35.4,528500
2005-01-18,36.45,36.5001,35.4099,35.5599,440300
2005-01-19,35.7699,35.7999,35.4501,35.4999,219900
2005-01-20,35.4501,35.4501,34.1499,35.1999,199300
2005-01-21,35.1999,35.85,35.1999,35.4501,209100
2005-01-24,35.46,35.9301,34.8501,35.0001,173900
2005-01-25,35.4501,36.3,35.4501,36.1299,440700
2005-01-26,36.2901,36.5499,34.32,35.4999,409000
2005-01-27,35.4,35.9301,35.0901,35.751,247400
2005-01-28,35.82,36.2499,35.7801,35.79,150800
2005-01-31,36.1401,36.6801,35.7,36.2499,239100
2005-02-01,36.5001,37.1499,36.3999,36.8001,401500
2005-02-02,37.35,37.4301,36.9099,37.29,281700
2005-02-03,37.2,37.2501,36.5499,36.75,267900
2005-02-04,36.9501,37.2999,36.06,36.6,290400
2005-02-07,36.8799,38.0001,36.8799,37.41,162800
2005-02-08,37.5999,38.1,37.14,38.0001,222300
2005-02-09,38.0001,38.31,37.5,37.71,285700
2005-02-10,38.4999,38.7501,37.68,37.8501,626400
2005-02-11,38.1501,38.7,37.8501,38.4,336300
2005-02-14,38.7,38.9799,38.43,38.9601,306000
2005-02-15,38.9901,38.9901,38.1,38.1999,266200
2005-02-16,38.1,40.9701,38.0001,40.5501,877600
2005-02-17,40.8,40.9101,39.24,39.57,992700
2005-02-18,40.7001,40.7001,39.6501,39.8199,311200
2005-02-22,40.1499,40.1499,38.1999,38.2101,524400
2005-02-23,38.1999,39.0,38.1501,38.28,311400
2005-02-24,38.5299,39.6,38.49,39.3999,466900
2005-02-25,39.6999,42.8799,39.5499,42.6201,1192800
2005-02-28,42.9,42.9999,40.8501,41.8299,759200
2005-03-01,41.1999,41.4,40.11,40.59,822300
2005-03-02,41.0001,41.4801,40.0101,41.25,496700
2005-03-03,41.3001,42.0999,41.3001,41.9301,745400
2005-03-04,42.15,43.86,42.15,42.33,1187300
2005-03-07,42.75,43.05,41.4699,41.6799,340100
2005-03-08,41.6799,41.6799,39.1401,40.47,1389200
2005-03-09,39.6501,40.6599,39.6501,39.9,679700
2005-03-10,39.8199,40.2501,38.61,38.9001,876400
2005-03-11,39.45,40.2399,39.3,39.8499,486600
2005-03-14,39.9,39.9,38.7501,39.1599,633200
2005-03-15,38.9799,39.93,38.9799,39.2199,470600
2005-03-16,39.1701,39.3,36.2001,36.2499,1015600
2005-03-17,35.4999,37.65,35.4999,37.0701,1105000
2005-03-18,36.9999,37.0599,35.85,35.8599,409500
2005-03-21,35.9001,36.9,35.7399,36.4899,495600
2005-03-22,36.6999,37.74,36.3999,36.99,540800
2005-03-23,36.8001,36.8001,34.7499,34.7499,468700
2005-03-24,34.83,35.4399,33.8199,33.99,639900
2005-03-28,33.9699,34.2201,31.6101,32.0799,1252200
2005-03-29,32.28,32.3499,29.7,30.0699,1355500
2005-03-30,30.1701,30.7101,30.0,30.6999,871400
2005-03-31,30.9501,32.7,30.9501,32.3001,1100500
2005-04-01,32.6001,33.9999,32.4999,32.5101,800300
2005-04-04,32.4,32.4,31.1799,31.35,453100
2005-04-05,31.8999,32.2701,31.3599,31.8501,570300
