DateTime,Open,High,Low,Close,Volume
2015-11-20,15.28,16.17,14.37,15.2,7389602
2015-11-23,15.96,15.98,14.06,14.37,3233502
2015-11-24,14.29,15.1,13.62,14.22,2253201
2015-11-25,14.05,14.64,14.05,14.41,1109801
2015-11-27,14.6,14.8,14.32,14.62,507202
2015-11-30,14.93,14.931,14.0,14.48,1492199
2015-12-01,14.53,14.53,13.9,14.23,915398
2015-12-02,14.02,14.2,14.0,14.1,461802
2015-12-03,13.99,14.12,13.0,13.05,1674100
2015-12-04,13.05,13.26,12.82,13.11,1413799
2015-12-07,13.39,13.48,13.0,13.25,663601
2015-12-08,13.0,13.4,13.0,13.38,629999
2015-12-09,13.3,13.84,13.14,13.55,715599
2015-12-10,13.93,14.0,13.45,13.92,1246999
2015-12-11,13.65,13.99,13.53,13.84,1020399
2015-12-14,13.52,13.87,13.38,13.63,1575399
2015-12-15,13.76,14.5,13.57,14.08,1208600
2015-12-16,14.5,14.74,14.205,14.68,1351600
2015-12-17,14.83,14.95,14.23,14.28,737602
2015-12-18,14.28,14.58,13.96,14.33,3261801
2015-12-21,14.42,14.45,13.48,13.9,851798
2015-12-22,13.59,14.18,13.56,13.91,388400
2015-12-23,14.16,14.16,13.64,14.03,636100
2015-12-24,13.97,14.295,13.72,14.09,346201
2015-12-28,14.19,14.37,13.55,13.73,655102
2015-12-29,13.94,13.97,13.5,13.77,772699
2015-12-30,13.81,13.89,13.54,13.6,736299
2015-12-31,13.67,13.74,13.52,13.55,411299
2016-01-04,13.43,13.49,13.04,13.36,1771000
2016-01-05,13.44,13.98,13.36,13.67,1307199
2016-01-06,13.6,14.25,13.58,13.92,1661499
2016-01-07,13.62,13.911,13.16,13.51,1210400
2016-01-08,13.55,13.85,13.55,13.59,512199
2016-01-11,13.6,14.13,13.49,13.73,597102
2016-01-12,13.84,14.14,13.25,13.56,844700
2016-01-13,13.78,13.83,13.0,13.295,972498
2016-01-14,13.49,13.6,12.75,13.06,1792299
2016-01-15,12.75,13.09,12.13,12.96,1589701
2016-01-19,13.0,13.33,12.11,12.51,1457799
2016-01-20,12.21,12.25,11.45,11.95,1526700
2016-01-21,12.06,12.25,11.64,11.94,600901
2016-01-22,12.46,12.46,11.88,12.22,1130502
2016-01-25,12.57,12.77,11.83,11.97,546400
2016-01-26,11.99,12.47,11.81,12.14,495799
2016-01-27,12.27,12.5,11.83,11.96,462201
2016-01-28,11.87,12.61,11.5,12.47,1065098
2016-01-29,12.28,12.69,12.11,12.55,934799
2016-02-01,12.11,12.95,12.03,12.79,1062601
2016-02-02,12.72,12.825,12.0,12.19,2017299
2016-02-03,9.98,10.82,9.17,10.66,6600402
2016-02-04,10.21,10.55,8.75,9.76,5495401
2016-02-05,9.78,9.99,9.29,9.3,1425899
2016-02-08,9.03,9.75,9.0,9.19,885901
2016-02-09,9.0,9.26,8.41,9.12,1866601
2016-02-10,9.1,9.47,8.84,9.4,636100
2016-02-11,9.21,9.95,9.05,9.7,1255099
2016-02-12,9.6,10.0,9.44,9.82,1044899
2016-02-16,10.11,10.5,9.85,10.19,1029700
2016-02-17,10.18,10.71,10.06,10.11,1216301
2016-02-18,10.18,10.77,9.93,10.44,964699
2016-02-19,10.42,10.62,10.17,10.5,682701
2016-02-22,10.49,10.73,10.38,10.47,800998
2016-02-23,10.26,10.69,10.26,10.35,759899
2016-02-24,10.49,10.65,10.115,10.58,558601
2016-02-25,10.63,10.75,10.51,10.64,374500
2016-02-26,10.65,10.7,10.5,10.61,406999
2016-02-29,10.74,11.07,10.56,10.89,1029900
2016-03-01,11.06,11.66,10.81,11.39,1073300
2016-03-02,11.63,11.97,11.39,11.74,923201
