DateTime,Open,High,Low,Close,Volume
2025-01-02,9.36,9.56,7.2,7.2,374100
2025-01-03,7.4,7.41,6.988,7.05,141300
2025-01-06,7.3,7.55,6.75,6.97,88000
2025-01-07,6.87,6.99,6.395,6.59,48200
2025-01-08,6.48,6.97,6.315,6.92,61100
2025-01-10,6.88,6.88,6.2,6.41,66600
2025-01-13,6.41,6.41,5.95,6.12,51200
2025-01-14,6.14,6.37,6.075,6.2,39100
2025-01-15,6.24,6.26,5.969,6.22,37200
2025-01-16,6.27,6.27,5.97,6.12,26500
2025-01-17,6.11,6.48,6.11,6.41,22000
2025-01-21,6.41,6.41,6.19,6.32,25600
2025-01-22,6.34,6.45,6.3,6.33,22800
2025-01-23,6.23,6.7,6.15,6.68,21000
2025-01-24,6.77,6.77,6.32,6.37,13200
2025-01-27,6.25,6.25,5.8,6.01,44800
2025-01-28,5.98,6.21,5.57,5.73,74200
2025-01-29,5.81,6.31,5.75,6.29,45100
2025-01-30,6.39,6.39,5.825,5.98,24700
2025-01-31,5.93,6.29,5.93,6.24,18400
2025-02-03,6.1,6.2,6.05,6.13,38500
2025-02-04,6.14,6.17,5.88,6.16,9900
2025-02-05,6.19,6.19,6.02,6.1,12700
2025-02-06,6.18,6.23,6.046,6.1,15200
2025-02-07,6.18,6.18,5.84,5.9,26100
2025-02-10,5.93,5.95,5.73,5.77,17700
2025-02-11,5.72,5.72,5.5,5.54,31200
2025-02-12,5.5,5.78,5.5,5.67,18600
2025-02-13,5.69,5.95,5.5,5.58,28900
2025-02-14,5.63,5.675,5.5,5.54,12400
2025-02-18,5.54,5.589,5.15,5.15,45000
2025-02-19,5.1,5.43,5.1,5.37,25400
2025-02-20,5.35,6.06,5.2,5.99,79000
2025-02-21,6.08,6.14,5.41,5.43,60400
2025-02-24,5.77,5.77,5.23,5.27,55600
2025-02-25,5.26,5.56,5.26,5.56,15500
2025-02-26,5.6,5.78,5.49,5.78,16000
2025-02-27,5.72,5.723,5.4,5.54,18800
2025-02-28,5.49,5.49,5.32,5.37,7300
2025-03-03,5.37,5.37,5.15,5.17,21700
2025-03-04,5.17,5.17,5.05,5.1,26000
2025-03-05,5.23,5.35,5.1,5.35,33900
2025-03-06,5.38,5.48,5.345,5.42,12500
2025-03-07,5.39,5.71,5.311,5.58,19600
2025-03-10,5.58,5.58,5.21,5.23,28000
2025-03-11,5.22,5.22,5.12,5.17,6600
2025-03-12,5.15,5.22,5.04,5.22,10000
2025-03-13,5.25,5.285,5.16,5.21,10300
2025-03-14,5.21,5.3,5.122,5.25,9400
2025-03-17,5.32,5.51,5.32,5.44,103500
2025-03-18,5.51,5.65,5.458,5.6,9100
2025-03-19,5.75,5.75,5.55,5.61,16100
2025-03-20,5.64,5.76,5.3,5.69,15900
2025-03-21,5.61,5.78,5.55,5.78,13500
2025-03-24,5.78,5.8,5.6,5.76,13600
2025-03-25,5.76,5.85,5.561,5.79,15100
2025-03-26,5.86,5.89,5.75,5.89,19000
2025-03-27,5.89,6.09,5.86,6.09,30000
2025-03-28,6.1,6.19,6.04,6.19,27500
2025-03-31,6.2,6.2,6.028,6.2,20100
2025-04-01,6.25,6.25,6.025,6.15,35900
2025-04-02,6.13,6.2,6.1,6.19,13100
2025-04-03,5.78,6.28,5.78,6.2,33800
2025-04-04,6.06,6.3,5.86,6.25,21200
2025-04-07,6.1,6.4,6.03,6.11,105100
2025-04-08,6.2,6.2,5.5,5.56,13600
2025-04-09,5.9,6.11,5.5,5.95,16800
2025-04-10,5.76,6.0,5.7,5.9,19200
2025-04-11,6.02,6.059,5.87,5.99,15100
2025-04-14,5.9,6.12,5.824,6.07,22400
2025-04-15,6.15,6.15,5.93,6.01,9500
2025-04-16,5.91,6.11,5.91,6.04,6500
2025-04-17,6.04,6.07,5.97,6.07,4100
2025-04-21,6.03,6.07,5.91,5.91,6400
2025-04-22,6.03,6.03,5.9,5.91,6500
2025-04-23,6.1,6.1,5.933,6.07,9700
2025-04-24,6.1,6.1,6.0,6.03,3000
2025-04-25,6.08,6.1,5.9,5.95,6300
2025-04-28,6.03,6.098,5.78,6.0,3800
2025-04-29,5.92,6.041,5.81,5.81,8600
2025-04-30,5.61,5.956,5.61,5.84,7200
2025-05-01,5.86,5.86,5.72,5.75,4100
2025-05-02,5.81,5.891,5.66,5.66,5800
2025-05-05,5.66,5.66,5.34,5.35,12200
2025-05-06,5.3,5.4,5.3,5.34,3900
2025-05-07,5.397,5.397,5.15,5.15,16700
2025-05-08,5.28,5.3,5.162,5.29,16500
2025-05-09,5.27,5.27,5.15,5.15,4600
2025-05-12,5.26,5.43,5.2,5.28,14500
2025-05-13,5.22,5.38,5.22,5.32,14800
2025-05-14,5.3,5.45,5.3,5.34,8800
2025-05-15,5.34,5.34,5.235,5.3,2400
2025-05-16,5.21,5.273,5.16,5.2,5700
2025-05-19,5.18,5.3,5.13,5.23,2900
2025-05-20,5.28,5.5,5.25,5.45,30500
2025-05-21,5.36,5.49,5.36,5.48,7700
2025-05-22,5.52,5.52,5.27,5.34,1100
2025-05-23,5.29,5.434,4.98,5.02,191400
2025-05-27,4.97,5.118,4.93,4.93,42400
2025-05-28,4.98,5.097,4.95,4.99,51600
2025-05-29,5.0,5.2,4.91,4.95,42000
2025-05-30,4.9,5.09,4.9,4.99,30700
2025-06-02,5.08,5.15,4.94,5.02,41600
2025-06-03,4.97,5.02,4.95,4.95,11900
2025-06-04,5.02,5.1,4.9,4.91,16500
2025-06-05,4.98,5.08,4.87,4.91,25500
2025-06-06,4.95,4.95,4.756,4.83,23100
2025-06-09,4.87,5.025,4.87,4.93,52300
2025-06-10,4.89,4.995,4.89,4.96,19000
2025-06-11,5.0,5.0,4.85,4.91,13700
2025-06-12,4.916,4.95,4.84,4.95,8200
2025-06-13,4.91,5.0,4.87,4.93,43600
2025-06-16,4.95,5.08,4.93,4.96,39200
2025-06-17,4.95,4.95,4.84,4.93,15000
2025-06-18,4.93,5.0,4.85,4.86,9800
2025-06-20,4.895,4.895,4.64,4.66,81800
2025-06-23,4.66,4.96,4.66,4.78,70300
2025-06-24,4.77,4.87,4.438,4.79,51700
2025-06-25,4.79,4.814,4.67,4.72,14000
2025-06-26,4.76,4.83,4.69,4.78,32400
2025-06-27,4.77,5.065,4.77,4.94,62800
2025-06-30,4.94,4.99,4.93,4.96,22200
2025-07-01,4.95,5.03,4.94,5.0,18300
2025-07-02,5.01,5.07,4.957,4.98,40000
2025-07-03,5.04,5.04,4.922,4.94,2300
2025-07-07,4.87,5.02,4.87,5.0,52800
2025-07-08,5.06,5.06,4.9,4.96,123400
2025-07-09,4.95,4.985,4.869,4.92,14900
2025-07-10,4.99,5.06,4.87,5.02,53400
2025-07-11,4.96,5.067,4.96,5.0,20800
2025-07-14,4.93,5.21,4.82,5.0,113000
2025-07-15,4.91,5.03,4.86,5.03,21800
2025-07-16,5.09,5.1,4.74,4.86,61100
2025-07-17,4.88,4.89,4.76,4.83,14900
2025-07-18,4.87,4.87,4.73,4.77,21400
2025-07-21,4.82,5.0,4.73,4.95,35600
2025-07-22,4.92,5.04,4.83,4.84,29000
2025-07-23,4.79,5.04,4.79,5.0,14200
2025-07-24,5.06,5.06,4.957,5.01,22900
2025-07-25,4.92,5.05,4.92,5.01,34500
2025-07-28,4.94,5.0050001,4.9,4.98,16800
2025-07-29,4.96,5.0,4.96,5.0,10500
2025-07-30,4.96,4.98,4.68,4.74,41600
2025-07-31,4.67,4.87,4.67,4.84,16100
2025-08-01,4.89,4.89,4.608,4.67,31500
2025-08-04,4.62,4.8,4.62,4.79,14800
2025-08-05,4.75,4.87,4.72,4.81,27400
2025-08-06,4.87,4.92,4.856,4.88,9100
2025-08-07,4.93,5.0,4.85,4.91,9200
2025-08-08,4.89,5.0,4.87,4.87,5900
2025-08-11,4.81,4.95,4.81,4.9,10000
2025-08-12,4.91,4.95,4.86,4.86,4200
2025-08-13,4.91,5.0,4.84,4.84,6700
2025-08-14,4.8,4.91,4.8,4.88,15200
2025-08-15,4.93,4.93,4.8,4.82,14100
2025-08-18,4.87,4.97,4.808,4.97,6500
2025-08-19,4.96,4.96,4.85,4.887,2600
2025-08-20,4.93,4.97,4.85,4.85,23900
2025-08-21,4.82,4.918,4.81,4.9,3500
2025-08-22,4.94,4.97,4.817,4.97,10400
2025-08-25,4.99,4.99,4.829,4.89,7600
2025-08-26,4.85,4.94,4.85,4.89,4400
2025-08-27,4.81,4.83,4.7,4.76,15700
2025-08-28,4.82,4.975,4.808,4.88,20400
2025-08-29,4.85,4.88,4.85,4.88,15800
2025-09-02,4.86,4.948,4.8,4.88,9600
2025-09-03,4.89,4.95,4.791,4.85,13100
2025-09-04,4.9,4.95,4.814,4.86,18700
2025-09-05,4.86,4.93,4.8,4.84,35500
2025-09-08,4.84,4.877,4.84,4.87,4300
2025-09-09,4.827,4.91,4.8,4.8,33600
2025-09-10,4.86,4.89,4.8,4.83,10600
2025-09-11,4.89,4.91,4.85,4.87,27100
2025-09-12,4.83,5.2,4.83,4.96,59600
2025-09-15,5.0,5.39,5.0,5.06,104300
2025-09-16,5.03,5.27,5.01,5.26,103200
2025-09-17,5.32,5.32,5.02,5.09,47900
2025-09-18,5.07,5.368,4.9,4.9,98100
2025-09-19,4.82,5.13,4.82,4.96,45600
2025-09-22,4.96,5.13,4.93,5.0,42500
2025-09-23,5.0,5.14,4.9,4.98,32200
2025-09-24,5.02,5.589,4.98,5.04,118500
2025-09-25,5.06,5.2,4.96,5.0,50000
2025-09-26,4.97,5.14,4.95,5.0,106400
2025-09-29,5.05,5.11,4.96,5.0,22100
2025-09-30,5.0,5.06,4.91,4.99,50900
2025-10-01,5.0,5.15,4.96,5.0,36800
2025-10-02,5.01,5.08,4.98,5.01,75800
2025-10-03,5.03,5.1,4.99,5.03,90800
2025-10-06,5.07,5.09,5.0,5.07,97900
2025-10-07,5.11,5.22,5.07,5.11,72000
2025-10-08,5.17,5.37,5.17,5.37,106200
2025-10-09,5.55,5.74,5.26,5.33,112400
2025-10-10,5.31,5.36,5.11,5.18,120200
2025-10-13,5.27,5.68,5.05,5.6,352400
2025-10-14,5.86,5.95,5.61,5.72,174200
2025-10-15,5.69,5.833,5.55,5.62,117300
2025-10-16,5.66,5.73,5.53,5.6,62600
2025-10-17,5.65,5.73,5.55,5.58,107000
2025-10-20,5.74,5.74,5.532,5.63,110700
2025-10-21,5.63,5.73,5.37,5.45,54400
2025-10-22,5.4,5.525,5.39,5.42,157100
2025-10-23,5.49,5.588,5.475,5.52,52600
2025-10-24,5.57,5.8,5.55,5.67,136000
2025-10-27,5.66,5.68,5.43,5.5,183500
2025-10-28,5.5,5.55,5.44,5.5,39100
2025-10-29,5.51,5.705,5.471,5.57,51200
2025-10-30,5.47,5.61,5.41,5.45,47400
2025-10-31,5.51,5.9,5.51,5.81,198800
2025-11-03,5.95,5.99,5.44,5.68,171500
2025-11-04,5.75,5.87,5.41,5.48,115700
2025-11-05,5.53,5.53,5.27,5.39,90000
2025-11-06,5.4,5.4,5.18,5.31,67100
2025-11-07,5.31,5.34,5.05,5.25,112900
2025-11-10,5.552,5.96,5.45,5.56,306000
2025-11-11,5.63,5.68,5.47,5.61,195200
2025-11-12,6.1,6.45,5.95,6.15,896000
2025-11-13,6.1,6.47,6.1,6.35,427200
2025-11-14,6.15,6.329,5.985,6.25,208900
2025-11-17,6.25,6.36,5.97,5.97,254100
2025-11-18,5.99,6.195,5.95,6.15,133000
2025-11-19,6.23,6.645,6.16,6.55,282600
2025-11-20,6.65,6.709,6.35,6.49,226100
2025-11-21,6.45,6.48,6.159,6.29,138400
2025-11-24,6.24,6.38,6.15,6.25,147100
2025-11-25,6.33,6.635,6.28,6.5,299000
2025-11-26,6.5,6.83,6.49,6.75,278800
2025-11-28,6.75,7.129,6.75,7.0,210500
2025-12-01,7.16,7.295,7.0,7.1,305200
2025-12-02,7.15,7.15,6.86,6.93,236300
2025-12-03,7.0,7.35,6.945,7.25,254000
2025-12-04,7.2,7.3,7.13,7.17,450800
2025-12-05,7.15,7.43,7.11,7.3,385900
2025-12-08,7.35,7.5,7.19,7.42,332900
2025-12-09,7.42,7.88,7.28,7.79,708900
2025-12-10,7.8,8.03,7.64,7.75,551900
2025-12-11,7.8,8.44,7.7,8.19,749400
2025-12-12,8.19,8.32,7.87,7.97,696300
2025-12-15,8.02,8.079,7.79,7.79,673600
2025-12-16,7.77,7.885,7.57,7.64,458300
2025-12-17,7.7,8.0010004,7.63,7.65,837400
2025-12-18,7.75,7.951,7.6,7.95,805200
2025-12-19,7.99,8.24,7.84,8.19,586900
2025-12-22,8.55,9.048,8.505,8.8,1298000
2025-12-23,8.86,9.16,8.8,8.9,815200
2025-12-24,9.0,9.05,8.78,8.85,281600
2025-12-26,9.16,9.55,9.0,9.4,1179100
2025-12-29,9.15,9.188,8.75,8.93,988700
2025-12-30,9.08,9.25,8.825,9.08,838000
2025-12-31,9.01,9.088,8.78,8.85,534400
2026-01-02,9.0,9.19,8.716,8.79,640400
2026-01-05,9.04,9.3,9.0,9.11,985500
2026-01-06,9.16,9.82,9.16,9.7,1223700
2026-01-07,9.56,9.707,9.384,9.7,613500
2026-01-08,9.6,9.7,9.475,9.59,622700
2026-01-09,9.62,10.15,9.62,10.11,1024500
2026-01-12,10.19,10.93,10.16,10.74,942100
2026-01-13,10.99,11.0,10.655,10.76,513500
2026-01-14,10.98,11.93,10.9,11.82,1298400
2026-01-15,11.63,12.0,11.28,11.94,1077000
2026-01-16,11.92,12.1,11.5,11.8,808800
2026-01-20,12.01,12.67,11.89,12.61,892200
2026-01-21,12.77,13.11,12.75,13.0,807600
2026-01-22,13.01,13.13,12.24,12.31,926000
2026-01-23,12.54,13.87,12.44,13.27,1021300
2026-01-26,13.98,14.595,13.5,14.46,1664300
2026-01-27,14.27,14.5,13.68,14.05,863200
2026-01-28,14.475,14.55,13.71,14.12,880300
2026-01-29,14.47,14.94,13.23,13.86,1058900
2026-01-30,12.99,13.7,12.41,12.61,1187200
2026-02-02,12.48,13.07,12.32,12.66,540700
2026-02-03,13.0,13.659,12.92,13.23,699400
2026-02-04,13.5,13.615,12.422,12.78,537400
2026-02-05,12.28,12.56,11.76,11.8,514000
2026-02-06,12.18,12.63,12.155,12.39,469800
2026-02-09,12.76,12.845,12.5,12.6,590100
2026-02-10,12.51,12.66,12.32,12.35,281200
2026-02-11,12.8,13.05,12.12,12.38,348200
2026-02-12,12.29,12.29,11.24,11.25,569200
2026-02-13,11.25,12.17,11.0,11.93,745900
2026-02-17,11.69,11.93,10.855,11.15,779100
2026-02-18,11.54,11.54,11.175,11.34,585300
2026-02-19,11.11,11.56,10.9,11.49,793100
2026-02-20,11.51,11.6,10.95,11.36,848100
2026-02-23,11.36,11.71,11.0039997,11.71,1083300
2026-02-24,11.81,12.1,11.559,11.96,708900
2026-02-25,12.15,12.39,11.96,12.16,561300
2026-02-26,12.03,12.08,11.56,12.02,891800
2026-02-27,12.86,14.2,12.77,13.65,1306700
2026-03-02,13.75,14.74,13.35,14.66,1906800
2026-03-03,13.59,13.62,12.41,12.65,1027500
2026-03-04,13.17,13.4,12.455,12.49,795400
2026-03-05,12.19,12.195,11.12,11.42,811600
2026-03-06,11.04,11.275,10.7,10.87,535700
2026-03-09,10.52,11.21,10.304,11.2,947200
2026-03-10,11.24,11.98,11.21,11.73,691600
2026-03-11,11.61,12.01,11.295,11.67,602800
2026-03-12,11.63,11.694,11.18,11.47,405200
2026-03-13,11.5,11.55,10.82,10.95,485500
2026-03-16,11.02,11.34,10.89,11.08,399700
2026-03-17,11.12,11.225,10.82,11.16,440400
2026-03-18,10.91,10.91,10.01,10.07,609700
2026-03-19,9.44,9.67,8.86,9.56,821400
2026-03-20,9.52,9.84,8.97,9.19,898300
2026-03-23,9.21,9.84,9.21,9.6,598600
2026-03-24,9.44,9.67,9.215,9.62,435300
2026-03-25,10.16,10.21,9.845,10.06,464200
2026-03-26,9.65,9.98,9.52,9.67,371300
2026-03-27,9.73,10.17,9.7,10.04,546500
2026-03-30,10.34,10.38,9.76,9.88,368000
2026-03-31,10.09,10.59,10.09,10.59,348200
2026-04-01,10.92,11.185,10.72,10.99,434100
2026-04-02,10.47,11.1,10.35,11.07,257300
2026-04-06,11.07,11.15,10.87,10.93,310100
2026-04-07,10.95,11.01,10.59,10.95,434300
2026-04-08,11.5,11.77,11.14,11.27,361000
2026-04-09,11.79,11.96,11.43,11.64,613900
2026-04-10,11.73,12.11,11.73,11.85,600500
2026-04-13,11.62,12.252,11.57,12.09,879100
2026-04-14,12.31,12.341,11.86,11.94,411500
2026-04-15,11.82,14.7,11.645,14.65,8960800
2026-04-16,16.455,16.554,14.55,14.87,4528100
2026-04-17,15.63,16.16,15.05,16.02,2945972
