DateTime,Open,High,Low,Close,Volume
2019-02-01,13.5,14.0,13.44,13.95,984800
2019-02-04,13.96,14.05,13.81,13.99,289200
2019-02-05,14.0,14.12,13.85,13.98,533100
2019-02-06,14.05,14.05,13.85,14.0,407300
2019-02-07,14.08,14.09,13.9,14.06,400600
2019-02-08,13.96,14.256,13.95,14.0,230100
2019-02-11,14.23,14.23,14.01,14.09,212500
2019-02-12,14.03,14.2,13.95,14.07,124600
2019-02-13,14.11,14.14,13.62,14.0,90300
2019-02-14,14.04,14.06,13.95,14.0,46600
2019-02-15,14.02,14.08,13.99,14.01,164300
2019-02-19,14.02,14.08,14.0,14.0,106000
2019-02-20,14.0,14.07,13.9,14.07,291800
2019-02-21,14.09,14.1,13.95,14.02,91000
2019-02-22,14.05,14.05,14.0,14.0,81900
2019-02-25,14.05,14.65,13.9,14.0,403900
2019-02-26,14.04,14.84,14.021,14.62,252000
2019-02-27,14.59,15.83,14.285,15.64,244600
2019-02-28,15.6,16.0,15.0,15.42,203900
2019-03-01,15.57,16.05,15.35,15.91,110900
2019-03-04,15.95,16.106,14.16,14.75,408300
2019-03-05,14.75,14.75,14.41,14.65,200200
2019-03-06,14.65,14.705,14.197,14.51,231100
2019-03-07,14.5,14.7,14.32,14.53,149300
2019-03-08,14.66,14.7,14.27,14.28,123500
2019-03-11,14.35,14.388,12.5,12.76,551500
2019-03-12,12.82,13.01,12.06,12.47,268000
2019-03-13,12.51,12.51,11.75,11.99,297800
2019-03-14,11.95,11.95,10.4,11.07,686900
2019-03-15,11.01,11.12,9.93,10.28,423500
2019-03-18,10.28,11.55,10.28,11.25,714400
2019-03-19,11.2,11.545,11.01,11.23,532300
2019-03-20,11.19,11.53,10.66,10.89,326800
2019-03-21,10.94,11.22,10.645,10.86,179900
2019-03-22,10.79,10.85,10.05,10.16,201900
2019-03-25,10.2,10.427,9.56,9.85,115000
2019-03-26,9.85,10.18,9.61,9.73,46200
2019-03-27,9.78,9.92,8.9,9.51,221100
2019-03-28,9.45,10.392,9.34,9.91,1543100
2019-03-29,10.24,11.93,9.55,11.68,575300
2019-04-01,11.75,12.04,10.72,11.13,236500
2019-04-02,11.23,11.75,11.1,11.41,99200
