DateTime,Open,High,Low,Close,Volume
2019-02-11,7.67,7.77,7.38,7.46,9750700
2019-02-12,7.35,7.57,7.14,7.44,13264100
2019-02-13,7.52,7.68,7.39,7.49,10867800
2019-02-14,7.7,7.78,7.42,7.48,14728300
2019-02-15,7.55,7.64,7.26,7.41,15620200
2019-02-19,7.4,7.43,7.21,7.26,9974700
2019-02-20,7.26,7.77,7.26,7.62,21495700
2019-02-21,7.7,7.73,7.43,7.64,8060100
2019-02-22,7.92,8.22,7.75,8.17,26600400
2019-02-25,9.04,9.09,8.6,9.0,52424200
2019-02-26,9.16,10.64,8.82,9.79,106022600
2019-02-27,10.15,10.25,9.33,9.85,53234300
2019-02-28,9.85,9.93,9.46,9.57,26506000
2019-03-01,9.82,10.2,9.73,10.06,32409400
2019-03-04,10.32,10.37,9.15,9.78,43753300
2019-03-05,9.8,10.63,9.7,10.16,53680800
2019-03-06,8.26,8.72,8.0,8.01,73522700
2019-03-07,7.81,7.95,7.0,7.09,52469600
2019-03-08,7.02,7.2,6.85,7.06,32040600
2019-03-11,6.95,6.98,6.55,6.59,62544500
2019-03-12,6.62,6.64,6.37,6.39,41616000
2019-03-13,6.32,6.77,6.24,6.53,41727200
2019-03-14,6.63,6.64,6.0,6.03,58983400
2019-03-15,6.12,6.13,5.71,5.71,85777000
2019-03-18,5.69,5.95,5.44,5.75,76506100
2019-03-19,5.75,6.03,5.73,5.96,54509200
2019-03-20,6.02,6.03,5.71,5.85,39053700
2019-03-21,5.75,5.95,5.74,5.84,21368900
2019-03-22,5.8,5.87,5.6,5.62,24956500
2019-03-25,5.62,5.66,5.27,5.35,38993300
2019-03-26,5.2,5.22,4.9,4.96,67206300
2019-03-27,5.01,5.19,4.96,4.98,39753400
2019-03-28,5.04,5.17,4.93,5.01,29281400
2019-03-29,5.06,5.13,5.03,5.1,23595900
2019-04-01,5.29,5.4,5.14,5.21,32404600
2019-04-02,5.43,5.61,5.35,5.39,55814800
2019-04-03,5.55,5.58,5.23,5.31,35197400
2019-04-04,5.39,5.5,5.27,5.35,31696600
2019-04-05,5.37,5.4,5.31,5.36,18093400
2019-04-08,5.33,5.38,5.25,5.3,17349800
2019-04-09,5.28,5.28,5.06,5.08,32590100
2019-04-10,5.06,5.11,4.96,5.05,25958700
2019-04-11,5.0,5.09,4.97,5.01,17642600
2019-04-12,5.03,5.06,4.95,4.99,15561300
2019-04-15,4.99,5.0,4.72,4.75,27489100
2019-04-16,4.8,4.81,4.43,4.45,46354500
2019-04-17,4.61,4.72,4.51,4.59,30546400
2019-04-18,4.53,4.92,4.44,4.79,31206500
2019-04-22,4.74,4.81,4.62,4.78,12936700
2019-04-23,4.82,4.92,4.73,4.83,15107000
2019-04-24,4.79,5.01,4.75,5.0,20401300
2019-04-25,5.01,5.15,4.85,4.9,21552800
2019-04-26,4.85,4.93,4.77,4.92,11891300
2019-04-29,4.89,5.05,4.87,4.98,15202800
2019-04-30,4.98,5.08,4.8,4.85,14434600
2019-05-01,4.84,4.85,4.68,4.68,13308300
2019-05-02,4.74,4.75,4.57,4.72,14080400
2019-05-03,4.73,5.11,4.73,5.02,25245500
2019-05-06,4.72,4.88,4.69,4.88,16144400
2019-05-07,4.81,4.92,4.76,4.84,11545700
2019-05-08,4.79,4.81,4.56,4.57,20456900
2019-05-09,4.54,4.7,4.51,4.6,15759700
2019-05-10,4.6,4.66,4.51,4.56,17146500
2019-05-13,4.5,4.5,4.3,4.33,21804500
2019-05-14,4.47,4.67,4.41,4.67,27925700
2019-05-15,4.59,4.75,4.53,4.71,14669000
2019-05-16,4.65,4.85,4.61,4.66,16198000
2019-05-17,4.58,4.7,4.42,4.42,19775700
2019-05-20,4.38,4.4,4.11,4.25,23571700
2019-05-21,4.35,4.45,4.25,4.29,23435300
2019-05-22,4.25,4.3,4.0,4.05,35451300
2019-05-23,3.96,4.03,3.83,3.93,27855500
2019-05-24,3.98,4.05,3.81,3.86,26069400
2019-05-28,4.12,4.14,3.88,4.0,114474400
2019-05-29,3.89,3.9,3.6,3.61,41690400
2019-05-30,3.55,3.55,3.11,3.24,55942200
2019-05-31,3.07,3.15,3.0,3.05,39383300
2019-06-03,2.98,3.06,2.74,2.96,51793000
2019-06-04,3.0,3.11,2.97,3.04,30924000
2019-06-05,3.07,3.09,2.76,2.83,38179100
2019-06-06,2.9,2.9,2.54,2.65,54094300
2019-06-07,2.64,2.81,2.55,2.76,31397900
2019-06-10,2.75,2.82,2.59,2.63,35989100
2019-06-11,2.67,2.67,2.55,2.61,33070100
2019-06-12,2.62,2.62,2.5,2.55,30099500
2019-06-13,2.55,2.62,2.5,2.52,21962600
2019-06-14,2.44,2.45,2.35,2.42,27065700
2019-06-17,2.39,2.53,2.35,2.46,20830100
