DateTime,Open,High,Low,Close,Volume
2019-12-12,2.63,2.73,2.538,2.638,14700
2019-12-13,2.64,2.64,2.551,2.63,16300
2019-12-16,2.61,2.664,2.58,2.58,8200
2019-12-17,2.55,2.615,2.55,2.57,5600
2019-12-18,2.56,2.6,2.46,2.55,56800
2019-12-19,2.51,2.563,2.45,2.46,11000
2019-12-20,2.46,2.51,2.43,2.51,16300
2019-12-23,2.51,2.59,2.51,2.553,12500
2019-12-24,2.52,2.57,2.5,2.504,8200
2019-12-26,2.47,2.55,2.405,2.405,31300
2019-12-27,2.47,2.47,2.4,2.45,20200
2019-12-30,2.4,2.5,2.36,2.389,31300
2019-12-31,2.54,2.54,2.42,2.53,38400
2020-01-02,2.63,2.63,2.53,2.55,18700
2020-01-03,2.56,2.58,2.51,2.51,8900
2020-01-06,2.47,2.58,2.45,2.5,20600
2020-01-07,2.48,2.499,2.4,2.41,14100
2020-01-08,2.51,2.51,2.429,2.45,17900
2020-01-09,2.44,2.44,2.395,2.422,11200
2020-01-10,2.432,2.47,2.4,2.412,11100
2020-01-13,2.39,2.414,2.3,2.367,58300
2020-01-14,2.33,2.37,2.32,2.362,10500
2020-01-15,2.37,2.37,2.26,2.26,15100
2020-01-16,2.28,2.34,2.28,2.29,13600
2020-01-17,2.3,2.34,2.285,2.289,23200
2020-01-21,2.35,2.72,2.35,2.566,92300
2020-01-22,2.55,2.578,2.5,2.54,15100
2020-01-23,2.6,2.7,2.516,2.7,65700
2020-01-24,2.7,2.7,2.51,2.55,36400
2020-01-27,2.62,2.62,2.29,2.34,30200
2020-01-28,2.476,2.476,2.34,2.42,11200
2020-01-29,2.42,2.472,2.3,2.31,16700
2020-01-30,2.36,2.45,2.285,2.3,14600
2020-01-31,2.3,2.4,2.24,2.24,24400
2020-02-03,2.41,2.41,2.21,2.22,38500
2020-02-04,2.24,2.24,1.83,1.91,100000
2020-02-05,1.55,1.57,1.47,1.5,1188600
2020-02-06,1.59,1.59,1.47,1.47,210900
2020-02-07,1.47,1.5,1.4,1.4,75800
