DateTime,Open,High,Low,Close,Volume
2004-03-26,10.685,10.72,10.65,10.66,902800
2004-03-29,10.675,11.1,10.675,10.925,1548800
2004-03-30,10.95,11.0,10.835,10.995,492800
2004-03-31,10.925,11.1,10.9,11.1,1969800
2004-04-01,11.125,11.175,11.075,11.12,852600
2004-04-02,11.18,11.25,11.175,11.25,1118400
2004-04-05,11.28,11.33,11.15,11.33,847600
2004-04-06,11.33,11.4,11.28,11.33,683600
2004-04-07,11.33,11.33,11.175,11.2,629200
2004-04-08,11.25,11.25,11.075,11.095,387400
2004-04-12,11.13,11.16,10.99,11.07,500000
2004-04-13,11.015,11.1,10.925,10.995,921800
2004-04-14,11.0,11.0,10.75,10.85,331000
2004-04-15,10.85,10.85,10.5,10.62,383000
2004-04-16,10.67,10.7,10.625,10.675,406400
2004-04-19,10.675,10.8,10.675,10.755,225400
2004-04-20,10.775,10.775,10.51,10.625,146200
2004-04-21,10.625,10.625,10.385,10.42,521000
2004-04-22,10.42,10.45,10.345,10.45,553600
2004-04-23,10.475,10.55,10.47,10.5,816200
2004-04-26,10.5,10.6,10.495,10.6,468000
2004-04-27,10.625,10.625,10.585,10.615,412800
2004-04-28,10.615,10.975,10.6,10.875,809600
2004-04-29,10.8,10.85,10.75,10.85,187000
2004-04-30,10.82,10.92,10.8,10.85,177600
2004-05-03,10.85,10.85,10.3,10.55,1691000
2004-05-04,10.55,10.55,10.115,10.125,891400
2004-05-05,10.15,10.15,9.95,9.995,697200
2004-05-06,10.015,10.015,9.85,9.9,112000
2004-05-07,9.855,9.98,9.75,9.845,937200
2004-05-10,9.775,9.825,9.585,9.81,549600
2004-05-11,9.81,10.37,9.81,10.3,1532800
2004-05-12,10.35,10.35,10.03,10.245,132200
2004-05-13,10.25,10.25,9.935,9.995,198400
2004-05-14,10.1,10.6,10.075,10.475,794200
2004-05-17,10.575,10.575,10.125,10.165,133400
2004-05-18,10.165,10.375,10.165,10.25,210600
2004-05-19,10.25,10.355,10.25,10.3,131000
2004-05-20,10.3,10.34,10.225,10.23,157600
2004-05-21,10.205,10.25,10.125,10.21,137800
2004-05-24,10.21,10.35,10.145,10.35,174600
2004-05-25,10.35,10.6,10.3,10.375,331200
2004-05-26,10.4,10.575,10.4,10.55,429600
