DateTime,Open,High,Low,Close,Volume
2022-10-27,4.45,4.495,4.33,4.44,20389000
2022-10-28,4.42,4.62,4.41,4.59,23049400
2022-10-31,4.53,5.1,4.51,5.0,62442000
2022-11-01,5.09,5.235,4.99,5.09,35945300
2022-11-02,5.08,5.13,4.761,4.79,22456600
2022-11-03,4.78,5.08,4.71,4.93,30913500
2022-11-04,5.09,5.1,4.78,4.87,25595300
2022-11-07,4.9,4.94,4.75,4.81,25132600
2022-11-08,4.83,5.28,4.83,5.11,31589100
2022-11-09,5.01,5.03,4.66,4.69,44424000
2022-11-10,4.91,4.97,4.51,4.55,59396600
2022-11-11,4.56,4.72,4.31,4.44,41331000
2022-11-14,4.55,4.57,4.28,4.35,53556800
2022-11-15,4.88,5.25,4.84,4.91,70236600
2022-11-16,4.86,4.95,4.67,4.78,32060500
2022-11-17,4.56,4.57,4.3,4.38,54379800
2022-11-18,4.49,4.5,4.25,4.32,29307700
2022-11-21,4.35,4.37,4.21,4.31,31508000
2022-11-22,4.29,4.305,4.16,4.2,22074100
2022-11-23,4.19,4.46,4.13,4.44,24136100
2022-11-25,4.49,4.51,4.38,4.45,13350300
2022-11-28,4.4,4.5,4.2,4.22,21542100
2022-11-29,4.26,4.3,4.21,4.26,16112200
2022-11-30,4.18,4.49,4.08,4.45,39136800
2022-12-01,4.42,4.44,4.22,4.36,23172700
2022-12-02,4.28,4.49,4.19,4.46,35512200
2022-12-05,4.24,4.31,4.06,4.06,48867500
2022-12-06,4.13,4.139,4.0,4.06,18694400
2022-12-07,4.055,4.07,3.895,3.97,14257100
2022-12-08,4.05,4.18,4.04,4.07,23856200
2022-12-09,4.03,4.05,3.91,3.93,18387600
2022-12-12,3.91,4.05,3.83,4.02,25345800
2022-12-13,4.2,4.21,3.87,3.88,22265800
2022-12-14,3.9,3.91,3.76,3.82,21050600
2022-12-15,3.8,3.88,3.72,3.74,20598200
2022-12-16,3.76,3.925,3.76,3.9,25477100
2022-12-19,3.88,3.94,3.81,3.91,20723100
2022-12-20,3.88,3.95,3.83,3.83,17903000
2022-12-21,3.88,3.92,3.76,3.91,16211800
2022-12-22,3.87,3.9,3.725,3.86,16324900
2022-12-23,3.86,3.91,3.78,3.89,10567700
2022-12-27,3.84,3.86,3.76,3.82,13584400
2022-12-28,3.84,3.93,3.81,3.91,14837700
2022-12-29,3.95,4.06,3.87,4.06,11114900
2022-12-30,4.0,4.17,4.0,4.07,12286600
2023-01-03,3.915,4.025,3.55,3.56,40845700
2023-01-04,3.61,3.66,3.5,3.52,20048100
2023-01-05,3.52,3.53,3.43,3.48,22673900
2023-01-06,3.54,3.61,3.39,3.56,19557500
2023-01-09,3.57,3.805,3.535,3.66,20586900
2023-01-10,3.68,3.73,3.54,3.66,34832200
2023-01-11,3.67,3.75,3.56,3.72,28448800
2023-01-12,3.73,3.73,3.58,3.66,26422800
2023-01-13,3.65,3.71,3.56,3.68,15069800
2023-01-17,3.65,3.75,3.62,3.67,29421400
2023-01-18,3.71,3.77,3.56,3.64,44084400
2023-01-19,3.61,3.67,3.57,3.62,21297200
2023-01-20,3.67,3.86,3.62,3.81,48985500
2023-01-23,3.81,3.99,3.795,3.92,26886800
2023-01-24,3.92,4.04,3.87,4.03,21593900
2023-01-25,3.99,4.15,3.89,4.12,20224200
2023-01-26,4.26,4.37,4.195,4.23,22825300
2023-01-27,4.2,4.419,4.18,4.37,26086800
2023-01-30,4.33,4.43,4.26,4.4,18106600
2023-01-31,4.44,4.72,4.41,4.65,33246700
2023-02-01,4.65,4.82,4.53,4.77,34936800
2023-02-02,4.84,5.0050001,4.83,4.92,37026700
2023-02-03,4.8,5.007,4.72,4.9,35737900
2023-02-06,4.83,4.95,4.78,4.9,23140400
2023-02-07,4.91,4.94,4.78,4.91,25485700
2023-02-08,4.91,5.08,4.84,5.01,28124400
2023-02-09,5.07,5.11,4.8,4.83,27908800
2023-02-10,4.75,4.85,4.66,4.74,21210100
2023-02-13,4.77,4.995,4.73,4.87,20221800
2023-02-14,4.86,5.09,4.835,5.0,53484500
2023-02-15,5.05,5.44,5.0,5.24,91319300
2023-02-16,5.04,5.53,4.875,5.34,54488700
2023-02-17,5.08,5.21,4.91,4.99,40615200
2023-02-21,4.96,5.02,4.73,4.76,20886200
2023-02-22,4.82,4.89,4.745,4.83,26304600
2023-02-23,4.87,4.93,4.8,4.89,18698700
2023-02-24,4.82,4.96,4.78,4.94,25022400
2023-02-27,4.98,5.1,4.93,4.97,25262900
2023-02-28,4.97,5.11,4.95,5.04,20870000
2023-03-01,4.99,4.99,4.61,4.86,35312400
2023-03-02,4.78,4.875,4.65,4.67,37183100
2023-03-03,4.67,4.749,4.56,4.68,34504500
2023-03-06,4.69,5.0,4.68,4.95,22119800
2023-03-07,4.89,4.92,4.69,4.83,23826700
2023-03-08,4.85,5.1,4.85,4.99,26653100
2023-03-09,4.93,4.968,4.693,4.74,23917800
2023-03-10,4.72,4.74,4.45,4.49,32191000
2023-03-13,4.24,4.7,4.14,4.52,27930000
2023-03-14,4.69,4.73,4.37,4.48,27009600
2023-03-15,4.3,4.495,4.29,4.44,20627000
2023-03-16,4.42,4.63,4.39,4.61,17481000
2023-03-17,4.59,4.71,4.543,4.69,32831700
2023-03-20,4.67,4.68,4.405,4.43,22688000
2023-03-21,4.47,4.52,4.42,4.43,13572200
2023-03-22,4.48,4.545,4.32,4.32,16519500
2023-03-23,4.4,4.495,4.24,4.26,16745200
2023-03-24,4.2,4.26,4.13,4.17,21416700
2023-03-27,4.24,4.46,4.212,4.4,14899900
