DateTime,Open,High,Low,Close,Volume
2024-05-03,13.6,14.89,13.47,14.83,2202300
2024-05-06,15.3,15.79,14.01,14.95,3147400
2024-05-07,14.97,15.7,13.44,14.34,3172800
2024-05-08,14.51,16.11,13.88,15.17,3024900
2024-05-09,15.69,18.8,15.41,18.23,5197600
2024-05-10,15.5,15.7,7.77,8.45,25611900
2024-05-13,9.15,10.85,8.6,9.77,12579100
2024-05-14,9.85,11.3,9.65,11.17,6670600
2024-05-15,12.0,12.2,9.99,10.27,5041700
2024-05-16,10.52,10.58,9.63,9.64,2993300
2024-05-17,9.63,9.78,8.855,9.01,3650800
2024-05-20,9.04,9.09,7.605,7.76,5590800
2024-05-21,7.79,8.06,7.12,7.44,4647700
2024-05-22,7.41,7.48,7.07,7.16,2648500
2024-05-23,7.2,8.16,7.05,7.59,3848100
2024-05-24,8.06,10.19,7.85,10.15,12834500
2024-05-28,11.6,12.42,10.39,10.79,13093300
2024-05-29,10.51,11.277,9.8,11.03,4999100
2024-05-30,11.2,11.686,10.24,10.28,3195000
2024-05-31,10.4,10.59,9.864,10.07,2949500
2024-06-03,10.0,10.29,9.01,9.29,4330400
2024-06-04,9.19,9.5,8.51,8.57,2941600
2024-06-05,8.68,9.185,8.38,9.09,2664100
2024-06-06,9.02,9.24,8.4,8.48,2802700
2024-06-07,8.35,8.55,8.03,8.35,2442500
2024-06-10,8.3,9.19,8.225,9.05,3144900
2024-06-11,9.25,9.76,8.97,9.45,2678900
2024-06-12,9.58,10.75,9.52,10.2,3935100
2024-06-13,10.24,10.79,9.86,10.21,2621300
2024-06-14,10.16,10.245,9.24,9.46,2366100
2024-06-17,9.42,9.76,9.06,9.4,1883400
2024-06-18,9.35,10.1,9.25,9.89,2387400
2024-06-20,10.08,10.65,9.22,9.34,3190700
2024-06-21,9.22,9.23,8.6,9.02,7357900
2024-06-24,8.75,9.9,8.75,9.52,3329000
2024-06-25,9.55,10.13,9.22,9.41,3588800
