DateTime,Open,High,Low,Close,Volume
2018-02-06,27.82,28.96,27.75,28.84,930400
2018-02-07,28.89,29.48,28.74,29.4,696300
2018-02-08,29.51,29.72,28.34,28.56,1061800
2018-02-09,28.78,29.17,27.71,28.87,1512900
2018-02-12,30.38,30.83,29.2,30.63,1338100
2018-02-13,30.67,31.623,30.36,31.57,1204800
2018-02-14,31.86,34.129,31.85,33.92,2374100
2018-02-15,34.51,34.727,32.89,33.36,1718700
2018-02-16,33.68,34.91,33.52,34.75,1302000
2018-02-20,34.74,36.084999,34.34,35.84,1819500
2018-02-21,36.099998,36.46,35.029999,35.33,1139900
2018-02-22,36.83,37.24,35.41,35.82,1963700
2018-02-23,36.31,36.95,35.89,36.49,2240500
2018-02-26,36.8,38.391,36.79,37.7,2023100
2018-02-27,37.91,38.22,37.2,37.74,1207200
2018-02-28,37.91,39.13,37.91,38.59,1201300
2018-03-01,38.65,38.675,35.060001,36.4,3063900
2018-03-02,35.84,37.68,35.51,37.48,1572100
2018-03-05,37.47,39.0,37.27,38.84,1726300
2018-03-06,39.31,39.59,38.040001,38.22,1795600
2018-03-07,37.53,39.61,37.02,39.14,2293500
2018-03-08,40.32,42.865,39.8,42.6,4708500
2018-03-09,42.72,42.885,39.22,39.71,5513300
2018-03-12,39.88,39.95,38.75,39.69,3953900
2018-03-13,39.67,40.6,39.5,40.5,3065200
2018-03-14,40.38,40.64,39.495,39.7,2205600
2018-03-15,39.69,40.07,38.43,38.74,2559700
2018-03-16,38.76,39.2,37.64,38.57,4365500
2018-03-19,38.21,39.15,37.78,37.99,2064200
2018-03-20,37.55,39.33,37.21,38.99,2533900
2018-03-21,39.35,39.97,38.53,39.51,2630300
2018-03-22,39.14,39.82,38.52,39.21,1678400
2018-03-23,39.040001,39.51,38.38,38.38,1610600
2018-03-26,39.0,39.92,38.647,39.8,1931000
2018-03-27,39.95,40.155,38.049999,38.46,2740000
2018-03-28,38.21,39.09,37.26,38.27,2650100
2018-03-29,38.37,40.060001,37.29,39.85,2405500
2018-04-02,39.8,40.040001,38.88,39.02,1768800
2018-04-03,39.13,39.84,38.79,38.99,1584100
2018-04-04,38.26,39.8,37.85,39.56,1531000
2018-04-05,40.0,40.099998,38.72,38.98,1746600
2018-04-06,38.57,39.5,38.27,38.64,815800
2018-04-09,39.080002,39.45,38.64,38.66,1580400
2018-04-10,39.45,39.58,38.79,39.22,1658500
2018-04-11,39.14,41.21,39.080002,40.35,2731400
2018-04-12,40.43,41.080002,40.4,40.75,1416300
2018-04-13,41.07,41.457,39.75,40.59,844200
2018-04-16,41.11,41.11,40.19,40.6,1138900
2018-04-17,40.85,41.675,40.34,41.56,1662400
2018-04-18,41.73,41.98,41.060001,41.54,1069300
