DateTime,Open,High,Low,Close,Volume
2025-01-02,168.020004,173.37,167.53999,171.41,377100
2025-01-03,172.42,180.57001,172.42,180.029999,912200
2025-01-06,185.78999,197.33,185.0,192.39,1174300
2025-01-07,194.92999,197.56,190.75999,193.56,937000
2025-01-08,191.33,192.61,188.0,192.22,534400
2025-01-10,189.87,190.92,185.020004,189.61,534200
2025-01-13,184.89999,191.21001,182.52,190.91,588400
2025-01-14,194.050003,203.53,193.405,202.14999,780100
2025-01-15,205.0,208.063004,202.19,204.67,782100
2025-01-16,210.45,218.17,209.076004,213.020004,921000
2025-01-17,215.46001,217.17,212.39,216.59,754100
2025-01-21,219.69,221.83,214.17,219.67,1389300
2025-01-22,222.95,228.42,222.47,224.5,780900
2025-01-23,216.86,219.55,214.75999,217.039993,773100
2025-01-24,218.67999,218.67999,210.14999,213.59,812000
2025-01-27,197.0,197.66,179.25999,183.27,2096900
2025-01-28,184.7,186.28,178.82001,183.56,766100
2025-01-29,187.81,193.0,184.89999,191.81,1063000
2025-01-30,194.75,206.029999,192.97099,205.17999,1390800
2025-01-31,206.020004,212.265,203.81,204.75999,843200
2025-02-03,196.92999,203.070007,194.92999,199.2,585600
2025-02-04,198.94,203.45,198.379,200.55,716100
2025-02-05,199.66,211.19,198.53999,209.7,715400
2025-02-06,208.089996,212.52,206.080002,210.59,1405200
2025-02-07,197.75,198.88,181.47,186.96001,2199700
2025-02-10,186.96001,191.080002,180.53,183.28,1202200
2025-02-11,182.96001,184.080002,175.92,175.98,938700
2025-02-12,173.17999,174.56,168.42999,168.63,1503400
2025-02-13,169.58,173.89999,168.44,173.85001,1158000
2025-02-14,171.46001,177.054993,170.815,176.55,1079900
2025-02-18,178.82001,180.0,172.73,172.74001,1145400
2025-02-19,172.36,172.985,169.81,170.92,720900
2025-02-20,170.0,171.96001,166.97,167.14999,764700
2025-02-21,168.49001,169.0050049,159.10001,159.46001,1021100
2025-02-24,161.029999,161.64,156.895,157.92,1075100
2025-02-25,156.55,158.11,150.070007,150.97,1243500
2025-02-26,154.45,158.224,153.36,154.28999,926400
2025-02-27,155.059998,155.83,145.14999,145.57001,1442200
2025-02-28,145.5,148.465,141.5,145.66,1399800
2025-03-03,148.5,148.5,133.19,136.0099945,1209500
2025-03-04,134.47,139.49001,129.53,135.41,1529300
2025-03-05,137.085007,140.3,135.050003,140.17,1077000
2025-03-06,134.96001,139.325,132.49001,134.25,1236400
2025-03-07,134.25,135.17999,127.54,132.82001,1311100
2025-03-10,129.57001,129.95,122.48,123.5,1573400
2025-03-11,124.35,127.805,121.47,124.57,1025000
2025-03-12,129.22,135.38,128.98,133.99001,1249100
