DateTime,Open,High,Low,Close,Volume
2019-05-22,169.25,170.625,162.0,162.0,4040665
2019-05-23,31.5,31.5,29.6,30.0,7361260
2019-05-24,30.5,30.65,29.25,29.55,5700400
2019-05-28,30.0,30.0,29.0,29.3,5115820
2019-05-29,28.65,29.3,28.05,29.3,5049280
2019-05-30,29.15,29.35,27.5,27.6,5475240
2019-05-31,26.7,27.25,26.2,26.35,5632960
2019-06-03,26.65,26.9,26.05,26.7,5667120
2019-06-04,27.05,27.1,26.45,26.85,4221740
2019-06-05,26.7,26.95,24.95,25.0,5823860
2019-06-06,25.15,25.7,24.4,25.65,6685460
2019-06-07,25.8,25.85,25.15,25.2,5895900
2019-06-10,25.95,26.1,24.9,25.25,5338600
2019-06-11,25.65,26.15,25.55,25.6,6193040
2019-06-12,25.2,25.35,23.8,23.85,6043680
2019-06-13,24.65,24.75,24.1,24.7,4260640
2019-06-14,24.5,24.6,23.15,23.3,5761520
2019-06-17,23.2,24.15,22.8,24.05,3713580
2019-06-18,24.6,25.15,24.15,24.4,4226680
2019-06-19,24.6,24.7,23.95,24.1,2872700
2019-06-20,24.9,25.7,24.6,24.8,5736720
2019-06-21,24.95,25.2,24.4,24.55,2933220
2019-06-24,24.75,24.8,23.8,23.9,3762780
2019-06-25,23.9,24.45,23.6,24.05,4000360
2019-06-26,24.6,25.75,24.4,25.2,4731280
2019-06-27,25.3,25.45,24.95,25.05,3523400
2019-06-28,25.2,25.75,24.85,25.65,3427440
2019-07-01,26.3,26.6,25.5,25.7,4161420
2019-07-02,25.65,25.8,24.7,24.8,5247800
2019-07-03,25.05,25.1,24.3,24.6,2404580
2019-07-05,24.55,24.75,24.2,24.7,3038020
2019-07-08,24.75,25.5,24.15,24.2,8193140
2019-07-09,24.15,24.25,23.5,24.2,3341400
2019-07-10,24.6,25.1,24.45,24.95,4132700
2019-07-11,25.25,25.6,24.95,25.45,5188120
2019-07-12,25.5,25.55,24.85,25.05,3588360
2019-07-15,25.0,25.2,23.7,23.75,4845020
2019-07-16,23.85,24.0,22.65,23.25,4871520
2019-07-17,23.35,23.4,22.25,22.25,3922360
2019-07-18,22.35,22.35,21.55,21.8,3963440
2019-07-19,21.85,22.8,21.7,22.75,4369540
2019-07-22,22.7,23.25,22.7,23.05,3321280
2019-07-23,23.1,23.45,22.9,23.2,2792420
2019-07-24,23.2,23.8,23.0,23.25,3758200
2019-07-25,23.55,23.6,21.85,21.95,3813640
2019-07-26,22.05,22.05,20.7,21.0,6313040
2019-07-29,21.25,21.4,20.2,20.6,5796240
2019-07-30,20.5,22.4,20.25,21.95,7454780
2019-07-31,22.85,23.75,22.2,22.85,9069580
2019-08-01,22.65,22.8,21.85,22.4,7603880
2019-08-02,22.5,22.8,21.3,22.0,5616220
2019-08-05,21.35,21.55,20.55,21.25,3611520
2019-08-06,21.5,21.9,20.25,20.5,5638100
2019-08-07,20.05,21.2,19.65,20.85,5708700
2019-08-08,21.3,21.65,20.75,21.15,5742880
2019-08-09,21.4,21.8,21.1,21.55,2946580
2019-08-12,21.5,21.95,19.6,21.8,5045180
2019-08-13,21.6,22.75,21.35,22.15,8251560
2019-08-14,21.65,21.95,20.6,21.1,6099760
2019-08-15,20.85,20.85,20.0,20.7,7526620
2019-08-16,20.7,21.1,20.65,21.1,5018280
2019-08-19,21.45,22.15,20.0,22.1,4375240
2019-08-20,21.95,22.1,21.3,22.0,3076000
2019-08-21,22.25,22.6,21.55,21.65,2815180
2019-08-22,21.85,22.15,21.3,21.35,3601200
2019-08-23,20.85,21.1,20.25,20.7,5058980
2019-08-26,21.3,21.45,20.85,21.15,4504180
2019-08-27,21.2,21.6,21.05,21.55,5413300
2019-08-28,21.8,22.2,21.45,21.6,6270480
2019-08-29,21.95,22.55,21.6,22.45,5215660
2019-08-30,22.45,22.55,21.85,22.2,4321460
2019-09-03,21.65,21.9,21.35,21.85,4155280
2019-09-04,22.35,22.55,22.05,22.25,3262640
2019-09-05,22.5,23.2,22.3,22.95,4647020
2019-09-06,22.75,22.85,22.4,22.65,3021740
2019-09-09,23.05,24.1,22.8,23.6,4882640
2019-09-10,23.95,24.25,23.35,23.5,4586720
2019-09-11,23.75,24.35,23.25,23.7,4921820
2019-09-12,23.05,23.85,22.75,23.4,3782200
2019-09-13,23.6,24.1,23.35,23.75,3069580
2019-09-16,26.4,28.75,25.6,27.7,15772480
2019-09-17,27.65,27.75,25.8,25.9,7578280
2019-09-18,25.45,26.0,24.75,25.15,5545980
2019-09-19,25.6,25.65,24.55,24.55,2839680
2019-09-20,24.75,24.95,24.25,24.45,2696520
2019-09-23,24.45,25.3,24.25,25.2,4071380
2019-09-24,25.15,25.15,23.45,23.6,3757000
2019-09-25,23.15,23.9,23.05,23.4,3156720
2019-09-26,23.2,23.3,22.85,23.15,3602460
2019-09-27,22.7,23.25,22.65,23.05,3772960
2019-09-30,23.0,23.1,22.35,23.0,4612280
2019-10-01,23.0,23.3,21.9,22.25,7267280
2019-10-02,22.1,22.2,21.3,21.3,5304140
2019-10-03,21.1,22.25,20.9,22.25,4871060
2019-10-04,22.4,22.55,21.6,22.2,3781600
2019-10-07,22.05,22.65,21.6,22.55,4140700
2019-10-08,22.25,22.35,20.95,20.95,4830980
2019-10-09,21.35,21.55,20.7,20.8,4267720
2019-10-10,21.0,21.65,20.85,21.4,4260120
2019-10-11,21.75,22.2,21.65,22.1,3125520
2019-10-14,21.95,21.95,20.95,21.35,2380500
2019-10-15,21.45,21.95,20.75,21.45,4205140
2019-10-16,21.35,22.1,21.25,21.3,2398220
2019-10-17,21.35,21.55,21.0,21.1,2773160
2019-10-18,21.25,21.4,20.3,20.3,3122520
2019-10-21,20.35,20.5,19.95,20.2,3481600
2019-10-22,20.3,20.75,19.8,20.4,4015220
2019-10-23,20.2,20.85,19.9,20.45,5055320
2019-10-24,20.7,21.0,20.25,20.75,3905180
2019-10-25,20.6,21.35,20.35,21.3,3512100
2019-10-28,21.5,21.85,20.6,20.85,3528460
2019-10-29,20.7,21.9,20.55,21.65,3925240
2019-10-30,21.75,21.9,20.75,20.85,4347100
2019-10-31,21.25,21.25,19.05,19.65,13567880
2019-11-01,19.6,20.8,19.35,20.8,9623880
2019-11-04,21.1,22.4,21.0,22.35,7908940
2019-11-05,22.6,24.2,22.6,24.1,9215520
2019-11-06,23.95,24.65,23.1,23.25,5154480
2019-11-07,23.8,24.15,23.25,23.35,4003640
2019-11-08,23.15,24.3,22.65,24.2,4251180
2019-11-11,23.45,23.7,22.95,22.95,2678140
2019-11-12,23.15,23.35,22.5,22.55,2943360
2019-11-13,22.35,22.6,22.05,22.1,3372560
2019-11-14,22.3,22.5,21.6,21.7,2576680
2019-11-15,21.8,22.35,21.65,21.8,3163520
2019-11-18,21.6,21.6,20.6,20.85,3727740
2019-11-19,20.6,20.6,19.65,19.8,4184100
2019-11-20,19.75,21.15,19.55,20.3,3714120
2019-11-21,20.5,21.2,20.2,20.95,2929140
2019-11-22,20.9,21.3,20.35,20.45,2184880
2019-11-25,20.25,20.7,19.8,20.6,2840200
2019-11-26,20.65,20.65,19.7,19.85,3341240
2019-11-27,20.0,20.2,19.65,20.1,2485580
2019-11-29,19.8,19.95,19.5,19.7,1595980
2019-12-02,19.95,20.2,19.4,19.4,3531740
2019-12-03,19.2,19.75,18.85,19.25,4269700
2019-12-04,19.6,20.45,19.5,20.35,4641640
2019-12-05,20.4,20.6,19.65,19.65,3043900
2019-12-06,19.65,20.35,19.3,20.25,5508100
2019-12-09,19.95,20.7,19.9,20.45,2707340
2019-12-10,20.55,20.8,20.05,20.15,3074960
2019-12-11,20.2,20.4,19.85,20.15,3257200
2019-12-12,20.2,21.25,20.1,21.0,4956640
2019-12-13,21.15,22.0,21.0,21.15,5192520
2019-12-16,21.55,22.7,21.55,22.0,5659260
2019-12-17,22.1,22.7,21.9,22.55,5027700
2019-12-18,22.25,22.9,22.2,22.45,5257020
2019-12-19,22.5,22.8,22.2,22.45,2545360
2019-12-20,22.4,22.55,21.55,21.7,3903700
2019-12-23,21.65,22.6,21.6,22.6,2762300
2019-12-24,22.6,23.05,22.6,22.85,1507760
2019-12-26,23.0,23.65,22.85,23.3,2352200
2019-12-27,23.35,23.5,23.0,23.05,2233760
2019-12-30,23.2,23.65,23.0,23.2,2208300
2019-12-31,22.85,23.9,22.7,23.45,2612560
2020-01-02,23.7,23.9,23.35,23.7,3383040
2020-01-03,24.55,25.0,23.7,24.0,4504380
2020-01-06,24.3,24.6,23.95,24.5,2683980
2020-01-07,24.25,24.45,23.95,24.4,2304380
2020-01-08,24.35,24.5,22.2,22.5,4237360
2020-01-09,22.25,22.5,21.45,22.25,3613120
2020-01-10,22.15,22.15,21.4,21.75,5028060
2020-01-13,21.65,21.75,21.05,21.75,3661260
2020-01-14,21.65,21.7,21.15,21.2,4573140
2020-01-15,21.2,21.4,20.9,21.15,3503040
2020-01-16,21.3,22.2,21.25,21.4,3140240
2020-01-17,21.4,21.4,20.35,20.45,4030220
2020-01-21,20.0,20.1,19.55,19.8,4121660
2020-01-22,19.7,19.95,19.4,19.7,4255900
2020-01-23,19.55,20.25,19.4,20.2,7115960
2020-01-24,19.8,19.8,18.5,18.95,7184060
2020-01-27,17.9,18.33,17.19,17.34,2376500
2020-01-28,17.48,17.76,17.17,17.25,3974600
2020-01-29,17.31,17.34,16.06,16.09,5089000
2020-01-30,15.56,16.06,15.5,16.06,4864000
2020-01-31,15.82,15.85,15.51,15.63,4175500
2020-02-03,15.52,15.78,15.33,15.55,2875900
2020-02-04,15.96,15.99,15.51,15.62,2846100
2020-02-05,15.84,17.02,15.83,16.83,4570600
2020-02-06,16.82,17.18,16.36,16.92,3315100
2020-02-07,16.74,16.94,16.65,16.88,6147000
2020-02-10,16.64,16.66,16.17,16.36,3192900
2020-02-11,16.63,16.65,16.33,16.37,2117200
2020-02-12,16.69,16.8,15.97,16.44,2701800
2020-02-13,16.31,16.58,16.22,16.27,1632800
2020-02-14,16.32,16.53,15.79,15.89,2934400
2020-02-18,15.6,15.64,15.13,15.37,3125200
2020-02-19,15.45,16.29,15.45,16.22,3988300
2020-02-20,16.34,16.48,15.78,16.31,4491100
2020-02-21,16.02,16.05,15.69,15.82,3030900
2020-02-24,15.11,15.11,14.24,14.38,4134200
2020-02-25,14.5,14.51,12.91,12.92,5331700
2020-02-26,12.98,13.31,11.84,11.9,6332100
2020-02-27,11.04,11.1,10.08,10.48,10976800
2020-02-28,10.2,11.57,10.12,11.55,10783900
2020-03-02,12.0,12.02,11.08,11.43,6076700
2020-03-03,11.43,11.68,10.6,10.8,5099900
