DateTime,Open,High,Low,Close,Volume
2000-01-04,9.7902,10.0596,9.7303,9.7603,1576308
2000-01-05,9.7603,9.9099,9.6704,9.8201,1172159
2000-01-06,9.7303,10.2692,9.7004,10.0896,3336738
2000-01-07,10.3291,10.7782,10.2093,10.389,3325674
2000-01-10,10.389,10.389,9.9698,10.0596,2256849
2000-01-11,10.0596,10.5087,10.0297,10.4489,2191718
2000-01-12,10.5087,10.5387,10.359,10.389,2112391
2000-01-13,10.389,10.7782,10.359,10.7183,2998555
2000-01-14,10.7183,10.7483,10.3291,10.5387,1925138
2000-01-18,10.2992,10.5986,10.1794,10.5387,2645133
2000-01-19,10.5387,10.7782,10.4489,10.6884,3027990
2000-01-20,10.8381,10.8381,10.4788,10.5986,1647076
2000-01-21,10.5986,10.6584,10.2992,10.389,3216495
2000-01-24,10.5387,10.5387,9.88,9.9998,2719241
2000-01-25,10.4189,10.4189,9.4609,9.4908,4284485
2000-01-26,9.5806,9.8501,9.5207,9.7303,2695652
2000-01-27,9.8501,9.8501,9.5507,9.6405,2270418
2000-01-28,9.4609,9.7603,9.4609,9.5806,2209670
2000-01-31,9.6704,9.6704,9.2213,9.5207,2261650
2000-02-01,9.4908,9.5806,9.2812,9.4908,1600732
2000-02-02,9.4908,9.6405,9.3411,9.401,2528230
2000-02-03,9.3411,9.4609,9.2513,9.3411,1728073
2000-02-04,9.4309,9.4908,9.3112,9.3411,1906350
2000-02-07,9.2513,9.371,9.2213,9.3112,1672127
2000-02-08,9.2513,9.371,9.1615,9.2513,1481533
2000-02-09,9.3411,9.3411,9.0417,9.1016,4365691
2000-02-10,9.1016,9.3411,9.0716,9.0716,2309873
2000-02-11,9.1016,9.1914,8.8022,8.8621,4588641
2000-02-14,8.8621,8.892,8.0238,8.2633,9843837
2000-02-15,8.2333,8.6226,8.1136,8.5926,12174376
2000-02-16,8.5926,8.7423,8.4429,8.6824,3632544
2000-02-17,8.6525,8.7423,8.383,8.4429,1589251
2000-02-18,8.4429,8.4729,8.1735,8.2633,2491281
2000-02-22,8.2633,8.383,8.2034,8.2633,1939959
2000-02-23,8.2633,8.2633,7.9639,8.0537,2346822
2000-02-24,8.0836,8.0836,7.8441,7.8741,2173138
2000-02-25,7.8741,7.8741,7.5447,7.5447,3410846
2000-02-28,7.6645,7.7244,7.5447,7.6046,4853342
2000-02-29,7.6046,7.8142,7.5747,7.6944,3798295
2000-03-01,7.7244,7.8741,7.6346,7.6944,5559769
2000-03-02,7.6944,8.1735,7.6346,8.0836,6713975
2000-03-03,8.0836,8.2932,7.9639,8.2333,2683335
2000-03-06,8.2633,8.3232,8.1435,8.2633,2134727
2000-03-07,8.3531,8.6824,8.2259,8.5327,2758070
2000-03-08,8.7423,8.7423,8.3232,8.3531,4902817
2000-03-09,8.3232,8.383,8.1435,8.2333,2363732
2000-03-10,8.1735,8.413,8.1735,8.3531,3569709
2000-03-13,8.1435,8.383,8.1435,8.3232,2577914
2000-03-14,8.3232,8.3531,8.1435,8.2333,3341539
2000-03-15,8.2633,8.383,8.1735,8.3232,2461638
2000-03-16,8.3232,8.7722,8.3232,8.7423,3501446
2000-03-17,8.7423,8.8022,8.5627,8.7423,3741096
2000-03-20,8.7423,8.8321,8.6525,8.6525,1833494
2000-03-21,8.6824,8.9519,8.6824,8.8621,2760575
2000-03-22,8.8621,9.0118,8.8321,8.9519,2844494
2000-03-23,8.9519,9.0417,8.9219,9.0118,3259499
2000-03-24,9.0716,9.1914,9.0118,9.1016,1793204
2000-03-27,9.1315,9.2213,8.9818,9.1016,2237226
2000-03-28,9.1016,9.2513,9.1016,9.1615,2004047
2000-03-29,9.1615,9.4609,9.1315,9.3411,3544032
2000-03-30,9.4309,9.8201,9.371,9.7004,3375984
2000-03-31,9.7603,10.0297,9.7303,9.9399,4766083
2000-04-03,9.8501,9.9998,9.8201,9.9698,1993400
2000-04-04,9.9399,10.0596,9.7303,9.88,3597473
2000-04-05,9.9399,10.1495,9.88,10.0297,4276135
2000-04-06,10.0596,10.4189,10.0596,10.389,3151572
2000-04-07,10.389,10.4788,10.1794,10.2692,3326092
2000-04-10,10.2692,10.3291,10.0896,10.2393,2426984
2000-04-11,10.2393,10.4489,10.2393,10.3291,4673813
2000-04-12,10.359,10.4788,10.3291,10.389,5863925
2000-04-13,10.359,10.5986,10.2992,10.359,2005091
2000-04-14,10.4189,10.5686,9.9399,10.2692,3367425
2000-04-17,10.0596,10.1794,9.7603,9.9998,2127630
2000-04-18,10.0896,10.0896,9.4609,9.6405,2247664
2000-04-19,9.8501,9.88,9.6704,9.7902,1912195
2000-04-20,9.7902,9.88,9.4609,9.8501,2616325
2000-04-24,9.9399,10.1195,9.8201,10.0297,1997575
2000-04-25,10.2093,10.2692,10.1495,10.2393,2323651
2000-04-26,10.359,10.5986,10.2992,10.4189,2266869
2000-04-27,10.4189,10.5986,10.359,10.5087,2111138
2000-04-28,10.4489,10.5686,10.0596,10.2692,2812763
2000-05-01,10.2692,10.5387,10.2093,10.4788,1385924
2000-05-02,10.5387,10.6285,10.4189,10.4788,1798006
2000-05-03,10.4788,10.4788,10.1195,10.1794,2099657
2000-05-04,10.2992,10.5387,10.2393,10.389,2027636
2000-05-05,10.3291,10.6584,10.3291,10.6285,1392395
2000-05-08,10.5087,10.868,10.5087,10.868,1830780
2000-05-09,10.8979,10.9578,10.5986,10.8979,1615972
2000-05-10,10.8979,11.0776,10.868,10.9578,2868710
2000-05-11,11.0177,11.1674,10.9578,11.0776,3946094
