DateTime,Open,High,Low,Close,Volume
2000-08-11,6.8438,7.2812,6.75,7.1406,25139200
2000-08-14,7.0312,7.2188,7.0,7.1094,6935200
2000-08-15,7.1094,7.3594,7.0156,7.1406,9078800
2000-08-16,7.2031,7.5,7.125,7.3281,11728000
2000-08-17,7.3906,7.7812,7.3594,7.6875,7148000
2000-08-18,7.75,7.75,7.0,7.25,8824800
2000-08-21,7.25,7.3125,7.0938,7.2812,6075200
2000-08-22,7.3125,7.3594,7.2188,7.3594,5407600
2000-08-23,7.3438,7.5312,7.2812,7.5312,7268400
2000-08-24,7.4219,7.4688,7.3594,7.375,5224400
2000-08-25,7.4531,7.5625,7.375,7.5625,2186800
2000-08-28,7.5938,7.5938,7.4531,7.5312,2670800
2000-08-29,7.4844,7.7812,7.4688,7.7812,6166400
2000-08-30,7.75,8.25,7.75,8.0625,8611200
2000-08-31,8.0781,8.0781,7.875,7.9531,4484400
2000-09-01,7.9219,7.9219,7.7812,7.7969,5405600
2000-09-05,7.7656,7.8594,7.7031,7.8438,3062400
2000-09-06,7.9062,8.375,7.9062,8.25,6776000
2000-09-07,8.375,8.5156,8.1875,8.3438,5206800
2000-09-08,8.3438,8.3438,8.0781,8.1875,5362800
2000-09-11,8.0938,8.4375,8.0156,8.3281,6394400
2000-09-12,8.1875,8.2812,8.0469,8.0469,7189200
2000-09-13,8.0312,8.0469,7.7031,7.7188,5692400
2000-09-14,7.875,7.9062,7.5469,7.5938,6436000
2000-09-15,7.5156,7.8281,7.4531,7.5625,4436400
2000-09-18,7.4531,7.6562,7.2656,7.3438,3819200
2000-09-19,7.3438,7.4531,7.2812,7.3906,3072400
2000-09-20,7.4844,7.6562,7.4688,7.5312,6325200
2000-09-21,7.5469,7.5469,7.2812,7.3281,3255600
2000-09-22,7.25,7.3125,7.0,7.25,4007200
2000-09-25,7.2344,7.4375,7.1875,7.3594,3151600
2000-09-26,7.3438,7.625,7.3125,7.5781,1533600
2000-09-27,7.6875,7.7188,7.5156,7.5469,4248800
2000-09-28,7.5781,7.5938,7.4375,7.5,4384800
2000-09-29,7.5,7.5156,7.4688,7.5156,2407600
2000-10-02,7.5156,7.5938,7.4844,7.5312,3382400
2000-10-03,7.5938,7.6094,7.5,7.5781,2693600
2000-10-04,7.5469,7.6094,7.4844,7.5781,1054000
2000-10-05,7.5781,7.6094,7.5,7.6094,4484000
2000-10-06,7.6094,7.6094,7.3438,7.4375,2583600
2000-10-09,7.4219,7.5,7.3125,7.5,1610800
2000-10-10,7.4688,7.7188,7.4531,7.625,4442000
2000-10-11,7.6562,7.7812,7.5781,7.625,4415200
2000-10-12,7.6875,8.2031,7.6562,7.9531,5707200
2000-10-13,7.75,7.8906,7.6562,7.7344,2770000
2000-10-16,7.6719,7.6719,7.4531,7.5,2358000
2000-10-17,7.5,7.5,7.2188,7.2656,2868000
2000-10-18,7.0938,7.3438,7.0,7.3438,9335600
2000-10-19,7.3594,7.4844,7.3125,7.4375,4136000
2000-10-20,7.3906,7.4062,7.2188,7.2812,3190000
2000-10-23,7.1719,7.2188,6.9844,7.0,2953200
2000-10-24,6.9375,6.9844,6.6406,6.75,6871200
2000-10-25,6.5469,6.7188,6.5,6.5781,4284000
2000-10-26,6.5156,7.0312,6.5156,7.0,4966400
2000-10-27,7.0156,7.1562,6.9688,7.0938,5050400
2000-10-30,6.9688,7.3281,6.9531,7.1875,2144800
2000-10-31,7.3594,7.375,7.2188,7.2656,2072400
2000-11-01,7.1875,7.4062,7.1875,7.3438,2196400
2000-11-02,7.3438,7.4688,7.2656,7.2656,613200
2000-11-03,7.1562,7.25,7.0312,7.0625,2234400
2000-11-06,7.0625,7.2344,7.0469,7.1406,898800
2000-11-07,7.0625,7.3125,7.0312,7.2656,1193200
2000-11-08,7.3594,7.3594,7.125,7.125,2472400
2000-11-09,7.0781,7.125,6.9375,7.0,3443200
2000-11-10,6.9531,7.0938,6.9219,6.9375,2756000
2000-11-13,6.8438,7.0312,6.8438,6.9844,3948400
2000-11-14,7.0781,7.1562,7.0469,7.0625,2870400
2000-11-15,7.0938,7.125,7.0,7.1094,1294400
2000-11-16,7.0625,7.3438,7.0625,7.3438,2372000
2000-11-17,7.1875,7.3438,7.0312,7.0781,2003600
2000-11-20,7.0625,7.2031,7.0156,7.2031,1155200
2000-11-21,7.1406,7.3906,7.125,7.3438,2858000
2000-11-22,7.2344,7.3125,7.1719,7.1875,3782000
2000-11-24,6.9219,7.0,6.7969,6.9062,1526400
2000-11-27,6.8438,6.9219,6.625,6.7188,4482800
2000-11-28,6.7031,6.75,6.6094,6.6562,3495600
2000-11-29,6.6875,6.6875,6.5938,6.6406,3479600
2000-11-30,6.5469,6.625,6.3906,6.4375,5722000
2000-12-01,6.2969,6.5625,6.2969,6.5,2557600
2000-12-04,6.375,6.4844,6.3125,6.4688,1984400
2000-12-05,6.5625,6.6719,6.5469,6.5938,2255600
2000-12-06,6.5312,6.5312,6.0312,6.0781,7922400
2000-12-07,6.1094,6.1719,6.0312,6.1562,3490400
2000-12-08,6.2344,6.2656,6.125,6.1719,8711600
2000-12-11,6.3125,6.3125,6.0625,6.1719,3858400
2000-12-12,6.1875,6.1875,6.0625,6.0938,3153200
2000-12-13,6.125,6.3906,6.125,6.2812,5368400
2000-12-14,6.5,6.5469,6.4219,6.5156,5382400
2000-12-15,6.5781,6.5781,6.25,6.4375,2762000
2000-12-18,6.5,6.5,6.3594,6.4219,1403600
2000-12-19,6.3594,6.3906,6.2969,6.3438,2298000
2000-12-20,6.125,6.25,6.125,6.2188,4764400
2000-12-21,6.0625,6.2344,6.0469,6.1562,4501600
2000-12-22,6.2188,6.2656,6.125,6.2188,3041600
2000-12-26,6.2188,6.2344,6.0,6.125,3395600
2000-12-27,6.1406,6.1562,6.0312,6.1406,4597200
2000-12-28,6.1562,6.2969,6.1406,6.2969,4428400
2000-12-29,6.3594,6.375,6.1875,6.3125,2417200
2001-01-02,6.4062,6.4688,6.375,6.4375,4485200
2001-01-03,6.4531,6.9062,6.4219,6.9062,4673600
2001-01-04,6.9062,6.9375,6.7969,6.8281,5982400
2001-01-05,6.9375,6.9375,6.6406,6.7031,1979200
2001-01-08,6.6875,6.75,6.5156,6.7344,1747600
2001-01-09,6.8125,6.8594,6.7344,6.8125,1227600
2001-01-10,6.7031,6.8594,6.7031,6.8594,2758400
2001-01-11,6.8281,6.875,6.7969,6.875,1554000
2001-01-12,6.9062,7.0312,6.875,6.9844,5169200
2001-01-16,6.9844,7.3125,6.9688,7.2969,9261200
2001-01-17,7.3438,7.625,7.2969,7.3125,8965600
2001-01-18,7.2969,7.5156,7.2812,7.4688,4100000
2001-01-19,7.4844,7.4844,7.3125,7.3438,3832400
2001-01-22,7.3438,7.3438,7.1875,7.25,1472000
2001-01-23,7.25,7.3438,7.25,7.2812,2137200
2001-01-24,7.2969,7.2969,6.9531,6.9688,3751600
2001-01-25,7.0625,7.0625,6.8906,6.9375,6723200
2001-01-26,7.0781,7.0781,6.8594,6.9375,3462000
2001-01-29,6.905,6.9475,6.875,6.93,2103600
2001-01-30,6.8625,7.125,6.8625,7.08,1544000
2001-01-31,7.0625,7.0925,7.0025,7.07,2807200
2001-02-01,6.9875,6.99,6.8775,6.89,1158800
2001-02-02,6.9375,6.9375,6.85,6.855,1832800
2001-02-05,6.825,6.925,6.75,6.85,1951200
2001-02-06,6.9,6.9625,6.825,6.895,944400
2001-02-07,6.8125,6.9325,6.8125,6.9325,2239600
2001-02-08,7.0,7.175,6.9975,7.0925,1375200
2001-02-09,7.0625,7.25,7.03,7.225,2858000
2001-02-12,7.275,7.3375,7.1275,7.2025,1534800
2001-02-13,7.175,7.4125,7.175,7.34,3938800
2001-02-14,7.3425,7.55,7.3,7.515,4476400
2001-02-15,7.4625,7.475,7.4125,7.4125,2663600
2001-02-16,7.2125,7.405,7.2125,7.3975,3854000
2001-02-20,7.125,7.25,7.125,7.2375,10009600
2001-02-21,7.125,7.125,6.975,7.0,3223600
2001-02-22,6.9875,7.1,6.9375,7.045,4336800
2001-02-23,7.02,7.18,6.9075,7.18,1638400
2001-02-26,7.175,7.475,7.175,7.425,1047200
2001-02-27,7.125,7.4825,7.125,7.38,1512800
2001-02-28,7.4,7.4,7.0025,7.1325,3392800
2001-03-01,7.07,7.2,7.025,7.1875,2425200
2001-03-02,7.185,7.3125,7.05,7.295,36326000
2001-03-05,7.2975,7.2975,7.2,7.2575,638400
2001-03-06,7.2925,7.3625,7.17,7.255,1480800
2001-03-07,7.275,7.2925,7.225,7.2625,1121600
2001-03-08,7.2575,7.4125,7.2475,7.2875,3646400
2001-03-09,7.2375,7.3125,7.1625,7.2875,3542000
2001-03-12,7.25,7.25,7.0,7.0,1652000
2001-03-13,7.0,7.05,6.95,7.0375,3672400
2001-03-14,6.6875,6.9875,6.6875,6.875,4394400
2001-03-15,6.675,6.7125,6.35,6.4,7105600
2001-03-16,6.225,6.63,6.1875,6.56,9371600
2001-03-19,6.4375,6.55,6.3375,6.4775,6456000
2001-03-20,6.375,6.5875,6.335,6.53,6086000
2001-03-21,6.35,6.375,6.175,6.2625,6921200
2001-03-22,6.0,6.075,5.8575,5.925,8450000
2001-03-23,5.9,5.9,5.575,5.8,13124400
2001-03-26,6.075,6.1125,5.9525,6.105,4019200
2001-03-27,6.1125,6.275,6.1125,6.275,3975600
2001-03-28,6.25,6.2525,6.075,6.1275,1973200
2001-03-29,6.1125,6.12,5.84,5.8875,2644800
2001-03-30,5.875,6.0,5.7,5.95,3025600
2001-04-02,5.925,5.925,5.72,5.725,2530400
2001-04-03,5.75,5.75,5.675,5.7,2024000
2001-04-04,5.825,5.9825,5.7,5.825,1977600
2001-04-05,6.125,6.2875,6.0625,6.275,3377600
2001-04-06,6.45,6.45,6.265,6.405,2994800
2001-04-09,6.4675,6.4675,6.3675,6.435,1568400
2001-04-10,6.45,6.6,6.45,6.4525,3004000
2001-04-11,6.5,6.525,6.275,6.3125,2570000
2001-04-12,6.25,6.2525,6.0275,6.1625,5829200
2001-04-16,6.225,6.225,5.9975,6.02,3740400
2001-04-17,6.175,6.175,6.0225,6.085,34888800
2001-04-18,6.25,6.425,6.0925,6.3875,4412800
2001-04-19,6.2625,6.4,6.175,6.2275,2996000
2001-04-20,6.0,6.0475,5.8525,5.8725,5630000
2001-04-23,5.8725,6.17,5.7625,6.17,5054000
2001-04-24,6.15,6.43,6.15,6.4025,3708800
2001-04-25,6.175,6.5375,6.125,6.475,2227600
2001-04-26,6.5375,6.7875,6.5375,6.7375,4819200
2001-04-27,6.7875,6.875,6.7,6.7125,2803600
2001-04-30,6.825,6.875,6.75,6.75,3209600
2001-05-01,6.725,6.9,6.725,6.74,510800
2001-05-02,6.675,6.7125,6.585,6.7125,3426800
2001-05-03,6.6,6.9125,6.575,6.9125,4237200
2001-05-04,6.85,6.95,6.785,6.8375,3036400
2001-05-07,6.8375,6.8625,6.575,6.6225,1808400
2001-05-08,6.6225,6.6225,6.4775,6.5275,1496800
2001-05-09,6.5,6.7,6.45,6.6225,2218400
2001-05-10,6.75,6.875,6.725,6.85,6503200
2001-05-11,6.8075,6.8125,6.6,6.75,2779600
2001-05-14,6.575,6.85,6.525,6.675,3064800
2001-05-15,6.625,6.625,6.5375,6.55,2452800
2001-05-16,6.6125,6.7375,6.5325,6.7,2241600
2001-05-17,6.775,6.825,6.7625,6.8,3949200
2001-05-18,6.8625,6.9875,6.7875,6.91,1115600
2001-05-21,6.91,6.9625,6.8375,6.935,2508800
2001-05-22,6.9975,7.1125,6.9875,6.9875,4014800
2001-05-23,6.9375,7.1125,6.8875,7.0,4173200
2001-05-24,6.95,7.025,6.7875,6.925,2787200
2001-05-25,6.925,6.9375,6.8125,6.8475,2462000
2001-05-29,6.8625,6.9075,6.8375,6.8875,3732400
2001-05-30,6.8875,6.925,6.825,6.925,2528000
2001-05-31,6.9875,7.0875,6.905,7.075,1848800
2001-06-01,7.15,7.15,6.9375,7.1,3704000
2001-06-04,7.2375,7.475,7.2375,7.3625,3863600
2001-06-05,7.37,7.37,7.1275,7.2125,6273600
2001-06-06,7.275,7.275,6.925,6.95,7012000
2001-06-07,6.95,6.95,6.8125,6.825,4325200
