DateTime,Open,High,Low,Close,Volume
2012-04-24,13.0,14.0,12.5,14.0,109500
2012-04-25,12.96,14.03,12.96,13.0,265901
2012-04-26,14.0,14.0,12.5,14.0,127050
2012-04-27,13.0,13.0,12.6,13.0,2100
2012-04-30,13.0,13.5,13.0,13.5,34000
2012-05-01,13.25,13.75,13.25,13.75,6000
2012-05-02,13.55,13.71,13.5,13.55,7941
2012-05-03,13.55,13.55,13.25,13.35,14700
2012-05-04,13.7,13.99,13.7,13.99,2000
2012-05-07,13.5,13.5,13.0,13.0,15441
2012-05-08,13.0,13.0,13.0,13.0,2500
2012-05-09,12.9,12.9,12.75,12.75,4890
2012-05-10,12.9,13.25,12.75,13.25,14430
2012-05-11,13.0,13.1,13.0,13.0,15940
2012-05-14,13.0,13.25,13.0,13.25,1101
2012-05-15,13.25,13.5,13.25,13.5,5445
2012-05-16,13.35,13.5,13.35,13.5,55841
2012-05-17,13.45,13.45,13.45,13.45,1000
2012-05-18,13.5,13.5,12.9,13.0,1955
2012-05-21,12.75,12.75,12.75,12.75,31500
2012-05-22,12.9,12.9,12.9,12.9,856
2012-05-23,13.5,13.5,13.5,13.5,4000
2012-05-24,13.5,13.5,13.5,13.5,3000
2012-05-25,13.5,13.5,13.25,13.25,4814
2012-05-29,13.36,13.5,12.78,12.78,4310
2012-05-30,13.25,13.25,13.0,13.0,3495
2012-05-31,13.5,13.5,13.5,13.5,1100
2012-06-01,13.5,13.5,12.75,13.0,3400
2012-06-04,13.0,13.0,11.0,11.0,146277
2012-06-05,12.5,12.5,12.5,12.5,300
2012-06-07,12.5,12.5,12.5,12.5,1800
2012-06-08,12.5,12.5,12.5,12.5,11668
2012-06-11,12.5,12.5,12.5,12.5,11532
2012-06-12,12.4,12.4,12.25,12.25,400
2012-06-19,12.02,12.02,11.95,11.95,1400
2012-06-20,11.95,11.95,11.95,11.95,2900
2012-06-21,11.95,11.95,11.85,11.85,4500
2012-06-22,11.95,11.95,11.8,11.85,4490
2012-06-25,11.88,11.88,11.85,11.85,13000
2012-06-26,11.5,11.5,11.3,11.3,14500
2012-06-27,11.25,11.3,11.25,11.3,11500
2012-06-28,11.25,11.25,11.25,11.25,10710
2012-06-29,11.0,11.25,11.0,11.25,149800
2012-07-02,11.15,11.15,11.0,11.1,35624
2012-07-03,11.05,11.25,11.0,11.25,4600
2012-07-06,11.37,11.37,11.37,11.37,600
2012-07-12,11.0,11.3,11.0,11.25,14100
2012-07-13,11.25,11.25,11.25,11.25,500
2012-07-16,11.25,13.0,11.19,11.2,160600
2012-07-17,12.5,12.5,12.5,12.5,300
2012-07-19,12.0,12.0,12.0,12.0,1800
2012-07-20,12.5,12.5,12.5,12.5,11500
2012-07-25,12.0,12.0,12.0,12.0,15400
2012-07-27,12.5,12.5,12.5,12.5,450000
2012-07-30,12.75,13.0,12.55,12.98,27795
2012-07-31,12.95,12.95,12.75,12.75,800
2012-08-01,12.5,12.5,12.0,12.4,43000
2012-08-02,12.4,12.4,12.35,12.4,1000
2012-08-03,12.4,12.65,12.25,12.3,44300
2012-08-07,13.0,13.0,12.55,12.8,343446
2012-08-08,13.0,13.0,13.0,13.0,1500
2012-08-09,13.5,13.5,13.5,13.5,10241
2012-08-15,13.5,13.5,13.5,13.5,250
2012-08-20,14.0,14.5,14.0,14.5,6900
2012-08-21,14.5,14.5,14.0,14.0,8800
2012-08-23,13.9,13.9,13.9,13.9,250
2012-08-24,14.25,14.75,14.0,14.5,23350
2012-08-27,14.5,14.5,14.0,14.0,46950
2012-08-28,14.15,14.15,14.0,14.0,35800
2012-08-29,14.99,14.99,14.05,14.1,7800
2012-08-30,15.0,15.0,14.05,14.05,2650
