DateTime,Open,High,Low,Close,Volume
2015-01-02,90.84,91.0,89.92,90.44,7251400
2015-01-05,90.23,91.0,89.85,90.010002,8626100
2015-01-06,90.31,90.56,89.26,89.6,7791200
2015-01-07,89.94,90.37,89.56,90.07,5986600
2015-01-08,90.48,91.23,90.13,91.099998,6823300
2015-01-09,91.18,91.18,90.12,90.25,4872800
2015-01-12,90.48,90.62,89.51,89.92,5250900
2015-01-13,90.78,91.5,89.77,90.3,6727100
2015-01-14,89.73,90.16,89.43,89.99,6418200
2015-01-15,90.49,90.5,89.34,89.86,6768200
2015-01-16,89.95,91.34,89.87,91.25,8815700
2015-01-20,91.25,91.79,90.5,91.19,9869900
2015-01-21,90.4,91.19,89.63,90.73,6974500
2015-01-22,91.040001,91.69,89.87,91.62,7211200
2015-01-23,91.17,91.19,89.95,90.080002,6745700
2015-01-26,89.95,89.95,88.74,89.58,9371700
2015-01-27,87.099998,87.21,86.019997,86.49,14417400
2015-01-28,86.63,86.91,85.010002,85.15,14033400
2015-01-29,85.78,86.11,85.15,85.67,12054500
2015-01-30,85.089996,85.22,84.25,84.29,14685300
2015-02-02,84.58,85.14,83.68,85.12,10278700
2015-02-03,85.95,86.0,85.12,85.95,10747900
2015-02-04,85.89,86.48,85.55,85.79,9212800
2015-02-05,86.24,86.78,86.099998,86.7,6531300
2015-02-06,86.56,86.61,85.15,85.61,8429800
2015-02-09,85.31,85.43,84.59,85.050003,8811500
2015-02-10,85.33,85.57,84.82,85.39,7059300
2015-02-11,85.95,86.2,85.15,85.64,7184600
2015-02-12,86.059998,86.15,85.41,86.029999,6074600
2015-02-13,86.029999,86.15,85.5,85.9,6272000
2015-02-17,86.059998,86.059998,85.0,85.49,10310400
2015-02-18,85.76,86.39,85.52,86.26,8132300
2015-02-19,86.11,86.3,85.050003,85.21,7271600
2015-02-20,84.95,85.050003,84.19,84.87,9581300
2015-02-23,84.96,85.5,84.65,85.39,7919200
2015-02-24,85.51,85.74,85.010002,85.5,6502200
2015-02-25,85.7,85.8,85.24,85.46,5975800
2015-02-26,85.42,85.76,84.89,85.17,7964500
2015-02-27,85.019997,85.38,84.57,85.13,7685000
2015-03-02,85.13,85.41,84.84,85.41,7235200
2015-03-03,85.35,85.44,84.54,85.16,6095600
2015-03-04,85.040001,85.24,84.21,84.35,7370000
2015-03-05,84.62,84.76,84.089996,84.63,5914200
2015-03-06,84.34,84.37,82.37,82.66,11338700
2015-03-09,82.79,83.21,82.68,83.089996,7326700
2015-03-10,82.47,82.88,81.54,81.54,9681400
2015-03-11,81.53,81.78,80.81,81.39,10066600
2015-03-12,81.59,82.12,81.51,82.089996,6951100
2015-03-13,81.98,82.28,81.15,81.83,7492500
2015-03-16,82.080002,83.95,81.99,83.56,15618300
2015-03-17,83.36,83.37,82.43,82.85,7509300
2015-03-18,82.86,84.050003,82.019997,83.75,12607900
2015-03-19,83.46,83.75,83.12,83.38,9257500
2015-03-20,83.99,84.79,83.77,84.74,22580300
2015-03-23,84.37,85.050003,84.36,84.86,9891100
2015-03-24,84.89,85.11,83.87,83.92,7478800
2015-03-25,84.37,84.37,82.86,83.010002,8482200
2015-03-26,82.58,82.61,81.95,82.15,7311600
2015-03-27,82.080002,82.54,81.99,82.31,6440600
2015-03-30,82.63,82.95,82.15,82.72,6416800
2015-03-31,82.76,82.93,81.94,81.94,8649700
2015-04-01,82.44,82.45,81.45,82.32,7395300
2015-04-02,82.17,82.59,81.92,82.43,6169800
2015-04-06,81.92,83.23,81.51,83.040001,6856300
2015-04-07,82.93,83.29,82.33,82.39,6329900
2015-04-08,82.3,83.18,82.27,82.77,6523400
2015-04-09,82.63,82.95,82.010002,82.89,6185000
2015-04-10,82.8,83.63,82.72,83.35,7001700
2015-04-13,83.0,83.95,82.94,83.43,8290500
2015-04-14,83.39,83.88,83.050003,83.6,6792600
2015-04-15,83.85,84.2,83.48,83.51,7006400
2015-04-16,83.56,84.07,83.35,83.5,7615900
2015-04-17,83.0,83.22,82.029999,82.53,9533800
2015-04-20,83.089996,83.98,82.8,82.87,7416000
2015-04-21,83.39,83.8,82.9,83.080002,7696400
2015-04-22,83.22,83.34,82.6,83.089996,6753100
2015-04-23,81.42,82.099998,80.9,80.95,14569500
2015-04-24,81.040001,81.53,80.9,81.0,8785500
2015-04-27,80.91,81.2,80.47,80.6,9192300
2015-04-28,80.73,80.82,80.19,80.42,8395500
2015-04-29,80.0,80.31,79.72,79.85,11858500
2015-04-30,79.95,80.15,79.07,79.51,9409300
2015-05-01,79.76,80.32,79.63,80.29,8193000
2015-05-04,80.48,80.97,80.3,80.35,7203800
2015-05-05,80.5,80.65,79.78,80.07,6589400
2015-05-06,80.34,80.58,79.52,80.4,7335700
2015-05-07,80.37,80.55,80.0,80.2,7224300
2015-05-08,80.89,81.21,80.82,80.96,6929400
2015-05-11,80.95,80.99,80.26,80.27,5237800
2015-05-12,80.029999,80.29,79.36,79.95,6305800
2015-05-13,80.16,80.59,79.55,79.7,6459900
2015-05-14,80.11,80.69,80.089996,80.57,5634200
2015-05-15,80.83,81.12,80.73,81.050003,7454800
2015-05-18,80.97,81.13,80.5,80.74,5590800
2015-05-19,80.75,80.95,80.33,80.83,5729500
2015-05-20,80.93,81.0,80.45,80.48,5487000
2015-05-21,80.17,80.58,79.84,80.41,6054700
2015-05-22,80.24,80.4,79.92,79.95,6003600
2015-05-26,79.97,80.07,78.94,79.14,6698300
2015-05-27,79.22,79.94,79.089996,79.39,8094600
2015-05-28,79.43,79.45,79.019997,79.33,5803400
