DateTime,Open,High,Low,Close,Volume
2000-01-04,5.2188,5.2188,5.0,5.0312,196400
2000-01-05,5.0312,5.0625,4.8906,4.9375,1044800
2000-01-06,4.9531,4.9531,4.8594,4.9062,469200
2000-01-07,4.875,5.0312,4.875,4.9844,509600
2000-01-10,4.9531,5.0156,4.8906,4.8906,1116400
2000-01-11,4.9375,4.9688,4.625,4.6875,1533200
2000-01-12,4.75,4.75,4.4688,4.5312,1540400
2000-01-13,4.5469,4.75,4.5469,4.75,1454800
2000-01-14,4.8125,4.8438,4.6094,4.7188,692800
2000-01-18,4.6875,4.7031,4.6406,4.6719,354400
2000-01-19,4.7031,4.7031,4.4531,4.4844,973600
2000-01-20,4.5,4.6094,4.3281,4.5312,1896800
2000-01-21,4.8125,4.8438,4.5312,4.5938,1245200
2000-01-24,4.625,4.7031,4.4219,4.4688,1358800
2000-01-25,4.5312,4.5312,4.1875,4.25,1631600
2000-01-26,4.2969,4.4219,4.2812,4.3594,2785600
2000-01-27,4.375,4.5,4.3438,4.4844,1858800
2000-01-28,4.5156,4.5625,4.4375,4.4375,1246400
2000-01-31,4.4844,4.4844,4.3281,4.3594,1228000
2000-02-01,4.4062,4.4375,4.2812,4.2969,798800
2000-02-02,4.3594,4.3594,4.2344,4.25,1172400
2000-02-03,4.3125,4.3594,4.25,4.3125,999600
2000-02-04,4.3281,4.3906,4.2656,4.3125,4247200
2000-02-07,4.3125,4.3281,4.1094,4.1406,1506400
2000-02-08,4.25,4.5156,4.2344,4.4531,1397600
2000-02-09,4.4375,4.4688,4.375,4.4219,860400
2000-02-10,4.4219,4.4844,4.3281,4.3594,937200
2000-02-11,4.3594,4.4844,4.3438,4.4062,785200
2000-02-14,4.4219,4.4531,4.375,4.3906,664800
2000-02-15,4.3594,4.7812,4.3594,4.625,1352400
2000-02-16,4.625,4.625,4.3906,4.4219,676000
2000-02-17,4.4688,4.5625,4.3906,4.4219,1258400
2000-02-18,4.4062,4.4375,4.2188,4.4375,796000
2000-02-22,4.4062,4.5,4.3125,4.3281,324400
2000-02-23,4.4062,4.4062,4.25,4.2656,383600
2000-02-24,4.3125,4.375,4.1406,4.2031,634800
2000-02-25,4.1875,4.2344,4.0312,4.0469,810800
2000-02-28,4.0,4.1094,4.0,4.0938,594400
2000-02-29,4.1406,4.2969,4.0781,4.2031,741200
2000-03-01,4.2031,4.3281,4.1406,4.2656,714400
2000-03-02,4.2656,4.2812,4.0,4.1562,1325600
2000-03-03,4.2031,4.25,4.0469,4.125,523600
2000-03-06,4.125,4.1719,4.0312,4.0469,433600
2000-03-07,4.0781,4.0938,3.9062,3.9844,606000
2000-03-08,3.9375,4.0,3.8438,3.9219,416800
2000-03-09,3.875,4.0625,3.8125,4.0469,943600
2000-03-10,4.0,4.0469,3.9531,3.9688,1440000
2000-03-13,4.0156,4.0625,3.9531,4.0469,1011600
2000-03-14,4.0156,4.0781,3.8906,3.9375,613600
2000-03-15,3.9375,4.3594,3.9375,4.2812,1652400
2000-03-16,4.2812,4.8281,4.2812,4.8125,2527600
2000-03-17,4.5,4.8438,4.5,4.7031,1604800
2000-03-20,4.7188,4.875,4.6875,4.8281,944000
2000-03-21,4.7969,4.8281,4.7656,4.8125,624000
2000-03-22,4.7969,4.7969,4.6875,4.75,1052400
2000-03-23,4.7188,5.0312,4.6719,4.875,1113600
2000-03-24,4.8906,4.9844,4.75,4.8594,1296400
2000-03-27,4.8594,4.9688,4.7656,4.8281,350400
2000-03-28,4.7812,4.8281,4.6719,4.7344,610000
2000-03-29,4.8125,5.0,4.75,4.9531,842800
2000-03-30,4.9688,5.2344,4.9688,5.1094,1167200
2000-03-31,5.1719,5.2656,5.0781,5.2188,1401200
2000-04-03,5.1875,5.3281,5.1875,5.2188,702400
2000-04-04,5.2344,5.3125,5.0469,5.1094,867200
2000-04-05,5.1094,5.375,5.1094,5.3594,1392000
2000-04-06,5.375,5.4531,5.3438,5.3594,932800
2000-04-07,5.3125,5.4531,5.3125,5.375,716800
2000-04-10,5.3125,5.4219,5.2656,5.3125,431200
2000-04-11,5.3125,5.5156,5.3125,5.375,927200
2000-04-12,5.3906,5.75,5.3438,5.6562,775200
2000-04-13,5.625,5.8125,5.5781,5.7031,1052800
2000-04-14,5.6562,5.7188,5.3125,5.3438,2032400
2000-04-17,5.25,5.5,5.2188,5.4375,916800
2000-04-18,5.3594,5.4375,5.25,5.3906,1213200
2000-04-19,5.4062,5.4688,5.3125,5.4219,652400
2000-04-20,5.3594,5.5469,5.3438,5.5156,1218000
2000-04-24,5.4688,5.5625,5.4062,5.4531,630000
2000-04-25,5.4531,5.6094,5.3438,5.5,1477600
2000-04-26,5.4375,5.625,5.1875,5.5781,993600
2000-04-27,5.5156,5.5938,5.4219,5.4531,740400
2000-04-28,5.4062,5.4062,5.2812,5.375,1361200
2000-05-01,5.3125,5.5625,5.3125,5.4219,510000
2000-05-02,5.3906,5.5781,5.3906,5.4844,453200
2000-05-03,5.4531,5.5,5.3125,5.4062,480000
2000-05-04,5.3906,5.5625,5.3906,5.4688,871200
2000-05-05,5.4375,5.5938,5.4219,5.5,442000
2000-05-08,5.5,5.5,5.3125,5.3438,716000
2000-05-09,5.4062,5.5312,5.375,5.5,350800
2000-05-10,5.5,5.5,5.3438,5.3594,519600
2000-05-11,5.3594,5.7188,5.3594,5.6406,1023600
2000-05-12,5.625,5.7188,5.625,5.6719,350000
2000-05-15,5.6719,5.6719,5.4844,5.5781,400400
2000-05-16,5.5312,5.7812,5.5,5.7344,446400
2000-05-17,5.6719,5.6875,5.375,5.4688,626800
2000-05-18,5.4531,5.5,5.3906,5.4062,585200
2000-05-19,5.3281,5.4375,5.3281,5.3438,333600
2000-05-22,5.375,5.4531,5.3125,5.3594,647600
2000-05-23,5.4062,5.4688,5.3594,5.375,384400
2000-05-24,5.375,5.5,5.375,5.4219,282800
2000-05-25,5.375,5.5312,5.375,5.3906,324400
2000-05-26,5.4531,5.5156,5.4062,5.5,299200
2000-05-30,5.4688,5.5312,5.4375,5.4531,274800
2000-05-31,5.4062,5.5625,5.375,5.5469,632000
2000-06-01,5.5,5.5156,5.4219,5.4375,628800
2000-06-02,5.5,5.8594,5.4688,5.8438,748800
2000-06-05,5.625,5.6875,5.5312,5.625,470400
2000-06-06,5.5625,5.7656,5.5625,5.75,463200
2000-06-07,5.7188,5.7188,5.4844,5.5469,278000
2000-06-08,5.5,5.6406,5.5,5.6094,333200
2000-06-09,5.625,5.6719,5.5938,5.6719,134400
2000-06-12,5.7344,5.7344,5.5625,5.625,334400
2000-06-13,5.4688,5.6719,5.4375,5.6406,780000
2000-06-14,5.6094,5.6562,5.5625,5.6094,384800
2000-06-15,5.5938,5.6875,5.5938,5.625,425600
2000-06-16,5.5312,5.6485,5.5156,5.6406,855200
2000-06-19,5.5,5.5625,5.3125,5.5312,815200
2000-06-20,5.5156,5.5156,5.4062,5.4375,632800
2000-06-21,5.4531,5.4531,5.3594,5.375,927600
2000-06-22,5.3594,5.375,5.2969,5.3438,402400
2000-06-23,5.375,5.375,5.25,5.2969,241600
2000-06-26,5.2969,5.3438,5.2656,5.2969,306400
2000-06-27,5.3281,5.4688,5.3125,5.4219,276000
2000-06-28,5.3594,5.4531,5.3281,5.3633,706800
2000-06-29,5.3281,5.5,5.3281,5.4375,1347600
2000-06-30,5.5,5.5156,5.3281,5.4024,760400
2000-07-03,5.4062,5.4844,5.3281,5.4688,256800
2000-07-05,5.4375,5.6094,5.4375,5.5938,314800
2000-07-06,5.5469,5.625,5.5,5.5938,354400
2000-07-07,5.6094,5.6094,5.5,5.5781,372000
2000-07-10,5.5469,5.5469,5.4375,5.4844,490000
2000-07-11,5.4844,5.5156,5.4219,5.5156,679200
2000-07-12,5.4688,5.5312,5.4219,5.5156,435200
2000-07-13,5.4844,5.4844,5.4062,5.4375,450400
2000-07-14,5.4375,5.4844,5.3906,5.4375,896800
2000-07-17,5.375,5.4531,5.3438,5.4531,362800
2000-07-18,5.4219,5.4375,5.3125,5.375,292000
2000-07-19,5.4688,5.4844,5.3281,5.3906,302000
2000-07-20,5.4531,5.5156,5.4219,5.5156,316000
2000-07-21,5.4531,5.4844,5.3281,5.3438,344400
2000-07-24,5.375,5.4219,5.2188,5.2344,248800
2000-07-25,5.4062,5.5781,5.4062,5.4688,638000
2000-07-26,5.4688,5.6562,5.4531,5.5156,700400
2000-07-27,5.5312,5.6562,5.5,5.625,602000
2000-07-28,5.5,5.6406,5.4375,5.4688,624000
2000-07-31,5.5,5.7812,5.5,5.7344,1074800
2000-08-01,5.5938,5.8906,5.5938,5.8281,607600
2000-08-02,5.8281,6.0625,5.8125,5.8281,818000
2000-08-03,5.8906,6.25,5.8906,6.1562,916000
2000-08-04,6.1719,6.3125,6.0781,6.2812,545200
2000-08-07,6.2969,7.0469,6.2969,7.0469,2231600
2000-08-08,7.0469,7.375,6.9688,7.2969,2475600
2000-08-09,7.3125,7.5,7.2188,7.2344,3145200
2000-08-10,7.2344,7.2344,6.9375,6.9531,766800
2000-08-11,7.0156,7.2969,7.0156,7.25,927200
2000-08-14,7.625,7.7344,7.5156,7.6562,997600
2000-08-15,7.5938,7.6094,7.2969,7.3906,1112000
2000-08-16,7.3281,7.3594,7.1875,7.2188,1018400
2000-08-17,7.2188,7.2812,7.0938,7.2344,696400
2000-08-18,7.1719,7.2344,7.0938,7.1875,900800
2000-08-21,7.25,7.5625,7.25,7.4062,742800
2000-08-22,7.3906,7.4375,7.3281,7.4375,508800
2000-08-23,7.4375,7.4375,7.2188,7.2812,698000
2000-08-24,7.2188,7.3438,7.2188,7.2344,644400
2000-08-25,7.1719,7.2188,7.0938,7.1719,509200
2000-08-28,7.125,7.2656,7.1094,7.1562,292800
2000-08-29,7.125,7.625,7.125,7.5156,1486400
2000-08-30,7.5469,7.875,7.5156,7.8438,2930400
2000-08-31,7.8594,8.4219,7.8594,8.2383,1340400
2000-09-01,8.375,8.375,8.1719,8.2344,1180800
2000-09-05,8.125,8.5,8.1094,8.4531,1615600
2000-09-06,8.5,8.5469,8.375,8.375,855600
2000-09-07,8.4062,8.5156,8.375,8.5,849600
2000-09-08,8.5156,8.5156,8.25,8.2812,764400
2000-09-11,8.2812,8.5,8.2344,8.4531,1559600
2000-09-12,8.5156,8.5625,8.4375,8.5625,1111200
2000-09-13,8.3906,8.625,8.3906,8.5469,881600
2000-09-14,8.5469,8.6094,8.5156,8.5312,716000
2000-09-15,8.4688,8.4844,8.2188,8.25,877200
2000-09-18,8.2656,8.2656,7.6719,7.8125,1693200
2000-09-19,7.875,8.0312,7.7031,8.0156,815200
2000-09-20,8.0,8.375,7.9844,8.3438,1130800
2000-09-21,8.3438,8.3438,7.9531,8.1719,736000
2000-09-22,8.1562,8.2969,8.0156,8.25,653600
2000-09-25,8.25,8.25,8.0781,8.0938,724000
2000-09-26,8.0781,8.375,8.0781,8.2031,836000
2000-09-27,8.2188,8.5312,8.2188,8.375,1233600
2000-09-28,8.375,8.375,8.2812,8.3438,1201600
2000-09-29,8.3125,8.5,8.25,8.25,1780400
2000-10-02,8.3438,8.4219,8.25,8.25,971600
2000-10-03,8.3594,8.4688,8.3281,8.3906,1715600
2000-10-04,8.3594,8.625,8.3281,8.4688,1140400
2000-10-05,8.5625,8.5938,8.4375,8.4531,1448400
2000-10-06,8.4531,8.6875,8.4062,8.5469,948800
2000-10-09,8.5781,9.0,8.5781,8.6719,944800
2000-10-10,8.7188,8.75,8.2969,8.3438,681200
2000-10-11,8.3906,8.4844,7.9375,7.9844,1280000
2000-10-12,8.0,8.0,7.5312,7.625,926800
2000-10-13,7.5625,7.9219,7.5,7.5156,1685200
2000-10-16,7.5781,7.875,7.5312,7.7812,849600
2000-10-17,7.8594,7.8594,7.5156,7.625,373200
2000-10-18,7.5625,7.5625,7.25,7.2969,762400
2000-10-19,7.2812,7.7188,7.2812,7.4375,701200
2000-10-20,7.3125,7.5,7.25,7.2656,1165600
2000-10-23,7.3438,7.4375,7.0156,7.0156,1202000
2000-10-24,7.0938,7.4844,7.0938,7.3906,1292400
2000-10-25,7.4062,7.5469,7.2656,7.3594,710400
2000-10-26,7.3594,7.5781,7.3281,7.4062,616400
2000-10-27,7.3438,7.5625,7.3125,7.5312,694400
2000-10-30,7.5312,7.9688,7.5312,7.9531,933600
2000-10-31,7.9219,8.3438,7.9219,8.3281,940000
2000-11-01,8.3125,8.4062,8.25,8.3281,1183600
2000-11-02,8.4688,8.7031,8.4062,8.625,1158000
2000-11-03,8.6406,8.7812,8.4844,8.7188,1094400
2000-11-06,8.7344,8.7344,8.6094,8.625,722400
2000-11-07,8.5938,8.6562,8.4219,8.5156,711200
2000-11-08,8.5781,9.0312,8.5625,9.0312,1755600
2000-11-09,9.0,9.1875,8.875,9.1719,2112800
2000-11-10,9.2344,9.2656,9.0938,9.1562,1478800
2000-11-13,9.1562,9.3281,9.0938,9.2812,1116800
2000-11-14,9.3438,9.375,9.1719,9.3438,1703600
2000-11-15,9.375,9.6562,9.3125,9.5156,1528800
2000-11-16,9.5156,9.5469,9.4062,9.4688,674400
2000-11-17,9.4688,9.7344,9.4688,9.6406,1133600
2000-11-20,9.6875,9.6875,9.2812,9.4219,1079200
2000-11-21,9.6719,9.6875,9.5938,9.6875,1136800
2000-11-22,9.6562,9.8125,9.4375,9.7188,1383200
2000-11-24,9.7344,10.0469,9.7344,10.0156,527600
2000-11-27,9.9688,10.4375,9.9688,10.375,1444800
2000-11-28,10.2969,10.3281,10.2031,10.2656,1238000
2000-11-29,10.2969,10.2969,9.8281,9.8906,960400
2000-11-30,9.8281,9.8281,9.6562,9.6562,1790400
2000-12-01,9.6719,10.0,9.6719,9.9219,1589600
2000-12-04,9.9219,9.9688,9.4219,9.4219,2448400
2000-12-05,9.6719,10.9844,9.5156,10.9375,3317200
2000-12-06,10.875,11.125,10.3125,10.3125,3313600
2000-12-07,10.3125,10.7344,10.2188,10.4844,1446400
2000-12-08,10.5469,10.9844,10.5156,10.8594,1137600
2000-12-11,10.7969,11.25,10.7969,10.9375,1322400
2000-12-12,10.9375,11.2344,10.8125,10.8906,1372000
2000-12-13,11.0,11.0156,10.625,10.6406,713200
2000-12-14,10.6406,10.6719,10.25,10.3906,790800
2000-12-15,10.3125,10.5938,10.2812,10.5156,1622400
2000-12-18,10.4844,10.75,10.4844,10.6875,1119600
2000-12-19,10.625,10.6719,10.3281,10.3594,699200
2000-12-20,10.4062,10.4062,9.6406,9.7656,1184400
2000-12-21,9.7031,10.0,9.4062,9.9062,1099600
2000-12-22,9.875,10.2812,9.8281,10.2656,875600
2000-12-26,10.2031,10.875,10.1875,10.8125,1122000
2000-12-27,10.5938,10.9688,10.125,10.2969,1348000
2000-12-28,10.3125,10.7812,10.1719,10.6406,1346400
2000-12-29,10.6875,10.8125,10.5469,10.5469,1050400
2001-01-02,10.6094,10.625,10.0,10.0781,1460800
2001-01-03,10.1406,10.625,10.0156,10.6094,2142000
2001-01-04,10.5781,10.9844,10.5469,10.6562,1580400
2001-01-05,10.7188,10.7188,10.0312,10.1562,2005600
2001-01-08,10.1094,10.2188,9.3281,9.5156,2265600
2001-01-09,9.5156,10.0938,9.5156,9.9219,1302800
2001-01-10,9.875,10.0938,9.5938,10.0469,1132000
2001-01-11,10.0625,10.2188,9.9688,9.9688,1785200
2001-01-12,9.9062,9.9844,9.6719,9.9062,1161600
2001-01-16,9.625,10.0938,9.625,9.8281,1755200
2001-01-17,9.9375,10.1562,9.8125,9.9219,1210000
2001-01-18,9.75,9.7969,9.2812,9.3906,2092400
2001-01-19,9.2031,9.2969,8.5,8.75,2328000
2001-01-22,8.5312,8.6719,8.3438,8.4375,2139600
2001-01-23,8.5938,9.0469,8.5469,8.875,2122000
2001-01-24,8.9375,9.2812,8.75,9.0781,1279200
2001-01-25,9.1875,9.3438,8.875,9.0625,2873600
2001-01-26,9.0938,9.0938,8.7656,8.7656,1346000
2001-01-29,8.6625,8.975,8.625,8.765,1110000
2001-01-30,8.8275,8.8875,8.5,8.6225,1431200
2001-01-31,8.6225,8.8175,8.5375,8.625,1912000
2001-02-01,8.75,8.9975,8.6575,8.87,882000
2001-02-02,8.895,8.99,8.5875,8.665,1402400
2001-02-05,8.715,9.125,8.6975,8.98,1159600
2001-02-06,9.25,9.5,9.1075,9.3625,1910000
2001-02-07,9.25,9.3,9.0925,9.21,1066000
2001-02-08,9.1875,9.21,8.775,8.875,1052400
2001-02-09,8.9375,8.9725,8.655,8.7275,983200
2001-02-12,8.7275,8.9825,8.7125,8.9475,1082400
2001-02-13,9.0,9.375,9.0,9.1875,1673200
2001-02-14,9.275,9.275,9.005,9.075,764000
2001-02-15,9.0125,9.275,9.0125,9.08,897200
2001-02-16,9.135,9.135,8.8925,9.025,630000
2001-02-20,8.9625,9.0525,8.5625,8.5625,1012400
2001-02-21,8.6125,8.6525,8.405,8.42,746400
2001-02-22,8.42,8.44,8.125,8.1975,2588000
2001-02-23,8.26,8.265,7.9625,8.21,1394800
2001-02-26,8.2125,8.6925,8.2125,8.6,1236000
2001-02-27,8.65,8.65,8.345,8.49,673200
2001-02-28,8.525,8.675,8.4625,8.5875,990400
2001-03-01,8.6375,8.6375,8.185,8.2825,1163600
2001-03-02,8.2075,8.9375,8.2075,8.7825,1781600
2001-03-05,8.8,9.0375,8.665,8.665,1446800
2001-03-06,8.9875,9.18,8.975,9.1075,1390400
2001-03-07,9.0075,9.1675,8.895,9.045,1237600
