DateTime,Open,High,Low,Close,Volume
2019-04-22,24.62,25.68,23.57,24.99,19746800
2019-04-23,25.38,27.75,25.23,25.85,19245400
2019-04-24,26.5,27.03,25.933,26.8,9477200
2019-04-25,27.45,29.4,26.67,28.8,16648300
2019-04-26,29.84,30.68,28.37,29.85,16825600
2019-04-29,30.77,34.41,29.86,34.26,25616700
2019-04-30,35.2,35.29,30.53,30.98,35885700
2019-05-01,31.5,32.89,30.5,31.23,13981300
2019-05-02,31.62,31.68,28.86,29.74,14052400
2019-05-03,29.55,30.55,28.12,28.36,10611000
2019-05-06,27.67,30.0,26.9,29.5,9930600
2019-05-07,29.67,29.75,28.16,28.69,6310900
2019-05-08,28.46,30.2,28.37,29.51,7115900
2019-05-09,29.09,29.26,28.42,28.75,4507200
2019-05-10,29.08,29.45,27.66,29.05,5709000
2019-05-13,27.8,28.0,26.39,26.63,9111300
2019-05-14,27.41,29.02,27.02,28.99,7075100
2019-05-15,28.95,29.1,28.13,28.63,4492800
2019-05-16,28.85,31.15,28.45,30.86,17612000
2019-05-17,25.87,28.12,25.7,26.7,26271800
2019-05-20,27.24,27.24,25.71,25.85,7269200
2019-05-21,26.3,26.55,25.3,25.41,6481700
2019-05-22,25.3,25.34,24.1,24.6,7955700
2019-05-23,24.15,24.33,23.6,23.8,4718200
2019-05-24,24.0,25.99,23.89,25.5,7738300
2019-05-28,25.65,26.38,25.41,25.8,4550900
2019-05-29,25.42,25.78,24.95,25.58,2537700
2019-05-30,25.54,25.89,25.13,25.51,1982200
2019-05-31,24.99,25.63,24.75,24.92,2618000
2019-06-03,24.98,25.14,24.23,24.4,3691300
2019-06-04,24.86,24.95,24.07,24.2,3687100
2019-06-05,24.52,25.07,23.91,24.94,2703200
2019-06-06,24.94,25.97,24.91,25.81,3573700
2019-06-07,26.0,27.74,25.97,27.61,6580200
2019-06-10,27.84,28.95,27.068,27.94,5750900
2019-06-11,28.18,28.19,26.165,26.48,4269000
2019-06-12,26.23,27.5,26.21,27.05,3160100
2019-06-13,27.29,27.36,26.67,26.95,1629500
2019-06-14,26.9,27.96,26.5,27.41,2630300
2019-06-17,27.66,28.73,27.331,27.85,4439500
2019-06-18,29.46,29.81,28.22,28.8,8769900
2019-06-19,29.0,29.1,27.56,28.09,3978800
2019-06-20,28.84,29.08,27.44,27.54,3975900
2019-06-21,27.32,27.98,27.22,27.98,5794600
2019-06-24,27.98,28.11,26.57,26.69,3242900
2019-06-25,26.55,27.09,25.82,26.14,2658700
2019-06-26,26.37,26.69,25.864,26.23,1960000
2019-06-27,26.33,27.37,26.3,27.23,2281800
2019-06-28,27.37,27.65,26.6,27.22,2714500
2019-07-01,27.6,28.05,26.44,26.68,3739800
2019-07-02,26.8,27.16,26.41,26.91,2749000
2019-07-03,26.94,27.69,26.94,27.47,2329600
2019-07-05,27.47,27.5,26.82,27.25,1870500
2019-07-08,27.2,27.85,26.659,26.77,2410700
2019-07-09,26.77,27.07,26.51,26.72,1793000
2019-07-10,26.96,27.37,26.3,26.58,2727400
2019-07-11,26.71,26.72,25.87,26.1,2843900
2019-07-12,26.23,26.75,26.13,26.41,1576400
2019-07-15,26.58,26.89,26.39,26.67,1633300
2019-07-16,26.66,26.99,26.3,26.51,1370400
2019-07-17,26.6,26.71,25.87,25.91,1815100
2019-07-18,25.72,25.85,25.32,25.78,1291500
2019-07-19,25.85,26.18,25.51,25.56,1563700
2019-07-22,25.63,26.47,25.45,26.22,2757500
2019-07-23,26.52,26.85,26.11,26.78,2391700
2019-07-24,26.93,28.0,26.85,27.82,4305300
2019-07-25,27.92,27.97,27.23,27.59,2253100
2019-07-26,27.98,28.4,27.3,27.64,2727900
2019-07-29,27.8,28.32,27.18,27.86,3178800
2019-07-30,27.61,29.0,27.32,28.62,3728900
2019-07-31,28.59,29.59,28.43,28.99,4222100
2019-08-01,28.99,29.14,27.91,28.3,8030300
2019-08-02,32.53,35.21,32.28,33.57,39770800
2019-08-05,32.9,33.75,32.15,33.72,9992200
2019-08-06,34.12,34.43,32.01,32.68,6060600
2019-08-07,32.25,32.68,31.52,32.1,3776400
2019-08-08,32.1,33.615,31.67,33.39,3784700
2019-08-09,33.3,34.096,32.81,33.43,2641700
2019-08-12,33.47,36.1,32.93,33.62,8901700
2019-08-13,33.46,34.84,33.4,34.42,3765000
2019-08-14,33.39,33.88,32.14,32.23,3896900
2019-08-15,33.07,33.2,31.529,32.01,4178900
2019-08-16,32.63,32.77,32.0,32.22,2534000
