DateTime,Open,High,Low,Close,Volume
2021-04-27,9.85,10.25,9.85,9.92,72100
2021-04-28,9.92,9.96,9.92,9.92,22400
2021-04-29,9.92,10.05,9.92,10.0,132600
2021-04-30,10.0,10.0,9.92,9.92,33700
2021-05-03,9.92,9.92,9.9,9.9,15700
2021-05-04,9.9,9.91,9.9,9.9,6800
2021-05-05,9.9,9.9,9.86,9.87,3400
2021-05-06,9.87,9.9,9.87,9.87,10800
2021-05-07,9.88,9.88,9.82,9.82,4700
2021-05-10,9.9,9.9,9.87,9.87,11900
2021-05-11,9.87,9.901,9.8,9.81,295700
2021-05-12,9.82,9.86,9.82,9.84,32300
2021-05-14,9.84,9.84,9.8,9.84,45900
2021-05-17,9.84,9.84,9.77,9.82,6400
2021-05-18,9.84,9.84,9.785,9.785,800
2021-05-19,9.78,9.82,9.78,9.78,275700
2021-05-20,9.81,9.81,9.574,9.79,4100
2021-05-21,9.79,9.93,9.79,9.79,217600
2021-05-24,9.82,9.82,9.82,9.82,1000
2021-05-26,10.48,10.48,9.84,9.876,3500
2021-05-27,9.88,9.894,9.84,9.88,14200
2021-05-28,9.88,9.88,9.85,9.85,17800
2021-06-01,9.85,9.87,9.78,9.81,16300
2021-06-02,9.8,9.81,9.8,9.81,6700
2021-06-03,9.8,9.82,9.8,9.82,14100
2021-06-04,9.81,9.98,9.81,9.9,44300
2021-06-07,9.86,9.88,9.81,9.88,5400
2021-06-08,9.85,9.98,9.834,9.94,77300
2021-06-09,9.88,10.01,9.88,9.95,17400
2021-06-10,9.9,10.02,9.81,9.93,112300
2021-06-11,9.955,9.955,9.955,9.955,200
2021-06-14,10.45,10.45,9.83,9.92,23500
2021-06-15,9.92,9.92,9.86,9.871,900
2021-06-16,9.861,9.89,9.82,9.85,10300
2021-06-17,9.82,9.95,9.81,9.86,10500
2021-06-18,9.88,9.88,9.81,9.88,25200
2021-06-21,9.94,9.94,9.82,9.856,8100
2021-06-22,9.94,9.94,9.85,9.85,2600
2021-06-23,9.868,9.9,9.86,9.9,11800
2021-06-24,9.95,9.95,9.87,9.87,7700
2021-06-25,9.87,9.87,9.843,9.843,1000
2021-06-28,9.835,9.86,9.81,9.83,61900
2021-06-29,9.82,9.88,9.82,9.88,17900
2021-06-30,9.81,9.822,9.76,9.77,146600
2021-07-01,9.76,9.82,9.76,9.82,85200
2021-07-02,9.77,9.83,9.77,9.8,40300
2021-07-06,9.91,9.91,9.8,9.806,5800
2021-07-07,10.02,10.06,9.92,9.97,8624100
2021-07-08,9.95,9.96,9.9,9.95,705600
2021-07-09,9.96,9.96,9.89,9.9,853600
2021-07-12,9.95,9.95,9.9,9.93,656800
2021-07-13,9.9,9.94,9.9,9.92,192000
2021-07-14,9.9,9.913,9.9,9.9,141600
2021-07-15,9.91,9.92,9.89,9.9,191000
2021-07-16,9.93,9.93,9.89,9.9,55700
2021-07-19,9.92,9.92,9.85,9.85,211300
2021-07-20,9.86,9.88,9.85,9.85,59400
2021-07-21,9.86,9.91,9.851,9.9,77400
2021-07-22,9.91,9.931,9.88,9.92,34900
2021-07-23,9.95,9.95,9.88,9.89,24800
2021-07-26,9.9,9.9,9.87,9.88,35900
2021-07-27,9.89,9.89,9.87,9.875,23600
2021-07-28,9.87,9.93,9.84,9.85,1389600
2021-07-29,9.8,9.87,9.8,9.86,307300
2021-07-30,9.89,9.89,9.85,9.86,30100
2021-08-02,9.94,9.94,9.855,9.9,24000
2021-08-03,9.9,9.92,9.85,9.88,28700
2021-08-04,9.95,9.95,9.85,9.88,34200
2021-08-05,9.95,9.96,9.85,9.85,240800
2021-08-06,9.88,9.95,9.84,9.92,73900
2021-08-09,9.95,9.95,9.9,9.91,136400
2021-08-10,9.94,9.94,9.835,9.85,377100
2021-08-11,9.89,9.9,9.85,9.89,77900
2021-08-12,9.93,9.93,9.86,9.88,150000
2021-08-13,9.92,9.92,9.87,9.875,588900
2021-08-16,9.86,9.89,9.85,9.89,119600
2021-08-17,9.86,9.89,9.85,9.88,958800
2021-08-18,9.9,9.91,9.86,9.881,241200
2021-08-19,9.95,9.95,9.85,9.89,493600
2021-08-20,9.91,9.91,9.865,9.88,32900
2021-08-23,9.91,9.91,9.85,9.86,518300
2021-08-24,9.85,9.92,9.85,9.91,29900
2021-08-25,9.91,9.921,9.86,9.9,40500
2021-08-26,9.9,9.9,9.86,9.89,44800
2021-08-27,9.88,9.9,9.87,9.89,22200
2021-08-30,9.87,9.91,9.86,9.87,23500
2021-08-31,9.93,9.93,9.85,9.91,99100
2021-09-01,9.93,9.93,9.875,9.88,72700
2021-09-02,9.9,9.94,9.88,9.89,354400
2021-09-03,9.94,9.94,9.89,9.9,803600
2021-09-07,9.92,9.98,9.9,9.94,609500
2021-09-08,9.95,9.95,9.9,9.95,42300
2021-09-09,9.98,9.98,9.95,9.97,69100
2021-09-10,9.98,9.993,9.906,9.915,191600
2021-09-13,9.95,9.95,9.9,9.92,105300
2021-09-14,9.92,9.95,9.91,9.92,34600
2021-09-15,9.91,9.93,9.9,9.92,27200
2021-09-16,9.93,10.0,9.922,9.99,343100
2021-09-17,9.96,10.0,9.931,9.99,173200
2021-09-20,9.98,9.98,9.93,9.97,152100
2021-09-21,10.0,10.0,9.93,9.97,237000
2021-09-22,9.97,9.99,9.95,9.98,186200
2021-09-23,9.98,9.98,9.94,9.95,133300
2021-09-24,9.93,9.967,9.93,9.95,74400
2021-09-27,9.98,9.999,9.97,9.98,435300
2021-09-28,10.05,10.05,9.956,9.98,127800
2021-09-29,10.0,10.0,9.91,9.94,142600
2021-09-30,9.97,9.98,9.9,9.91,214000
2021-10-01,9.95,9.964,9.92,9.95,85900
2021-10-04,9.95,9.974,9.94,9.95,51000
2021-10-05,9.97,9.97,9.935,9.94,33600
2021-10-06,9.93,9.94,9.91,9.94,91200
2021-10-07,9.94,9.97,9.915,9.93,22400
2021-10-08,9.97,9.97,9.92,9.94,49500
2021-10-11,9.94,9.957,9.92,9.94,18600
2021-10-12,9.95,9.96,9.92,9.92,48400
2021-10-13,9.98,9.98,9.92,9.96,122500
2021-10-14,9.98,9.98,9.93,9.945,859800
2021-10-15,9.97,9.97,9.93,9.95,124300
2021-10-18,9.98,9.98,9.93,9.96,32700
2021-10-19,9.97,9.97,9.94,9.95,1235700
2021-10-20,9.98,9.98,9.94,9.94,90800
2021-10-21,9.96,9.98,9.94,9.97,74000
2021-10-22,9.98,10.0,9.95,9.99,451800
2021-10-25,10.0,10.0,9.98,9.99,204600
2021-10-26,10.0,10.05,9.98,10.0,1387600
2021-10-27,10.0,10.0,9.97,9.98,134800
2021-10-28,10.0,10.19,9.99,10.04,1072100
2021-10-29,10.1,10.17,10.09,10.13,1589100
2021-11-01,10.18,10.32,10.15,10.19,1302200
2021-11-02,10.2,10.21,10.1,10.17,545400
2021-11-03,10.2,10.2,10.11,10.16,660400
2021-11-04,10.16,10.22,10.13,10.14,520600
2021-11-05,10.19,10.255,10.16,10.23,802700
2021-11-08,10.39,10.44,10.27,10.36,2472700
2021-11-09,10.49,10.64,10.26,10.49,2258200
2021-11-10,10.49,10.49,10.15,10.23,2030700
2021-11-11,10.33,10.4,10.23,10.36,1335900
2021-11-12,10.41,10.57,10.33,10.46,2533900
2021-11-15,10.5,10.75,10.431,10.54,2254000
2021-11-16,10.57,10.97,10.53,10.87,3295200
2021-11-17,11.02,11.49,10.91,11.4,5909200
2021-11-18,11.4,11.42,10.64,11.21,5122100
2021-11-19,11.36,11.76,11.22,11.4,3281200
2021-11-22,11.66,12.15,11.08,11.84,4736500
2021-11-23,11.54,11.9,11.0,11.41,4267300
2021-11-24,11.34,11.36,10.6,11.19,2684700
2021-11-26,10.9,11.16,10.65,10.74,2679800
2021-11-29,10.9,10.96,10.13,10.2,5430000
2021-11-30,10.17,10.2,9.8,10.0,5905500
2021-12-01,10.18,10.7,9.95,10.26,5429700
2021-12-02,10.33,10.54,9.91,9.99,3464500
2021-12-03,10.17,10.212,9.3,9.45,3527600
2021-12-06,9.5,10.07,9.19,9.86,2723200
2021-12-07,10.15,10.81,10.02,10.81,2581100
2021-12-08,11.25,11.65,10.01,11.35,8899000
2021-12-09,10.92,11.05,9.8,9.81,3742800
2021-12-10,10.23,10.329,9.23,9.47,2679400
2021-12-13,9.58,9.95,8.89,8.9,3843000
2021-12-14,7.33,8.047,6.87,6.93,8250100
2021-12-15,7.06,7.08,6.0,6.69,8012400
2021-12-16,6.88,7.2,6.36,6.52,7154200
2021-12-17,6.43,6.47,6.07,6.29,4836100
2021-12-20,6.21,6.29,5.81,5.9,5998000
2021-12-21,6.14,6.87,6.0,6.84,6251800
2021-12-22,6.83,6.867,6.31,6.35,3031200
2021-12-23,6.48,7.3,6.48,7.11,5286300
2021-12-27,7.14,7.4,6.36,6.41,4557300
2021-12-28,6.42,6.57,6.14,6.18,2863500
2021-12-29,6.18,6.225,5.87,5.98,3728600
2021-12-30,6.0,6.39,5.98,6.14,2432600
2021-12-31,6.1,6.26,5.98,6.15,2300200
2022-01-03,6.2,6.37,5.96,6.01,2223000
2022-01-04,6.0,6.089,5.51,5.65,3504700
2022-01-05,5.72,5.77,5.2,5.31,3845200
2022-01-06,5.31,5.54,4.95,5.26,3393600
2022-01-07,5.57,5.64,5.25,5.37,3360300
2022-01-10,5.42,5.46,5.091,5.29,3580600
2022-01-11,5.35,5.82,5.259,5.64,2331100
2022-01-12,6.055,7.12,6.0,6.23,16502200
2022-01-13,6.25,6.285,5.515,5.59,6977100
2022-01-14,5.61,6.46,5.6,6.36,10091500
2022-01-18,6.3,6.62,5.92,6.28,4620000
2022-01-19,6.33,6.82,6.18,6.5,4018300
2022-01-20,6.56,7.21,6.56,6.76,4934000
2022-01-21,6.7,6.85,5.96,6.01,5540400
2022-01-24,5.65,5.96,5.001,5.89,6615200
2022-01-25,5.77,5.946,5.25,5.36,3271600
2022-01-26,5.59,5.929,5.4,5.5,3329200
2022-01-27,5.68,5.93,5.36,5.39,3496500
2022-01-28,5.41,5.725,5.13,5.55,2512300
2022-01-31,5.61,6.2,5.58,6.1,3141300
2022-02-01,6.25,6.615,6.02,6.41,2129600
2022-02-02,6.55,6.56,5.64,5.71,3279400
2022-02-03,5.57,5.97,5.51,5.66,1809500
2022-02-04,5.62,5.99,5.59,5.93,1564200
2022-02-07,5.93,6.26,5.925,6.1,1834700
2022-02-08,6.02,6.22,5.68,6.19,2121500
2022-02-09,6.19,6.33,6.13,6.21,1981900
2022-02-10,6.06,6.73,6.021,6.27,2937400
2022-02-11,6.3,6.52,5.82,5.92,2104900
2022-02-14,5.92,6.15,5.61,5.65,2091600
2022-02-15,5.76,5.92,5.67,5.77,2791600
2022-02-16,5.66,5.91,5.61,5.8,1604700
2022-02-17,5.76,5.85,5.33,5.37,4093200
2022-02-18,5.32,5.49,5.16,5.21,2694500
2022-02-22,5.12,5.375,5.01,5.08,2748400
2022-02-23,5.06,5.315,4.835,4.87,2873400
2022-02-24,4.55,5.15,4.46,5.12,5300600
2022-02-25,5.11,5.365,4.95,5.28,2925400
