DateTime,Open,High,Low,Close,Volume
2023-12-26,17.44,17.745,17.33,17.68,31750700
2023-12-27,17.78,17.91,17.45,17.47,32918400
2023-12-28,17.46,17.84,17.42,17.56,38990000
2023-12-29,17.52,17.64,17.1,17.17,38805000
2024-01-02,16.95,16.95,16.5,16.58,41626700
2024-01-03,16.12,16.38,16.01,16.09,46865200
2024-01-04,16.049999,16.58,15.95,16.25,39937700
2024-01-05,15.7,16.128,15.664,15.98,57628800
2024-01-08,16.22,16.89,16.14,16.67,49090000
2024-01-09,16.51,16.63,16.28,16.39,35794500
2024-01-10,16.5,17.030001,16.4,16.79,41254400
2024-01-11,16.81,16.93,16.17,16.68,39552400
2024-01-12,16.68,17.059999,16.62,16.76,33861400
2024-01-16,16.59,16.74,16.29,16.53,32659300
2024-01-17,16.26,16.41,16.049999,16.39,30832800
2024-01-18,16.75,16.81,16.1,16.4,35239700
2024-01-19,16.57,16.78,16.15,16.78,40538700
2024-01-22,17.46,18.35,17.43,17.6,85573900
2024-01-23,17.64,17.73,17.2,17.33,37794300
2024-01-24,17.51,17.65,16.735,16.75,42710700
2024-01-25,16.92,17.0,16.31,16.46,44589000
2024-01-26,16.4,16.75,16.34,16.35,28612200
2024-01-29,16.45,17.11,16.43,17.09,35987800
2024-01-30,17.040001,17.24,16.66,16.74,36388200
2024-01-31,16.41,16.76,16.07,16.09,43582500
2024-02-01,16.21,16.487,16.030001,16.33,40454400
2024-02-02,16.34,17.02,16.145,17.02,56983900
2024-02-05,17.56,17.87,16.48,16.72,167698300
2024-02-06,20.3,22.18,19.76,21.87,420501900
2024-02-07,21.6,23.87,21.38,23.6,254911100
2024-02-08,23.96,25.059999,23.32,24.51,212671100
2024-02-09,25.040001,25.11,23.57,24.38,149062000
2024-02-12,23.91,25.525,23.82,25.049999,108173000
2024-02-13,23.53,24.66,23.31,24.01,102293300
2024-02-14,24.15,25.5,23.755,25.19,97227900
2024-02-15,25.040001,25.46,24.71,25.41,70544300
2024-02-16,24.96,25.495,24.39,24.44,65212100
2024-02-20,23.84,24.0,22.715,23.4,93374300
2024-02-21,22.3,22.93,22.29,22.74,60411500
2024-02-22,23.77,23.95,23.049999,23.59,64458200
2024-02-23,23.53,24.07,22.82,22.97,48840800
2024-02-26,23.030001,23.88,22.94,23.56,46499500
2024-02-27,23.76,24.62,23.72,24.53,64967400
2024-02-28,24.52,24.84,24.245,24.42,47314000
2024-02-29,24.81,25.293,24.36,25.08,62753300
2024-03-01,25.3,25.69,24.535,24.93,63090500
2024-03-04,24.4,24.58,23.53,24.040001,64320000
2024-03-05,23.96,24.409,23.43,23.81,49542300
2024-03-06,25.75,26.75,24.53,26.16,207386900
2024-03-07,27.01,27.5,26.38,26.46,117519300
2024-03-08,27.19,27.28,25.81,26.040001,83969300
2024-03-11,25.89,26.83,25.29,25.35,60829300
2024-03-12,25.57,25.64,24.35,24.7,75202600
2024-03-13,24.7,25.44,24.6,25.0,59713000
2024-03-14,24.83,24.97,24.14,24.43,49214800
2024-03-15,23.85,24.1,23.42,23.49,61270500
2024-03-18,23.77,24.18,23.32,24.0,44083000
2024-03-19,23.5,23.83,22.92,23.8,43247200
2024-03-20,23.77,24.65,23.67,24.57,40273800
2024-03-21,25.3,25.33,24.44,24.49,37099600
2024-03-22,24.2,24.475,24.02,24.18,25354300
2024-03-25,24.12,24.62,24.049999,24.51,29255900
2024-03-26,24.76,25.47,24.47,24.89,43610500
2024-03-27,25.0,25.48,24.26,24.51,38600100
2024-03-28,24.17,24.28,22.94,23.01,70008200
2024-04-01,22.98,23.21,22.4,22.86,41000000
2024-04-02,22.0,22.79,21.72,22.72,39770600
2024-04-03,22.44,23.01,22.38,22.7,30357400
2024-04-04,23.82,24.1,22.4,22.48,64995300
2024-04-05,22.42,23.32,22.307,22.96,38565800
2024-04-08,23.08,23.2,22.67,23.0,25022700
2024-04-09,23.01,23.087,22.46,22.81,27724500
2024-04-10,22.22,22.71,22.01,22.42,28642900
2024-04-11,22.65,22.91,22.25,22.84,26399400
2024-04-12,22.7,23.2,22.41,22.67,36348800
2024-04-15,22.79,23.13,21.83,21.9,38182100
2024-04-16,21.59,21.99,21.27,21.88,33869200
2024-04-17,22.01,22.11,21.22,21.31,30139800
2024-04-18,21.25,21.43,20.7,21.13,34550500
2024-04-19,20.98,21.43,20.33,20.47,39290300
2024-04-22,20.72,21.08,20.36,20.97,31894500
2024-04-23,21.25,22.059999,21.23,21.64,36304600
2024-04-24,22.049999,22.25,21.3,21.59,34426500
2024-04-25,20.82,21.74,20.66,21.71,26226700
2024-04-26,22.049999,22.67,21.91,22.52,33119800
2024-04-29,22.75,23.09,22.545,22.83,30104900
2024-04-30,22.77,22.87,21.95,21.97,30511900
2024-05-01,21.93,22.83,21.63,22.12,34665900
2024-05-02,22.6,22.715,22.1,22.55,30396100
2024-05-03,23.48,23.64,22.91,23.33,55976400
2024-05-06,24.37,25.355,24.030001,25.21,175936600
2024-05-07,21.99,22.7,21.35,21.4,161061600
2024-05-08,21.58,21.73,21.059999,21.56,67582900
