DateTime,Open,High,Low,Close,Volume
2007-05-16,15.95,15.97,15.03,15.45,357600
2007-05-17,15.29,15.59,15.05,15.13,426700
2007-05-18,15.05,15.29,15.05,15.18,140600
2007-05-21,15.23,15.63,15.1,15.63,157200
2007-05-22,15.59,15.75,15.32,15.62,141900
2007-05-23,15.75,15.75,15.05,15.25,103400
2007-05-24,15.34,15.34,14.85,15.22,199700
2007-05-25,15.23,15.23,15.1,15.17,43800
2007-05-29,15.15,15.3,15.05,15.27,138500
2007-05-30,15.0,15.14,14.99,15.1,120200
2007-05-31,14.9,15.01,14.57,14.82,151600
2007-06-01,15.0,15.04,14.8,15.0,81700
2007-06-04,14.99,15.0,14.8,15.0,100600
2007-06-05,15.0,15.03,14.62,14.76,120100
2007-06-06,14.6,14.6,14.25,14.28,88900
2007-06-07,14.03,14.36,13.88,14.0,99800
2007-06-08,13.92,14.12,13.9,14.1,61400
2007-06-11,14.14,14.72,14.1,14.49,47700
2007-06-12,14.48,14.61,14.25,14.25,39700
2007-06-13,14.26,14.5,14.24,14.25,70300
2007-06-14,14.25,14.33,14.05,14.17,60900
2007-06-15,14.16,14.16,13.91,13.91,36900
2007-06-18,13.78,14.0,13.7,13.85,40600
2007-06-19,13.7,14.11,13.63,13.84,42800
2007-06-20,14.07,14.24,13.8,14.06,108800
2007-06-21,14.4,14.5,13.96,14.12,51000
2007-06-22,13.9,14.67,13.85,13.85,752600
2007-06-25,14.24,14.24,13.9,14.06,184700
2007-06-26,14.09,14.1,13.88,13.99,83400
2007-06-27,13.89,14.24,13.87,14.21,52000
2007-06-28,14.26,14.3,13.88,14.01,235700
2007-06-29,14.17,14.28,13.94,14.2,166100
2007-07-02,14.3,14.56,14.08,14.45,82900
2007-07-03,14.05,14.54,14.05,14.5,7100
2007-07-05,15.0,15.0,14.6,14.97,41800
2007-07-06,14.86,15.09,14.85,15.05,30800
2007-07-09,14.88,14.99,14.5,14.87,10200
2007-07-10,14.7,15.05,14.7,15.01,30100
2007-07-11,14.99,15.05,14.8,14.82,13200
2007-07-12,14.94,14.97,14.89,14.93,15200
2007-07-13,15.05,15.05,14.66,14.79,14000
2007-07-16,14.83,14.83,13.88,14.04,28400
2007-07-17,14.13,14.21,13.99,13.99,15600
2007-07-18,14.0,14.06,13.84,14.0,97200
2007-07-19,14.0,14.34,13.68,14.0,156200
2007-07-20,14.0,14.07,13.91,14.01,32000
2007-07-23,14.05,14.28,13.88,13.98,12300
2007-07-24,13.77,13.97,13.28,13.68,45000
2007-07-25,13.76,14.13,13.74,14.13,61900
2007-07-26,13.86,14.7,13.86,14.57,58400
2007-07-27,14.46,14.48,13.96,14.11,72500
2007-07-30,14.04,14.19,13.94,14.0,9700
2007-07-31,14.09,14.09,13.96,14.02,19200
2007-08-01,13.98,14.21,13.85,14.21,54400
2007-08-02,14.11,14.4,13.85,14.39,15300
2007-08-03,14.0,14.23,13.89,13.97,65800
2007-08-06,13.95,14.27,13.95,13.99,78200
2007-08-07,14.01,14.45,13.75,14.23,574000
2007-08-08,14.42,15.57,14.42,15.02,72600
2007-08-09,15.25,16.0,14.5,14.5,66100
2007-08-10,14.5,15.01,13.86,14.48,82700
2007-08-13,14.85,15.75,14.69,15.19,65700
2007-08-14,15.34,15.49,14.55,15.0,47300
2007-08-15,15.0,15.59,14.54,15.0,93000
2007-08-16,15.01,16.98,14.92,16.98,80800
