DateTime,Open,High,Low,Close,Volume
2022-08-09,10.43,12.5,7.5,12.4,940300
2022-08-10,11.71,13.23,10.5,12.11,827000
2022-08-11,12.1,12.7,11.35,11.86,281900
2022-08-12,11.36,11.6,10.23,10.86,234100
2022-08-15,11.0,11.5,10.6,10.7,90700
2022-08-16,10.78,11.15,10.28,10.46,133800
2022-08-17,9.75,10.8,9.75,10.37,257200
2022-08-18,10.39,10.64,9.89,10.07,187500
2022-08-19,10.0,10.4,8.66,8.95,183900
2022-08-22,8.97,8.97,8.13,8.22,150100
2022-08-23,8.3,8.88,7.38,8.12,395300
2022-08-24,8.6,9.5,8.2,8.4,191900
2022-08-25,8.43,9.19,8.21,8.53,97400
2022-08-26,9.11,9.44,8.54,9.08,124800
2022-08-29,9.11,9.15,7.59,7.8,108100
2022-08-30,8.57,8.68,7.0,7.05,184500
2022-08-31,7.01,7.15,6.35,6.68,198600
2022-09-01,6.33,6.61,5.98,6.09,78400
2022-09-02,6.35,6.42,6.03,6.1,90700
2022-09-06,6.0,6.2,5.4,5.63,161600
2022-09-07,5.67,6.35,5.53,6.06,122200
2022-09-08,6.65,7.124,6.21,6.87,84400
2022-09-09,7.16,7.21,6.7,6.78,126200
2022-09-12,7.3,7.3,6.84,6.92,99600
2022-09-13,7.23,7.23,6.39,6.6,92900
2022-09-14,6.6,8.5,6.6,7.8,193200
2022-09-15,8.28,8.35,7.591,8.32,282900
2022-09-16,8.18,8.3,6.55,6.64,229100
2022-09-19,7.2,7.85,5.63,5.74,165700
2022-09-20,5.79,6.85,5.701,6.56,305900
2022-09-21,6.97,7.434,5.9,6.04,197600
2022-09-22,5.95,6.58,5.78,5.78,120700
2022-09-23,5.77,6.5,5.686,6.43,94200
2022-09-26,6.27,7.415,6.04,7.06,129100
2022-09-27,7.06,7.86,7.0,7.3,114400
2022-09-28,7.3,7.79,6.58,6.77,102900
2022-09-29,6.7,7.58,6.7,7.46,96200
2022-09-30,7.6,8.3,7.51,7.87,126800
2022-10-03,7.84,7.84,7.05,7.21,72900
2022-10-04,7.19,7.98,7.19,7.26,47800
2022-10-05,7.47,7.775,7.226,7.63,60800
2022-10-06,7.42,8.08,7.34,7.95,25700
2022-10-07,7.89,8.29,7.854,8.18,53500
2022-10-10,8.03,8.15,7.5,7.99,42200
2022-10-11,7.76,8.0,7.44,7.55,17400
2022-10-12,7.44,8.05,7.35,7.36,41500
2022-10-13,7.11,7.8,7.0,7.12,83700
2022-10-14,7.47,7.47,6.51,6.83,110200
2022-10-17,6.8,7.4,6.1,6.18,94500
2022-10-18,6.41,6.43,4.69,5.23,410900
2022-10-19,5.19,5.39,5.035,5.04,212700
2022-10-20,5.21,5.44,5.1,5.33,151800
2022-10-21,6.05,6.25,4.68,4.8,394700
