DateTime,Open,High,Low,Close,Volume
2014-02-06,14.77,14.999,13.3,13.41,515300
2014-02-07,13.16,15.0,13.1,14.79,194300
2014-02-10,14.98,15.68,14.82,15.57,314800
2014-02-11,15.61,16.0,15.61,15.86,286600
2014-02-12,15.96,16.51,15.93,16.02,208500
2014-02-13,16.02,16.2,15.85,16.14,20600
2014-02-14,16.1,16.39,15.91,15.95,71800
2014-02-18,15.6,16.4,15.6,16.37,44300
2014-02-19,16.4,16.48,16.11,16.25,21200
2014-02-20,16.38,16.5,16.31,16.5,11100
2014-02-21,16.5,17.09,16.5,17.09,67400
2014-02-24,17.02,18.25,16.9,18.015,131600
2014-02-25,18.39,18.39,17.66,17.885,53900
2014-02-26,18.06,18.75,17.55,18.05,139100
2014-02-27,18.03,18.29,17.62,18.0,110200
2014-02-28,18.01,18.01,16.23,16.5,81800
2014-03-03,16.62,16.62,15.01,15.88,109700
2014-03-04,16.13,16.272,15.48,15.69,48500
2014-03-05,15.81,15.99,15.06,15.38,75200
2014-03-06,15.64,15.87,15.05,15.14,39700
2014-03-07,15.14,15.91,15.0,15.72,50100
2014-03-10,15.77,15.77,14.99,15.24,136100
2014-03-11,15.36,15.92,15.113,15.2,101400
2014-03-12,15.04,15.63,14.76,14.91,138400
2014-03-13,15.2,15.762,14.99,15.39,64000
2014-03-14,15.02,15.52,14.83,14.83,98200
2014-03-17,14.76,15.41,14.7,15.07,127700
2014-03-18,14.7,15.88,14.7,15.76,108000
2014-03-19,15.69,16.215,15.53,15.99,153100
2014-03-20,15.92,17.1,15.9,16.794,115100
2014-03-21,16.91,17.09,16.0,16.88,99200
2014-03-24,16.86,16.868,16.01,16.18,126800
2014-03-25,16.44,16.5,16.02,16.27,208200
2014-03-26,16.44,16.5,15.92,15.93,91500
2014-03-27,15.93,16.141,15.17,15.61,19700
2014-03-28,15.72,16.489,15.15,15.6,40800
2014-03-31,15.59,15.85,15.42,15.58,54900
2014-04-01,15.55,15.86,15.455,15.66,20700
2014-04-02,15.75,16.5,15.75,16.15,45000
2014-04-03,16.27,16.34,15.54,15.78,91300
2014-04-04,15.64,16.0,14.985,15.44,101300
2014-04-07,15.245,15.31,14.262,14.41,114000
2014-04-08,14.34,14.99,13.55,13.56,101300
2014-04-09,14.36,14.7,13.587,14.5,48300
2014-04-10,14.48,14.48,13.53,13.77,56400
2014-04-11,13.64,14.42,13.0,13.04,82800
2014-04-14,13.17,13.619,11.85,12.0,74600
2014-04-15,12.28,12.28,9.61,9.78,153000
2014-04-16,9.82,9.82,8.99,9.105,133200
2014-04-17,9.1,9.1,8.51,9.0,119200
2014-04-21,9.0,9.05,8.78,8.9,86800
2014-04-22,9.1,10.22,8.89,9.9,221300
2014-04-23,10.15,10.34,9.52,9.62,98800
2014-04-24,9.68,10.43,9.23,10.15,195500
2014-04-25,10.15,11.03,10.06,11.0,370200
2014-04-28,11.0,11.1,10.24,10.45,95600
2014-04-29,10.45,10.59,10.11,10.49,109500
2014-04-30,10.42,10.51,9.83,10.27,150700
2014-05-01,10.35,11.0,10.25,10.88,14700
2014-05-02,10.85,11.25,10.25,10.44,47700
2014-05-05,10.34,10.59,9.83,10.04,53600
2014-05-06,9.97,10.1,9.65,9.7,76200
2014-05-07,9.68,10.01,9.5,9.53,41300
2014-05-08,9.5,9.69,9.01,9.12,29900
2014-05-09,9.12,9.35,8.94,9.27,84600
2014-05-12,9.57,10.77,9.57,10.06,122300
2014-05-13,10.11,10.739,9.21,9.62,40800
2014-05-14,9.57,10.11,9.1,9.94,60400
2014-05-15,9.9,10.14,9.4,9.5,42000
2014-05-16,9.55,9.83,9.41,9.61,23300
2014-05-19,9.55,9.87,9.36,9.49,28900
2014-05-20,9.65,9.76,9.0,9.3,72300
2014-05-21,9.635,9.77,8.62,8.63,46900
2014-05-22,8.67,9.34,8.29,8.68,52300
2014-05-23,8.64,9.385,8.56,8.71,73100
2014-05-27,9.35,9.43,8.66,8.66,34800
2014-05-28,8.65,9.273,8.6,8.93,34600
2014-05-29,9.03,9.27,8.62,8.87,102400
2014-05-30,9.05,9.05,8.31,8.65,37500
2014-06-02,8.73,9.04,8.59,8.92,21500
2014-06-03,8.95,9.35,8.74,9.03,60600
2014-06-04,9.2,9.318,8.825,9.18,64500
2014-06-05,9.27,9.733,9.06,9.51,35200
2014-06-06,9.0,10.0,8.96,9.93,34000
2014-06-09,10.0,10.81,9.98,10.74,64800
2014-06-10,10.84,11.0,10.43,10.67,92200
2014-06-11,10.6,11.14,10.36,10.82,66300
2014-06-12,10.99,11.0,10.57,10.89,45600
2014-06-13,10.89,11.41,10.7,11.01,48900
2014-06-16,11.15,11.7,11.05,11.28,30800
2014-06-17,11.3,11.41,10.76,10.84,37400
2014-06-18,10.82,11.9,10.59,11.7,115500
2014-06-19,11.73,12.278,11.49,12.1,53100
2014-06-20,12.1,13.18,12.02,12.7,65000
2014-06-23,12.79,13.47,12.3,12.64,84900
2014-06-24,12.71,12.89,12.0,12.09,37700
2014-06-25,12.05,12.235,11.71,11.92,55600
2014-06-26,11.99,12.5,11.88,12.5,44000
2014-06-27,12.43,13.0,12.25,12.8,43600
2014-06-30,12.82,13.78,12.61,13.59,61900
2014-07-01,13.4,14.38,13.29,14.2,46600
2014-07-02,14.22,14.5,13.81,13.94,51000
2014-07-03,14.28,14.36,14.0,14.2,15900
2014-07-07,14.2,14.291,12.831,12.87,61800
2014-07-08,12.78,12.78,11.51,12.11,138300
2014-07-09,12.26,13.08,12.03,12.84,38600
2014-07-10,12.46,13.2,11.692,13.01,65400
2014-07-11,12.96,13.38,12.77,13.25,47000
2014-07-14,13.23,13.23,11.96,12.51,56300
2014-07-15,12.59,12.59,11.5,11.99,78300
2014-07-16,12.15,12.64,11.77,11.86,92400
2014-07-17,11.56,11.798,10.73,11.36,32000
2014-07-18,11.43,11.6,10.91,11.35,47900
2014-07-21,11.33,11.929,10.06,10.79,76800
2014-07-22,11.1,11.36,11.095,11.25,17000
2014-07-23,11.19,11.319,11.0,11.21,15500
2014-07-24,11.21,11.268,10.87,10.9,17100
2014-07-25,10.77,10.95,10.17,10.25,53600
2014-07-28,10.3,10.96,10.12,10.19,20900
2014-07-29,10.19,11.05,10.19,10.97,36400
2014-07-30,11.18,11.18,10.71,10.76,5800
2014-07-31,10.59,10.6,10.21,10.22,18100
2014-08-01,10.22,10.558,9.86,9.96,19900
2014-08-04,10.14,10.3,9.73,9.87,30400
2014-08-05,9.77,9.99,9.39,9.79,47300
2014-08-06,9.67,10.93,9.63,10.68,82800
2014-08-07,10.48,11.17,10.35,10.94,49100
2014-08-08,10.67,10.87,10.02,10.22,39400
2014-08-11,10.01,10.22,9.68,10.09,44100
2014-08-12,10.5,10.98,10.15,10.52,45100
2014-08-13,10.52,10.93,10.51,10.52,15000
2014-08-14,10.52,11.5,10.32,11.17,42000
2014-08-15,11.6,11.837,11.241,11.39,19500
2014-08-18,11.49,12.0,11.49,11.76,44200
2014-08-19,11.78,11.89,11.462,11.79,25500
2014-08-20,11.7,11.89,11.57,11.69,20800
2014-08-21,11.42,11.85,11.14,11.3,16700
2014-08-22,11.05,11.6,11.05,11.51,23800
2014-08-25,11.02,11.77,11.0,11.15,43200
2014-08-26,11.06,11.25,10.87,11.19,26400
2014-08-27,11.1,11.33,11.0,11.09,16900
2014-08-28,11.0,11.11,10.829,11.11,32200
2014-08-29,11.13,11.5,10.8,11.5,54000
2014-09-02,11.4,11.5,10.9,11.18,19800
2014-09-03,11.17,11.22,11.0,11.14,41300
2014-09-04,11.01,11.24,10.98,11.1,29900
2014-09-05,10.91,11.28,10.9,11.2,30900
2014-09-08,11.0,11.22,10.33,10.46,109400
2014-09-09,10.51,11.0,10.24,10.91,90900
2014-09-10,10.88,10.88,10.305,10.83,10900
2014-09-11,10.6,10.98,10.21,10.37,43900
2014-09-12,10.34,10.46,9.8,10.0,45700
2014-09-15,9.92,10.0,9.5,10.0,32200
2014-09-16,9.79,9.99,9.53,9.7,11900
2014-09-17,9.64,9.9,9.56,9.76,10300
2014-09-18,9.73,9.87,9.57,9.83,17200
