DateTime,Open,High,Low,Close,Volume
2016-01-05,48.6,48.73,47.45,48.49,1934400
2016-01-06,47.75,47.86,46.58,47.07,2554900
2016-01-07,46.42,47.08,46.16,46.65,1775300
2016-01-08,46.6,46.63,43.11,43.11,5116900
2016-01-11,43.2,43.86,42.1,43.38,2307700
2016-01-12,43.95,44.09,42.86,43.66,1933800
2016-01-13,43.43,43.58,42.2,42.67,1440600
2016-01-14,42.47,42.56,40.57,41.99,3631200
2016-01-15,40.47,40.74,39.66,40.02,1878300
2016-01-19,40.69,42.3,40.56,41.67,1396800
2016-01-20,40.98,40.98,38.36,39.9,2620700
2016-01-21,40.28,40.87,39.61,40.54,1573200
2016-01-22,41.21,41.995,41.03,41.85,1243900
2016-01-25,41.47,41.61,39.73,40.24,1388300
2016-01-26,40.28,42.31,40.23,41.45,967500
2016-01-27,41.31,41.81,40.495,40.61,1124900
2016-01-28,40.82,40.9,39.16,39.96,1155000
2016-01-29,39.48,40.06,38.95,39.77,1480200
2016-02-01,38.92,40.05,38.85,39.93,1185500
2016-02-02,39.84,40.0,34.031,34.98,7485100
2016-02-03,37.24,37.57,35.35,37.09,4631600
2016-02-04,36.25,39.47,36.0,38.88,1902700
2016-02-05,38.73,38.74,37.185,37.7,861400
2016-02-08,37.04,37.14,34.86,35.95,1537800
2016-02-09,34.44,35.39,33.596,33.96,1653300
2016-02-10,35.03,35.08,33.08,33.27,1481800
2016-02-11,32.29,32.48,31.66,32.0,1447600
2016-02-12,32.34,34.33,32.17,34.15,1950300
2016-02-16,34.62,35.8,34.111,35.65,1263500
2016-02-17,36.38,39.33,36.36,39.1,1762400
2016-02-18,38.76,38.9,38.04,38.76,1327800
2016-02-19,37.9,38.77,37.68,38.51,507400
2016-02-22,39.42,40.15,39.25,39.94,1045500
2016-02-23,39.25,39.449,38.68,38.94,578100
2016-02-24,37.26,38.65,37.17,38.57,583100
2016-02-25,38.21,38.79,37.92,38.7,376300
2016-02-26,38.77,38.86,38.26,38.46,381000
2016-02-29,38.49,38.73,37.97,37.98,493800
2016-03-01,38.78,39.49,38.425,39.49,678100
2016-03-02,39.07,39.58,38.92,39.54,338800
2016-03-03,39.1,39.63,39.01,39.4,386700
2016-03-04,39.24,39.93,38.991,39.74,404700
2016-03-07,39.11,40.751,39.11,40.6,971600
2016-03-08,41.93,42.04,41.01,41.22,944000
2016-03-09,41.72,42.36,41.4,42.03,483500
2016-03-10,41.98,42.105,40.85,41.57,643100
2016-03-11,42.09,42.92,42.01,42.77,564000
2016-03-14,42.57,42.81,41.945,42.04,724300
2016-03-15,41.46,41.8,41.1,41.41,307900
2016-03-16,41.11,42.58,41.1,42.26,494800
2016-03-17,42.49,43.0,42.16,42.71,271500
2016-03-18,42.73,43.06,42.4,42.4,491800
2016-03-21,42.38,42.5,41.97,42.04,338600
2016-03-22,41.64,42.0,41.5,41.66,271100
2016-03-23,41.66,41.66,40.68,40.68,225900
2016-03-24,40.23,41.2,40.15,41.15,218400
2016-03-28,41.04,41.49,40.53,41.1,205700
2016-03-29,40.87,41.55,40.72,41.52,312400
2016-03-30,42.1,42.5,41.92,42.31,463400
2016-03-31,41.59,41.86,41.31,41.7,344300
2016-04-01,40.73,41.18,40.66,41.05,425400
2016-04-04,41.24,41.71,41.03,41.15,1250100
2016-04-05,40.21,40.57,40.05,40.25,392100
2016-04-06,40.19,41.71,40.11,41.39,619200
2016-04-07,40.88,41.19,40.38,40.65,640500
2016-04-08,41.26,41.42,40.83,41.13,503600
2016-04-11,41.17,41.87,41.085,41.38,497100
