DateTime,Open,High,Low,Close,Volume
2019-11-01,103.2,103.2,96.24,101.6,3700
2019-11-04,104.0,104.0,96.96,98.4,2488
2019-11-05,98.72,127.68,97.432,115.92,14850
2019-11-06,116.08,126.064,113.2,120.0,5225
2019-11-07,120.16,179.6,113.664,178.16,9388
2019-11-08,188.56,336.0,184.24,224.8,74262
2019-11-11,200.0,200.0,151.68,156.8,15438
2019-11-12,154.8,189.68,147.2,174.0,17450
2019-11-13,177.2,187.12,156.0,163.04,7888
2019-11-14,164.928,179.584,154.0,169.44,4600
2019-11-15,168.96,202.72,151.792,157.44,7262
2019-11-18,153.68,159.2,131.92,142.32,8775
2019-11-19,139.36,146.4,122.0,142.32,3700
2019-11-20,144.0,174.88,141.76,169.92,9925
2019-11-21,172.0,172.0,157.52,165.6,2638
2019-11-22,166.16,168.448,158.28,163.92,2400
2019-11-25,169.6,246.08,168.136,235.76,42162
2019-11-26,241.6,242.0,195.04,218.08,20525
2019-11-27,219.28,223.6,202.288,213.36,5075
2019-11-29,212.8,213.584,204.0,207.28,1575
2019-12-02,204.56,222.32,169.536,173.84,8688
2019-12-03,181.6,202.088,176.0,199.6,8425
2019-12-04,223.92,251.712,216.0,220.24,25638
2019-12-05,216.0,231.04,208.0,209.6,9062
2019-12-06,211.92,221.888,193.296,196.8,9388
2019-12-09,197.12,212.8,193.12,201.04,6375
2019-12-10,207.12,209.888,194.08,197.84,7562
2019-12-11,198.08,204.0,182.96,183.12,6812
2019-12-12,183.04,196.856,168.0,173.44,12525
2019-12-13,173.2,191.52,172.8,189.76,6000
2019-12-16,189.76,203.52,189.76,198.08,8862
2019-12-17,193.36,195.92,179.84,184.0,9888
2019-12-18,183.84,195.2,174.4,195.2,9625
2019-12-19,196.32,201.52,188.16,200.0,4475
2019-12-20,200.0,228.8,196.4,219.36,37912
2019-12-23,223.2,287.2,223.2,244.0,24075
2019-12-24,244.8,263.52,244.0,246.24,3838
2019-12-26,249.888,256.0,209.36,214.16,9800
2019-12-27,217.68,232.712,214.48,229.36,4850
2019-12-30,228.64,228.64,209.6,212.64,4925
2019-12-31,211.04,224.64,208.08,220.88,12200
2020-01-02,225.6,239.92,221.304,239.12,6825
2020-01-03,239.6,239.6,220.8,236.64,6400
2020-01-06,234.16,249.672,222.296,242.4,7400
2020-01-07,245.2,252.0,234.48,247.2,7188
2020-01-08,241.92,245.6,216.0,228.24,10375
2020-01-09,227.28,228.4,212.648,221.44,8225
2020-01-10,222.4,230.888,212.8,225.44,7438
2020-01-13,225.84,237.48,214.48,226.8,12250
2020-01-14,226.4,250.4,216.16,250.32,6588
2020-01-15,249.84,298.08,243.2,294.0,9500
2020-01-16,296.8,376.76,296.8,375.68,23038
