DateTime,Open,High,Low,Close,Volume
2010-04-20,48.29,48.52,47.13,47.26,548100
2010-04-21,47.44,47.82,46.51,47.58,597000
2010-04-22,47.21,48.18,46.94,48.07,545400
2010-04-23,48.17,49.14,47.75,48.94,362900
2010-04-26,49.18,49.32,48.29,48.35,341900
2010-04-27,48.06,48.94,47.79,48.67,551700
2010-04-28,48.91,50.63,48.43,50.37,723000
2010-04-29,50.49,51.25,50.13,50.98,532000
2010-04-30,51.39,51.99,50.95,51.18,576200
2010-05-03,51.32,51.34,49.88,50.93,437500
2010-05-04,50.84,51.0,48.46,49.19,843300
2010-05-05,48.52,49.46,47.8,48.73,1013100
2010-05-06,48.37,51.27,48.01,50.33,1083000
2010-05-07,50.04,50.93,48.84,49.1,755500
2010-05-10,49.86,49.86,48.78,49.59,689900
2010-05-11,50.04,52.39,50.04,51.45,1371400
2010-05-12,52.13,52.75,51.16,52.34,1071900
2010-05-13,52.57,53.54,51.68,52.11,880300
2010-05-14,52.34,52.88,50.56,51.87,676700
2010-05-17,51.9,52.5,50.97,51.18,528000
2010-05-18,51.05,51.62,50.61,50.97,573800
2010-05-19,50.46,50.64,48.34,49.6,907400
2010-05-20,48.51,49.28,47.51,47.56,877200
2010-05-21,47.01,48.33,46.57,47.74,706900
2010-05-24,48.51,49.25,48.31,48.31,569500
2010-05-25,47.94,50.29,47.77,50.01,679100
2010-05-26,51.0,51.46,49.62,49.63,640800
2010-05-27,50.47,50.73,49.94,50.72,551800
2010-05-28,50.98,50.99,49.63,50.14,520800
2010-06-01,50.5,51.34,48.66,48.67,832900
2010-06-02,48.99,50.44,48.51,50.41,693400
2010-06-03,50.41,50.41,49.02,49.3,626700
2010-06-04,48.8,50.11,48.56,49.17,703200
2010-06-07,49.29,51.17,48.29,50.32,963600
2010-06-08,51.14,51.81,50.41,50.99,841500
2010-06-09,50.83,51.6,50.6,51.06,493200
2010-06-10,51.49,51.5,50.58,51.34,389000
2010-06-11,51.29,51.68,50.76,51.68,342300
2010-06-14,51.76,51.99,50.92,51.1,318900
2010-06-15,51.23,52.7,51.23,52.55,471300
2010-06-16,52.5,53.03,52.14,52.28,491200
2010-06-17,52.59,53.68,52.18,53.36,955700
2010-06-18,53.71,54.52,53.39,53.79,1391700
2010-06-21,54.1,54.85,53.08,53.35,843200
2010-06-22,52.8,53.24,51.18,51.28,1153600
2010-06-23,48.98,49.18,48.25,48.63,5416300
2010-06-24,48.66,49.85,48.44,48.48,1988600
2010-06-25,49.11,50.32,48.71,49.8,1310100
2010-06-28,49.99,50.57,48.81,49.38,946200
2010-06-29,48.84,49.19,48.25,48.6,1271700
2010-06-30,48.26,49.19,47.73,48.0,959900
2010-07-01,47.93,48.24,44.71,45.93,1757300
2010-07-02,45.78,46.51,45.25,45.54,611400
2010-07-06,45.49,45.91,44.52,44.93,899100
2010-07-07,45.03,45.78,44.63,45.68,674000
2010-07-08,45.84,45.87,44.71,45.13,918900
2010-07-09,45.51,46.29,45.5,45.66,753800
2010-07-12,45.48,46.01,44.78,44.85,449100
2010-07-13,45.5,45.85,44.6,44.72,651400
2010-07-14,44.65,44.8,43.81,44.4,731300
2010-07-15,44.43,44.77,43.8,44.55,654800
2010-07-16,44.19,44.23,43.58,43.82,1187600
2010-07-19,43.76,43.8,42.75,43.14,898000
2010-07-20,42.92,44.25,42.8,43.88,606100
2010-07-21,44.0,44.5,43.11,43.47,540700
2010-07-22,44.04,44.64,43.71,43.93,449400
2010-07-23,44.06,44.36,43.31,44.08,463800
2010-07-26,44.39,44.5,43.58,43.77,326300
2010-07-27,43.73,43.73,42.15,42.82,1000700
2010-07-28,42.49,43.52,42.4,43.12,562500
2010-07-29,43.08,43.71,42.91,43.49,620900
2010-07-30,43.55,44.41,43.49,44.13,1065600
2010-08-02,44.44,44.74,43.59,44.22,600300
2010-08-03,44.23,45.16,44.23,44.97,650800
2010-08-04,45.79,45.9,45.28,45.65,522200
2010-08-05,45.56,45.9,45.16,45.84,458100
2010-08-06,46.47,46.98,46.02,46.76,611800
2010-08-09,46.74,46.86,45.84,46.34,255100
2010-08-10,46.04,46.8,45.58,46.51,410800
2010-08-11,46.46,46.97,45.56,45.73,481200
2010-08-12,45.85,47.2,45.85,46.4,672400
2010-08-13,46.13,46.44,45.77,45.8,443300
2010-08-16,46.04,46.92,45.97,46.77,474300
2010-08-17,46.75,47.29,46.39,46.92,330600
2010-08-18,46.71,48.11,46.1,47.88,645000
2010-08-19,48.05,49.47,47.87,48.73,771200
2010-08-20,48.58,48.92,47.98,48.89,427600
2010-08-23,48.92,48.94,47.93,48.04,232100
2010-08-24,47.26,48.41,47.0,47.53,350200
2010-08-25,47.71,49.44,47.71,49.0,913500
2010-08-26,49.46,49.74,48.97,49.06,411900
2010-08-27,49.31,49.96,48.65,49.79,698900
2010-08-30,49.68,49.98,48.76,48.78,355400
2010-08-31,49.11,50.21,48.65,49.07,484000
2010-09-01,49.48,49.58,48.17,48.87,335500
2010-09-02,49.44,49.47,48.5,49.01,275300
2010-09-03,48.5,49.04,48.11,49.01,262800
2010-09-07,49.07,50.0,49.06,49.54,347200
2010-09-08,49.6,50.08,49.14,49.22,435200
2010-09-09,49.27,49.52,47.97,48.34,496300
2010-09-10,48.2,48.71,48.02,48.27,269600
2010-09-13,48.27,48.89,48.0,48.6,305700
2010-09-14,49.25,51.18,49.16,50.46,741100
2010-09-15,50.33,50.48,49.58,49.94,617900
2010-09-16,50.11,51.44,50.05,50.89,612000
2010-09-17,51.37,51.37,50.05,50.41,1370300
2010-09-20,50.32,51.31,50.32,50.4,489800
2010-09-21,50.2,50.69,48.92,50.43,629300
2010-09-22,51.13,51.57,50.53,50.69,518400
2010-09-23,50.43,50.85,49.77,49.86,463000
2010-09-24,50.48,50.68,49.54,50.07,495900
2010-09-27,50.14,50.25,49.2,49.33,269900
2010-09-28,49.04,50.91,48.22,50.76,595100
2010-09-29,50.86,51.06,50.06,50.1,306800
2010-09-30,50.63,50.63,48.84,49.84,415500
2010-10-01,50.64,50.99,50.06,50.38,339800
2010-10-04,50.3,50.38,49.11,49.84,370700
2010-10-05,50.32,51.26,50.32,50.57,655200
2010-10-06,50.5,51.36,50.23,51.36,445600
2010-10-07,51.55,51.7,48.97,49.5,787500
2010-10-08,49.26,50.5,49.26,49.84,419900
2010-10-11,49.78,50.24,49.2,49.94,345700
2010-10-12,49.59,50.04,48.81,49.91,388400
2010-10-13,50.41,51.26,50.35,50.5,475000
2010-10-14,50.38,50.91,49.97,50.31,277700
2010-10-15,50.12,50.12,48.86,49.76,707300
2010-10-18,48.85,50.16,48.77,50.09,519400
2010-10-19,48.97,49.2,47.8,48.22,631600
2010-10-20,48.51,49.28,48.26,48.51,294500
2010-10-21,48.5,48.92,46.74,47.43,596600
2010-10-22,47.26,47.78,47.0,47.69,275500
2010-10-25,48.3,48.94,48.09,48.31,303000
2010-10-26,47.81,49.13,47.65,48.75,272400
2010-10-27,48.38,48.38,46.9,48.23,428400
2010-10-28,48.63,49.22,48.43,49.0,411900
2010-10-29,48.97,49.65,48.95,49.51,270600
2010-11-01,49.38,50.0,48.7,49.36,336100
2010-11-02,49.57,50.28,49.4,50.07,427600
2010-11-03,50.17,50.67,48.56,50.33,687200
2010-11-04,52.0,52.25,51.25,51.51,607400
2010-11-05,51.49,52.29,51.3,51.66,408300
2010-11-08,51.41,53.5,51.23,53.4,594100
2010-11-09,53.4,54.12,50.49,51.2,980800
2010-11-10,51.03,52.25,50.66,52.14,533000
2010-11-11,51.68,52.77,51.48,52.62,488400
2010-11-12,52.06,52.5,50.86,51.89,502400
2010-11-15,51.86,52.2,50.7,50.84,385100
2010-11-16,50.6,50.96,49.5,50.12,554500
2010-11-17,49.92,50.64,49.4,49.66,421000
2010-11-18,50.36,50.84,50.12,50.35,443800
2010-11-19,50.25,50.99,49.64,50.67,270000
2010-11-22,50.72,51.75,50.22,51.5,419100
2010-11-23,51.36,51.87,51.0,51.46,332100
2010-11-24,51.65,51.9,50.91,51.25,256000
2010-11-26,50.64,51.86,49.95,51.25,147900
2010-11-29,50.85,51.04,49.74,50.78,392200
2010-11-30,51.05,52.22,50.89,51.52,383000
2010-12-01,52.07,52.22,51.28,52.11,310100
2010-12-02,52.23,52.56,51.43,51.78,458000
2010-12-03,51.86,52.8,51.62,52.7,408700
2010-12-06,52.67,53.78,52.5,53.62,399000
2010-12-07,54.01,54.08,52.24,52.37,601600
2010-12-08,52.32,52.88,51.91,52.57,445000
2010-12-09,52.49,53.24,52.49,53.03,320600
2010-12-10,53.01,54.12,52.42,53.7,487700
2010-12-13,54.25,54.77,53.98,54.08,350300
2010-12-14,54.44,54.99,53.93,54.56,354800
2010-12-15,54.37,54.54,53.04,53.44,521100
2010-12-16,53.44,53.44,52.35,53.08,290000
2010-12-17,53.24,54.01,52.59,53.72,572800
2010-12-20,53.98,54.36,53.23,53.94,299100
2010-12-21,54.06,54.59,53.73,54.01,408600
2010-12-22,54.13,54.3,53.77,53.9,186400
2010-12-23,53.88,54.41,53.51,53.84,172800
2010-12-27,53.66,54.45,53.32,53.8,138700
2010-12-28,54.49,55.06,54.19,54.85,227400
2010-12-29,55.12,55.2,54.29,54.76,152200
2010-12-30,55.0,55.22,54.07,54.4,184400
2010-12-31,54.48,55.08,54.32,54.63,160500
2011-01-03,55.05,55.05,53.62,54.27,371000
2011-01-04,53.94,54.13,50.57,52.25,1016100
2011-01-05,51.62,51.89,50.52,50.8,649300
2011-01-06,50.84,50.99,49.81,50.1,607800
2011-01-07,50.05,50.85,49.51,49.92,395400
2011-01-10,49.85,50.72,49.32,50.43,381400
2011-01-11,50.8,51.18,49.8,51.15,345500
2011-01-12,51.21,51.32,50.31,51.32,282700
2011-01-13,51.3,51.5,49.02,49.31,501700
2011-01-14,48.95,49.4,47.6,47.73,897900
2011-01-18,47.89,48.5,47.34,47.76,843500
2011-01-19,48.02,48.47,47.23,47.55,676400
2011-01-20,46.94,46.94,45.95,46.29,1261400
2011-01-21,46.41,46.43,45.37,45.71,906900
2011-01-24,45.8,46.65,45.61,45.86,763100
2011-01-25,45.73,47.21,45.52,46.64,865100
2011-01-26,46.76,47.58,46.1,47.46,567100
2011-01-27,47.65,47.86,45.78,46.18,526100
2011-01-28,46.03,47.25,45.87,46.62,478400
2011-01-31,46.91,46.99,46.0,46.4,364100
2011-02-01,46.89,48.41,46.7,48.15,798200
2011-02-02,48.41,48.44,47.25,47.52,451500
2011-02-03,47.8,48.8,47.1,48.63,548400
2011-02-04,48.66,48.99,47.16,47.58,661700
2011-02-07,48.0,48.3,47.44,47.8,437900
2011-02-08,48.2,48.78,48.08,48.34,361100
2011-02-09,48.35,48.59,47.61,47.89,464700
2011-02-10,47.66,48.4,47.5,47.89,370300
2011-02-11,47.87,48.5,47.5,47.74,448900
2011-02-14,47.86,48.52,47.83,48.42,239700
2011-02-15,49.0,49.51,48.8,49.1,397200
2011-02-16,49.1,49.67,48.42,49.21,354000
2011-02-17,49.27,49.98,49.25,49.8,321600
2011-02-18,49.79,49.96,48.9,49.15,662100
2011-02-22,49.79,49.96,48.1,48.16,539400
2011-02-23,48.11,49.63,48.0,49.11,469500
2011-02-24,49.28,49.64,48.4,48.41,438600
2011-02-25,48.63,49.2,48.55,48.87,264800
2011-02-28,49.21,49.62,48.99,49.62,334900
2011-03-01,49.88,50.34,49.47,50.3,558200
2011-03-02,50.34,51.0,50.15,50.99,517400
2011-03-03,50.88,50.88,50.12,50.28,356000
2011-03-04,50.36,50.6,50.1,50.58,436400
2011-03-07,50.78,51.0,49.84,50.2,509200
2011-03-08,50.3,50.91,49.45,50.44,426800
2011-03-09,50.3,50.61,49.42,49.68,363800
2011-03-10,49.18,49.37,48.0,48.04,627000
2011-03-11,47.76,49.3,47.63,48.92,373900
2011-03-14,49.2,49.85,49.03,49.8,436600
2011-03-15,48.75,50.61,48.67,50.41,789700
2011-03-16,50.5,51.24,48.95,49.37,763600
2011-03-17,49.25,50.14,49.08,49.49,482300
2011-03-18,49.97,50.67,49.75,50.37,958900
2011-03-21,50.91,50.99,50.09,50.33,580500
2011-03-22,50.34,51.21,50.0,51.15,475900
2011-03-23,51.17,52.45,51.17,52.26,593900
2011-03-24,52.61,52.88,52.12,52.35,866100
2011-03-25,52.23,52.59,51.39,51.99,501100
2011-03-28,51.63,51.95,51.06,51.27,348800
