DateTime,Open,High,Low,Close,Volume
2008-12-22,47.53,48.0,43.5,44.23,12591700
2008-12-23,44.67,45.45,43.25,43.55,10868200
2008-12-24,42.91,43.24,41.95,42.24,4033700
2008-12-26,42.9,44.31,42.89,44.18,5358800
2008-12-29,46.63,47.0,45.98,46.38,11144700
2008-12-30,46.45,46.97,45.6,46.93,8745500
2008-12-31,46.76,48.55,46.05,47.25,8153600
2009-01-02,47.98,52.32,47.98,52.01,10574700
2009-01-05,51.9,56.36,51.58,54.32,14651700
2009-01-06,56.44,57.85,55.5,56.92,16355500
2009-01-07,55.69,55.95,52.37,54.91,10646300
2009-01-08,54.22,56.82,53.67,56.63,8896900
2009-01-09,56.15,57.02,54.12,54.5,7602800
2009-01-12,53.33,53.74,49.61,50.53,10955800
2009-01-13,50.33,52.59,49.66,52.01,8273200
2009-01-14,50.25,50.4,48.6,49.6,10454000
2009-01-15,49.01,50.4,46.5,50.02,7893400
2009-01-16,51.02,51.27,49.11,50.09,6976800
2009-01-20,49.0,50.78,46.11,46.39,7580200
2009-01-21,47.5,50.32,46.72,49.98,8005000
2009-01-22,48.87,51.25,47.81,49.55,7279300
2009-01-23,47.93,53.5,47.92,52.22,7969300
2009-01-26,55.88,57.0,53.81,54.8,11178300
2009-01-27,55.46,55.46,52.86,54.47,5892400
2009-01-28,55.7,57.15,55.24,56.61,7867000
2009-01-29,55.02,56.26,54.1,54.79,7165400
2009-01-30,56.17,56.82,54.13,54.62,7315300
2009-02-02,53.15,54.67,52.51,53.64,5548100
2009-02-03,54.35,54.75,52.65,53.69,5282100
2009-02-04,54.65,57.09,54.27,55.25,7184100
2009-02-05,54.93,58.21,53.85,57.85,7428800
2009-02-06,56.88,60.02,56.44,59.73,7556000
2009-02-09,60.24,62.84,59.78,60.74,10078300
2009-02-10,61.06,62.5,58.27,59.26,9364900
2009-02-11,60.0,60.75,56.96,58.68,6532600
2009-02-12,57.41,60.37,57.1,60.19,8480400
2009-02-13,59.74,61.84,59.44,60.15,7476500
2009-02-17,57.86,58.48,55.69,55.85,9172500
2009-02-18,56.88,57.75,55.1,57.2,6615800
2009-02-19,59.0,60.92,58.75,59.62,7439200
2009-02-20,58.45,59.97,57.32,59.52,7398800
2009-02-23,60.58,61.5,54.81,55.46,8773000
2009-02-24,56.25,58.69,54.8,58.15,8543000
2009-02-25,58.44,60.4,55.53,58.1,8789300
2009-02-26,59.33,61.4,58.77,59.76,8798700
2009-02-27,58.24,62.36,57.52,59.77,8893000
2009-03-02,58.01,59.17,54.29,54.98,10069800
2009-03-03,56.81,57.82,55.36,55.59,9984100
2009-03-04,57.79,57.97,55.25,56.44,13523500
2009-03-05,55.6,56.49,50.26,51.89,15414400
2009-03-06,52.41,53.2,49.6,51.11,10228100
2009-03-09,50.92,53.16,49.2,49.73,10064900
2009-03-10,51.4,53.33,50.98,52.3,9327800
2009-03-11,53.55,53.71,52.13,53.05,8448600
