DateTime,Open,High,Low,Close,Volume
2021-01-08,41.81,42.72,39.37,40.67,320500
2021-01-11,39.7,41.118,36.55,37.29,759900
2021-01-12,38.060001,41.45,37.9,40.0,2540400
2021-01-13,40.19,46.3,39.094002,42.0,2852000
2021-01-14,41.24,43.91,40.2,43.77,2601000
2021-01-15,43.87,45.92,42.25,44.85,531700
2021-01-19,44.71,54.93,44.71,53.95,1058000
2021-01-20,53.67,64.37,52.56,56.28,1417400
2021-01-21,56.2,58.96,52.029999,56.69,347200
2021-01-22,56.55,61.72,55.7,61.53,516200
2021-01-25,62.0,62.95,55.12,57.49,395400
2021-01-26,57.41,59.09,55.64,56.29,451500
2021-01-27,55.42,58.78,53.93,55.49,360900
2021-01-28,55.54,56.029999,52.57,53.2,479200
2021-01-29,51.6,54.055,47.8,49.58,587000
2021-02-01,50.0,50.72,47.02,50.55,489400
2021-02-02,51.029999,51.47,48.34,50.96,395500
2021-02-03,50.96,51.135,48.66,50.21,355800
2021-02-04,50.89,51.98,48.26,49.97,358600
2021-02-05,50.0,50.74,48.5,49.39,684500
2021-02-08,49.93,50.89,47.64,50.0,815600
2021-02-09,49.92,51.0,48.46,49.32,469800
2021-02-10,50.75,50.75,47.099998,47.53,679000
2021-02-11,46.11,47.48,44.37,46.23,657700
2021-02-12,45.95,49.456,44.69,45.92,522000
2021-02-16,46.48,46.55,43.8,44.25,422900
2021-02-17,44.36,46.7,43.78,44.22,529000
2021-02-18,44.0,45.95,42.97,43.16,438100
2021-02-19,43.64,46.4,42.71,43.61,554600
2021-02-22,43.47,45.4,43.295,44.02,961600
2021-02-23,43.26,44.23,40.2,40.46,1175200
2021-02-24,40.62,45.335,40.53,43.29,579200
2021-02-25,43.060001,45.86,40.7,42.32,537800
2021-02-26,42.61,43.58,39.88,41.27,490800
2021-03-01,42.98,42.98,39.63,40.19,526900
2021-03-02,40.2,41.3,39.23,39.67,449200
2021-03-03,39.47,39.91,37.808,38.59,541200
2021-03-04,38.57,41.715,37.77,39.99,1123900
2021-03-05,39.2,39.2,33.56,37.39,1200000
2021-03-08,37.76,38.94,34.8,35.0099983,798600
2021-03-09,35.78,37.84,35.78,36.27,639800
2021-03-10,36.89,39.25,36.53,38.51,811300
2021-03-11,40.0,40.14,38.25,39.66,573800
2021-03-12,39.19,39.5,37.825,39.29,575700
2021-03-15,39.18,40.78,37.63,39.52,810200
2021-03-16,39.35,40.705,38.76,40.27,725500
2021-03-17,40.19,40.63,38.91,40.26,983400
2021-03-18,39.98,40.41,36.87,37.52,1150800
