DateTime,Open,High,Low,Close,Volume
2006-06-27,23.97,24.049999,23.1,23.13,3147600
2006-06-28,20.040001,20.89,19.79,20.55,15012800
2006-06-29,20.7,21.49,20.6,21.49,5096200
2006-06-30,21.5,22.81,21.0,22.81,12510000
2006-07-03,22.6,22.94,22.030001,22.77,2218500
2006-07-05,24.040001,24.89,23.79,24.3,9647700
2006-07-06,25.0,25.38,24.12,24.33,5909100
2006-07-07,24.1,24.3,23.3,23.81,3601500
2006-07-10,24.18,24.2,22.67,22.83,2986300
2006-07-11,22.69,23.44,22.049999,23.39,4499700
2006-07-12,23.46,23.46,22.2,22.36,3143500
2006-07-13,22.01,23.26,21.7,22.15,4024200
2006-07-14,22.1,22.59,21.64,22.040001,2520100
2006-07-17,22.07,22.47,20.97,21.6,3290600
2006-07-18,20.89,20.93,18.67,19.6,11529800
2006-07-19,17.1,17.69,16.6,16.77,14690100
2006-07-20,17.15,17.5,16.65,16.88,5034200
2006-07-21,16.7,16.73,14.9,14.99,7535100
2006-07-24,15.14,15.54,14.54,14.87,6433600
2006-07-25,15.14,15.25,14.63,14.96,3950700
2006-07-26,14.87,16.19,14.36,15.44,9966700
2006-07-27,15.51,15.6,14.76,14.79,3139400
2006-07-28,15.86,15.9,15.29,15.65,5088500
2006-07-31,16.45,18.040001,16.18,17.63,10374800
2006-08-01,17.38,17.38,16.58,16.98,5151500
2006-08-02,16.98,16.98,11.8,12.65,27494800
2006-08-03,11.79,12.15,11.31,11.4,21428100
2006-08-04,11.84,11.9,11.19,11.38,10899000
2006-08-07,11.24,11.47,10.86,10.92,9384700
2006-08-08,11.01,11.38,10.93,11.13,7553700
2006-08-09,11.27,11.34,10.68,10.8,6190800
2006-08-10,10.51,10.99,10.5,10.8,4808200
2006-08-11,10.77,10.84,10.25,10.26,4610300
2006-08-14,10.47,11.27,10.41,10.88,6611500
2006-08-15,11.25,11.43,11.02,11.39,5563900
2006-08-16,11.58,11.99,11.42,11.68,5220700
2006-08-17,11.46,12.18,11.23,11.73,6642800
2006-08-18,11.73,11.98,11.5,11.95,4488300
2006-08-21,12.39,12.47,12.11,12.41,6047500
2006-08-22,12.36,12.55,11.05,11.21,13904700
2006-08-23,11.66,13.48,11.64,13.19,36823700
2006-08-24,13.78,14.4,13.58,13.92,25754300
2006-08-25,14.31,14.39,13.51,13.76,13399800
2006-08-28,13.85,14.09,13.69,13.86,4860700
2006-08-29,14.2,14.31,13.9,14.29,7074900
2006-08-30,14.56,15.74,14.5,15.64,19572200
2006-08-31,16.35,16.49,15.61,15.87,15742500
2006-09-01,16.11,16.15,15.28,15.88,10929300
2006-09-05,16.77,17.53,16.73,17.27,21137100
2006-09-06,17.37,17.47,16.85,16.95,14018000
2006-09-07,16.61,17.09,16.049999,16.75,12685700
2006-09-08,17.11,17.2,16.83,17.12,7718700
2006-09-11,17.0,18.02,16.87,17.62,11601500
2006-09-12,17.79,18.5,17.55,18.37,11405900
2006-09-13,18.84,19.25,18.34,18.51,14893900
2006-09-14,18.95,19.1,18.52,19.040001,10897000
2006-09-15,18.93,19.15,17.92,18.11,13793100
2006-09-18,18.35,18.97,18.15,18.85,10397900
2006-09-19,18.72,18.83,18.1,18.31,8465100
2006-09-20,18.69,18.82,18.21,18.28,6720700
2006-09-21,17.97,17.97,17.030001,17.22,11906800
2006-09-22,16.41,16.69,16.25,16.58,9678800
2006-09-25,17.040001,17.95,16.91,17.95,9519900
2006-09-26,18.27,18.42,17.32,17.66,10060000
2006-09-27,17.82,18.58,17.57,17.9,9985900
2006-09-28,18.0,18.16,17.47,17.72,4715700
2006-09-29,17.7,17.84,17.37,17.44,3371500
2006-10-02,17.25,17.55,16.95,17.14,3672700
2006-10-03,17.0,17.12,16.76,16.85,4261300
2006-10-04,16.74,17.41,16.7,17.35,4811700
2006-10-05,17.43,17.82,17.25,17.37,4381700
2006-10-06,17.18,17.34,17.0,17.11,3237900
2006-10-09,16.99,17.79,16.86,17.54,5068000
2006-10-10,17.69,17.74,17.2,17.28,3601600
2006-10-11,18.68,19.5,18.56,19.13,25553000
2006-10-12,19.41,19.61,18.58,18.92,10813100
2006-10-13,18.76,19.59,18.53,19.23,9926600
2006-10-16,19.25,19.6,19.030001,19.14,4344400
2006-10-17,19.01,19.07,18.56,18.61,4677000
2006-10-18,18.78,18.9,17.9,17.95,6929700
2006-10-19,17.71,18.37,17.63,18.29,5110100
2006-10-20,17.54,17.64,16.42,16.71,10895100
2006-10-23,16.79,17.2,16.66,16.76,5604900
2006-10-24,16.75,17.0,16.4,16.52,3939400
2006-10-25,16.55,16.89,16.46,16.77,3532900
2006-10-26,17.030001,17.08,16.75,17.0,3244300
2006-10-27,16.98,17.11,16.26,16.39,4720100
2006-10-30,16.45,16.88,16.39,16.63,3452200
2006-10-31,16.66,16.75,16.32,16.56,3027400
2006-11-01,16.66,16.68,16.059999,16.14,2801500
2006-11-02,16.040001,16.52,16.01,16.17,3291500
2006-11-03,16.48,16.48,16.11,16.41,2139800
2006-11-06,16.42,16.78,16.42,16.61,2443400
2006-11-07,16.67,16.95,16.45,16.51,3138400
2006-11-08,16.28,16.45,16.1,16.33,3812900
2006-11-09,16.46,16.53,15.87,15.99,3851000
2006-11-10,16.15,16.4,15.92,16.39,2399700
2006-11-13,16.31,16.7,16.29,16.49,3024800
