DateTime,Open,High,Low,Close,Volume
2018-11-12,43.25,43.69,40.31,41.46,10576000
2018-11-13,41.6,43.39,41.34,42.44,7877300
2018-11-14,43.040001,43.95,41.701,43.2,6572700
2018-11-15,43.02,44.83,42.31,44.53,8035400
2018-11-16,43.64,45.68,42.95,44.58,5722100
2018-11-19,44.4,44.55,42.11,42.67,4324600
2018-11-20,39.7,42.556,38.51,40.86,7999000
2018-11-21,42.02,42.478,39.76,40.25,5220200
2018-11-23,39.78,41.080002,39.72,39.92,2417800
2018-11-26,40.64,41.425,39.8,41.21,5090800
2018-11-27,40.89,41.97,39.14,39.22,6495300
2018-11-28,39.8,40.07,37.51,38.93,10524800
2018-11-29,38.68,41.448,37.76,40.84,9090600
2018-11-30,40.65,41.54,40.030998,40.75,3568500
2018-12-03,43.37,43.37,40.85,42.17,6457600
2018-12-04,41.59,42.48,39.5,39.78,4270900
2018-12-06,38.47,40.84,38.042,40.82,4191400
2018-12-07,40.69,41.48,37.8,37.92,5017000
2018-12-10,37.46,38.4,36.666,37.2,7099200
2018-12-11,38.029999,38.2,34.27,35.81,13491600
2018-12-12,35.64,36.93,35.02,35.17,7913300
2018-12-13,35.17,35.78,33.41,33.74,6544900
2018-12-14,33.11,34.81,33.0,33.42,4521500
2018-12-17,33.49,33.8,31.733,32.12,5649200
2018-12-18,32.15,32.776,31.059999,31.34,6371600
2018-12-19,32.029999,32.41,30.11,30.61,5750100
2018-12-20,30.21,30.96,28.52,29.66,6234100
2018-12-21,29.4,30.08,27.040001,27.28,7210300
2018-12-24,26.62,28.25,26.3,27.17,4558500
2018-12-26,28.9,30.37,27.059999,30.35,16972200
2018-12-27,30.51,32.17,28.33,30.46,18877200
2018-12-28,30.8,31.25,29.53,30.16,11221700
2018-12-31,30.85,30.97,29.779,30.64,6875500
2019-01-02,29.82,32.69,29.29,32.52,11890300
2019-01-03,31.87,32.177,29.5,30.1,14989400
2019-01-04,30.68,34.11,30.515,33.73,15505500
2019-01-07,36.83,42.98,36.52,42.18,42253700
2019-01-08,43.98,44.48,37.91,40.88,44167700
2019-01-09,40.39,43.59,39.65,42.099998,19848200
2019-01-10,41.11,42.71,40.0099983,40.16,17148800
2019-01-11,40.15,40.389,38.765,39.57,12528200
2019-01-14,38.89,41.34,38.6,39.46,11192700
2019-01-15,40.029999,41.275,39.311,40.49,10322200
2019-01-16,40.68,41.79,38.91,39.89,10778700
2019-01-17,39.56,42.07,39.26,41.63,14000700
2019-01-18,42.049999,42.841,40.57,40.98,12690900
2019-01-22,40.21,41.18,39.42,39.91,6387000
2019-01-23,40.32,41.23,39.78,40.44,8159900
2019-01-24,40.41,43.52,40.331,43.29,13236100
2019-01-25,43.5,44.0,42.07,43.69,11226400
2019-01-28,42.26,43.91,41.27,43.86,9188400
2019-01-29,43.62,45.95,42.32,42.85,15778800
2019-01-30,43.51,44.34,42.9,44.13,7986300
2019-01-31,43.8,46.36,43.631,44.95,8078300
2019-02-01,45.02,45.703,44.51,45.21,5668600
2019-02-04,45.24,50.7,45.22,47.43,28407000
2019-02-05,48.5,49.4,47.17,48.16,11813100
2019-02-06,48.029999,48.99,47.6,48.38,6243400
2019-02-07,47.66,47.86,45.0099983,46.86,10505800
2019-02-08,46.25,48.33,46.0099983,48.27,6471200
2019-02-11,48.27,48.38,45.02,46.98,13511000
2019-02-12,47.35,49.34,47.02,49.21,9823200
2019-02-13,49.3,50.56,48.9,50.2,7000400
2019-02-14,49.49,52.0,49.33,50.97,10047600
2019-02-15,51.72,52.23,50.81,52.080002,7162300
2019-02-19,52.67,55.27,52.27,53.22,14485600
2019-02-20,54.29,54.49,52.66,53.64,10739900
2019-02-21,53.8,53.9,51.141,51.48,16876300
2019-02-22,55.09,64.92,54.5,64.47,48341700
2019-02-25,64.83,67.43,63.22,64.87,22283400
2019-02-26,63.65,66.97,63.34,65.080002,12994400
2019-02-27,65.0,67.6,64.66,67.37,9676500
2019-02-28,67.92,68.0,65.28,66.29,8149100
2019-03-01,67.18,69.89,66.76,69.080002,10741700
2019-03-04,69.37,69.707,64.63,67.050003,15844900
