DateTime,Open,High,Low,Close,Volume
2000-01-04,1.8333,1.9167,1.75,1.8333,110250
2000-01-05,1.7917,1.8333,1.75,1.7917,74100
2000-01-06,1.7917,1.875,1.75,1.8333,138000
2000-01-07,1.875,1.875,1.7917,1.8333,111450
2000-01-10,1.8333,1.875,1.7917,1.7917,67650
2000-01-11,1.7917,1.7917,1.75,1.75,82650
2000-01-12,1.75,1.75,1.7083,1.7083,179550
2000-01-13,1.7083,1.8333,1.7083,1.8333,203700
2000-01-14,1.8333,1.9583,1.7917,1.9583,199650
2000-01-18,2.0,2.2083,2.0,2.125,288000
2000-01-19,2.0833,2.2917,2.0833,2.1667,265050
2000-01-20,2.2083,2.2083,2.0417,2.0833,189000
2000-01-21,2.0417,2.0417,1.875,1.9583,244800
2000-01-24,1.9583,2.0,1.875,1.875,175050
2000-01-25,1.875,2.0,1.875,1.9583,105450
2000-01-26,1.9583,1.9583,1.8333,1.9167,172950
2000-01-27,1.8333,1.875,1.7917,1.8333,135900
2000-01-28,1.7917,1.8333,1.75,1.7917,85950
2000-01-31,1.7917,1.8333,1.75,1.7917,72450
2000-02-01,1.8333,1.9167,1.7917,1.875,112200
2000-02-02,1.875,1.9167,1.8333,1.8333,144900
2000-02-03,1.8333,1.875,1.7917,1.8333,205050
2000-02-04,1.875,1.875,1.7917,1.8333,177150
2000-02-07,1.8333,1.8333,1.7917,1.8333,59700
2000-02-08,1.7917,1.7917,1.7083,1.7917,149400
2000-02-09,1.75,1.75,1.7083,1.75,105000
2000-02-10,1.75,1.75,1.6667,1.7083,232800
2000-02-11,1.7083,1.7917,1.6667,1.7083,380850
2000-02-14,1.7083,1.7083,1.5,1.5417,540000
2000-02-15,1.5417,1.625,1.5,1.5417,174600
2000-02-16,1.5417,1.625,1.5,1.625,503250
2000-02-17,1.625,1.625,1.5,1.5417,490350
2000-02-18,1.5417,1.5833,1.375,1.375,734700
2000-02-22,1.4167,1.5,1.375,1.4167,296100
2000-02-23,1.4167,1.4167,1.2917,1.3333,412800
2000-02-24,1.3333,1.375,1.2917,1.3333,329550
2000-02-25,1.3333,1.3333,1.2917,1.2917,364050
2000-02-28,1.2917,1.3333,1.2917,1.2917,336900
2000-02-29,1.3333,1.3333,1.2917,1.3333,266250
2000-03-01,1.3333,1.5,1.2917,1.4583,1135200
2000-03-02,1.4583,1.7083,1.4583,1.6667,1399800
2000-03-03,1.6667,1.8333,1.5833,1.5833,789000
