DateTime,Open,High,Low,Close,Volume
2015-08-06,11.0,11.2,8.23,8.77,3570400
2015-08-07,9.19,10.2,8.77,10.14,1623800
2015-08-10,10.73,10.73,10.0,10.12,435900
2015-08-11,10.0,10.03,9.5,9.79,349700
2015-08-12,9.68,10.4,9.653,10.35,498200
2015-08-13,10.07,10.338,10.05,10.12,397500
2015-08-14,10.01,10.17,9.73,10.04,410600
2015-08-17,10.04,10.26,9.96,10.13,346000
2015-08-18,10.0,10.34,10.0,10.24,277700
2015-08-19,10.3,11.03,10.173,10.73,573000
2015-08-20,10.55,10.74,10.0,10.52,321400
2015-08-21,10.2,10.56,9.81,9.9,394900
2015-08-24,9.39,9.39,8.5,9.16,1052300
2015-08-25,9.68,10.21,9.65,9.9,834000
2015-08-26,10.03,10.8,9.99,10.78,791000
2015-08-27,10.91,11.14,10.83,11.0,569400
2015-08-28,11.18,11.85,10.95,11.62,450500
2015-08-31,11.86,12.24,11.4,11.88,617300
2015-09-01,11.49,12.0,11.25,11.86,745700
2015-09-02,12.0,12.15,10.5,11.59,510100
2015-09-03,11.48,11.9,11.1,11.64,219800
2015-09-04,11.56,11.63,11.03,11.56,171500
2015-09-08,12.0,12.0,10.91,11.55,709000
2015-09-09,11.75,11.9,11.15,11.39,334800
2015-09-10,11.44,11.87,11.44,11.69,368600
2015-09-11,11.5,11.69,11.25,11.5,427300
2015-09-14,11.41,11.51,10.94,11.25,405500
2015-09-15,11.18,11.495,11.0,11.49,346700
2015-09-16,11.4,11.5,11.0,11.31,323100
2015-09-17,11.24,11.64,11.24,11.4,314400
2015-09-18,11.3,11.9,11.11,11.58,1343300
2015-09-21,11.69,11.9,11.33,11.74,299600
2015-09-22,11.6,11.9,11.25,11.39,432000
2015-09-23,11.75,11.75,10.97,11.01,287000
2015-09-24,10.88,11.0,10.74,10.81,268600
2015-09-25,10.88,11.32,10.79,11.13,351600
2015-09-28,11.04,11.34,10.01,10.06,590300
2015-09-29,10.14,10.43,9.53,9.81,1040800
2015-09-30,9.9,10.74,9.71,10.37,3454500
2015-10-01,10.38,11.08,9.98,10.3,491900
2015-10-02,10.13,10.69,9.94,10.51,288300
2015-10-05,10.71,10.97,10.51,10.66,290300
2015-10-06,10.65,11.23,10.64,11.05,337200
2015-10-07,11.08,11.47,10.57,11.19,448100
2015-10-08,11.29,11.41,11.0,11.39,137900
2015-10-09,11.42,11.6,11.22,11.26,183600
2015-10-12,11.31,11.31,10.75,10.78,144300
2015-10-13,10.67,10.93,10.58,10.69,156700
2015-10-14,10.65,10.96,10.54,10.74,196300
2015-10-15,10.85,11.0,10.36,10.6,265800
2015-10-16,10.68,10.7,10.31,10.34,157900
2015-10-19,10.28,10.34,9.65,9.81,338400
2015-10-20,9.81,9.85,9.48,9.5,219400
2015-10-21,9.5,9.57,8.52,8.94,597300
2015-10-22,9.03,9.19,8.81,8.9,605400
2015-10-23,8.84,9.34,8.834,9.08,398500
2015-10-26,9.03,9.23,8.9,9.21,168800
2015-10-27,9.13,9.4,8.89,9.04,260300
2015-10-28,9.05,9.435,9.05,9.42,208100
2015-10-29,9.22,9.39,8.88,8.91,214300
2015-10-30,8.81,8.83,7.0,7.41,2015100
2015-11-02,7.37,7.58,7.11,7.36,603200
2015-11-03,7.37,7.7,7.19,7.52,851700
2015-11-04,7.68,7.92,7.5,7.71,754300
2015-11-05,7.8,8.11,7.72,8.07,307600
2015-11-06,8.02,8.1,7.57,7.82,293600
2015-11-09,8.29,8.29,7.55,7.73,199000
2015-11-10,7.67,7.93,7.25,7.27,394700
2015-11-11,7.24,7.45,6.87,6.99,536300
2015-11-12,6.99,6.99,6.36,6.58,505400
2015-11-13,6.39,7.93,6.39,7.31,989200
2015-11-16,7.4,7.4,6.84,7.0,624100
2015-11-17,7.04,7.25,6.51,6.72,1087700
2015-11-18,6.8,7.01,6.36,6.55,561600
2015-11-19,6.51,6.784,6.45,6.5,363900
2015-11-20,6.59,6.74,6.51,6.67,366600
2015-11-23,6.62,6.959,6.56,6.6,384600
2015-11-24,6.59,6.82,6.59,6.74,476400
2015-11-25,6.7,6.84,6.6,6.75,476000
2015-11-27,6.81,7.41,6.81,7.22,445700
2015-11-30,7.23,7.285,6.61,6.65,557300
2015-12-01,6.7,7.14,6.53,7.05,351600
2015-12-02,7.05,7.46,6.913,7.39,620900
2015-12-03,7.52,8.35,7.52,7.95,1041500
2015-12-04,7.95,8.035,7.66,7.85,436100
2015-12-07,7.79,8.37,7.735,7.91,439800
2015-12-08,8.11,8.11,7.625,7.77,388900
2015-12-09,7.79,8.035,7.548,7.71,333600
2015-12-10,7.6,7.83,7.56,7.57,364800
2015-12-11,7.46,8.02,7.46,7.86,450900
2015-12-14,7.95,9.38,7.83,9.1,940800
2015-12-15,9.26,11.29,9.16,9.49,2054200
2015-12-16,11.17,12.17,10.89,11.63,3501200
2015-12-17,12.85,13.3,11.79,12.71,3608200
2015-12-18,12.45,13.95,11.95,13.74,3045300
2015-12-21,14.15,14.95,13.13,13.4,3150800
2015-12-22,13.45,13.65,11.41,11.6,2507000
2015-12-23,11.95,12.36,11.55,11.88,1104200
2015-12-24,11.69,12.47,11.6,12.19,385000
2015-12-28,12.11,12.38,11.6,11.67,637500
2015-12-29,11.79,12.05,11.07,11.7,626600
2015-12-30,11.65,12.07,11.45,11.72,317100
2015-12-31,11.76,11.95,11.64,11.77,319100
2016-01-04,11.27,11.49,11.08,11.21,576800
2016-01-05,10.88,11.0,9.42,9.61,1947000
2016-01-06,9.27,10.38,9.078,10.2,3534100
2016-01-07,9.8,9.97,9.16,9.21,1694700
2016-01-08,9.35,9.95,9.25,9.75,552500
2016-01-11,9.65,9.7,9.08,9.31,577600
2016-01-12,9.35,9.5,8.4,8.67,598600
2016-01-13,8.6,8.76,8.032,8.25,796500
2016-01-14,8.08,8.55,7.78,8.0,1156400
2016-01-15,7.75,7.9,7.26,7.75,903100
2016-01-19,7.83,7.89,7.3,7.4,743500
2016-01-20,7.25,9.205,6.94,8.54,1686000
2016-01-21,8.62,9.07,8.455,8.97,1195800
2016-01-22,9.37,9.7,8.53,8.79,1037100
2016-01-25,8.78,8.85,8.14,8.41,600000
2016-01-26,8.48,9.08,8.2,8.73,712900
2016-01-27,8.65,8.73,8.22,8.34,579400
2016-01-28,8.43,10.19,8.43,10.05,1066300
2016-01-29,10.15,10.169,9.4,9.52,859800
2016-02-01,9.62,9.62,8.63,8.94,776800
2016-02-02,8.83,8.83,8.16,8.34,534000
2016-02-03,8.44,8.57,7.83,8.1,435200
2016-02-04,8.2,8.3,7.82,8.05,520000
2016-02-05,8.05,8.14,7.774,7.96,600100
2016-02-08,7.87,7.94,7.37,7.6,538400
2016-02-09,7.51,7.58,6.87,7.2,658700
2016-02-10,6.38,6.79,5.92,6.07,2068300
2016-02-11,5.6,5.82,4.995,5.08,1419200
2016-02-12,5.31,5.52,5.0,5.04,1302000
2016-02-16,5.06,5.72,4.855,4.96,1485500
2016-02-17,5.04,5.97,5.02,5.33,1618400
2016-02-18,5.45,5.935,5.24,5.63,1167400
2016-02-19,5.57,5.72,5.22,5.41,954100
2016-02-22,5.5,5.69,5.03,5.06,634900
2016-02-23,5.08,5.27,4.97,5.16,694900
2016-02-24,5.09,5.26,4.9,5.06,644500
2016-02-25,5.08,5.47,5.08,5.3,463100
2016-02-26,5.37,5.65,5.33,5.51,500200
2016-02-29,5.59,5.83,5.5,5.62,671200
2016-03-01,5.67,5.85,5.13,5.47,1059400
2016-03-02,5.49,6.6,5.36,6.1,1695400
2016-03-03,6.04,6.6,6.0,6.4,1337900
2016-03-04,6.5,6.75,6.12,6.21,1447300
2016-03-07,6.22,6.84,6.2,6.6,1491100
2016-03-08,6.66,6.78,6.53,6.68,638500
2016-03-09,6.74,6.87,6.25,6.65,977900
2016-03-10,6.87,7.24,6.7,7.15,1567600
2016-03-11,6.16,6.56,6.01,6.355,3284400
2016-03-14,6.38,6.79,6.15,6.36,1475100
2016-03-15,6.26,6.465,6.2,6.31,742200
2016-03-16,6.23,6.66,6.21,6.63,582700
2016-03-17,6.65,6.95,6.617,6.895,603800
2016-03-18,6.99,7.08,6.62,6.69,3078600
2016-03-21,6.89,6.89,6.54,6.72,647500
2016-03-22,6.73,6.768,6.5,6.57,729300
2016-03-23,6.51,6.59,6.18,6.36,1044500
2016-03-24,6.13,6.33,6.0,6.24,828300
2016-03-28,6.31,6.51,6.21,6.47,717800
2016-03-29,6.41,6.55,6.24,6.4,839500
2016-03-30,6.42,6.6,6.42,6.47,872000
2016-03-31,6.48,6.54,6.25,6.48,702400
2016-04-01,6.37,6.53,6.29,6.44,546700
2016-04-04,6.47,6.53,6.28,6.3,816300
2016-04-05,6.3,6.6,6.19,6.57,882600
2016-04-06,6.6,7.0,6.565,6.965,820300
2016-04-07,6.97,7.18,6.63,6.78,835000
2016-04-08,6.9,6.98,6.66,6.75,997700
2016-04-11,6.69,6.89,6.65,6.74,711700
2016-04-12,6.72,6.885,6.655,6.74,365500
2016-04-13,6.68,6.9,6.68,6.87,325900
2016-04-14,6.83,7.367,6.83,7.15,645400
2016-04-15,7.1,7.27,6.97,7.04,411600
2016-04-18,6.99,7.18,6.87,7.09,946100
2016-04-19,7.15,7.23,6.99,7.02,1297200
2016-04-20,6.99,7.38,6.96,7.27,668600
2016-04-21,7.3,7.9,7.26,7.76,984700
2016-04-22,7.82,8.04,7.71,7.91,1106300
2016-04-25,7.9,8.02,7.55,7.6,444900
2016-04-26,7.56,7.76,7.4,7.7,321400
2016-04-27,7.72,8.41,7.605,8.39,825600
2016-04-28,8.25,8.45,7.965,8.02,704900
2016-04-29,8.02,8.02,7.689,7.88,473300
2016-05-02,7.83,8.08,7.49,7.97,1208100
2016-05-03,7.93,8.08,7.531,7.59,580600
2016-05-04,7.64,7.91,7.44,7.47,1051100
2016-05-05,7.52,7.77,7.21,7.27,1170100
2016-05-06,7.25,7.54,7.19,7.5,498500
2016-05-09,7.52,7.55,7.16,7.39,611200
2016-05-10,7.07,7.2,6.3,6.37,1710800
2016-05-11,6.36,6.65,6.35,6.37,682500
2016-05-12,6.39,6.53,6.09,6.15,664400
2016-05-13,7.17,7.17,6.4,6.61,3046200
2016-05-16,6.34,6.46,5.89,6.35,3101700
2016-05-17,6.1,6.34,5.8,6.02,3680400
2016-05-18,5.98,6.18,5.83,6.04,1458700
2016-05-19,6.0,6.15,5.92,6.08,950900
2016-05-20,6.07,6.15,5.98,6.11,795000
2016-05-23,6.06,6.45,6.0,6.35,930900
2016-05-24,6.39,6.49,6.22,6.34,668100
2016-05-25,6.34,6.37,6.23,6.29,863900
2016-05-26,6.3,6.44,6.26,6.36,386200
2016-05-27,6.41,6.68,6.302,6.41,1339500
2016-05-31,6.37,6.6,6.22,6.34,1146900
2016-06-01,6.29,6.29,6.15,6.24,580400
2016-06-02,6.23,6.31,6.15,6.31,388800
2016-06-03,6.3,6.31,6.02,6.07,568400
2016-06-06,6.1,6.535,6.1,6.44,775700
2016-06-07,6.38,6.46,6.25,6.43,816700
2016-06-08,6.47,6.59,6.44,6.52,743800
2016-06-09,6.49,6.59,6.39,6.43,405900
2016-06-10,6.4,6.51,6.24,6.3,831100
2016-06-13,6.26,6.41,5.915,6.06,1096300
2016-06-14,5.93,6.19,5.86,5.91,1169200
2016-06-15,5.88,6.25,5.83,6.01,608200
2016-06-16,5.97,6.11,5.9,6.03,637500
2016-06-17,6.06,6.34,5.98,6.02,1084000
2016-06-20,6.0,6.33,6.0,6.18,643400
2016-06-21,6.3,6.3,6.02,6.23,758700
2016-06-22,6.34,6.38,5.83,5.9,984300
2016-06-23,5.88,6.06,5.72,5.89,1192000
2016-06-24,5.6,5.73,5.27,5.59,5804200
2016-06-27,5.53,5.59,5.11,5.22,1572400
