DateTime,Open,High,Low,Close,Volume
2014-07-21,29.41,30.7,29.2,30.0,329600
2014-07-22,29.9,30.75,27.5,27.59,228600
2014-07-23,27.77,27.77,26.67,27.5,74100
2014-07-24,27.5,27.7,26.83,27.14,45900
2014-07-25,27.0,27.315,26.19,26.44,43000
2014-07-28,27.16,27.16,24.63,25.89,56900
2014-07-29,25.82,25.99,24.25,25.86,44000
2014-07-30,25.94,27.86,25.6,27.6,81500
2014-07-31,27.5,28.22,26.65,28.22,86200
2014-08-01,28.42,32.8,25.75,29.75,107100
2014-08-04,29.84,30.76,28.5,30.25,195100
2014-08-05,29.99,30.21,28.5,29.08,76600
2014-08-06,28.78,30.28,28.7,30.11,23100
2014-08-07,30.11,30.45,29.7,29.82,50500
2014-08-08,30.49,30.49,29.65,29.96,53200
2014-08-11,29.8,34.88,29.2,33.4,32500
2014-08-12,33.53,33.765,30.0,31.81,52400
2014-08-13,31.51,32.0,29.54,29.58,38400
2014-08-14,29.98,29.98,27.73,28.81,30800
2014-08-15,28.34,28.99,26.53,27.28,28600
2014-08-18,27.36,27.42,25.46,27.0,22100
2014-08-19,27.0,29.97,27.0,29.43,25000
2014-08-20,29.45,30.04,28.23,29.14,23200
2014-08-21,29.05,29.39,28.651,29.0,16500
2014-08-22,29.0,29.78,29.0,29.0,10200
2014-08-25,29.0,31.65,29.0,29.17,9800
2014-08-26,29.04,29.87,29.04,29.76,9100
2014-08-27,29.32,29.65,28.51,29.08,39000
2014-08-28,28.77,29.5,28.77,29.43,43100
2014-08-29,29.16,29.45,28.5,28.92,11000
2014-09-02,28.81,30.0,27.6,29.59,33700
2014-09-03,29.58,30.14,29.58,30.03,19200
2014-09-04,30.0,30.0,28.972,29.25,6900
2014-09-05,28.34,29.06,28.09,28.79,24300
2014-09-08,28.96,29.0,26.38,27.39,35500
2014-09-09,27.59,29.8,26.82,28.95,31400
2014-09-10,28.49,30.0,27.51,29.4,8900
2014-09-11,31.11,31.11,28.7,29.8,24600
2014-09-12,29.01,29.49,28.13,28.56,16500
2014-09-15,28.69,29.07,27.771,28.74,44400
2014-09-16,28.71,29.1,26.271,28.59,36500
2014-09-17,27.5,27.96,27.2,27.96,12200
2014-09-18,27.02,29.4,26.88,28.61,25800
2014-09-19,28.3,28.34,27.0,27.07,71800
2014-09-22,27.1,28.43,26.5,26.5,44300
2014-09-23,26.75,30.605,26.5,29.56,118200
2014-09-24,31.28,31.5,28.4,29.58,131800
2014-09-25,29.58,30.26,27.36,29.05,143200
