DateTime,Open,High,Low,Close,Volume
2023-08-17,3.775,13.5133,3.655,13.5133,6900
2023-09-14,3.645,6.0925,2.5667,2.635,951648
2023-09-15,2.6417,2.6417,2.2233,2.2367,356484
2023-09-18,2.1133,2.695,1.8884,2.155,713262
2023-09-19,3.4017,4.1167,2.72,2.9,10429668
2023-09-20,2.4683,2.6333,2.1334,2.3983,842940
2023-09-21,2.1433,2.4417,1.9907,2.3667,316446
2023-09-22,2.275,2.4667,2.1417,2.2367,338568
2023-09-25,2.1938,2.4228,2.125,2.21,153408
2023-09-26,2.165,2.2642,2.0817,2.2083,477144
2023-09-27,2.11,2.3,2.11,2.1917,53292
2023-09-28,2.1,2.395,2.0983,2.2083,258324
2023-09-29,2.2133,2.2817,2.1333,2.1867,190452
2023-10-02,2.2033,2.2667,2.0917,2.15,157074
2023-10-03,2.15,2.15,1.9583,2.0417,50364
2023-10-04,1.8333,2.0,1.6667,1.9183,85182
2023-10-05,1.8917,1.9815,1.845,1.8867,94176
2023-10-06,1.9417,2.0083,1.8158,1.8833,101394
2023-10-09,1.925,1.9333,1.84,1.8567,22176
2023-10-10,1.76,1.8383,1.76,1.7833,13698
2023-10-11,1.7333,2.0146,1.7333,1.8292,113406
2023-10-12,1.8583,1.9075,1.76,1.7683,55842
2023-10-13,1.7967,1.7967,1.7333,1.7333,19428
2023-10-16,1.7483,1.84,1.6783,1.8167,48420
2023-10-17,1.8558,1.9967,1.7692,1.7733,55398
2023-10-18,1.775,1.97,1.775,1.8,97590
2023-10-19,1.875,1.879,1.75,1.879,25218
2023-10-20,1.8783,1.8783,1.8783,1.8783,6456
2023-10-23,1.8333,1.8333,1.7367,1.7367,8880
2023-10-24,1.7367,1.7617,1.6083,1.6667,42066
2023-10-25,1.7118,1.7333,1.6267,1.6508,38454
2023-10-26,1.475,1.5642,1.1917,1.3833,132678
2023-10-27,1.3167,1.5417,1.2342,1.3575,184224
2023-10-30,1.3583,1.6158,1.3333,1.5302,213360
2023-10-31,1.5108,1.5917,1.48,1.5,89028
2023-11-01,1.4667,1.6667,1.4341,1.5833,135438
2023-11-02,1.4733,1.6117,1.465,1.5392,33078
2023-11-03,1.575,1.5833,1.525,1.5833,18036
2023-11-06,1.6633,1.6633,1.4667,1.55,45132
2023-11-07,1.653,1.653,1.6067,1.6333,7980
2023-11-08,1.5017,1.6667,1.5017,1.6117,14796
2023-11-09,1.6567,1.7,1.6567,1.687,12390
2023-11-10,1.8033,2.2933,1.7167,1.7917,569784
2023-11-13,1.6667,1.8333,1.6667,1.75,29862
2023-11-14,1.747,2.0467,1.747,2.0,54000
2023-11-15,1.9667,2.0183,1.79,1.9008,99192
2023-11-16,1.8883,1.9767,1.8883,1.9183,38628
2023-11-17,1.9167,2.0058,1.8667,1.8667,125886
2023-11-20,1.8217,1.95,1.7525,1.83,149052
2023-11-21,1.7033,1.7717,1.655,1.7,134856
2023-11-22,1.6667,1.9133,1.65,1.7767,176712
2023-11-24,1.7767,1.7767,1.6684,1.7,106854
2023-11-27,1.7,1.7821,1.625,1.7042,362742
2023-11-28,1.715,1.8943,1.7117,1.7333,123780
2023-11-29,1.75,1.7967,1.6667,1.6883,78186
2023-11-30,1.6883,1.7398,1.6417,1.665,162330
2023-12-01,1.665,1.7533,1.625,1.6667,90012
2023-12-04,1.6667,1.705,1.6548,1.6833,151020
2023-12-05,1.6583,1.7167,1.6567,1.6833,202086
2023-12-06,1.75,1.8733,1.7467,1.7833,169224
2023-12-07,1.8133,1.8733,1.7871,1.8667,46554
2023-12-08,1.8733,2.3,1.86,2.075,271188
2023-12-11,2.015,2.0967,1.8433,2.0276,154686
2023-12-12,2.055,2.1667,2.0517,2.0667,138882
2023-12-13,2.0667,2.3265,2.0667,2.1667,281580
2023-12-14,2.2683,2.6326,2.155,2.275,250878
2023-12-15,2.3017,2.6667,2.2167,2.4133,684684
2023-12-18,2.4933,2.6543,2.3783,2.4833,214236
2023-12-19,2.4742,3.2417,2.4717,3.1667,404874
2023-12-20,3.0933,3.1667,2.7533,2.8333,349920
2023-12-21,2.8,3.0,2.5,2.9117,268590
2023-12-22,3.1367,4.58,2.875,4.0683,1616886
2023-12-26,4.0833,4.225,3.1117,3.1967,968772
2023-12-27,3.2267,3.6517,3.1033,3.1933,326196
2023-12-28,3.165,3.8317,3.1033,3.2467,428310
2023-12-29,3.345,3.7233,3.25,3.42,816576
2024-01-02,3.5,3.7409,3.4067,3.5667,433152
2024-01-03,3.5667,3.5963,3.4158,3.5333,187050
2024-01-04,3.5333,3.6812,3.3667,3.3667,267288
2024-01-05,3.25,3.33,3.0817,3.2667,437862
2024-01-08,3.0833,3.1269,2.835,3.115,435216
2024-01-09,3.0833,3.0833,2.72,2.8067,263520
2024-01-10,2.75,2.8913,2.705,2.7483,257256
2024-01-11,2.86,3.085,2.7833,2.8333,513378
2024-01-12,2.7867,3.2767,2.7833,3.0433,271278
2024-01-16,3.0433,3.4817,3.0383,3.4583,208932
2024-01-17,3.69,4.1617,3.4717,4.05,400626
2024-01-18,4.1917,5.8317,4.175,5.2717,1261644
2024-01-19,5.3717,6.5,5.1684,6.1433,702594
2024-01-22,6.515,7.0,5.9065,6.135,735726
2024-01-23,6.0833,6.1833,5.3033,5.5633,332406
2024-01-24,5.5617,5.63,5.2117,5.2117,105924
2024-01-25,5.13,5.8829,5.0683,5.5433,181884
2024-01-26,5.6,5.9357,5.5,5.79,98604
2024-01-29,5.905,7.0167,5.8344,6.7,350196
2024-01-30,6.6667,6.9517,6.1683,6.4933,175116
2024-01-31,6.4833,6.555,6.0933,6.3317,81426
2024-02-01,6.2517,8.165,6.245,7.3333,539214
2024-02-02,7.52,7.6433,6.6467,7.0667,235662
2024-02-05,6.8967,7.1366,6.4175,6.4683,416346
2024-02-06,6.415,7.0,6.2683,6.5,301914
2024-02-07,6.5,6.9607,6.5,6.7517,215010
2024-02-08,6.875,7.075,6.7083,7.0567,89442
2024-02-09,7.0833,7.499,6.7585,7.2533,218904
2024-02-12,7.1467,8.2167,7.1467,7.8333,247536
2024-02-13,7.51,7.8533,7.5087,7.6083,64398
2024-02-14,7.8083,8.6767,7.7083,8.1583,148110
2024-02-15,8.1583,8.5817,8.0417,8.0833,82584
2024-02-16,8.3583,8.4583,8.17,8.2967,64782
2024-02-20,8.365,9.6667,8.1667,8.49,453264
2024-02-21,8.6667,8.7167,6.8167,7.7317,216228
2024-02-22,7.5817,8.1667,6.37,6.3767,310488
2024-02-23,6.4183,7.415,6.4183,7.1133,141096
2024-02-26,7.1967,8.3092,7.1967,8.0417,271392
2024-02-27,9.1683,9.9321,8.5,9.65,646578
2024-02-28,10.0,10.0,8.28,8.7517,202512
2024-02-29,8.5,8.5,7.1783,7.81,357144
2024-03-01,7.5017,7.915,7.3,7.5217,184518
2024-03-04,7.445,8.8333,7.445,8.64,561624
2024-03-05,8.5,9.2387,8.35,8.77,359064
2024-03-06,9.08,9.296,8.9433,9.2617,137730
2024-03-07,9.2617,11.3246,8.6334,10.92,486762
2024-03-08,11.2417,11.6633,9.8708,10.1217,287526
2024-03-11,10.0,10.335,8.8733,8.9583,209838
2024-03-12,8.75,10.1242,8.3667,9.815,173022
2024-03-13,9.5133,9.9656,9.3333,9.725,254448
2024-03-14,9.4283,9.9983,9.4283,9.9983,261270
2024-03-15,9.8333,10.1108,8.8558,9.6933,511140
2024-03-18,9.43,9.946,9.1683,9.865,305358
2024-03-19,9.75,10.6317,9.665,10.6317,441948
2024-03-20,10.2583,10.7917,10.2004,10.7483,129912
2024-03-21,10.4683,10.94,10.4683,10.94,126108
2024-03-22,11.1983,12.8942,11.0492,12.5017,888822
2024-03-25,12.2917,13.4742,12.125,13.2083,393144
2024-03-26,13.0,14.9233,13.0,14.5,497514
2024-03-27,15.0,16.6667,14.0147,15.4167,684012
2024-03-28,15.3333,15.3333,12.8333,14.0817,1549704
2024-04-01,13.7917,13.7917,10.085,11.3767,728814
2024-04-02,11.2733,11.2733,10.1667,10.91,269136
2024-04-03,10.8667,12.8606,10.505,12.4633,314982
2024-04-04,12.9133,13.1267,10.6317,10.85,313662
2024-04-05,10.8967,12.1667,10.5,11.3267,160026
2024-04-08,11.4117,12.165,10.8117,12.04,184950
2024-04-09,12.335,13.0583,12.0,12.08,232278
2024-04-10,12.165,12.165,11.0489,11.45,277032
2024-04-11,11.1833,11.8433,11.1168,11.2683,159114
2024-04-12,10.9617,11.775,10.8333,10.8583,162144
2024-04-15,11.1833,11.365,10.5,10.8683,141792
2024-04-16,10.5,10.8833,9.5325,10.0317,320310
2024-04-17,9.6017,11.015,9.5333,10.7267,359808
2024-04-18,10.13,11.2083,9.5608,9.7917,685386
2024-04-19,9.3317,9.9133,8.5167,9.3133,530214
2024-04-22,9.22,9.22,7.955,8.2167,540834
2024-04-23,8.215,9.6008,7.8875,9.3083,730098
