DateTime,Open,High,Low,Close,Volume
2013-08-02,41.07,41.5,38.48,39.98,2108800
2013-08-05,40.07,41.85,39.25,41.13,789500
2013-08-06,41.51,41.51,38.58,39.77,711500
2013-08-07,40.24,40.25,38.63,39.3,1120300
2013-08-08,40.04,40.1,39.0,39.11,472900
2013-08-09,39.0,39.64,38.63,38.84,298400
2013-08-12,38.52,38.83,37.3,37.6,547400
2013-08-13,37.31,38.2,36.71,37.89,559600
2013-08-14,37.98,39.0,37.8,38.9,253300
2013-08-15,38.7,39.33,38.4,39.17,247800
2013-08-16,39.88,40.19,39.2,39.34,666700
2013-08-19,39.5,39.8,38.1,38.36,204800
2013-08-20,38.25,38.41,37.3,38.29,273200
2013-08-21,38.58,38.58,37.12,37.22,204300
2013-08-22,37.11,39.0,37.11,38.59,202600
2013-08-23,41.5,41.75,38.3,39.06,1031000
2013-08-26,39.34,39.88,38.25,38.99,230200
2013-08-27,38.05,38.19,37.75,37.88,267000
2013-08-28,38.38,38.39,37.33,37.47,215200
2013-08-29,37.1,37.5,36.8,37.38,350300
2013-08-30,37.44,38.01,36.23,36.96,574300
2013-09-03,37.66,37.66,36.53,36.75,236400
2013-09-04,36.9,37.03,36.5,36.8,275400
2013-09-05,36.87,37.1,36.8,36.87,220700
2013-09-06,37.11,39.0,36.99,38.84,216400
2013-09-09,39.34,39.34,38.29,39.03,147700
2013-09-10,38.1,39.46,36.87,38.22,593700
2013-09-11,38.28,38.68,37.18,38.21,622500
2013-09-12,38.23,38.7,37.68,38.62,193200
2013-09-13,38.87,39.1,38.65,38.89,124200
2013-09-16,39.25,39.85,39.13,39.43,410900
2013-09-17,39.42,40.32,39.04,39.56,366500
2013-09-18,39.69,40.63,39.69,40.56,289100
2013-09-19,41.0,42.51,41.0,41.86,662400
2013-09-20,42.54,44.75,42.46,42.99,1127200
2013-09-23,44.4,44.56,43.2,44.54,448900
2013-09-24,44.83,45.5,44.52,45.38,330000
2013-09-25,45.5,46.31,43.61,44.23,316100
2013-09-26,44.54,45.58,44.29,44.85,291500
2013-09-27,44.2,45.95,42.06,45.17,630400
2013-09-30,43.71,44.85,43.41,44.39,1398800
2013-10-01,44.21,45.0,43.71,44.94,209200
2013-10-02,45.77,46.37,45.0,46.35,565400
2013-10-03,46.16,46.26,45.6,46.02,362300
2013-10-04,46.07,48.15,46.01,48.12,828000
2013-10-07,47.92,48.0,45.53,45.69,633600
2013-10-08,45.5,45.54,42.11,42.84,1133300
2013-10-09,42.47,44.99,42.24,44.79,734100
2013-10-10,45.46,46.85,45.15,46.48,538000
2013-10-11,46.57,47.92,45.85,46.2,447600
2013-10-14,45.19,47.05,44.86,46.4,414700
2013-10-15,46.5,46.74,45.84,46.42,503100
2013-10-16,46.46,47.26,46.46,47.0,503500
2013-10-17,46.91,47.76,46.5,47.47,416000
2013-10-18,47.98,48.39,47.21,48.1,242500
2013-10-21,48.32,49.34,47.38,49.11,277300
2013-10-22,49.03,49.45,47.25,47.53,204200
2013-10-23,47.28,47.93,45.31,46.22,353300
2013-10-24,46.64,47.32,46.22,46.62,247300
2013-10-25,46.8,47.13,46.11,46.58,151300
2013-10-28,46.44,47.73,46.44,47.54,226300
2013-10-29,47.53,47.71,45.86,46.6,169700
2013-10-30,46.57,47.22,46.06,46.3,234900
2013-10-31,46.31,46.64,45.4,46.06,390800
2013-11-01,45.95,46.11,44.23,45.34,300900
2013-11-04,45.5,47.0,45.07,46.9,245500
2013-11-05,46.78,47.71,46.5,47.45,184800
2013-11-06,47.88,48.1,47.45,48.04,355900
2013-11-07,47.39,47.39,45.62,46.58,1395100
2013-11-08,44.6,48.95,44.21,45.69,825700
2013-11-11,45.49,46.42,44.73,45.14,268900
2013-11-12,45.01,45.8,44.11,44.67,244000
2013-11-13,44.28,44.74,43.68,44.66,363700
2013-11-14,44.63,44.66,43.43,43.65,237000
2013-11-15,43.55,43.68,42.78,43.05,510200
2013-11-18,43.1,43.15,40.51,40.59,561300
2013-11-19,40.0,41.34,39.02,39.66,1115300
2013-11-20,39.62,39.76,37.9,38.18,946200
2013-11-21,38.19,39.3,37.9,38.31,1140400
2013-11-22,39.05,39.1,37.46,37.86,1244100
2013-11-25,37.73,37.86,37.05,37.52,1282600
2013-11-26,36.55,38.05,36.11,38.0,10716200
2013-11-27,38.29,38.79,37.83,38.1,1634900
2013-11-29,38.14,38.23,37.55,37.84,491900
2013-12-02,38.0,38.52,37.65,38.2,2106000
2013-12-03,37.93,38.41,37.68,38.3,911200
2013-12-04,38.4,38.61,37.87,38.3,807300
2013-12-05,38.15,38.27,37.51,37.58,629500
2013-12-06,38.0,38.06,37.69,37.85,671500
2013-12-09,38.0,38.0,37.44,37.49,804400
2013-12-10,37.34,37.62,36.55,36.6,684500
2013-12-11,37.25,37.45,36.61,36.89,1403200
2013-12-12,37.0,37.0,36.49,36.56,864000
2013-12-13,36.73,36.98,36.29,36.29,601500
2013-12-16,36.87,36.93,35.94,36.01,730800
2013-12-17,36.19,37.15,35.58,37.06,1059500
2013-12-18,36.67,37.55,36.5,37.44,857600
2013-12-19,37.18,37.6,37.02,37.57,680000
2013-12-20,37.02,37.9,37.02,37.81,1704100
2013-12-23,37.86,37.9,37.65,37.81,361800
2013-12-24,37.67,38.15,37.63,37.97,192900
2013-12-26,38.0,38.47,37.92,38.23,290100
2013-12-27,38.3,38.46,37.85,38.19,864400
2013-12-30,38.03,38.38,37.59,38.03,359700
2013-12-31,37.91,38.5,37.8,38.43,424300
2014-01-02,38.18,38.5,37.28,37.51,526300
2014-01-03,37.43,37.86,36.66,37.6,797600
2014-01-06,37.57,37.77,36.14,36.79,1140000
2014-01-07,36.89,37.83,36.8,37.52,630400
2014-01-08,37.42,38.63,37.29,38.45,579200
2014-01-09,38.4,38.6,36.62,38.2,1271700
2014-01-10,38.11,38.43,37.89,38.34,716100
2014-01-13,38.16,39.74,37.25,37.65,1128900
2014-01-14,37.8,39.85,37.69,39.63,1162100
2014-01-15,39.67,40.06,38.9,39.23,988300
2014-01-16,39.31,40.09,38.85,39.55,659400
2014-01-17,39.34,39.57,37.61,38.06,477700
2014-01-21,38.43,38.6,37.12,37.35,842200
2014-01-22,37.48,37.85,37.14,37.7,318300
2014-01-23,37.6,37.6,36.95,37.15,478600
2014-01-24,36.89,37.4,35.33,35.56,1141600
2014-01-27,35.69,36.68,35.21,36.28,786800
2014-01-28,36.32,36.48,35.52,35.55,518800
2014-01-29,35.22,35.69,34.93,35.15,677600
2014-01-30,35.38,35.52,34.81,35.1,769400
2014-01-31,34.8,36.12,34.5,35.74,670400
2014-02-03,35.55,36.09,34.39,34.63,1135800
2014-02-04,34.95,36.15,34.72,34.98,813900
2014-02-05,35.24,35.24,34.55,34.91,387600
2014-02-06,34.94,35.64,34.56,35.28,668300
2014-02-07,35.2,35.81,34.85,35.06,951300
2014-02-10,35.25,35.25,34.37,34.62,803700
2014-02-11,34.96,34.96,34.27,34.59,894400
2014-02-12,34.82,35.25,34.66,35.04,1092600
2014-02-13,34.19,34.92,34.04,34.85,1049200
2014-02-14,34.93,35.16,34.6,35.0,605900
2014-02-18,34.95,35.75,34.84,35.5,726700
2014-02-19,35.38,36.55,35.38,36.44,536400
2014-02-20,36.62,36.96,35.85,35.98,484300
2014-02-21,35.75,36.43,35.65,35.95,457800
2014-02-24,36.05,36.44,35.55,35.93,410000
2014-02-25,35.87,36.2,35.71,35.96,490900
2014-02-26,36.48,37.53,36.02,36.85,843400
2014-02-27,37.16,37.67,36.76,37.46,1117900
2014-02-28,38.42,39.98,37.39,38.97,3161200
2014-03-03,38.35,39.07,38.02,38.51,819500
2014-03-04,39.04,39.22,38.51,39.01,874600
2014-03-05,38.97,39.58,38.61,39.24,591500
2014-03-06,39.49,39.72,38.69,39.0,363700
2014-03-07,39.0,39.1,38.52,38.66,399000
2014-03-10,38.73,38.74,37.78,37.9,629400
2014-03-11,37.96,38.09,37.02,37.1,973300
2014-03-12,36.83,38.4,36.8,38.12,1423600
2014-03-13,38.2,38.54,37.95,38.5,1043700
2014-03-14,38.46,38.55,37.78,37.95,707100
2014-03-17,38.03,38.35,37.47,37.83,598700
2014-03-18,37.03,37.33,35.86,37.16,1859800
2014-03-19,37.01,37.7,36.95,37.31,679200
2014-03-20,37.22,37.66,36.83,37.13,326700
2014-03-21,37.14,37.37,36.68,36.96,577400
2014-03-24,36.93,36.97,35.76,35.94,703500
2014-03-25,36.26,36.49,35.38,35.49,606400
2014-03-26,36.85,37.15,34.91,35.28,1751400
2014-03-27,35.0,35.0,33.92,34.17,1425700
2014-03-28,34.87,36.55,34.75,36.47,5638100
2014-03-31,36.4,36.54,35.78,36.03,1151900
2014-04-01,36.06,37.44,35.8,37.21,1032300
2014-04-02,37.19,38.14,36.64,38.12,1101800
