DateTime,Open,High,Low,Close,Volume
2021-11-19,45.5,53.222,43.23,53.0,2766900
2021-11-22,51.52,51.8,44.113,44.38,1659000
2021-11-23,44.84,46.82,39.0,39.38,1678800
2021-11-24,38.0,43.35,37.5,41.01,2234600
2021-11-26,40.0,40.554,38.19,40.05,438200
2021-11-29,40.94,42.27,39.61,41.75,442700
2021-11-30,41.9,44.22,38.18,38.18,541400
2021-12-01,38.5,38.9,32.57,32.66,1546800
2021-12-02,33.54,33.92,29.9,30.67,3044500
2021-12-03,30.4,31.32,24.33,24.82,3628800
2021-12-06,25.6,27.45,24.66,27.42,1943300
2021-12-07,28.52,31.6,27.6,30.9,1582700
2021-12-08,31.16,34.49,30.8,33.0,1441800
2021-12-09,33.0,33.259,30.2,30.46,988500
2021-12-10,30.5,32.5,30.0,31.94,834900
2021-12-13,32.7,33.85,28.66,29.52,987000
2021-12-14,29.5,30.599,28.36,29.75,855900
2021-12-15,30.18,31.83,29.15,30.81,380700
2021-12-16,31.26,31.5,28.61,30.06,1251200
2021-12-17,29.0,30.29,27.39,27.95,1371100
2021-12-20,26.82,28.42,26.06,27.14,735500
2021-12-21,27.16,28.9,26.08,28.8,754600
2021-12-22,28.8,32.49,28.6,29.81,1125500
2021-12-23,29.5,32.32,29.5,31.36,458700
2021-12-27,31.17,36.33,31.13,35.03,1308300
2021-12-28,34.88,34.88,30.51,30.84,990300
2021-12-29,30.61,33.03,29.65,31.39,475900
2021-12-30,31.8,34.43,31.25,32.02,503600
2021-12-31,32.0,33.44,31.55,32.0,388100
2022-01-03,32.66,32.77,30.95,31.48,614900
2022-01-04,31.3,32.07,28.78,30.31,926700
2022-01-05,30.0,30.46,25.63,26.05,1536300
2022-01-06,26.71,27.457,24.89,26.99,1515400
2022-01-07,26.21,27.51,25.08,27.05,970300
2022-01-10,26.53,27.68,25.52,27.22,783900
2022-01-11,27.22,28.51,26.96,27.41,411800
2022-01-12,27.86,28.91,27.16,27.91,577700
