Unnamed: 0,DateTime,Open,High,Low,Close,Volume
0.0,2020-01-02,16.84,16.9,16.7507,16.81,13492427
1.0,2020-01-03,16.92,16.95,16.8,16.84,13528880
2.0,2020-01-06,17.17,17.18,16.8201,16.94,18069216
3.0,2020-01-07,16.98,17.21,16.93,17.17,16001211
4.0,2020-01-08,17.16,17.1885,16.86,16.93,29947704
5.0,2020-01-09,16.72,16.76,16.62,16.72,14807326
6.0,2020-01-10,16.8,16.9566,16.78,16.89,9406627
7.0,2020-01-13,16.84,16.85,16.73,16.78,10658665
8.0,2020-01-14,16.6,16.68,16.54,16.62,12185319
9.0,2020-01-15,16.73,16.85,16.705,16.81,10948914
10.0,2020-01-16,16.78,16.825,16.72,16.77,8376483
11.0,2020-01-17,16.83,16.89,16.74,16.82,12339229
12.0,2020-01-21,16.5,16.71,16.46,16.64,13645125
13.0,2020-01-22,16.71,16.75,16.62,16.66,7441784
14.0,2020-01-23,16.58,16.69,16.56,16.61,10803413
15.0,2020-01-24,16.69,16.95,16.675,16.91,16075049
16.0,2020-01-27,17.04,17.06,16.84,16.89,11885598
17.0,2020-01-28,16.58,16.605,16.28,16.32,27626330
18.0,2020-01-29,16.28,16.43,16.27,16.41,9629913
19.0,2020-01-30,16.73,16.85,16.59,16.68,22673756
20.0,2020-01-31,16.69,16.9,16.68,16.82,17223371
21.0,2020-02-03,16.61,16.6161,16.43,16.5,17770561
22.0,2020-02-04,16.52,16.5399,16.3642,16.45,13522262
23.0,2020-02-05,16.45,16.4811,16.39,16.46,8713851
24.0,2020-02-06,16.65,16.66,16.55,16.63,10583480
25.0,2020-02-07,16.61,16.64,16.47,16.54,11066421
26.0,2020-02-10,16.59,16.66,16.54,16.61,7382747
27.0,2020-02-11,16.54,16.55,16.4,16.48,10832680
28.0,2020-02-12,16.35,16.4,16.3,16.33,10358679
29.0,2020-02-13,16.53,16.55,16.45,16.46,7589232
30.0,2020-02-14,16.61,16.616,16.54,16.56,8611213
31.0,2020-02-18,16.78,17.02,16.73,17.01,18508009
32.0,2020-02-19,17.04,17.24,16.99,17.23,16491213
33.0,2020-02-20,17.09,17.2,17.07,17.14,13454324
34.0,2020-02-21,17.27,17.41,17.24,17.28,18341673
35.0,2020-02-24,17.56,17.69,17.3,17.4,29339006
36.0,2020-02-25,17.13,17.2,16.665,16.71,42614665
37.0,2020-02-26,16.7,16.8199,16.6,16.68,22378768
38.0,2020-02-27,16.79,16.84,16.45,16.47,40098566
39.0,2020-02-28,15.89,15.89,15.28,15.53,68672694
40.0,2020-03-02,15.61,15.7093,15.53,15.56,29297880
41.0,2020-03-03,15.73,16.31,15.7,16.02,51453112
42.0,2020-03-04,16.01,16.105,15.94,16.09,15904610
43.0,2020-03-05,16.12,16.3,16.1,16.3,16083992
44.0,2020-03-06,16.24,16.26,15.89,16.18,27540452
45.0,2020-03-09,15.78,15.95,15.63,15.88,34388951
46.0,2020-03-10,15.88,15.89,15.685,15.73,26387324
47.0,2020-03-11,15.8,15.86,15.55,15.63,26575224
48.0,2020-03-12,15.0,15.125,14.4835,14.62,60548668
49.0,2020-03-13,14.67,14.69,13.47,13.69,66735961
50.0,2020-03-16,11.83,12.41,11.675,12.0,56056818
51.0,2020-03-17,11.64,12.38,11.52,11.88,55691236
52.0,2020-03-18,11.44,11.62,10.86,11.21,63234614
53.0,2020-03-19,11.34,11.44,11.04,11.32,52642205
54.0,2020-03-20,11.72,11.925,11.5201,11.62,41231773
55.0,2020-03-23,11.97,12.39,11.87,12.31,47133090
56.0,2020-03-24,13.23,13.38,12.87,13.29,41209447
57.0,2020-03-25,13.26,13.6499,13.19,13.51,40503419
58.0,2020-03-26,13.59,13.71,13.35,13.53,35076445
59.0,2020-03-27,13.51,13.53,13.29,13.44,19555558
60.0,2020-03-30,13.06,13.27,12.88,13.16,26617549
61.0,2020-03-31,13.12,13.32,12.95,13.05,23214822
62.0,2020-04-01,13.0,13.14,12.87,13.02,17824215
63.0,2020-04-02,13.42,13.5902,13.345,13.53,20635356
64.0,2020-04-03,13.48,13.5401,13.33,13.46,15810613
65.0,2020-04-06,13.57,14.09,13.47,14.03,33922460
66.0,2020-04-07,14.21,14.23,13.87,13.99,22812226
67.0,2020-04-08,14.03,14.075,13.87,13.94,14213736
68.0,2020-04-09,14.31,14.519,14.185,14.34,30312880
69.0,2020-04-13,14.19,14.49,14.13,14.4,19793734
70.0,2020-04-14,14.58,14.795,14.46,14.65,25722507
71.0,2020-04-15,14.49,14.5,14.25,14.49,18239744
72.0,2020-04-16,14.37,14.51,14.18,14.51,19663949
73.0,2020-04-17,14.27,14.31,14.07,14.15,17462355
74.0,2020-04-20,14.2,14.4,14.19,14.26,18226835
75.0,2020-04-21,13.66,13.915,13.55,13.88,24274267
76.0,2020-04-22,14.01,14.14,13.925,14.09,19268559
77.0,2020-04-23,14.25,14.41,14.085,14.21,21764503
78.0,2020-04-24,14.28,14.325,14.01,14.21,15131773
79.0,2020-04-27,14.21,14.23,14.01,14.21,11423497
80.0,2020-04-28,14.19,14.19,13.97,14.1,11221280
81.0,2020-04-29,14.18,14.36,14.07,14.28,16889543
82.0,2020-04-30,14.07,14.17,13.76,13.98,26829126
