DateTime,Open,High,Low,Close,Volume
2002-11-21,12.8,12.94,12.7,12.94,180200
2002-11-22,12.935,13.01,12.775,13.005,197200
2002-11-25,12.925,12.93,12.775,12.875,213000
2002-11-26,12.875,12.875,12.65,12.7,104600
2002-11-27,12.7,12.75,12.65,12.75,133800
2002-11-29,12.775,12.775,12.575,12.645,69600
2002-12-02,12.645,13.1,12.645,13.095,285600
2002-12-03,13.115,13.265,13.0,13.105,604000
2002-12-04,13.05,13.235,12.975,13.025,123200
2002-12-05,13.05,13.125,12.96,12.96,491200
2002-12-06,12.925,13.02,12.925,13.0,196800
2002-12-09,12.925,13.375,12.925,13.285,327400
2002-12-10,13.285,13.545,13.175,13.45,551800
2002-12-11,13.475,13.475,13.275,13.275,118600
2002-12-12,13.35,13.495,13.175,13.45,281200
2002-12-13,13.49,13.675,13.35,13.5,197800
2002-12-16,13.5,13.5,13.125,13.235,221600
2002-12-17,13.275,13.3,12.665,12.7,331800
2002-12-18,12.6,12.6,12.305,12.47,407000
2002-12-19,12.475,12.495,12.175,12.2,271400
2002-12-20,12.25,12.66,12.2,12.43,1631400
2002-12-23,12.25,12.88,12.25,12.855,288000
2002-12-24,12.775,12.875,12.705,12.74,151000
2002-12-26,12.765,12.775,12.525,12.58,103600
2002-12-27,12.625,12.65,12.335,12.425,90200
2002-12-30,12.375,12.6,12.3,12.5,158200
2002-12-31,12.5,12.575,12.255,12.5,405200
2003-01-02,12.5,12.925,12.5,12.825,439000
2003-01-03,12.825,12.975,12.79,12.825,150800
2003-01-06,12.775,12.945,12.72,12.76,153600
2003-01-07,12.75,12.82,12.475,12.725,379400
2003-01-08,12.73,12.73,12.325,12.4,162000
2003-01-09,12.45,12.8,12.45,12.75,264200
2003-01-10,12.75,12.775,12.5,12.58,109000
2003-01-13,12.58,12.605,11.99,12.0,225000
2003-01-14,12.0,12.18,11.9,12.125,266800
2003-01-15,12.125,12.37,12.06,12.29,473000
2003-01-16,12.325,12.55,12.25,12.55,172200
2003-01-17,12.5,12.5,12.245,12.425,125400
2003-01-21,12.45,12.45,12.085,12.085,102800
2003-01-22,12.1,12.195,11.905,12.09,200600
2003-01-23,12.095,12.68,12.075,12.65,300000
2003-01-24,12.6,12.675,12.445,12.46,139600
2003-01-27,12.475,12.475,11.905,11.915,119600
2003-01-28,11.965,12.465,11.95,12.275,287000
2003-01-29,12.225,12.55,12.21,12.39,299600
2003-01-30,12.425,12.515,12.165,12.23,141200
2003-01-31,12.2,12.45,12.15,12.36,158400
2003-02-03,12.275,12.4,12.215,12.4,232400
2003-02-04,12.445,12.745,12.445,12.68,156800
2003-02-05,12.725,12.75,12.575,12.68,150000
2003-02-06,12.68,12.75,12.61,12.7,112000
2003-02-07,12.7,12.77,12.65,12.75,190600
2003-02-10,12.75,12.915,12.74,12.81,279200
2003-02-11,12.825,12.895,12.725,12.81,171800
2003-02-12,12.85,12.85,12.665,12.75,199600
2003-02-13,12.75,12.79,12.56,12.775,180800
2003-02-14,12.775,12.88,12.625,12.79,138600
2003-02-18,12.79,12.95,12.675,12.725,165800
2003-02-19,12.725,12.86,12.55,12.675,132400
2003-02-20,12.685,12.925,12.65,12.86,115000
2003-02-21,12.775,13.1,12.775,13.0,112400
2003-02-24,13.0,13.415,12.975,13.39,183600
2003-02-25,13.495,13.55,13.075,13.25,255400
2003-02-26,13.25,13.265,13.115,13.175,301800
2003-02-27,13.225,13.4,13.2,13.36,323800
2003-02-28,13.36,13.5,13.32,13.335,343600
2003-03-03,13.375,13.475,13.275,13.385,208000
2003-03-04,13.4,13.41,13.2,13.2,204600
2003-03-05,13.125,13.26,12.89,13.09,321600
2003-03-06,13.075,13.2,12.91,13.2,176600
2003-03-07,13.15,13.45,13.125,13.45,148200
2003-03-10,13.425,13.615,13.375,13.375,144400
2003-03-11,13.375,13.425,13.12,13.15,163000
2003-03-12,13.15,13.15,12.825,12.975,103800
2003-03-13,13.025,13.08,12.79,12.935,142600
2003-03-14,12.975,13.035,12.88,12.995,135800
2003-03-17,12.965,13.0,12.745,12.8,256000
2003-03-18,12.8,12.8,12.525,12.775,188000
2003-03-19,12.725,12.76,12.55,12.62,189000
2003-03-20,12.575,12.75,12.545,12.625,163800
2003-03-21,12.625,12.625,12.375,12.49,216200
2003-03-24,12.45,12.49,12.34,12.365,93000
2003-03-25,12.375,12.5,12.275,12.45,211800
2003-03-26,12.425,12.425,12.16,12.17,148200
2003-03-27,12.2,12.5,12.175,12.495,207000
2003-03-28,12.495,12.65,12.465,12.645,151200
2003-03-31,12.55,12.61,12.35,12.525,334800
2003-04-01,12.51,12.945,12.5,12.945,216800
2003-04-02,12.95,12.95,12.765,12.82,208200
2003-04-03,12.895,12.97,12.705,12.725,163000
