DateTime,Open,High,Low,Close,Volume
2023-12-26,3.28,3.445,3.26,3.37,1401600
2023-12-27,3.39,3.5,3.355,3.4,1204100
2023-12-28,3.43,3.431,3.27,3.36,1654300
2023-12-29,3.34,3.35,3.2,3.29,1771400
2024-01-02,3.24,3.42,3.14,3.14,1424300
2024-01-03,3.04,3.07,2.87,2.88,2455600
2024-01-04,2.9,2.94,2.785,2.86,1644700
2024-01-05,2.85,2.89,2.585,2.62,2307800
2024-01-08,2.67,2.67,2.48,2.58,2342500
2024-01-09,2.51,2.55,2.385,2.47,2483800
2024-01-10,2.46,2.63,2.44,2.53,2522000
2024-01-11,2.56,2.6,2.33,2.34,2511400
2024-01-12,2.4,2.5,2.34,2.35,1973700
2024-01-16,2.35,2.365,2.11,2.17,2122800
2024-01-17,2.17,2.17,2.01,2.04,1331600
2024-01-18,2.07,2.07,1.88,1.92,2863800
2024-01-19,1.99,2.02,1.92,1.99,1907500
2024-01-22,2.03,2.19,2.01,2.18,1687000
2024-01-23,2.23,2.39,2.23,2.34,1891700
2024-01-24,2.5,2.51,2.25,2.27,1879000
2024-01-25,2.39,2.53,2.39,2.52,1688900
2024-01-26,2.56,2.78,2.52,2.75,2931500
2024-01-29,2.82,3.0,2.68,2.98,2921200
2024-01-30,2.95,3.065,2.83,2.93,1832700
2024-01-31,2.92,3.22,2.86,2.89,2780200
2024-02-01,3.05,3.14,2.809,3.08,1862100
2024-02-02,3.02,3.19,2.978,3.15,1430600
2024-02-05,3.11,3.13,2.89,2.95,1411100
2024-02-06,2.94,3.025,2.85,2.85,1380300
2024-02-07,2.84,2.86,2.455,2.73,2454800
2024-02-08,2.67,2.88,2.62,2.72,1419900
2024-02-09,2.71,2.8,2.63,2.7,1265000
2024-02-12,2.68,2.88,2.62,2.86,1741900
2024-02-13,2.86,2.87,2.551,2.59,1536700
2024-02-14,2.68,2.84,2.581,2.8,1071300
2024-02-15,2.83,2.9,2.745,2.85,1318000
2024-02-16,2.86,2.86,2.65,2.69,1841400
2024-02-20,2.75,2.855,2.6,2.66,1601700
2024-02-21,2.65,2.715,2.57,2.62,705300
2024-02-22,2.67,2.68,2.47,2.53,1287500
2024-02-23,2.54,2.7,2.49,2.6,950600
2024-02-26,2.61,2.73,2.56,2.73,1067000
2024-02-27,2.77,3.145,2.74,3.12,2662200
2024-02-28,3.09,3.22,2.96,3.2,2023100
2024-02-29,3.26,3.32,3.05,3.1,2288200
2024-03-01,3.12,3.525,2.96,3.45,2219800
2024-03-04,4.1,4.24,3.55,3.9,5962300
2024-03-05,4.15,4.67,3.9,4.48,7108200
2024-03-06,4.89,4.89,4.175,4.22,4808300
2024-03-07,4.285,4.5,4.2,4.46,2221900
2024-03-08,4.68,5.73,4.65,5.49,7386000
2024-03-11,6.1,6.535,5.3,5.48,8678300
2024-03-12,5.53,6.345,5.51,6.27,4323800
2024-03-13,6.67,7.28,6.426,7.08,8079900
2024-03-14,7.7,7.71,5.3,7.24,9205400
2024-03-15,6.34,8.16,6.1,7.85,8760400
2024-03-18,8.68,11.21,8.67,10.1,19603400
2024-03-19,8.73,8.74,6.35,6.58,15098800
2024-03-20,6.49,6.49,4.66,4.88,18256100
2024-03-21,5.0,5.405,4.51,4.57,10160700
2024-03-22,4.6,4.62,4.17,4.25,6255000
2024-03-25,4.31,4.58,4.04,4.07,6409900
2024-03-26,4.04,4.38,3.79,4.16,6105500
2024-03-27,4.53,5.79,4.43,5.75,16605900
2024-03-28,5.76,5.8,4.95,5.31,10421600
2024-04-01,5.81,6.44,5.15,5.24,10859400
2024-04-02,5.06,5.81,4.91,5.72,6468100
2024-04-03,5.66,6.44,5.31,6.44,7072200
2024-04-04,6.29,7.37,6.04,6.16,12303600
2024-04-05,6.38,6.635,5.99,6.1,5538400
2024-04-08,6.25,6.8,5.65,5.94,6877300
2024-04-09,5.84,5.912,5.49,5.61,3986900
2024-04-10,5.36,5.55,5.17,5.42,3478900
2024-04-11,5.53,5.64,5.14,5.32,3073800
2024-04-12,5.26,5.73,5.21,5.27,2872700
2024-04-15,5.31,5.43,4.79,4.85,4084500
2024-04-16,4.7,5.09,4.69,4.97,2869900
2024-04-17,5.1,5.25,4.92,4.93,1930300
2024-04-18,5.04,5.11,4.84,4.89,1836400
2024-04-19,4.86,5.09,4.78,4.85,2203600
2024-04-22,4.86,5.03,4.61,4.93,2325400
2024-04-23,4.96,5.55,4.9,5.48,3948200
2024-04-24,5.58,5.63,5.28,5.5,2908800
2024-04-25,5.3,5.89,5.3,5.89,2529500
2024-04-26,5.86,6.365,5.83,6.06,3685100
2024-04-29,6.03,6.22,5.88,6.08,2248600
2024-04-30,6.05,6.235,5.715,5.8,2526000
2024-05-01,5.75,5.95,5.58,5.73,1907100
2024-05-02,5.82,6.11,5.75,6.03,2127200
2024-05-03,6.13,6.3,5.88,6.16,2194800
2024-05-06,6.33,6.35,5.83,5.83,2227100
2024-05-07,5.84,5.99,5.54,5.66,2012700
2024-05-08,5.58,5.86,5.5,5.85,1406000
2024-05-09,5.84,5.98,5.58,5.86,2284700
2024-05-10,5.91,6.78,5.825,6.28,7501200
2024-05-13,6.46,6.955,6.03,6.38,6367700
2024-05-14,6.44,7.59,6.44,7.35,10028500
2024-05-15,7.68,7.81,6.87,7.01,3980000
2024-05-16,7.23,7.249,5.86,6.09,7261700
2024-05-17,6.27,6.95,6.05,6.31,4948400
2024-05-20,6.37,7.635,6.37,7.25,7371400
2024-05-21,7.145,7.53,6.83,7.4,3400400
2024-05-22,7.4,7.85,7.113,7.33,4749500
2024-05-23,7.53,7.57,6.63,6.67,4097900
2024-05-24,6.86,7.79,6.68,7.78,5366500
2024-05-28,8.81,9.59,8.11,9.48,18035700
2024-05-29,8.8,9.24,8.5,8.87,7028500
2024-05-30,9.03,9.28,8.275,8.71,4458600
2024-05-31,9.06,9.629,8.04,8.73,6980000
2024-06-03,8.77,9.44,7.56,7.63,9213300
2024-06-04,7.83,7.84,6.61,6.98,8553900
2024-06-05,7.18,7.81,7.06,7.79,4475300
2024-06-06,7.67,7.98,7.46,7.67,2745100
2024-06-07,7.5,8.09,7.42,8.08,2793200
2024-06-10,7.97,8.9,7.84,8.68,5591500
2024-06-11,8.55,8.98,8.15,8.96,3577600
2024-06-12,9.17,9.21,8.37,8.45,4023100
2024-06-13,8.5,8.61,7.92,8.42,3113800
2024-06-14,8.17,8.42,8.1,8.19,1775100
2024-06-17,8.22,8.85,8.06,8.5,3915000
2024-06-18,8.46,9.63,8.29,9.54,7552300
2024-06-20,9.57,10.598,9.12,9.51,8253800
2024-06-21,9.3,10.02,8.71,10.02,7220200
2024-06-24,10.0,10.32,9.32,10.02,4861200
2024-06-25,9.98,11.19,9.78,10.97,8650400
2024-06-26,10.94,12.15,10.92,11.52,8591500
2024-06-27,12.01,12.2,10.88,11.98,7422300
2024-06-28,12.22,12.4,11.03,11.69,9594900
2024-07-01,11.76,11.835,10.43,10.93,4521700
2024-07-02,11.055,12.0,10.75,10.93,4999100
2024-07-03,11.18,11.95,11.12,11.59,3760800
2024-07-05,11.99,13.28,11.53,12.22,8993700
2024-07-08,12.86,13.74,12.28,13.69,7945600
2024-07-09,13.1,13.32,12.32,12.77,7457400
2024-07-10,13.26,13.7,12.77,13.53,5454700
2024-07-11,13.81,14.07,12.8,13.06,6718600
2024-07-12,13.34,15.7,12.95,15.34,12852600
2024-07-15,16.75,16.91,14.97,15.81,10243400
2024-07-16,15.98,16.15,15.0,15.56,5521200
2024-07-17,14.86,15.25,13.64,13.93,7742200
2024-07-18,14.52,14.52,12.541,12.86,7539900
2024-07-19,12.56,13.18,11.22,11.3,8875500
2024-07-22,11.52,11.52,10.32,11.06,8427100
2024-07-23,11.18,12.5,11.03,11.51,8685300
2024-07-24,11.27,11.85,10.642,10.8,4239500
2024-07-25,10.49,10.79,9.68,10.42,6149200
2024-07-26,10.73,10.85,10.05,10.85,4151000
2024-07-29,11.17,11.17,8.6,9.5,16218700
2024-07-30,9.4,9.95,9.27,9.54,4149800
2024-07-31,9.8,10.75,9.64,10.22,6776300
2024-08-01,10.31,10.31,8.85,9.11,4924200
2024-08-02,8.16,8.83,8.0,8.59,4503100
2024-08-05,7.32,8.86,7.26,8.76,5165000
2024-08-06,9.16,9.4,8.13,8.13,4492300
2024-08-07,8.3,9.39,8.3,8.68,6196300
2024-08-08,9.1,9.31,8.55,8.59,6413800
2024-08-09,8.28,9.55,7.87,9.27,5382100
2024-08-12,9.5,9.98,8.82,9.23,3219000
2024-08-13,9.39,10.276,9.23,9.98,4755700
2024-08-14,10.0,10.25,9.43,9.43,3056700
2024-08-15,9.69,10.07,8.88,9.38,4724500
2024-08-16,9.24,9.81,8.96,9.08,2753700
2024-08-19,9.105,9.89,8.93,9.42,3586300
2024-08-20,9.42,9.42,8.68,8.92,3139900
2024-08-21,8.95,8.96,8.69,8.79,2324200
2024-08-22,8.83,8.88,7.982,8.03,3586200
2024-08-23,8.1,8.8,8.01,8.67,2772200
2024-08-26,8.625,8.76,8.17,8.2,1887200
2024-08-27,8.13,8.79,7.87,8.69,2590500
2024-08-28,8.54,8.61,7.98,8.04,2806500
2024-08-29,8.13,8.519,8.11,8.14,2168600
2024-08-30,8.29,8.6,8.01,8.23,3183500
2024-09-03,8.07,8.12,7.39,7.59,3774400
2024-09-04,7.48,8.105,7.38,8.05,2277000
2024-09-05,7.99,7.99,7.42,7.43,2119000
2024-09-06,7.45,7.51,6.88,6.98,3049800
2024-09-09,7.06,7.63,7.02,7.57,3152800
2024-09-10,7.65,8.27,7.37,8.25,3923200
2024-09-11,8.22,8.81,8.15,8.74,3260200
2024-09-12,8.75,8.84,8.501,8.63,1874000
2024-09-13,8.95,10.06,8.93,9.68,6424700
2024-09-16,9.72,10.05,9.35,9.68,3008200
2024-09-17,9.83,9.84,8.973,9.09,2953400
2024-09-18,9.01,9.76,8.8,9.17,2391400
2024-09-19,9.57,10.025,9.2,9.61,3885400
2024-09-20,10.21,11.628,9.71,10.7,17454400
2024-09-23,10.88,11.52,10.4,10.89,8728600
2024-09-24,10.96,12.24,10.96,11.95,11660100
2024-09-25,11.99,12.22,10.795,12.03,8113600
2024-09-26,12.26,12.61,11.51,11.89,6314500
2024-09-27,11.86,13.1,11.33,12.55,8345300
2024-09-30,12.26,12.605,10.71,11.58,8095400
2024-10-01,11.6,12.11,11.03,11.88,4795700
2024-10-02,11.69,12.63,11.46,12.39,5461800
2024-10-03,13.13,13.2,11.12,12.01,10266200
2024-10-04,12.12,13.49,11.95,13.15,9488000
2024-10-07,13.05,13.17,12.62,12.86,4292100
2024-10-08,12.645,12.99,12.26,12.9,4310900
2024-10-09,12.66,12.66,11.65,11.83,7056800
2024-10-10,11.73,12.26,11.26,12.0,4171200
2024-10-11,11.78,13.54,11.66,13.14,7317300
2024-10-14,13.24,14.4,13.2,13.94,9180200
2024-10-15,14.16,14.54,13.26,13.62,7550100
2024-10-16,14.92,19.41,14.33,19.07,40323500
2024-10-17,18.049999,19.74,17.58,18.02,21031200
2024-10-18,17.88,20.35,17.22,18.21,30801600
2024-10-21,18.77,19.69,17.66,18.96,21010300
2024-10-22,18.45,19.07,16.71,17.81,17858300
2024-10-23,17.13,18.55,16.74,17.32,10768100
2024-10-24,17.4,19.049999,17.18,18.39,11891500
2024-10-25,18.79,19.47,18.08,18.41,13420800
2024-10-28,18.89,22.24,18.69,22.0,27222900
2024-10-29,21.6,22.1,20.4,21.61,12629200
2024-10-30,22.24,22.75,20.01,20.8,12803400
2024-10-31,20.57,20.77,18.93,19.14,9810800
2024-11-01,19.9,20.445,18.71,19.01,9940300
2024-11-04,18.26,18.79,17.461,18.47,8202100
2024-11-05,18.67,19.030001,18.02,18.82,5062300
2024-11-06,19.98,21.41,18.9,21.41,10502500
2024-11-07,21.58,22.36,21.19,21.67,12204200
2024-11-08,21.0,25.82,20.059999,24.49,24689200
2024-11-11,23.82,25.08,21.3,23.49,16073600
2024-11-12,23.35,26.55,22.38,23.24,14941500
2024-11-13,24.28,26.67,23.75,24.98,16784300
2024-11-14,26.6,27.54,24.13,24.66,12614400
2024-11-15,24.0,24.13,22.411,23.01,8955300
2024-11-18,23.75,27.554,22.7,27.27,13086300
2024-11-19,26.54,27.67,26.2,27.02,9722600
2024-11-20,27.09,27.16,24.72,25.74,8739800
2024-11-21,25.8,28.74,24.54,27.67,11882000
2024-11-22,28.4,30.84,27.75,30.21,11893200
2024-11-25,31.97,31.97,27.29,28.059999,11298900
2024-11-26,28.0,29.193,25.93,26.34,8647700
2024-11-27,27.21,28.42,25.95,28.059999,10872100
2024-11-29,28.64,32.3,28.46,29.65,11582300
2024-12-02,31.47,31.87,27.17,27.22,9770100
2024-12-03,26.53,27.14,24.62,24.87,11204800
2024-12-04,25.66,26.85,24.36,24.85,9122100
2024-12-05,24.29,24.89,22.77,24.35,9114200
2024-12-06,24.09,25.92,23.040001,25.7,8153700
2024-12-09,26.34,26.75,23.76,23.94,8512800
2024-12-10,23.46,24.040001,21.73,22.14,9025000
2024-12-11,22.09,22.91,20.4,22.4,10024500
2024-12-12,22.99,24.030001,21.6,21.66,9630200
2024-12-13,22.07,22.28,20.95,21.13,6403300
2024-12-16,20.28,21.95,19.37,21.72,8640100
2024-12-17,21.49,22.83,20.32,21.71,7752600
2024-12-18,22.5,23.5,18.71,19.11,15219300
2024-12-19,19.81,20.040001,18.44,19.01,9441800
2024-12-20,18.35,20.48,18.07,19.77,9671200
2024-12-23,19.71,20.16,18.852,19.73,5377300
2024-12-24,19.65,21.049999,18.86,21.01,5321500
2024-12-26,21.22,21.99,20.21,21.82,7286000
2024-12-27,21.83,22.35,19.351,19.51,9949900
