DateTime,Open,High,Low,Close,Volume
2000-01-04,27.875,28.0,25.625,26.125,586000
2000-01-05,26.0,27.3125,25.625,27.3125,839400
2000-01-06,27.3438,27.4688,25.5,26.3438,602400
2000-01-07,25.875,27.9375,24.5,27.5,578000
2000-01-10,28.9844,29.625,28.25,29.25,768600
2000-01-11,29.5625,29.75,28.4531,28.4531,774800
2000-01-12,28.375,28.375,26.75,27.625,1093800
2000-01-13,27.625,27.75,27.0,27.4375,538800
2000-01-14,27.5,33.5,27.375,33.375,2089600
2000-01-18,34.5625,34.625,31.0,32.4062,693600
2000-01-19,31.875,34.625,31.5312,34.0,266200
2000-01-20,34.125,34.375,32.4375,32.5938,386000
2000-01-21,32.5312,32.5625,31.625,31.9375,254800
2000-01-24,32.625,33.5625,31.0,31.5625,479000
2000-01-25,31.7188,33.0,29.625,32.625,738600
2000-01-26,33.0,33.7188,32.0,32.5,530400
2000-01-27,32.5625,33.25,32.125,32.875,388600
2000-01-28,32.5,32.5312,31.2812,31.2812,392000
2000-01-31,30.75,31.0,28.125,30.0,499000
2000-02-01,30.125,31.4375,29.8125,30.9375,465200
2000-02-02,31.9375,33.2188,31.875,32.75,426400
2000-02-03,32.375,32.5,31.5,32.3125,1046000
2000-02-04,32.875,33.4375,31.375,32.4062,554600
2000-02-07,32.625,32.6875,31.25,31.6875,1199800
2000-02-08,31.6719,34.25,31.5312,33.25,2309800
2000-02-09,34.4375,34.5,32.8125,33.1875,2098000
2000-02-10,33.375,34.0,33.0,33.5938,1211200
2000-02-11,33.75,35.0,32.8125,33.25,892600
2000-02-14,33.5,33.5312,31.5,32.0,1037200
2000-02-15,32.0156,32.5,30.75,32.25,926600
2000-02-16,32.125,33.5547,31.9375,32.5,1063200
2000-02-17,33.0,34.4375,32.5625,34.2031,696400
2000-02-18,34.5,34.7188,33.0625,33.125,1076200
2000-02-22,33.3906,34.4375,32.25,34.25,1271000
2000-02-23,34.75,37.375,34.6875,36.6875,3055200
2000-02-24,39.7812,39.875,35.5,37.9375,3213000
2000-02-25,35.75,36.6875,31.0,32.3125,6599200
2000-02-28,31.5,32.875,27.8125,32.0625,5129600
2000-02-29,31.5625,32.8125,30.125,31.25,2660800
2000-03-01,31.4844,32.25,31.0312,31.9375,2722400
